OG0000692.0	OG0022826.0	OG0001967.0	OG0012896.0	OG0004710.2	OG0012915.3	OG0001643.24	OG0016785.2	OG0004464.0	OG0004338.2	OG0002252.0	OG0000038.0	OG0004835.2	OG0000177.8	OG0001698.26	OG0012926.0	OG0000606.2	OG0004324.0	OG0006804.0	OG0000027.1	OG0000107.44	OG0004617.12	OG0000471.2	OG0001566.2	OG0022825.0	OG0000027.457	OG0000019.257	OG0009883.5	OG0000835.7	OG0002346.16	OG0006400.2
-0.6610907271910786	nan	-0.5075827599241425	-1.4131151871478154	-0.512925319948276	-3.8802321574527925	-1.1587514286937521	-1.8411459704833824	-0.5420380555473153	-1.8416629728328997	-0.9700171337842857	-0.5428785420499038	-2.554697057863487	0.40064722052282803	-1.2039006722965686	-3.5083213200135352	-0.6443071024337754	-1.446934455954395	-0.9132162338579334	-0.35752946268417823	-0.43908943912011134	-1.534913621113934	-1.3375210295767486	-1.0540927027897475	nan	-0.9018499789079885	-0.6794575575715407	-2.879382638782058	-1.1883645691462565	-0.07369688813860564	-1.626379626754263
OG0038719.0	OG0001779.0	OG0053776.0	OG0011182.2	OG0009126.0	OG0011318.4	OG0048065.0	OG0029069.0	OG0018746.5	OG0010101.0	OG0014083.1	OG0016858.0	OG0041901.0	OG0006849.0	OG0006580.0	OG0044110.0	OG0047583.0	OG0007576.0	OG0000178.8	OG0045093.0	OG0023638.0	OG0002907.5	OG0045520.0	OG0010074.0	OG0028089.0	OG0001402.24	OG0016173.4	OG0022188.0	OG0015681.0	OG0000446.108	OG0046974.0
nan	0.9306238095519507	nan	nan	-1.5964050493583346	-3.316168825598677	nan	nan	nan	-1.286304185156641	nan	-1.7695510237924936	nan	-1.0822245593988842	-1.6117553466077006	nan	nan	-1.638456202032135	1.4704587739376804	nan	nan	-2.7178567712185018	nan	-0.8919105081597029	nan	-0.588573754273535	-2.3906232512366934	-1.2358237236440717	nan	-1.0588936890535685	nan
OG0054015.0	OG0003869.12	OG0044732.0	OG0012941.2	OG0008276.6	OG0000096.194	OG0004382.22	OG0046414.0	OG0037898.0	OG0004885.6	OG0006366.0	OG0018942.4	OG0019956.0	OG0049002.0	OG0004504.4	OG0026588.0	OG0018953.6	OG0021940.0	OG0046003.0	OG0005692.2	OG0045452.0	OG0019163.0	OG0045345.0	OG0018040.6	OG0022056.0	OG0025658.0	OG0001590.23	OG0048153.0	OG0048887.0	OG0020553.0	OG0017744.4
nan	-1.1028370366411655	nan	-2.043943347587597	-3.075824085003446	-1.2887694281063646	-0.8178162308785316	nan	nan	-0.46733394322576716	-1.8442507673220554	-1.5751853791096262	nan	nan	-2.6366606883705206	nan	nan	nan	nan	-1.865647613376637	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.7641504234924366	nan
OG0056659.0	OG0045253.0	OG0004252.0	OG0004177.4	OG0038613.0	OG0012985.0	OG0007406.0	OG0004945.0	OG0016261.0	OG0037863.0	OG0045362.0	OG0011952.0	OG0011225.0	OG0020238.0	OG0004024.2	OG0027505.0	OG0014537.0	OG0012070.2	OG0044418.0	OG0005558.1	OG0044957.0	OG0008126.4	OG0026276.0	OG0021277.0	OG0017984.1	OG0038653.0	OG0007192.0	OG0046223.0	OG0010145.0	OG0041885.0	OG0016868.0
nan	nan	-0.8897704075768111	-1.2450270073300984	nan	-2.268121651191569	-2.242635327614509	-1.3298848187157055	0.292899515444873	nan	nan	-2.639354797539784	-2.3936525332754277	nan	1.0000721329487359	nan	-2.39744810252834	-2.4320652135221836	nan	-1.9241251330248723	nan	-0.6279394176678392	nan	-3.202903991745088	-3.8311526132144404	nan	-0.7345631039509016	nan	-1.405069330187608	nan	-2.23854450717728
OG0000089.390	OG0000348.4	OG0002604.2	OG0041714.0	OG0009994.20	OG0002301.1	OG0043642.0	OG0008928.8	OG0022233.0	OG0011910.0	OG0011345.0	OG0043533.0	OG0041554.0	OG0053919.0	OG0045255.0	OG0056902.0	OG0005936.0	OG0007212.0	OG0046592.0	OG0034318.0	OG0001030.26	OG0056793.0	OG0006663.0	OG0017766.5	OG0057148.0	OG0006196.0	OG0000864.26	OG0007822.0	OG0056663.0	OG0024670.0	OG0017841.6
nan	1.7638789404516175	-0.5363775431481067	nan	nan	-1.0037558918843352	nan	-2.0403782015207206	nan	-1.817053505488898	-2.2297206567902736	nan	nan	nan	nan	nan	-0.5240850278218214	-2.458782551897963	nan	nan	-0.947305888696155	nan	-1.7249929525001302	nan	nan	-0.8354711391186312	-0.8836352433082154	-1.205896101440252	nan	nan	nan
OG0041647.0	OG0005639.0	OG0028126.0	OG0000017.1174	OG0018804.2	OG0041919.0	OG0027837.0	OG0053775.0	OG0048059.0	OG0010877.4	OG0003809.0	OG0001873.22	OG0006865.6	OG0034581.0	OG0056991.0	OG0022775.0	OG0004133.0	OG0010866.17	OG0020395.0	OG0017756.6	OG0013066.8	OG0034798.0	OG0024810.0	OG0023466.0	OG0000634.26	OG0001756.0	OG0001618.1	OG0004864.0	OG0003351.0	OG0012771.2	OG0014062.0
nan	-0.6458864075076233	nan	1.067019106006256	nan	nan	nan	nan	nan	-2.2229696147991937	-0.8528235730190535	-0.9026588912032982	-1.5829441401868507	nan	nan	nan	-0.39289461624150596	nan	nan	nan	nan	nan	-1.9708651959469772	nan	-1.2747387311749092	-1.056491198838264	-0.46175984202572357	-1.2629189948469006	-0.8117256886787958	-1.2149098450052418	nan
OG0013507.0	OG0001650.11	OG0028452.0	OG0004037.0	OG0019269.0	OG0020528.0	OG0007860.0	OG0000538.0	OG0060393.0	OG0028224.0	OG0021242.0	OG0013561.4	OG0045998.0	OG0047946.0	OG0047462.0	OG0003089.5	OG0003438.0	OG0003918.5	OG0024476.0	OG0045480.0	OG0025657.0	OG0054134.0	OG0045760.0	OG0014039.0	OG0013052.2	OG0044163.0	OG0057335.0	OG0041524.0	OG0041643.0	OG0041562.0	OG0005463.38
-2.2515387669959646	-2.15072126746922	nan	-0.723086516754077	nan	-0.8094483479677298	-1.1746213961070686	-0.9129445654566243	nan	nan	-1.960159735468209	-2.743713929414908	nan	nan	nan	-0.9748294242650939	-1.4081291299366663	-1.6051566384691394	-0.7529231680691824	nan	nan	nan	nan	nan	-1.3168874781868323	nan	nan	nan	nan	nan	-1.5666131908422642
OG0056907.0	OG0056841.0	OG0015779.6	OG0007632.0	OG0004271.1	OG0006976.0	OG0010956.0	OG0001709.27	OG0015228.4	OG0008342.0	OG0012072.2	OG0008943.0	OG0053956.0	OG0009077.4	OG0000152.12	OG0034812.0	OG0044774.0	OG0012765.0	OG0010743.6	OG0049041.0	OG0047282.0	OG0024549.0	OG0046550.0	OG0022772.0	OG0035837.0	OG0043625.0	OG0027022.0	OG0002675.22	OG0004477.4	OG0021267.0	OG0043402.0
nan	nan	nan	-1.3562361456626577	-2.41119543298445	-1.445754980449902	-1.6748438822584089	-0.3077513643266214	-2.341537138825891	-1.458782551897963	-1.7154858667557547	-1.9953907467474106	nan	-1.690590950759881	-3.001154617941492	nan	nan	-1.8447688837007212	-3.0625049426059476	nan	nan	-13.287712379549449	nan	nan	nan	nan	-1.7893617716198498	-1.054991671584577	-0.6042790867140473	nan	nan
OG0046598.0	OG0006443.2	OG0000255.37	OG0000481.166	OG0019366.0	OG0000581.0	OG0019846.0	OG0053939.0	OG0028254.0	OG0047505.0	OG0013218.3	OG0029593.0	OG0045161.0	OG0008871.1	OG0060431.0	OG0011142.10	OG0027169.0	OG0053995.0	OG0020021.0	OG0014093.9	OG0016605.3	OG0024398.0	OG0044507.0	OG0001645.0	OG0008123.0	OG0016230.0	OG0012865.4	OG0009091.4	OG0048929.0	OG0009095.4	OG0045090.0
