OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
-1.8817731862070524	-3.1532860593285235	-1.7918573526622783	-3.8802321574527925	-3.0576919438438153	-1.6241542753321765	-2.356236145662658	-1.7403358160513485	-2.005782352594006	-1.9329120351988534	-1.6663472852345864	nan	-2.107803289534515	-1.613520111403766	-3.0150825945730797	-2.5803532474685666	-3.5225920697297517	-2.2926519125167304	-2.607352856035737	-2.321206927643708	-2.0344557997682955
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
-1.3462979086065388	nan	-2.492484413520771	-1.9850734557618972	-1.4250750219906556	-1.8598757760909297	nan	-2.128787175742486	-2.6971253296344155	-1.5794906495110967	-3.016249351645075	-2.677610316549785	-2.446148031818874	-1.8630211880364962	-2.625489074231609	-1.386468347082073	-1.6321816563938067	-2.3606752108291547	-3.095419565078682	-1.9660660885580683	-1.712645914970793
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
-2.2395661253298886	-3.2467377807321434	-1.3733272473940066	-2.2022399203681666	-1.9850734557618972	-2.31114825613412	-1.99136969485656	-1.6228207102633614	-1.9584766378156495	-1.6579004351672157	-1.9666298615394082	-2.2048980418771755	-1.977951834819827	-2.224991612384405	-2.5859727408750985	nan	-2.1354275372428675	-3.083141235300246	-1.7022803279564873	-1.4623560380701153	-3.079478021209661
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
-2.3291596641184382	-1.9164802511798273	-1.708867987991247	-2.6303939299681622	-1.6201572725083175	-2.76219157045438	-1.897543423349266	-1.6513143306656128	-1.6402539530945293	-2.141780233728934	-1.9091465695488865	nan	-1.848660698957719	-1.5079930244060455	-2.3233715117570313	-1.5075827599241425	-0.8948583396765766	-2.0017322736212373	-1.4031602455622152	-2.039784866105864	-2.0017322736212373
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
-2.6197138438769216	-3.9990769705117715	-2.2632652555088026	-2.192974874501356	-2.6303939299681622	-1.6223764623642731	-1.8577826381961766	-1.9545570292388328	-2.286304185156641	-1.4204336398397874	-1.3778192957794075	-1.4568010998066674	-1.821380957466682	-2.149440579377228	nan	-1.3025820060825506	-1.907521912799615	-2.3815733833540693	-1.3061450976464348	-3.2947740433836357	-1.347949534477697
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
