OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
nan	-0.7431941999999999	nan	-1.852748	0.03300591	-0.22264189999999998	nan	nan	nan	0.8198931999999999	1.267889	4.1072	nan	-0.8929728000000001	-0.9852652	0.7060531	0.9977196	-0.3143018	-0.4231768	0.3227857	0.8530597
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
nan	-1.757434	-1.092319	-1.162896	0.3268697	nan	-6.460121	0.5618664000000001	nan	-0.3326643	-0.7793281	0.05866991	-0.4196769	-1.203861	-0.2510136	-0.08343949	nan	0.07623752	-0.8530223	0.1488283	nan
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
-0.02503885	-0.101315	nan	0.1590325	-1.162896	-1.165476	-0.8765949000000001	0.6578341999999999	-0.5190232	-0.208927	0.1141414	nan	nan	-0.6673557	-0.5695577	-5.9869639999999995	-0.4070692	0.535582	nan	nan	-1.607624
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
0.3743477	-0.9772409	nan	-0.9750323000000001	nan	-0.801819	-0.5511729000000001	0.1377884	0.7571687	nan	-1.1216110000000001	-7.3402389999999995	nan	0.09984609	-0.6873259	1.175432	-1.617241	0.4220773	nan	0.40231059999999996	-0.48732250000000005
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
0.04928862	-0.5867078	-0.5663771	-0.8368549000000001	-0.9750323000000001	-1.005366	-0.34344020000000003	-0.2734739	0.5581897	nan	-0.05801074	1.0842479999999999	-0.8576206000000001	0.4762769	-5.842096	0.8506676	nan	nan	nan	1.07205	nan
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
-0.28027290000000005	0.5017752000000001	nan	-0.9235532	2.6879009999999997	0.8247201999999999	-0.1931609	0.6578341999999999	0.3385768	nan	nan	nan	1.0842479999999999	-0.96206	-0.48273599999999994	0.4860415	-0.5300818	-0.3421369	-0.448169	nan	-0.9752909
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
0.1960254	-0.3212923	0.8435045	-0.34383220000000003	-0.6501597	nan	0.930966	-1.214584	0.7297899	-0.5642858000000001	1.324674	0.6291518	nan	nan	-0.24246120000000002	-0.4417008	1.613297	0.30423249999999996	nan	nan	0.06034727
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0041803.0	OG0000169.16	OG0000246.0	OG0018627.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
0.2510887	-0.5183152	0.7647147	0.0264972	nan	nan	1.042215	0.7571687	nan	0.9863074000000001	-0.7969818000000001	0.1377817	nan	nan	0.1782193	-0.2321209	1.1035840000000001	nan	0.3726339	0.1244483	-1.190717
OG0000015.1	OG0005693.0	OG0007186.0	OG0000000.305	OG0001319.1	OG0000323.43	OG0001619.0	OG0000007.976	OG0000318.0	OG0000746.0	OG0005282.0	OG0000350.8	OG0000121.128	OG0027642.0	OG0002940.48	OG0014044.0	OG0004511.10	OG0043935.0	OG0000391.20	OG0008180.1	OG0003696.0
nan	-0.08297426	-0.8388860999999999	-0.1816876	nan	nan	-0.3326643	nan	0.05866991	-0.7481413	-0.42588869999999995	1.0842479999999999	-0.3410663	0.8224444	-1.03528	-0.3429243	-0.05110375	-0.9660641	nan	-1.01585	0.5103418
OG0001150.24	OG0013523.0	OG0004749.2	OG0007208.0	OG0010591.0	OG0002487.0	OG0002614.0	OG0002519.0	OG0000486.2	OG0000000.3460	OG0003922.0	OG0000749.2	OG0008106.2	OG0020922.0	OG0000196.0	OG0003156.4	OG0002181.0	OG0057236.0	OG0000039.0	OG0000239.0	OG0001538.6
nan	1.23891	0.0206852	-0.7844139	-0.8657091	-0.46319	-0.02797248	0.278648	0.47164570000000006	nan	0.0347963	nan	0.2627647	1.274836	0.42366329999999996	1.035284	0.3310011	-0.7626498	nan	-1.190717	nan
OG0000838.0	OG0004239.0	OG0002777.4	OG0001089.2	OG0008596.4	OG0041847.0	OG0001829.22	OG0000364.1	OG0009147.1	OG0000009.921	OG0006877.0	OG0001064.24	OG0000442.2	OG0000196.0	OG0003956.4	OG0000473.1	OG0003735.2	OG0000112.0	OG0010906.0	OG0000102.0	OG0005885.2
-0.1302057	0.1737091	-1.267624	nan	-0.4369777	0.9697582	0.02814651	nan	-0.3882691	nan	-0.7589209	nan	-0.08343949	0.42366329999999996	0.9470214	0.4138371	0.7692408000000001	nan	0.8910498	nan	-1.111113
OG0000011.866	OG0005416.0	OG0045182.0	OG0012224.0	OG0000575.28	OG0007208.0	OG0003494.6	OG0002860.1	OG0004971.4	OG0000598.0	OG0000411.0	OG0000081.1	OG0001806.0	OG0000007.585	OG0000047.282	OG0008435.15	OG0014066.4	OG0002138.0	OG0008127.0	OG0004292.0	OG0000239.0
nan	-0.7168226	-5.842193	-0.07328318	-1.162896	-0.7844139	-0.4935826	-0.4150107	-0.791888	-0.08105836	nan	nan	0.09237753	nan	-0.003608783	-0.586642	-0.369225	nan	0.191079	0.4621361	-1.190717
OG0000044.1	OG0001753.20	OG0000018.842	OG0013963.0	OG0006286.4	OG0044536.0	OG0005137.0	OG0020719.0	OG0001528.16	OG0003304.0	OG0003514.0	OG0005265.10	OG0000169.16	OG0004933.6	OG0001168.24	OG0004467.6	OG0000519.26	OG0000047.282	OG0000060.0	OG0000002.1788	OG0005517.0
nan	0.2510887	0.1923812	0.03651215	-1.202246	1.15687	-0.8968853999999999	-0.6765728	0.5648102	0.4943089	-0.5511729000000001	-0.11050460000000001	0.7571687	0.22304090000000001	nan	-0.8003064000000001	nan	-0.003608783	nan	nan	-0.8634223
OG0000011.866	OG0002682.12	OG0015299.0	OG0000663.26	OG0000074.152	OG0011454.0	OG0003630.6	OG0000318.0	OG0002211.0	OG0006328.0	OG0006859.2	OG0000350.8	OG0007546.0	OG0002486.16	OG0006802.11	OG0000584.0	OG0018186.0	OG0041603.0	OG0000127.0	OG0004437.0	OG0003155.34
nan	0.1960254	-0.1360681	nan	nan	-0.5578413000000001	0.01244404	0.05866991	nan	-0.3775495	-0.38719570000000003	1.0842479999999999	-0.28540740000000003	-0.6673557	-0.33825759999999994	nan	1.154655	0.9085146000000001	nan	-1.113508	-0.09645753
OG0002954.0	OG0000310.18	OG0001557.1	OG0004226.0	OG0006642.0	OG0000010.64	OG0004989.0	OG0011211.0	OG0005109.6	OG0002009.0	OG0000349.0	OG0002448.22	OG0003197.4	OG0004238.6	OG0005057.0	OG0000027.457	OG0002768.0	OG0000302.34	OG0000753.0	OG0046003.0	OG0001851.2
-0.7458714	0.8435045	-0.8487799000000001	0.1569761	-1.243162	nan	-1.344506	1.079209	-0.7956539	nan	0.5581897	0.1073231	-0.8969995000000001	0.2962391	0.27614679999999997	nan	0.9029256999999999	nan	nan	-5.687055	1.149163
OG0048136.0	OG0004326.0	OG0000700.36	OG0029221.0	OG0003073.0	OG0000100.1	OG0001301.24	OG0004113.4	OG0007309.0	OG0000169.16	OG0000338.41	OG0002449.21	OG0012206.0	OG0000121.128	OG0000857.0	OG0009061.6	OG0007555.0	OG0005939.0	OG0006414.0	OG0000002.1788	OG0000239.0
-0.6395923000000001	0.8109501	nan	0.9771103999999999	-0.8623790000000001	nan	nan	-0.02331771	-1.1766020000000001	0.7571687	nan	0.3573456	0.8824270000000001	-0.3410663	0.2853892	0.0038799359999999996	0.05882302	-0.1693023	0.2359625	nan	-1.190717
OG0009779.2	OG0006236.0	OG0007778.4	OG0005266.0	OG0004694.0	OG0000616.40	OG0004460.9	OG0002185.6	OG0014516.2	OG0000318.0	OG0028566.0	OG0001155.24	OG0004737.6	OG0005099.0	OG0000121.128	OG0000035.64	OG0004569.0	OG0000142.14	OG0003459.2	OG0000039.0	OG0000431.12
-0.4240688	-1.010234	0.46389769999999997	0.12763010000000002	-0.8310285	nan	-0.1438003	0.3775039	-0.04174323	0.05866991	2.592438	nan	-0.96206	0.1831995	-0.3410663	nan	0.4860415	-1.2280879999999998	-0.8903757999999999	nan	nan
OG0034744.0	OG0003521.2	OG0000231.0	OG0009811.0	OG0019288.0	OG0000100.1	OG0000090.24	OG0000187.1	OG0003630.6	OG0000009.921	OG0006577.0	OG0011881.8	OG0005229.4	OG0004960.0	OG0000121.128	OG0001030.26	OG0000857.0	OG0000658.0	OG0002939.24	OG0003505.8	OG0007494.0
1.4269450000000001	-0.8499459999999999	nan	0.6812873	-1.7486580000000003	nan	1.324674	1.171144	0.01244404	nan	-1.154349	0.4256351	-0.33617579999999997	-0.45586270000000007	-0.3410663	nan	0.2853892	nan	-0.6873259	-0.01804554	0.1321915
OG0005479.0	OG0001409.1	OG0002260.4	OG0028958.0	OG0004183.0	OG0004580.6	OG0000343.0	OG0000451.0	OG0000200.0	OG0000246.0	OG0000349.0	OG0001785.1	OG0021227.0	OG0005438.0	OG0005184.0	OG0000699.1	OG0007825.2	OG0006513.0	OG0006820.0	OG0000102.0	OG0000039.0
-0.5516866	nan	-0.10826480000000001	-1.158123	-0.7042547	-0.8110798	-0.5190232	-0.208927	nan	nan	0.5581897	-0.3303178	0.6307164000000001	-0.5676039	-0.5177037999999999	nan	0.3979291	-1.1929889999999999	-0.4104213	nan	nan
OG0012767.2	OG0000483.0	OG0000480.64	OG0004326.0	OG0007208.0	OG0000007.3	OG0005315.0	OG0001656.2	OG0005640.2	OG0000032.252	OG0000349.0	OG0000411.0	OG0000779.1	OG0022190.0	OG0000442.2	OG0000042.314	OG0045552.0	OG0004560.0	OG0017937.0	OG0005856.2	OG0010757.0
-0.00556194	0.3933374	nan	0.8109501	-0.7844139	nan	-0.1765945	-0.1665667	0.3957575	nan	0.5581897	nan	-1.211077	-1.9547599999999998	-0.08343949	nan	-7.377125	-0.7376063	0.4391049	0.45768640000000005	-1.001002
OG0001610.50	OG0000575.28	OG0005222.2	OG0001656.2	OG0004565.2	OG0012686.0	OG0000616.40	OG0000486.2	OG0001701.8	OG0004469.6	OG0041632.0	OG0010723.0	OG0000269.0	OG0005892.2	OG0000350.8	OG0000088.3	OG0005184.0	OG0000027.457	OG0016571.1	OG0006625.0	OG0002132.0
0.7892168	-1.162896	0.2179585	-0.1665667	-0.8311315999999999	-0.2590884	nan	0.47164570000000006	0.11150630000000002	0.49570920000000007	1.004206	-0.9953335999999999	nan	-1.078948	1.0842479999999999	nan	-0.5177037999999999	nan	1.350953	-1.209914	nan
OG0000015.1	OG0003686.4	OG0007429.0	OG0011774.16	OG0001575.2	OG0000421.80	OG0012106.0	OG0003731.0	OG0000486.2	OG0007145.0	OG0000537.8	OG0004744.2	OG0000350.8	OG0000779.1	OG0000145.16	OG0003327.0	OG0021336.0	OG0001608.24	OG0000391.20	OG0000002.1788	OG0000239.0
nan	-0.4972478	-0.4909523	4.860278	-0.16830870000000003	nan	-0.05829542	0.42647579999999996	0.47164570000000006	-0.322905	nan	-0.04523698	1.0842479999999999	-1.211077	-0.42861679999999996	0.28941540000000004	0.14229760000000002	0.35190879999999997	nan	nan	-1.190717
OG0000011.866	OG0000119.0	OG0000976.24	OG0022594.0	OG0003745.1	OG0005239.0	OG0000638.38	OG0000109.0	OG0004975.0	OG0010686.0	OG0007401.0	OG0003826.6	OG0000343.0	OG0000746.0	OG0002791.5	OG0000350.8	OG0000805.29	OG0011155.4	OG0000302.34	OG0006461.4	OG0018187.0
nan	nan	nan	2.6719470000000003	0.08016877	-0.21875949999999997	nan	0.7297899	-0.6839903	-1.0227	0.02423258	-0.8115998000000001	-0.5190232	-0.7481413	-0.8910456	1.0842479999999999	-0.8576206000000001	0.5294495	nan	-0.8530223	1.114344
OG0018068.3	OG0000139.0	OG0003494.6	OG0000748.0	OG0000559.30	OG0000923.0	OG0005685.0	OG0003623.8	OG0003535.14	OG0012533.6	OG0000749.2	OG0002791.5	OG0007835.4	OG0006082.0	OG0000265.0	OG0009123.2	OG0004046.0	OG0000012.918	OG0001435.1	OG0057499.0	OG0000239.0
-0.8339771	-0.1087079	-0.4935826	0.6912807	nan	0.6578341999999999	-0.29261509999999996	-0.22298560000000003	0.6554416999999999	1.242589	nan	-0.8910456	-0.1151043	-0.8069473	nan	0.1618891	0.9662917999999999	nan	nan	2.107189	-1.190717
OG0002008.0	OG0002511.6	OG0008932.0	OG0000815.24	OG0000018.289	OG0004473.2	OG0004611.1	OG0004836.2	OG0000923.0	OG0002882.0	OG0000105.0	OG0007777.2	OG0006547.0	OG0000160.4	OG0060400.0	OG0002869.0	OG0000196.0	OG0001776.0	OG0000589.0	OG0022191.0	OG0000239.0
nan	0.4405739000000001	0.1800565	nan	nan	-0.5183152	0.742321	-0.7894366999999999	0.6578341999999999	-0.10240830000000001	nan	0.4030523	-1.151155	nan	-1.6473369999999998	-0.7051708999999999	0.42366329999999996	0.1377817	0.12362709999999999	-2.012754	-1.190717
