OG0009883.5	OG0000692.0	OG0012915.3	OG0004617.12	OG0004835.2	OG0004464.0	OG0004338.2	OG0000107.44	OG0000038.0	OG0000027.1
2.57008927430335	5.3046131075363325	-0.574025449900363	2.5915616660558416	0.7131066658987535	4.796337093549347	3.1718221101701016	7.635567466058466	8.28439494743276	7.848726000425037
OG0008656.1	OG0010913.0	OG0043411.0	OG0008443.1	OG0010756.0	OG0004568.1	OG0005507.10	OG0014125.1	OG0015179.2	OG0003049.0
nan	3.3175662567164474	nan	2.9899738730692476	0.8266687006432878	2.584329775181961	0.8890929926202654	nan	-0.37750398767476073	4.806455601782767
OG0014810.0	OG0006647.0	OG0047150.0	OG0015093.3	OG0014620.0	OG0013321.0	OG0047353.0	OG0015979.6	OG0053810.0	OG0024522.0
3.3850947749420115	1.7656233397230434	nan	nan	2.4695583775351895	0.35235719178505764	nan	0.359221907372667	nan	-4.116475139062628
OG0038154.0	OG0011720.2	OG0001184.24	OG0014502.4	OG0016791.0	OG0017901.0	OG0005646.0	OG0047603.0	OG0016776.5	OG0035803.0
nan	3.087058678854249	-0.014365397608499472	2.6429044008469504	3.815101507308951	1.6670371558379249	1.0962460023695484	nan	nan	nan
OG0002993.1	OG0006460.2	OG0004302.0	OG0010095.2	OG0018256.2	OG0019234.0	OG0016149.0	OG0023958.0	OG0035604.0	OG0008532.6
3.4893740263983815	3.2862118512310294	2.9119610020983715	-0.25918513366881624	1.8926385268007462	1.7588488621369223	1.713276160582331	nan	nan	2.199072481256036
OG0047378.0	OG0021370.0	OG0005619.0	OG0044416.0	OG0009877.2	OG0001321.26	OG0007340.4	OG0003483.0	OG0005694.0	OG0007523.4
nan	nan	-0.631709036770894	nan	1.6030285134381983	1.7051315062220445	1.0871292864905113	1.7338634032681777	2.28942125409524	3.5136102228424573
OG0005991.0	OG0027772.0	OG0047976.0	OG0004954.6	OG0044358.0	OG0007191.0	OG0013191.3	OG0004616.0	OG0004779.4	OG0047138.0
1.05217463557736	nan	nan	1.4828119223563294	nan	2.238986354676548	nan	3.774018641536251	nan	nan
OG0002837.4	OG0028115.0	OG0049164.0	OG0056784.0	OG0022867.0	OG0013146.12	OG0004192.0	OG0002822.4	OG0013064.11	OG0056535.0
5.5617530303020235	nan	nan	nan	nan	nan	1.6664794462575008	4.957308272133446	nan	nan
OG0043411.0	OG0002275.1	OG0041811.0	OG0014872.6	OG0045830.0	OG0009903.19	OG0009192.20	OG0016201.4	OG0021215.0	OG0008668.22
nan	4.852000626568801	nan	0.589127316417776	nan	nan	nan	1.6087428403244763	nan	nan
OG0007261.0	OG0018086.1	OG0012755.0	OG0003092.12	OG0003847.24	OG0012434.10	OG0011210.1	OG0017886.0	OG0012262.2	OG0009136.10
4.426660671105189	nan	0.4280552673226568	2.8592132740279372	2.438181869427817	nan	0.8193775600418648	-0.12338693489787904	1.8790660352767836	0.4642278568850575
OG0046313.0	OG0012742.0	OG0008267.1	OG0026998.0	OG0045270.0	OG0002791.5	OG0007491.0	OG0045908.0	OG0002575.0	OG0045159.0
nan	2.684603318122274	nan	1.0105750860313125	nan	2.4243213882624977	1.8412128491992203	nan	2.069722359419174	nan
OG0013242.12	OG0038112.0	OG0018377.6	OG0028092.0	OG0048119.0	OG0010010.11	OG0005530.6	OG0044896.0	OG0057497.0	OG0016432.2
nan	nan	nan	nan	nan	2.688515313502391	2.7895501807036567	nan	nan	1.319107079481153
OG0011372.0	OG0017939.0	OG0045882.0	OG0026962.0	OG0004064.0	OG0002054.0	OG0018828.3	OG0006467.8	OG0044960.0	OG0054085.0
0.30428849661718077	3.0645519217471677	nan	nan	2.066248836262079	1.081852980403187	nan	-0.1334767730741555	nan	nan
OG0002961.20	OG0044238.0	OG0008946.0	OG0009783.0	OG0003897.10	OG0007724.0	OG0017321.1	OG0004085.0	OG0047042.0	OG0004026.1
3.043213041559695	nan	1.4298037875096614	1.607150227841321	4.721048431971951	0.555369000013188	nan	1.1170182916860758	nan	7.338544937165491
OG0024274.0	OG0048902.0	OG0035581.0	OG0000703.24	OG0012660.2	OG0017049.5	OG0009750.1	OG0060435.0	OG0017066.3	OG0034772.0
nan	nan	nan	7.104296640747493	2.4002494299209443	nan	nan	nan	nan	nan
OG0022172.0	OG0003204.0	OG0034958.0	OG0056852.0	OG0046916.0	OG0017354.4	OG0010785.14	OG0009290.0	OG0017216.1	OG0045026.0
-0.7751048538140227	3.1468566391259105	nan	nan	nan	nan	-1.376313358461675	2.313572226821972	nan	nan
OG0044490.0	OG0045763.0	OG0003747.6	OG0005161.27	OG0001777.24	OG0046286.0	OG0008183.0	OG0002044.0	OG0020541.0	OG0014706.0
nan	nan	5.087473888125985	nan	5.619830196211122	nan	1.8681265554930202	-0.014653561583448242	2.8494369435428544	0.6169057544956495
OG0008196.2	OG0012921.6	OG0014072.3	OG0002687.0	OG0011976.0	OG0028444.0	OG0000623.24	OG0028514.0	OG0034422.0	OG0012112.2
2.113227145530194	1.580777800034372	nan	2.365035138401642	0.9589265634353319	nan	5.1498779850004865	nan	nan	0.32615723703821764
OG0015949.0	OG0060481.0	OG0053945.0	OG0020530.0	OG0012750.0	OG0013006.4	OG0016930.2	OG0000367.174	OG0038909.0	OG0005105.0
1.899412594715002	nan	nan	2.594020907122918	1.3509586094974044	1.2786374132123675	1.701556874891877	-0.4741672980258754	nan	2.1324371394179398
OG0056969.0	OG0016892.2	OG0001135.4	OG0034410.0	OG0017504.5	OG0019581.0	OG0018140.2	OG0016977.2	OG0038023.0	OG0013017.9
nan	2.4530702442042274	4.814739702352164	nan	nan	nan	-0.3474904016276662	nan	nan	1.2754296377507535
OG0011618.6	OG0007726.2	OG0020337.0	OG0002136.0	OG0007475.6	OG0003096.0	OG0046805.0	OG0008585.0	OG0014610.2	OG0003450.0
nan	4.692731442966367	nan	0.6473448360515315	4.651026703253896	3.831284555230882	nan	0.6779607878450182	1.7086411443425278	2.227336217772513
OG0005934.2	OG0005767.0	OG0005188.2	OG0016805.0	OG0043920.0	OG0027649.0	OG0046890.0	OG0014824.7	OG0024660.0	OG0004589.2
3.339072417738564	0.6928403543087918	1.7585958859444297	1.411282451461617	nan	1.1869570268390308	nan	nan	-3.0176593513412544	1.7255130047839433
OG0015548.8	OG0003152.0	OG0035013.0	OG0008348.0	OG0041815.0	OG0046084.0	OG0003962.6	OG0038890.0	OG0017896.0	OG0045065.0
nan	5.485973739586546	nan	2.6786510634243355	nan	nan	1.8163264922438183	nan	0.8144463920776769	nan
OG0047422.0	OG0018502.6	OG0003632.26	OG0005342.24	OG0002583.0	OG0044620.0	OG0044243.0	OG0007715.0	OG0005306.0	OG0002945.0
nan	nan	0.9966318624774255	0.6068530496657383	6.365837337592429	nan	nan	4.233265606371937	5.4175768207140385	2.224825344989471
OG0016870.0	OG0019949.0	OG0017194.0	OG0027436.0	OG0011392.0	OG0046937.0	OG0004987.21	OG0004699.1	OG0017010.0	OG0017270.5
3.2374441944566175	0.922103377939812	0.7342923218633515	3.346227640338913	1.5974476899747911	nan	nan	2.6178907973289647	2.330609523472006	nan
OG0016661.3	OG0017316.1	OG0019236.0	OG0015788.1	OG0027478.0	OG0018173.0	OG0046109.0	OG0011338.3	OG0053983.0	OG0008632.0
0.7443413965438037	nan	nan	nan	nan	3.49908177276883	nan	1.5262754544342039	nan	2.583406882615311
OG0026979.0	OG0008212.0	OG0011412.1	OG0011697.4	OG0046084.0	OG0057424.0	OG0007108.26	OG0022011.0	OG0020456.0	OG0056533.0
nan	6.351400193099133	-0.14293314884063277	-0.6224988687896512	nan	nan	nan	nan	3.512050933814675	nan
OG0025682.0	OG0027456.0	OG0004455.4	OG0056786.0	OG0041751.0	OG0010807.2	OG0006055.0	OG0000247.29	OG0015228.4	OG0028054.0
nan	nan	3.346120972322734	nan	nan	nan	2.1854634796223897	0.5516107930538274	0.575483150530966	nan
OG0056808.0	OG0000292.60	OG0034273.0	OG0057185.0	OG0044546.0	OG0005990.0	OG0017316.1	OG0019742.0	OG0005651.0	OG0005346.24
nan	nan	nan	nan	nan	-0.20030254088134655	nan	nan	0.9268065722851193	-0.049816521987779507
OG0013882.4	OG0012811.9	OG0009042.2	OG0011578.3	OG0010720.2	OG0009782.21	OG0023453.0	OG0027202.0	OG0005199.18	OG0047140.0
1.7794635817612807	nan	3.931349305018538	nan	3.247959271697801	nan	nan	nan	-0.9807948650444054	nan
OG0016409.0	OG0046290.0	OG0023207.0	OG0020847.0	OG0004695.0	OG0009993.0	OG0006491.0	OG0004451.2	OG0005534.0	OG0018503.5
1.4475595924345983	nan	nan	-13.287712379549449	2.6942290963464957	1.6910147220729006	1.8636762305404828	1.1716376780396223	1.5065687455912011	nan
OG0014254.6	OG0045419.0	OG0002882.0	OG0002755.0	OG0005501.1	OG0002248.0	OG0012094.2	OG0011338.3	OG0017899.1	OG0022092.0
nan	nan	5.343617267668418	3.303125606328254	3.803046306557971	1.5820790571746703	1.2047436186429397	1.5262754544342039	0.41940267944507126	nan
OG0010658.0	OG0015709.7	OG0001839.6	OG0046906.0	OG0020243.0	OG0000872.42	OG0053904.0	OG0015454.1	OG0007983.8	OG0045565.0
0.7158213840244504	nan	1.6253306784642723	nan	nan	8.121978078488166	nan	nan	-0.4856271814241579	nan
OG0001235.24	OG0045951.0	OG0012699.1	OG0010086.5	OG0012122.1	OG0020267.0	OG0056980.0	OG0005304.0	OG0014785.2	OG0035560.0
0.7322528611245507	nan	3.5921060737623214	nan	2.585824987669346	1.9288711926235445	nan	6.079876465764711	0.39251068283203117	nan
OG0006785.2	OG0060358.0	OG0038680.0	OG0004690.6	OG0012651.6	OG0030135.0	OG0037740.0	OG0045301.0	OG0005535.2	OG0017257.0
1.6716722983742485	nan	nan	2.5730690269161336	0.21391558615534895	nan	nan	nan	3.89290168447811	0.9839050163770394
OG0000019.2	OG0012655.0	OG0014669.4	OG0034791.0	OG0048157.0	OG0034608.0	OG0018373.0	OG0005788.6	OG0046652.0	OG0016929.0
7.456204755076856	1.8074420843055914	1.7953402619027188	nan	nan	nan	0.9584971466062335	3.1766917786748303	nan	-0.09643181156157205
OG0011599.5	OG0015566.2	OG0002232.24	OG0044348.0	OG0021979.0	OG0060348.0	OG0046656.0	OG0046389.0	OG0008697.2	OG0045740.0
1.024217549561119	2.8885384965226875	0.9238307120799223	nan	nan	nan	nan	nan	0.44480247038928183	nan
OG0007680.12	OG0018416.0	OG0034550.0	OG0048129.0	OG0047436.0	OG0016430.7	OG0028461.0	OG0024816.0	OG0021191.0	OG0008762.0
0.5002546189162667	1.0726754785604522	nan	nan	nan	nan	nan	nan	nan	0.571700197479251
OG0056765.0	OG0011397.0	OG0001293.1	OG0003310.2	OG0013446.4	OG0008712.0	OG0005936.0	OG0022044.0	OG0003071.0	OG0047382.0
nan	3.1729707442908084	-0.3425890008536839	6.8719657030291055	2.134066624556607	1.1819749952562146	5.811200967701379	nan	7.638751000551427	nan
OG0013332.12	OG0045078.0	OG0035613.0	OG0004346.4	OG0000106.6	OG0006372.2	OG0008752.0	OG0004216.0	OG0002755.0	OG0019216.0
nan	nan	nan	2.8382396875646756	6.049022737273179	4.772376652361454	1.7042817611823944	5.5342330109671405	3.303125606328254	-0.8762699870755557
OG0003284.0	OG0008220.4	OG0047470.0	OG0057460.0	OG0006961.0	OG0049159.0	OG0003676.0	OG0015160.3	OG0014756.3	OG0026983.0
2.5390818399227655	4.836120320823508	nan	nan	0.791128150206716	nan	1.2510112114287342	1.6821872274064127	2.1809744023718776	nan
OG0000832.1	OG0015406.0	OG0000788.3	OG0011415.2	OG0007104.0	OG0011251.0	OG0038846.0	OG0019632.0	OG0010898.17	OG0016174.4
1.3774893055262114	-13.287712379549449	0.46203836707922563	0.36079977732220814	nan	1.533717959872763	nan	nan	nan	1.0134426462952184
OG0003091.24	OG0044011.0	OG0004865.2	OG0005723.0	OG0017471.0	OG0007559.0	OG0029130.0	OG0019408.0	OG0012393.13	OG0004628.2
1.0757997791754499	nan	2.9222062352755365	1.664131039447367	1.154886899581322	4.0984398824918475	-13.287712379549449	4.322294270202188	nan	1.576020647610676
OG0002505.16	OG0060337.0	OG0010521.4	OG0001808.40	OG0016199.2	OG0015926.8	OG0022245.0	OG0019889.0	OG0000013.994	OG0004695.0
2.1289720869458972	nan	-13.287712379549449	4.57937527278089	2.4551942346172333	nan	nan	nan	8.468718785649939	2.6942290963464957
OG0020592.0	OG0045685.0	OG0002620.44	OG0006418.0	OG0007096.24	OG0017521.6	OG0016905.3	OG0012464.0	OG0044851.0	OG0047107.0
3.209658100311154	nan	2.2986006293451093	2.4823926056272847	nan	nan	-1.0292898093677272	1.535570313325096	nan	nan
OG0002459.0	OG0034840.0	OG0008519.0	OG0046523.0	OG0047166.0	OG0001125.24	OG0009140.4	OG0047275.0	OG0037864.0	OG0007849.2
4.0779726814629935	nan	0.45090224215079033	nan	nan	0.1013594685907815	3.6386626674728344	nan	nan	2.5668407134700577
OG0008364.0	OG0023530.0	OG0009946.2	OG0045621.0	OG0005620.0	OG0046668.0	OG0044579.0	OG0044617.0	OG0001319.1	OG0038700.0
1.3496393082453007	nan	2.5996766526661013	nan	0.860974623334771	nan	nan	nan	1.7729686269491574	nan
OG0019176.0	OG0004048.0	OG0009213.17	OG0011963.2	OG0023226.0	OG0017370.6	OG0013476.2	OG0019169.0	OG0028283.0	OG0047966.0
nan	1.6581388824745247	nan	1.849150707935014	nan	nan	-0.015599112705186243	nan	nan	nan
OG0013552.0	OG0014325.3	OG0027068.0	OG0005960.8	OG0044401.0	OG0057428.0	OG0014858.0	OG0030049.0	OG0047426.0	OG0029573.0
1.9610174263100906	nan	nan	-0.12903339535858888	nan	nan	2.2649205053628627	nan	nan	nan
OG0029001.0	OG0010861.0	OG0038685.0	OG0056548.0	OG0034780.0	OG0006095.0	OG0007919.2	OG0045504.0	OG0024677.0	OG0018078.1
-13.287712379549449	1.2519356534208388	nan	nan	nan	4.0493956690026955	1.814089213267443	nan	nan	nan
OG0037769.0	OG0025088.0	OG0038127.0	OG0002670.1	OG0046262.0	OG0007398.0	OG0048796.0	OG0011222.2	OG0001073.24	OG0002542.24
nan	nan	nan	4.1728093074967925	nan	3.6906791574887126	nan	3.9231709118937657	3.590574780991346	0.9894569490485314
OG0008290.0	OG0022338.0	OG0000676.120	OG0013547.0	OG0014706.0	OG0000914.30	OG0013505.0	OG0007534.0	OG0005533.0	OG0018079.3
0.22536693696885887	-0.4807471374753706	0.5040465842988903	3.203628003168016	0.6169057544956495	3.885339297406806	1.980521689663842	3.063356695440057	0.6867596863690119	-1.0197512779369136
OG0000009.802	OG0012085.13	OG0000764.26	OG0003563.2	OG0002917.0	OG0048806.0	OG0005098.0	OG0020396.0	OG0004264.1	OG0016050.6
0.8533973576090902	nan	2.4624020486275957	4.809428389914142	1.8221518672585388	nan	2.2431341431673397	nan	1.4597648018732985	1.6988094550118853
OG0046623.0	OG0005588.4	OG0027935.0	OG0024810.0	OG0001708.32	OG0000306.0	OG0000379.0	OG0002762.95	OG0015134.4	OG0004490.2
nan	1.9868875542622872	0.061062335114042667	1.4544791842328597	6.2238701607199785	8.086885392684996	3.730380029696412	nan	nan	4.83583453936578
OG0008357.6	OG0005707.4	OG0046549.0	OG0047256.0	OG0012490.0	OG0044241.0	OG0048895.0	OG0024650.0	OG0004736.6	OG0012293.4
1.7023479649735256	-0.7719802059049656	nan	nan	2.1187707289092526	nan	nan	-0.09730835604007519	3.9634752129276	-0.9666459159166478
OG0057209.0	OG0005545.0	OG0008103.4	OG0056532.0	OG0008619.3	OG0001597.32	OG0016211.0	OG0004635.2	OG0054120.0	OG0046437.0
nan	-0.2768823466708612	1.5088457532105704	nan	2.3251593074823362	nan	3.8881843249850334	1.6690771250212162	nan	nan
OG0045726.0	OG0021959.0	OG0043612.0	OG0017213.5	OG0027829.0	OG0038651.0	OG0043528.0	OG0028448.0	OG0003492.0	OG0007065.7
nan	nan	nan	nan	nan	nan	nan	nan	3.285183233616797	nan
OG0015514.3	OG0056977.0	OG0024320.0	OG0003606.1	OG0001644.0	OG0005903.2	OG0000762.2	OG0008542.0	OG0026913.0	OG0015200.2
nan	nan	nan	3.1822739416047154	8.092539854261867	4.402845694989994	5.235665597962617	2.6083587182680796	nan	0.8717632508035551
OG0043912.0	OG0000245.1	OG0017773.5	OG0054102.0	OG0000600.26	OG0045076.0	OG0025210.0	OG0028192.0	OG0000511.0	OG0045657.0
nan	0.27149757166999083	nan	nan	2.628798716049788	nan	nan	nan	5.40673794185955	nan
OG0047595.0	OG0045195.0	OG0010665.0	OG0003311.0	OG0044358.0	OG0004164.0	OG0000050.0	OG0011266.10	OG0001383.24	OG0056717.0
nan	nan	0.31736891580572607	3.268572078282969	nan	1.9888747724901827	8.23495069873671	nan	1.101438779414357	nan
OG0003462.0	OG0046164.0	OG0021993.0	OG0060435.0	OG0007509.2	OG0016833.2	OG0003157.31	OG0002868.0	OG0043384.0	OG0003264.4
2.0873579584291035	nan	nan	nan	2.5820185262789104	1.6407346990907088	0.46629958443655545	4.3063355997601525	nan	-0.7377977585475608
OG0000135.128	OG0022038.0	OG0025960.0	OG0004456.0	OG0047272.0	OG0001653.5	OG0018982.0	OG0029110.0	OG0030133.0	OG0044125.0
7.5643847233582076	nan	nan	4.415040684780768	nan	0.9737603069748683	3.1022614365157004	1.043438739832331	nan	nan
OG0006844.0	OG0005426.10	OG0003527.29	OG0023393.0	OG0037828.0	OG0047372.0	OG0001636.12	OG0007888.4	OG0057107.0	OG0016965.4
2.1271633573188953	1.9468801236893152	1.1750950420370696	nan	nan	nan	0.6927342107609904	-0.03558014357621403	nan	2.091606846303247
OG0034953.0	OG0001128.24	OG0043441.0	OG0004256.2	OG0015610.8	OG0000346.14	OG0003961.0	OG0018389.0	OG0029061.0	OG0020923.0
nan	-0.6661285219037172	nan	5.442893623340152	nan	5.236758397293392	1.5911621599125565	1.424165351475227	-13.287712379549449	2.0156931765448167
OG0034518.0	OG0013833.0	OG0047943.0	OG0026585.0	OG0024352.0	OG0015677.0	OG0025109.0	OG0019318.0	OG0001113.24	OG0015514.3
nan	1.2429415491245277	nan	nan	nan	nan	nan	nan	4.930660311242579	nan
OG0018843.5	OG0000454.0	OG0009075.0	OG0014059.0	OG0019934.0	OG0008681.0	OG0003640.9	OG0045209.0	OG0024727.0	OG0041738.0
nan	6.144032825426538	1.8248949155105216	-1.5022721441815947	nan	2.375441231136168	2.1511905604366803	nan	nan	nan
OG0034883.0	OG0002669.0	OG0017445.6	OG0043379.0	OG0002414.16	OG0010838.2	OG0024982.0	OG0020688.0	OG0021931.0	OG0018079.3
nan	4.224356120301478	nan	nan	nan	-0.9931576416574678	1.5596886626774764	1.7160255879637352	nan	-1.0197512779369136
OG0015877.2	OG0013478.8	OG0056771.0	OG0028434.0	OG0000485.92	OG0001693.0	OG0017013.0	OG0019921.0	OG0011587.0	OG0003636.4
nan	1.8128311575759164	nan	-0.38332900415555365	2.1062263150347706	3.96685591499553	2.5661034266920817	nan	0.3754238631227802	4.665632672157637
OG0047284.0	OG0004094.1	OG0000019.2	OG0046246.0	OG0001006.0	OG0003684.4	OG0037790.0	OG0041899.0	OG0003139.0	OG0012104.6
