OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
-3.330537769639225	-2.0445383960764985	-2.947305888696155	-2.107803289534515
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
-1.347949534477697	-2.3075728019102923	-2.196938324908699	-1.9367731980030187	-2.4227524644068494
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
-1.3154505308161575	-1.865647613376637	-2.2674268787048018	-2.1622989090661346	-2.4293427796947094
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
-1.1872142911325638	-2.2618807112174233	-2.105628450038725	-2.141780233728934	-1.434402824145775
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
-1.5407782431771522	-1.492890406218227	-2.3936525332754277	-2.538680997509246	-2.141780233728934
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
-2.4266254735540556	-2.286304185156641	-3.364533480055605	-1.2761356763732723	-1.357714316940423
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
-2.6730025354342413	-2.3718330007136763	-2.2169205701263888	-3.03268380973072	-1.8817731862070524
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
-2.6003366961119823	-2.5336600120205253	-1.6380071140780375	-2.072786191607015	-1.357714316940423
OG0000886.24	OG0000001.1420	OG0000042.23	OG0002007.0
-1.936497057693842	-1.3147325934831586	-2.6538089702009304	-2.096653165017793
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24
-1.5407782431771522	-2.005782352594006	-2.4477213090095638	-1.6716230659673341
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
-2.395928676331139	-2.313297789743922	-2.819088336631431	-2.3800705758839222	-1.1587514286937521
OG0002077.0	OG0000032.252	OG0000854.30	OG0000677.1
-1.626602350805788	-1.542458237592193	-2.4058336719490043	-2.0631076980109504
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
-2.1488006614067063	-2.061902438925907	-1.8841677013474352	-1.3147325934831586	-1.7223722523409946
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
-2.561494220217251	-2.2202780187929276	-1.58337640836713	-3.0350469470992008	-2.1053180261449205
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1
-1.9445266641015684	-1.1872142911325638	-2.2775339755289092	-2.4235262348951694
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
-1.3408061050930518	-2.368104140946196	-1.8817731862070524	-2.374074951500346	-2.1456053222468996
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0
-1.5407782431771522	-2.8008773579863995	-2.2870081105382027	-2.5504650365217114
OG0000010.475	OG0000501.29	OG0001886.0	OG0001172.24
-1.5407782431771522	-2.3393451479647718	-2.806922178453633	-2.392137097168765
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
-1.5576668766702486	-1.878321443411748	-2.874084450525277	-2.0362299689292374	-2.217591435072627
OG0001228.1	OG0001150.24	OG0000892.1	OG0000082.1
-2.492484413520771	-2.6556259667142674	-1.8380478410732577	-2.3800705758839222
