OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
0.9384044	nan	0.2350835	0.30488059999999995	0.2534357	0.191211	0.0379423	0.25050429999999996	0.5597153	0.1519846	0.5651596999999999
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
nan	0.9999969999999999	0.3401258	nan	nan	nan	nan	nan	nan	nan	nan
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
0.4850331	0.919802	0.9866538	0.01685758	nan	nan	0.9762185	nan	0.7135021	nan	nan
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
nan	nan	0.3184302	0.07326508	nan	0.9364859000000001	nan	nan	0.07150563	nan	nan
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
0.9998921000000001	0.8952044	nan	0.9900421999999999	0.9629861999999999	nan	nan	0.19788029999999998	nan	nan	nan
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
nan	0.6265901	nan	nan	0.007817181999999999	nan	nan	nan	0.9296847	0.04657724	nan
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
0.362508	nan	0.705308	0.8654885	nan	nan	0.8017211999999999	0.9263794	nan	0.668837	nan
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
nan	0.9792736999999999	nan	nan	nan	nan	nan	nan	0.9591878	nan	nan
