OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
0.9502230325553657	nan	1.057877257780895	-1.1496317731419636	-0.4219138979696112
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
-1.1463816175025565	nan	1.3196051118880043	0.7160870737332808	-0.8979025661965807
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
-13.287712379549449	1.0916491924847418	1.2909193462099389	-13.287712379549449	1.249452110202172
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
nan	nan	nan	-0.5815289666468364	1.6172128685749434
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
nan	nan	nan	nan	1.3756613397123187
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
nan	nan	nan	0.2836177074064675	3.1924447738581683
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
0.4726002275643439	1.2237154844535632	0.8910035108922848	0.3576063802780776	nan
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
1.6537183741454167	0.7497273795924969	nan	2.2746355680941797	nan
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
nan	-1.6967602840539104	2.3219040788224836	nan	-13.287712379549449
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
0.5513935307710756	nan	1.026120004307403	1.2971240166095992	1.1094227691729237
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
-0.8618163367911472	nan	nan	2.3220081495250864	0.800602528789397
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
nan	0.9103861421272845	1.9325143026631857	nan	-0.2899525651803245
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
nan	1.586578210161927	1.0694597363393177	nan	nan
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
nan	nan	-3.25054454448745	nan	nan
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
0.2547042995758345	nan	nan	-13.287712379549449	2.5663694641501773
OG0012164.0	OG0045990.0	OG0025137.0	OG0001413.1	OG0003613.0
0.16977695154489264	nan	2.9842302085183445	-0.6783185171413317	1.4018316700850377
OG0005498.6	OG0000546.2	OG0002703.16	OG0004268.26	OG0019062.1
0.15358096294122575	0.7139058664632928	0.08129819610923877	nan	nan
OG0043736.0	OG0028147.0	OG0007732.0	OG0015604.7	OG0003085.8
nan	nan	2.063687043901976	nan	-0.5645609585686802
OG0003408.0	OG0006271.0	OG0004639.6	OG0019752.0	OG0001845.2
1.730114233194999	1.232439656807941	1.224958073465825	nan	0.9205225852844964
OG0005244.10	OG0005275.2	OG0013618.1	OG0013322.2	OG0022027.0
0.6621563163150515	-1.3600572432231548	0.4393565201903932	2.0561780491503314	nan
OG0007061.32	OG0014025.6	OG0004215.0	OG0034908.0	OG0053973.0
nan	0.4051506922361527	0.8686500938129373	nan	nan
OG0003897.10	OG0001608.24	OG0057272.0	OG0029027.0	OG0002856.0
0.9282717357616145	1.5699370438059561	nan	-13.287712379549449	0.27712577648807624
OG0043939.0	OG0022733.0	OG0006963.0	OG0003997.0	OG0014683.4
nan	nan	1.1344076461713821	0.9671291928697586	2.1722255403571444
OG0005485.2	OG0026929.0	OG0016166.2	OG0000083.0	OG0009932.0
0.08686064799960454	0.30154568007044036	2.3534555951186236	1.1139266477223784	0.07960190557403023
OG0035782.0	OG0002516.0	OG0010116.20	OG0034772.0	OG0005228.0
nan	-0.20377289428228537	nan	nan	0.38497178707624286
OG0005075.42	OG0009082.0	OG0056969.0	OG0020856.0	OG0004466.4
nan	1.5160329159623536	nan	4.395865274972765	0.10583139627656271
OG0003298.30	OG0038594.0	OG0016290.2	OG0005869.0	OG0044284.0
-0.0846222384949584	nan	-0.046298224890341556	0.24022783786530513	nan
OG0043496.0	OG0002065.0	OG0044202.0	OG0002275.1	OG0025963.0
nan	0.6344450337445728	nan	1.3063842699028	2.363289521705147
OG0015324.6	OG0019317.0	OG0006502.0	OG0003042.54	OG0020396.0
-0.6125000228268693	0.25668795375656556	1.1348972756046811	0.2399409683363625	nan
OG0047563.0	OG0038895.0	OG0004806.1	OG0034318.0	OG0045140.0
nan	nan	nan	nan	nan
OG0000436.0	OG0003030.22	OG0047101.0	OG0028482.0	OG0037681.0
1.195288470755765	0.3674187204109509	nan	nan	nan
OG0001415.132	OG0013585.4	OG0057570.0	OG0015202.0	OG0020497.0
nan	2.9947422932105305	nan	-0.11846499305631017	nan
OG0005702.0	OG0045741.0	OG0000000.503	OG0000010.2	OG0006581.6
0.9928793022989452	nan	1.3741708778456059	0.7560117036491973	3.226123580839051
OG0035771.0	OG0006193.0	OG0029965.0	OG0000618.54	OG0007910.4
nan	0.5255989894199086	nan	0.3472398549111495	1.6447172725831039
OG0015960.2	OG0001938.0	OG0003484.0	OG0000836.25	OG0002324.87
2.5590044369599285	0.08276690962720813	1.0012552130137127	-0.2763621541776594	-0.002294623696952742
OG0021217.0	OG0041519.0	OG0017324.1	OG0011415.2	OG0010602.0
nan	nan	nan	0.07708889564837236	1.345679280799976
OG0006833.2	OG0023504.0	OG0048892.0	OG0004105.5	OG0023041.0
1.4699791780442975	nan	nan	-0.6718598763737702	-1.0016590534386325
OG0004442.0	OG0016256.4	OG0013635.2	OG0048144.0	OG0015548.8
-0.8387084251661642	-0.46050100901668073	2.6973407410645174	nan	nan
OG0018761.5	OG0022461.0	OG0041731.0	OG0034283.0	OG0002891.4
nan	1.198409324755339	nan	nan	0.7065584579794433
OG0009833.18	OG0001950.6	OG0012213.0	OG0002775.2	OG0001295.24
nan	0.5079391189403056	-0.7456586958328151	0.09042446952198546	-0.7977289875330229
OG0016716.6	OG0046728.0	OG0011380.2	OG0000106.6	OG0013189.5
1.0434166959740858	nan	0.5697075008036085	-0.02506042200900467	1.7351664525897434
OG0034893.0	OG0007965.0	OG0006423.0	OG0024403.0	OG0024330.0
nan	0.9379017377025666	1.9231761263063796	nan	nan
OG0027798.0	OG0046349.0	OG0022864.0	OG0009934.0	OG0017880.2
nan	nan	nan	1.0312114340616034	-2.118049104743487
OG0006713.0	OG0034597.0	OG0020642.0	OG0006079.0	OG0038727.0
1.1142901469243998	nan	nan	0.24034812059567415	nan
OG0015519.3	OG0024562.0	OG0010822.13	OG0029158.0	OG0011216.10
1.3966125972461836	-2.4546814373413772	-2.6305213852359794	nan	1.0446256937502254
OG0038716.0	OG0007578.1	OG0001645.0	OG0034915.0	OG0024746.0
nan	nan	0.8989690789116683	nan	nan
OG0007344.0	OG0009072.0	OG0027672.0	OG0012395.1	OG0008003.2
0.5695357559380293	0.1800801923129443	nan	nan	1.3381323268949605
OG0013888.0	OG0022594.0	OG0007947.25	OG0002880.0	OG0011487.0
1.329699487970764	nan	nan	1.7184911457204763	0.38243040745159096
OG0002896.8	OG0038921.0	OG0034629.0	OG0001744.0	OG0008715.9
1.5544235680161966	nan	nan	0.5402209827768323	nan
OG0045833.0	OG0001963.0	OG0009817.0	OG0048104.0	OG0000361.81
nan	0.8889695659287784	1.3592122267108215	nan	1.408999763339133
OG0011167.0	OG0008596.4	OG0026844.0	OG0044711.0	OG0028882.0
0.046099547612055855	0.8793189059469756	nan	nan	nan
OG0022793.0	OG0020493.0	OG0008193.4	OG0028437.0	OG0018172.5
nan	nan	1.1313176034195107	nan	nan
OG0056939.0	OG0005685.0	OG0016716.6	OG0014735.4	OG0018158.5
nan	1.8391573583577643	1.0434166959740858	0.7840918512177638	nan
OG0002529.86	OG0003436.4	OG0000494.1	OG0006049.4	OG0013811.11
0.7472135990501911	0.3167361133445243	0.5722483143324868	-0.18328564445566575	nan
OG0035742.0	OG0046526.0	OG0001179.24	OG0012348.14	OG0044337.0
nan	nan	-0.16648676883700958	nan	nan
OG0056753.0	OG0024573.0	OG0006212.0	OG0027145.0	OG0010139.0
nan	2.8469376107570787	-0.3347908949096852	nan	2.0407501175050813
OG0025058.0	OG0035788.0	OG0015165.4	OG0048819.0	OG0022949.0
-13.287712379549449	nan	-0.11024182939753403	nan	nan
OG0007110.33	OG0001426.2	OG0015962.0	OG0000450.1	OG0037846.0
nan	-0.4579565549359841	-0.6653863315394017	nan	nan
OG0060358.0	OG0007386.1	OG0017488.1	OG0010755.16	OG0015106.9
nan	0.17992100474050232	nan	nan	nan
OG0045408.0	OG0017853.0	OG0007128.8	OG0011670.8	OG0011944.4
nan	1.0213144383160377	0.7003492798011244	-0.38254921259757524	0.11209218310210023
OG0001056.26	OG0002206.0	OG0012806.6	OG0002808.0	OG0011380.2
-0.22352483541576357	0.07430490994277622	nan	0.07272625437813725	0.5697075008036085
OG0006285.0	OG0019916.0	OG0043673.0	OG0046663.0	OG0034487.0
0.10945832156727865	nan	nan	nan	nan
OG0060430.0	OG0004064.0	OG0017998.0	OG0007456.5	OG0045507.0
nan	0.21092082894340566	1.531237625750378	0.9653354216632065	nan
OG0006357.12	OG0041652.0	OG0046183.0	OG0002583.0	OG0007353.2
nan	nan	nan	1.3378336653901977	-0.08694244293247558
OG0019633.0	OG0012166.6	OG0025076.0	OG0019409.0	OG0014828.2
nan	1.4457236089513672	4.885947918468906	1.9460507017028286	0.8971198805390219
OG0014983.3	OG0056701.0	OG0012702.2	OG0024980.0	OG0000063.48
nan	nan	0.17077099710850938	nan	1.6594028020232576
OG0018755.3	OG0035764.0	OG0007671.2	OG0019580.0	OG0047156.0
nan	nan	1.7937553652735991	1.3425331616481397	nan
OG0049008.0	OG0034346.0	OG0004357.0	OG0017768.2	OG0001035.0
nan	nan	1.5841230394423031	2.16209531497082	0.5462412570124908
OG0004554.6	OG0046767.0	OG0029947.0	OG0011648.5	OG0030110.0
0.24429252312015515	nan	nan	-0.22539728651235855	nan
OG0057099.0	OG0026530.0	OG0022589.0	OG0037753.0	OG0057409.0
nan	nan	nan	nan	nan
OG0005554.0	OG0010710.2	OG0006210.12	OG0045913.0	OG0015005.2
0.7895433936593931	1.4829537452692074	0.11856243100523749	nan	1.8647895299399164
OG0060403.0	OG0003159.70	OG0026485.0	OG0027921.0	OG0003189.0
nan	-0.040206400941182344	nan	nan	0.5257818975920752
OG0017165.3	OG0041576.0	OG0002638.2	OG0004859.0	OG0004761.2
nan	nan	0.5132788092254235	0.8550399907915713	-2.314854576794631
OG0000006.561	OG0002250.0	OG0001396.24	OG0008396.1	OG0025588.0
1.2639616754823781	0.6855019136285991	-0.6369622642539682	nan	nan
OG0023397.0	OG0024783.0	OG0018094.5	OG0005151.29	OG0009777.0
nan	2.206420945659416	nan	-0.9179488760273131	-1.1846407685705114
OG0046010.0	OG0004621.4	OG0008131.2	OG0016298.6	OG0000565.36
nan	-1.096684474701772	1.4096222494152235	-0.9806028136976377	nan
OG0003066.1	OG0000826.148	OG0056616.0	OG0043695.0	OG0041961.0
0.41694147082823646	nan	nan	nan	nan
OG0048177.0	OG0046502.0	OG0022633.0	OG0024553.0	OG0002445.1
nan	nan	0.2834786919436927	-1.0040666298664238	0.6539648413219674
OG0056714.0	OG0004927.0	OG0021326.0	OG0018995.0	OG0014830.9
nan	1.2701642999007556	nan	-0.2974813115897322	nan
OG0018080.2	OG0018407.0	OG0053963.0	OG0041841.0	OG0002841.0
2.730320825093284	4.089939522241559	nan	nan	1.0280575949120891
OG0018188.1	OG0018740.0	OG0024758.0	OG0007110.29	OG0047330.0
nan	0.7316092536904039	nan	nan	nan
OG0053920.0	OG0008592.0	OG0045250.0	OG0016691.6	OG0014110.0
nan	0.3165231848803505	nan	nan	2.30802677188272
OG0006709.0	OG0035837.0	OG0012054.14	OG0004385.0	OG0029005.0
0.9280383037815856	nan	nan	1.067034807098626	-13.287712379549449
OG0000048.382	OG0043655.0	OG0008282.0	OG0028056.0	OG0016474.1
1.4273174316923054	nan	1.6266659801226502	nan	1.5563062001977666
OG0022042.0	OG0026473.0	OG0038007.0	OG0034685.0	OG0011198.6
nan	nan	nan	nan	-0.23610067287836517
OG0011880.1	OG0021349.0	OG0018988.0	OG0012724.0	OG0014026.0
nan	0.5507899768961129	-1.0653101230423054	0.8003113086514634	0.6226129964070277
OG0005057.0	OG0004932.20	OG0021626.0	OG0004238.6	OG0015209.2
0.12452463082490463	0.7587932334921142	nan	-0.15354808183276242	-0.590481552054333
OG0053826.0	OG0028982.0	OG0006355.24	OG0011713.10	OG0005276.0
nan	-13.287712379549449	-0.208589500984825	1.0501896719669408	0.6765409940856068
OG0011673.0	OG0007880.0	OG0044249.0	OG0001730.2	OG0029626.0
-0.0657716026726504	0.7162649591395154	nan	0.2836177074064675	nan
OG0003906.0	OG0000116.0	OG0026486.0	OG0028121.0	OG0007057.4
-0.6740374272224746	0.5311095293531227	nan	nan	0.35246677984829644
OG0015618.5	OG0000707.0	OG0034745.0	OG0021181.0	OG0017850.0
nan	0.49083244588075514	nan	nan	0.6279519794924487
OG0022998.0	OG0005353.1	OG0009800.2	OG0047606.0	OG0000797.20
nan	0.39216160593650506	1.0873735186962097	nan	-0.32431443842307495
OG0046490.0	OG0011261.0	OG0004117.11	OG0007096.15	OG0019514.0
nan	0.7753474952185396	0.7415656753459549	nan	nan
OG0015467.8	OG0043820.0	OG0009913.0	OG0004384.0	OG0022174.0
nan	nan	1.471568433741335	0.6868412503513313	1.9074208989022725
OG0025841.0	OG0047507.0	OG0022233.0	OG0022890.0	OG0044510.0
nan	nan	3.6363372465562946	nan	nan
OG0056879.0	OG0002238.0	OG0007763.20	OG0006746.0	OG0001382.24
nan	0.9908668925213217	nan	0.6064300337944376	-1.2534602108235595
OG0045848.0	OG0019673.0	OG0003046.0	OG0005554.0	OG0046184.0
nan	nan	0.0251651025206709	0.7895433936593931	nan
OG0000706.150	OG0035043.0	OG0003864.2	OG0012126.3	OG0010566.0
0.40283984991412936	nan	-0.1377093067973167	1.6972519451351746	0.6863390263853932
OG0017754.4	OG0024826.0	OG0002534.16	OG0010054.0	OG0041643.0
1.3272676842062925	nan	-0.7744660598875555	1.3909373189799996	nan
OG0007116.0	OG0026914.0	OG0027497.0	OG0004377.2	OG0017861.4
1.3537050795865808	1.9437936374019642	0.2880523400079558	0.09357598243986297	1.68431718655436
OG0010876.2	OG0057375.0	OG0015981.1	OG0060474.0	OG0014658.0
0.10543410348617924	nan	nan	nan	2.181638588714796
OG0010031.14	OG0000048.382	OG0045957.0	OG0017845.2	OG0019604.0
nan	1.4273174316923054	nan	2.9311429800130937	nan
OG0048857.0	OG0020665.0	OG0016213.0	OG0041511.0	OG0011909.12
nan	nan	0.3556472288560204	nan	nan
OG0001170.24	OG0030135.0	OG0044037.0	OG0014559.0	OG0013190.8
-0.32800864379519895	nan	nan	-0.8811003824868251	0.7350417749166708
OG0023469.0	OG0057476.0	OG0012995.0	OG0045060.0	OG0011881.8
