OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
nan	-1.412731031895675	-2.1112275322575584	nan	-2.0203404482841756
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
-1.21574730659542	nan	nan	nan	nan
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
-1.1405074546072205	nan	nan	nan	nan
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
-1.1297339296040174	-2.143691510282557	-0.8746133946341861	nan	nan
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
-1.5156040374973336	nan	-4.268538675342727	nan	-1.5868392244091865
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
nan	nan	nan	-1.132261648237312	-1.2611889370296836
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
nan	nan	nan	nan	-1.9045481189143394
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
nan	nan	nan	-1.1791879227712805	-1.2611889370296836
OG0000886.24	OG0000001.1420	OG0000042.23	OG0017858.0	OG0002007.0
nan	-1.258080051505312	-1.8267446169790276	nan	nan
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24	OG0021460.0
-1.5156040374973336	nan	nan	nan	nan
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
nan	nan	nan	-2.452451460921961	nan
OG0002077.0	OG0007293.0	OG0000032.252	OG0000854.30	OG0000677.1
nan	nan	-1.422172408763752	-3.265344566520995	nan
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
nan	nan	-1.5683235586073672	-1.258080051505312	nan
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
nan	nan	-1.4876213919244545	nan	nan
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1	OG0010880.0
nan	-1.1297339296040174	-3.9809671103685	nan	nan
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
nan	nan	-1.9045481189143394	nan	nan
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0	OG0006773.2
-1.5156040374973336	nan	nan	nan	nan
OG0000010.475	OG0000501.29	OG0013950.6	OG0001886.0	OG0001172.24
-1.5156040374973336	nan	nan	nan	nan
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
-1.5773364083449781	nan	nan	nan	nan
OG0001228.1	OG0001150.24	OG0018392.0	OG0000892.1	OG0000082.1
nan	nan	nan	-0.9423071328316541	-2.452451460921961
OG0002066.0	OG0011886.0	OG0001162.22	OG0000082.1	OG0001102.24
nan	nan	-1.4755350740350022	-2.452451460921961	nan
OG0002186.0	OG0001090.26	OG0008230.0	OG0000082.1	OG0001073.24
nan	nan	nan	-2.452451460921961	-1.080087911322692
OG0000620.56	OG0001546.1	OG0001519.24	OG0012705.8	OG0000012.918
nan	nan	nan	nan	-0.9636725081822349
OG0000010.475	OG0001023.7	OG0014661.1	OG0001236.24	OG0001156.1
-1.5156040374973336	-1.2494792448176701	nan	nan	nan
OG0001299.24	OG0000002.1788	OG0000704.0	OG0017978.2	OG0001959.2
nan	-1.291945228671648	nan	nan	nan
OG0013202.0	OG0000011.1	OG0001303.26	OG0001408.24	OG0001434.24
nan	-1.21574730659542	nan	nan	nan
OG0000479.1	OG0000038.0	OG0000728.24	OG0001235.24	OG0014687.1
-3.104076998076231	-1.9045481189143394	-0.9436939396681234	nan	nan
OG0001061.24	OG0014593.0	OG0002128.0	OG0000964.2	OG0000006.561
nan	nan	nan	nan	-1.294420138060902
OG0000797.20	OG0000038.0	OG0000954.24	OG0013173.1	OG0002153.0
-1.8504804785099709	-1.9045481189143394	nan	nan	nan
OG0000007.976	OG0000830.1	OG0015387.0	OG0002087.0	OG0001123.1
-1.1405074546072205	nan	nan	nan	nan
OG0001408.24	OG0021967.0	OG0000038.0	OG0001737.0	OG0001180.24
nan	nan	-1.9045481189143394	nan	nan
OG0001334.24	OG0001935.0	OG0000038.0	OG0001866.0	OG0007320.10
nan	nan	-1.9045481189143394	nan	nan
OG0000372.92	OG0001937.2	OG0000026.45	OG0010528.1	OG0001335.24
nan	nan	-1.1297339296040174	nan	nan
OG0002211.0	OG0002048.0	OG0001593.20	OG0010676.1	OG0000006.561
nan	nan	nan	nan	-1.294420138060902
OG0000007.976	OG0001921.0	OG0000149.1	OG0001423.30	OG0002023.0
-1.1405074546072205	nan	nan	nan	nan
OG0009269.4	OG0001256.24	OG0000082.1	OG0002082.0	OG0001849.0
nan	nan	-2.452451460921961	nan	nan
OG0001363.24	OG0008282.0	OG0000428.54	OG0000038.0	OG0002243.0
nan	nan	-1.9655025358005551	-1.9045481189143394	nan
