OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
nan	nan	nan	nan	-0.9018499789079885	nan	-0.8648591836051853	-0.815021540306669	-1.1697446758323171	nan	-3.5616645602659625	nan	nan	nan	nan	-1.412731031895675	nan	-2.196276993225842	-1.5700359564830535	-2.0540927027897475	-1.8401125212694995	nan	-2.357714316940423	-0.5443505726835847	-0.6803820657998387	nan	nan	-2.0886535558964283	-1.5627722610870904	nan	-0.7312063248775214
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
-2.108425274903446	nan	nan	-0.9810810178369486	-1.392137097168765	nan	-0.8767311125056534	nan	-1.8241880062782692	-0.01727103870140411	nan	nan	nan	-0.9719967215272475	-1.6029637591278236	nan	nan	-1.3902450378275566	nan	-1.7651308482946195	nan	nan	nan	-0.49553214729464096	nan	-1.8175619442750903	nan	nan	-3.731206324877521	nan	-0.17266872938773947
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
-0.7861239566170575	nan	-1.3018704425461087	-0.18147661793370173	-3.0481138503003256	-1.9528804514314493	nan	nan	nan	nan	-0.8709148519433895	nan	-1.2508519328764036	nan	nan	nan	nan	nan	-0.43070335443835533	nan	-0.5576668766702485	-1.0637107053513444	nan	-0.8688056482915498	nan	-1.2327689629761245	-1.7197563041339832	-2.52865644038928	-0.022830000309873453	nan	-3.136695840657201
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
-1.0430512347852514	nan	-2.0661252582846443	-1.349970759472354	nan	nan	-0.68478158863421	nan	-1.2845458728842822	0.08963373610689557	nan	nan	nan	-0.17527287276789724	nan	-0.41773304664948757	-1.2048980418771755	-3.503404712821064	nan	nan	nan	nan	nan	nan	-0.5532144378568775	-0.8722346718514549	-0.005492683876862146	nan	-1.5568177330077777	-0.2963676925629297	nan
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
-0.7843835229227877	nan	-1.392894616241506	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.6148451031156562	-0.5576668766702485	-0.9796578204828141	nan	-0.815021540306669	-0.6540359696571283	-2.6411536693949014	nan	nan	nan	-1.7607241741174424	-1.0709665213541435	-0.22701644786189557	nan	-0.5907448533151622	nan	-2.6117553466077004	nan	nan
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
