OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
nan	1.458084	1.8034150000000002	2.974337	nan
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
4.601468	2.67753	1.763957	nan	1.7089729999999999
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
3.7023	3.96205	8.036466	4.599387999999999	4.6520660000000005
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
2.486032	1.4911809999999999	2.222013	nan	7.810816
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
3.4211970000000003	3.346592	264.4887	2.671392	nan
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
5.3208839999999995	270.2685	1.45757	1.1706809999999999	3.3721900000000002
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
3.3312589999999997	8.59334	0.3136598	9.272105	1.444931
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
5.497386	1.477365	3.755611	7.956417	2.743099
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
3.250591	1.044192	2.270268	1.464558	3.7151199999999998
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
3.047647	3.403414	2.749736	2.075236	2.2319299999999997
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
1.5425309999999999	3.104628	2.404675	3.1527529999999997	5.053808999999999
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
255.3793	1.178658	2.999919	3.2688610000000002	1.110095
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
2.369539	1.544833	2.89181	1.295548	3.4385190000000003
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
2.606849	2.774349	2.53205	1.85828	262.1408
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
nan	1.45385	3.2957589999999994	3.763304	2.217644
OG0012164.0	OG0045990.0	OG0025137.0	OG0001413.1	OG0003613.0
2.054598	259.363	2.3994009999999997	nan	11.0984
OG0005498.6	OG0000546.2	OG0002703.16	OG0004268.26	OG0019062.1
185.6932	6.133077	nan	3.3692629999999997	3.769833
OG0043736.0	OG0028147.0	OG0007732.0	OG0015604.7	OG0003085.8
1.480977	3.7761050000000003	0.9967453000000002	3.25932	45.581790000000005
OG0003408.0	OG0006271.0	OG0004639.6	OG0019752.0	OG0001845.2
45.83852	26.501640000000002	5.57916	2.674876	nan
OG0005244.10	OG0005275.2	OG0013618.1	OG0013322.2	OG0022027.0
6.885389999999999	2.790906	1.8457740000000002	1.401109	3.2774410000000005
OG0007061.32	OG0014025.6	OG0004215.0	OG0034908.0	OG0053973.0
2.614816	2.095812	4.869985	2.217676	2.664767
OG0003897.10	OG0001608.24	OG0057272.0	OG0029027.0	OG0002856.0
0.47418640000000006	1.052591	1.525175	3.724017	2.661923
OG0043939.0	OG0022733.0	OG0006963.0	OG0003997.0	OG0014683.4
2.833997	1.517937	27.90761	1.825879	8.114066000000001
OG0005485.2	OG0026929.0	OG0016166.2	OG0000083.0	OG0009932.0
4.624994	3.7431419999999997	8.074957000000001	1.608956	2.829789
OG0035782.0	OG0002516.0	OG0010116.20	OG0034772.0	OG0005228.0
1.297388	20.363039999999998	2.383413	2.212487	1.216153
OG0005075.42	OG0009082.0	OG0056969.0	OG0020856.0	OG0004466.4
1.44416	165.6313	2.774832	1.2256770000000001	0.6404095999999999
OG0003298.30	OG0038594.0	OG0016290.2	OG0005869.0	OG0044284.0
2.501733	3.4122769999999996	1.480664	2.1941319999999997	2.877339
OG0043496.0	OG0002065.0	OG0044202.0	OG0002275.1	OG0025963.0
1.492549	nan	2.741253	0.9557901	1.6193170000000001
OG0015324.6	OG0019317.0	OG0006502.0	OG0003042.54	OG0020396.0
1.917603	1.493815	212.6804	2.928664	1.8635599999999999
OG0047563.0	OG0038895.0	OG0004806.1	OG0034318.0	OG0045140.0
3.340003	3.410879	1.515462	1.291334	261.5989
OG0000436.0	OG0003030.22	OG0047101.0	OG0028482.0	OG0037681.0
6.293496	2.7360189999999998	3.362432	2.684612	3.098148
OG0001415.132	OG0013585.4	OG0057570.0	OG0015202.0	OG0020497.0
