OG0006225.0	OG0000711.2	OG0019212.0	OG0002787.0	OG0001823.24	OG0000065.1	OG0002101.0	OG0001699.1	OG0001764.0	OG0005056.1	OG0001607.2	OG0029060.0	OG0001566.2	OG0002309.26	OG0008341.0	OG0004205.0	OG0002988.0	OG0005575.28	OG0015416.2	OG0001842.34	OG0000098.0	OG0000236.122	OG0000264.1	OG0000551.2	OG0008342.0	OG0001907.32	OG0016785.2	OG0020502.0	OG0000119.0	OG0000441.1	OG0002651.6	OG0008335.19	OG0000833.0	OG0000750.0	OG0001778.24	OG0014063.4	OG0000456.0	OG0002012.0	OG0005567.0	OG0011318.4	OG0001741.1	OG0000038.0	OG0011985.2	OG0000834.30	OG0000213.256	OG0002348.56	OG0014065.0	OG0003001.0	OG0001309.24	OG0000740.26	OG0004226.0	OG0013273.0	OG0029057.0	OG0000441.96	OG0008015.25	OG0000318.0	OG0007639.25	OG0002178.2	OG0001567.1	OG0000324.0	OG0003342.16	OG0006752.0	OG0008099.0	OG0001643.24	OG0000065.40	OG0000920.27	OG0007127.0	OG0001843.5	OG0000749.2	OG0005996.10	OG0002590.0	OG0005741.0	OG0000310.18	OG0000206.0	OG0000236.1	OG0000320.0	OG0001964.1	OG0053812.0	OG0007845.0	OG0001698.26	OG0001824.24	OG0000213.17	OG0003860.1	OG0015415.0	OG0044466.0	OG0005326.0	OG0007639.5	OG0012896.0	OG0012897.4	OG0004314.0	OG0006297.0	OG0014302.8	OG0000606.2	OG0020019.0	OG0006158.4	OG0001579.36	OG0000751.0	OG0014817.2	OG0000834.15	OG0002488.24	OG0015105.0	OG0000869.2	OG0001711.10	OG0028281.0	OG0000646.28	OG0013218.3	OG0001844.24	OG0003991.2	OG0001602.32	OG0011319.4	OG0000471.2	OG0000236.19	OG0001016.1	OG0013106.2	OG0014068.0	OG0009857.2	OG0004135.0	OG0005266.0	OG0003151.14	OG0005400.0
nan	0.119585	nan	0.054844399999999995	0.15408	nan	0.025093599999999997	0.10481900000000001	1e-07	0.14690899999999998	1e-07	nan	0.177585	0.22130100000000003	nan	0.07209310000000001	0.0788793	nan	nan	0.08400139999999999	0.0666451	0.168738	0.0267238	0.0409316	nan	0.166925	nan	nan	0.163223	nan	0.15494000000000002	nan	1e-07	0.12835	0.14846199999999998	nan	1e-07	1e-07	1e-07	nan	0.164643	0.173468	nan	1e-07	nan	0.0330471	nan	0.46165	1e-07	0.062459100000000004	0.14263299999999998	nan	nan	0.145787	nan	0.0530336	nan	0.167193	0.174824	0.06721469999999999	0.20595	0.05294159999999999	0.2	0.19858900000000002	0.21144899999999997	0.21512399999999998	0.202021	0.132994	0.125621	nan	0.192732	nan	0.206882	0.0621684	nan	0.0241851	0.13694800000000001	nan	nan	0.146741	0.22533000000000003	0.0737789	0.2	nan	nan	0.14236	nan	0.19832	nan	0.321973	nan	nan	0.145565	nan	0.36164	0.23834499999999997	0.20903200000000002	nan	nan	0.19883199999999998	nan	0.04115069999999999	0.20863400000000001	nan	0.138347	nan	0.034043800000000006	0.22381700000000002	0.197844	nan	0.08919819999999999	nan	0.21862600000000001	nan	nan	0.2	0.11607999999999999	0.266768	0.198802	0.167942
OG0013961.0	OG0004125.0	OG0034275.0	OG0015984.2	OG0003537.2	OG0047178.0	OG0004055.0	OG0015212.3	OG0034671.0	OG0001143.26	OG0003695.0	OG0003674.0	OG0002126.0	OG0017331.4	OG0060369.0	OG0024695.0	OG0037769.0	OG0043441.0	OG0026545.0	OG0037717.0	OG0060345.0	OG0017007.0	OG0021312.0	OG0014976.2	OG0018420.5	OG0044420.0	OG0000001.2	OG0029251.0	OG0045601.0	OG0003356.2	OG0012516.3	OG0010109.10	OG0000910.22	OG0021422.0	OG0018873.4	OG0009191.17	OG0016229.7	OG0028194.0	OG0043587.0	OG0013044.2	OG0044405.0	OG0000777.0	OG0047957.0	OG0014980.7	OG0049180.0	OG0053978.0	OG0034997.0	OG0010769.5	OG0020026.0	OG0027886.0	OG0007364.5	OG0045019.0	OG0015297.0	OG0005187.0	OG0025128.0	OG0030068.0	OG0054107.0	OG0029606.0	OG0045240.0	OG0011531.13	OG0002586.25	OG0034443.0	OG0000151.0	OG0056888.0	OG0027882.0	OG0049121.0	OG0003363.0	OG0015603.2	OG0013735.9	OG0054020.0	OG0002645.26	OG0008720.0	OG0053860.0	OG0046032.0	OG0027029.0	OG0020495.0	OG0029130.0	OG0003740.0	OG0027539.0	OG0038829.0	OG0016419.0	OG0057036.0	OG0000562.130	OG0006147.34	OG0014836.5	OG0011529.8	OG0003458.0	OG0057445.0	OG0020380.0	OG0009797.0	OG0041943.0	OG0004419.0	OG0025940.0	OG0007653.0	OG0020659.0	OG0007788.4	OG0004867.1	OG0013093.0	OG0001087.24	OG0029995.0	OG0003103.85	OG0001322.24	OG0000518.24	OG0018774.3	OG0021198.0	OG0004757.2	OG0012131.2	OG0013568.4	OG0013535.7	OG0018847.2	OG0016154.2	OG0013928.0	OG0007234.0	OG0013600.0	OG0022907.0	OG0000932.26	OG0010161.0	OG0002373.38	OG0001528.16	OG0044265.0
nan	0.18876300000000001	nan	nan	0.08631989999999999	nan	1e-07	nan	nan	0.083692	0.232121	0.0459419	1e-07	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.06723	nan	nan	0.0437714	nan	nan	0.112724	nan	nan	nan	nan	nan	nan	nan	nan	0.255576	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2	nan	0.127149	nan	nan	nan	0.0373993	nan	nan	nan	0.179844	nan	nan	nan	nan	nan	nan	0.243914	nan	nan	nan	nan	nan	nan	nan	nan	0.043579900000000005	nan	nan	0.252132	nan	1e-07	nan	nan	nan	0.237914	0.0739992	nan	0.014421999999999999	nan	nan	0.0191711	1e-07	nan	nan	1e-07	nan	nan	nan	nan	nan	nan	nan	0.188055	nan	0.0204768	nan	1e-07	0.307815	nan
OG0025670.0	OG0045253.0	OG0007454.2	OG0016037.0	OG0026962.0	OG0006458.0	OG0008432.3	OG0037796.0	OG0022975.0	OG0016658.6	OG0016109.1	OG0019073.3	OG0045726.0	OG0023486.0	OG0004382.22	OG0001313.24	OG0004768.0	OG0035662.0	OG0003672.0	OG0045763.0	OG0027692.0	OG0002219.0	OG0003957.1	OG0041596.0	OG0028162.0	OG0045950.0	OG0054032.0	OG0054007.0	OG0060332.0	OG0005576.4	OG0001654.2	OG0029105.0	OG0046965.0	OG0027235.0	OG0000367.174	OG0021379.0	OG0028862.0	OG0027012.0	OG0019048.5	OG0007986.5	OG0018551.2	OG0048977.0	OG0044631.0	OG0009920.0	OG0000716.2	OG0002417.0	OG0017087.4	OG0041606.0	OG0034304.0	OG0002645.26	OG0047561.0	OG0028903.0	OG0002195.39	OG0010171.9	OG0037719.0	OG0044852.0	OG0018871.0	OG0008213.6	OG0038690.0	OG0047112.0	OG0009066.4	OG0030057.0	OG0019756.0	OG0013126.0	OG0001952.4	OG0026959.0	OG0046634.0	OG0014821.9	OG0035538.0	OG0006905.0	OG0026275.0	OG0018451.0	OG0021654.0	OG0046930.0	OG0024612.0	OG0023018.0	OG0045592.0	OG0010941.0	OG0024232.0	OG0006943.0	OG0002509.0	OG0054046.0	OG0005328.10	OG0004090.26	OG0009149.0	OG0056762.0	OG0002829.1	OG0004014.6	OG0017270.5	OG0014789.4	OG0048057.0	OG0057587.0	OG0008538.0	OG0021915.0	OG0000674.30	OG0049027.0	OG0005926.0	OG0012092.2	OG0013043.4	OG0001042.5	OG0037761.0	OG0044289.0	OG0005608.1	OG0005393.6	OG0038889.0	OG0053886.0	OG0038723.0	OG0000034.230	OG0016715.4	OG0019125.2	OG0004776.24	OG0007313.0	OG0024526.0	OG0000508.48	OG0045052.0	OG0003730.10	OG0045137.0	OG0016419.0	OG0012990.0	OG0015750.2
nan	nan	0.148973	nan	nan	0.239146	nan	nan	nan	nan	nan	nan	nan	nan	0.258421	0.017393900000000004	0.27020500000000003	nan	0.0965757	nan	nan	0.130805	1e-07	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.168681	0.0414152	1e-07	nan	nan	nan	0.179844	nan	nan	1e-07	nan	nan	nan	nan	0.23358299999999999	nan	nan	0.0802491	nan	nan	nan	0.21759699999999998	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1e-07	nan	nan	0.203322	nan	nan	0.17714100000000002	0.13211099999999998	nan	nan	nan	nan	0.205577	nan	0.09486699999999999	nan	0.223816	nan	nan	1e-07	nan	nan	nan	nan	nan	nan	nan	0.253152	nan	nan	nan	nan	nan	0.194982	nan	0.0805689	nan	nan	nan	nan
OG0047196.0	OG0001216.24	OG0001352.26	OG0028257.0	OG0007287.0	OG0013618.1	OG0008959.12	OG0005515.0	OG0023126.0	OG0000154.2	OG0047346.0	OG0022635.0	OG0004012.2	OG0005139.28	OG0037844.0	OG0005210.0	OG0018157.2	OG0002676.13	OG0010688.2	OG0002289.0	OG0022840.0	OG0007893.0	OG0003152.0	OG0022309.0	OG0041962.0	OG0028935.0	OG0020690.0	OG0029043.0	OG0044609.0	OG0034975.0	OG0006661.0	OG0045459.0	OG0056763.0	OG0017146.3	OG0001012.4	OG0005447.3	OG0015957.5	OG0004063.6	OG0011990.16	OG0016862.2	OG0007687.1	OG0008868.1	OG0044082.0	OG0016635.0	OG0023365.0	OG0015657.3	OG0027664.0	OG0046095.0	OG0022833.0	OG0023149.0	OG0023156.0	OG0001555.4	OG0019381.0	OG0015006.0	OG0001431.24	OG0049192.0	OG0013605.0	OG0002211.0	OG0017433.3	OG0018077.1	OG0020648.0	OG0017428.3	OG0005902.0	OG0004173.4	OG0007345.0	OG0044134.0	OG0017152.2	OG0005766.0	OG0014232.3	OG0005005.8	OG0003376.12	OG0044243.0	OG0020940.0	OG0005504.0	OG0000618.54	OG0013332.12	OG0029568.0	OG0044816.0	OG0010579.4	OG0041832.0	OG0041885.0	OG0026959.0	OG0005009.2	OG0028276.0	OG0022924.0	OG0010785.14	OG0013984.0	OG0003367.2	OG0045756.0	OG0001544.92	OG0017923.3	OG0001678.0	OG0053808.0	OG0034855.0	OG0007734.2	OG0026125.0	OG0034773.0	OG0013889.2	OG0004731.6	OG0010738.0	OG0002382.29	OG0006709.0	OG0015949.0	OG0060438.0	OG0045132.0	OG0035684.0	OG0018521.0	OG0043848.0	OG0020836.0	OG0005274.0	OG0049185.0	OG0006223.1	OG0046184.0	OG0057019.0	OG0012248.0	OG0047518.0	OG0004163.55	OG0016048.3	OG0023430.0	OG0045254.0
nan	0.022154499999999997	0.06112180000000001	nan	nan	nan	nan	1e-07	nan	0.22548400000000002	nan	nan	0.327608	0.179787	nan	0.167942	nan	nan	nan	0.0224703	nan	nan	0.165588	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.069922	0.025841700000000002	nan	0.033483	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.19451400000000002	nan	nan	1e-07	nan	nan	0.022016900000000002	nan	nan	nan	nan	0.184252	0.08535989999999999	1e-07	nan	nan	0.187532	nan	0.168826	0.19247	nan	nan	1e-07	0.0154839	nan	nan	nan	nan	nan	nan	nan	0.161237	nan	nan	nan	nan	1e-07	nan	nan	nan	0.120322	nan	nan	0.258313	nan	nan	nan	0.23662800000000003	0.201901	0.0399519	nan	nan	nan	nan	nan	nan	nan	nan	0.21863400000000002	nan	nan	nan	nan	0.158167	nan	nan	nan	nan	nan
OG0046621.0	OG0013034.0	OG0009963.2	OG0035832.0	OG0000047.2	OG0016166.2	OG0004946.5	OG0013289.6	OG0025814.0	OG0021948.0	OG0043924.0	OG0001072.1	OG0001489.4	OG0015259.2	OG0024461.0	OG0006327.0	OG0038800.0	OG0044616.0	OG0014542.4	OG0001625.2	OG0014708.6	OG0005322.4	OG0022380.0	OG0028298.0	OG0028203.0	OG0014815.3	OG0024564.0	OG0019285.0	OG0047317.0	OG0002411.1	OG0022094.0	OG0022277.0	OG0014805.4	OG0025076.0	OG0024447.0	OG0019024.6	OG0025672.0	OG0016755.0	OG0011129.17	OG0022252.0	OG0047506.0	OG0006730.0	OG0057276.0	OG0018404.0	OG0019338.0	OG0007250.0	OG0035703.0	OG0008972.0	OG0027623.0	OG0015093.9	OG0014978.9	OG0019304.0	OG0043496.0	OG0004370.2	OG0024723.0	OG0044364.0	OG0054002.0	OG0010726.0	OG0006504.0	OG0006827.2	OG0022875.0	OG0013023.0	OG0041845.0	OG0047953.0	OG0046125.0	OG0006377.0	OG0011423.1	OG0010571.0	OG0017871.2	OG0028109.0	OG0007850.16	OG0016715.7	OG0017341.3	OG0012142.2	OG0041518.0	OG0005993.0	OG0002289.0	OG0019248.0	OG0007160.0	OG0028229.0	OG0057067.0	OG0034722.0	OG0038597.0	OG0017866.2	OG0046197.0	OG0043935.0	OG0034382.0	OG0014372.0	OG0018087.2	OG0001985.1	OG0006566.0	OG0023992.0	OG0012680.0	OG0021186.0	OG0035778.0	OG0047052.0	OG0043969.0	OG0034800.0	OG0047130.0	OG0008764.0	OG0024472.0	OG0054006.0	OG0005818.0	OG0011186.0	OG0045063.0	OG0044501.0	OG0010962.0	OG0000089.1	OG0009811.0	OG0008580.0	OG0047176.0	OG0014005.0	OG0037766.0	OG0003322.8	OG0024284.0	OG0043745.0	OG0022939.0	OG0017441.1	OG0053807.0	OG0044039.0
nan	0.228946	0.207691	nan	nan	nan	0.204631	nan	nan	nan	nan	0.305816	0.190391	nan	nan	nan	nan	nan	nan	0.0853337	nan	0.24473499999999998	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.165103	nan	nan	nan	nan	nan	0.151034	nan	nan	nan	nan	nan	0.19451	nan	nan	nan	1e-07	nan	1e-07	nan	nan	nan	nan	nan	0.21041100000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0224703	nan	0.13858099999999998	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.226921	0.42364799999999997	nan	nan	nan	nan	0.46921599999999997	1e-07	nan	nan	nan	0.125994	nan	nan	nan	nan	nan	nan
OG0038730.0	OG0060377.0	OG0011214.2	OG0043698.0	OG0046791.0	OG0006361.0	OG0014863.6	OG0005001.1	OG0025133.0	OG0045221.0	OG0012653.0	OG0024972.0	OG0041579.0	OG0000255.37	OG0007271.0	OG0007483.0	OG0000397.30	OG0007549.0	OG0001589.0	OG0007789.0	OG0024484.0	OG0006751.14	OG0012348.5	OG0007932.0	OG0017046.0	OG0057173.0	OG0012530.0	OG0018005.0	OG0013924.0	OG0023059.0	OG0007392.0	OG0044307.0	OG0002588.4	OG0006577.0	OG0002946.0	OG0014726.3	OG0005449.2	OG0044456.0	OG0043814.0	OG0038752.0	OG0019326.0	OG0020885.0	OG0046604.0	OG0003748.49	OG0021970.0	OG0016623.4	OG0027869.0	OG0019560.0	OG0034823.0	OG0053936.0	OG0024829.0	OG0044258.0	OG0001908.2	OG0038817.0	OG0020309.0	OG0028860.0	OG0046099.0	OG0027902.0	OG0020496.0	OG0016132.6	OG0000100.1	OG0002161.0	OG0007638.14	OG0028998.0	OG0012037.4	OG0013292.10	OG0000137.0	OG0008638.0	OG0007040.0	OG0013903.0	OG0022448.0	OG0017518.3	OG0003711.6	OG0025724.0	OG0016697.7	OG0057300.0	OG0010639.2	OG0001926.0	OG0009082.0	OG0046309.0	OG0045631.0	OG0010822.13	OG0000946.1	OG0027738.0	OG0001725.29	OG0016246.7	OG0044538.0	OG0044651.0	OG0000148.0	OG0003396.26	OG0018420.6	OG0044374.0	OG0017129.3	OG0007012.0	OG0003887.2	OG0044052.0	OG0020320.0	OG0060545.0	OG0003682.2	OG0013658.3	OG0044160.0	OG0000671.12	OG0011297.6	OG0009120.0	OG0007669.2	OG0024517.0	OG0022307.0	OG0003636.4	OG0034938.0	OG0012145.2	OG0046600.0	OG0053903.0	OG0027660.0	OG0006347.24	OG0007536.1	OG0007179.8	OG0003585.0	OG0018457.6	OG0013848.0	OG0043483.0
