OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
0.2534357	0.5651596999999999	0.5597153	nan	0.9384044	0.0379423	0.1519846	0.2350835	0.30488059999999995	0.191211	0.25050429999999996
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
0.43823329999999994	0.02035808	0.6181528000000001	nan	0.123552	0.2969597	0.8971775	0.08080729	0.003450033	0.9473366	0.42180470000000003
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
0.03840502	0.6642939999999999	0.12454649999999999	0.9769244	0.35156149999999997	nan	0.5005850000000001	0.7624153	0.08443777	0.7660299	0.7180098
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
0.40550820000000004	nan	0.02462899	0.4378043	0.7108651	0.0280113	0.9659026	0.8665088	0.6808081	0.34317329999999996	0.9320166999999999
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
0.501776	0.9825019	nan	0.40634840000000005	0.596826	0.8230357	0.5194848	0.01084816	0.9905181999999999	0.4624922000000001	0.10717730000000002
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
0.646766	nan	0.2674449	0.02462899	0.12273289999999999	0.03178783	0.8220594000000001	0.2462258	0.8484523000000002	0.32556399999999996	0.10786889999999999
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
0.6031217	nan	0.9242643	0.05870196	0.1387587	0.04314125	0.30313779999999996	0.7660299	0.04683721	0.09058471	0.7891302
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
0.4672751	0.03353180000000001	0.9380282	0.06257776	0.9548026	0.35885459999999997	0.13911500000000002	0.45342170000000004	0.7886675	nan	0.9300335
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
0.6460535	0.02462899	0.5387867	0.23381420000000003	0.123552	0.7447946999999999	nan	0.8220328000000001	0.3694716	0.9574084	0.9571746999999999
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
0.35431929999999995	0.5705416999999999	0.11430950000000001	0.5194848	0.9721749	0.9151834999999999	0.15880160000000001	0.5656258000000001	nan	0.9728382999999999	0.7439661
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
0.6333272	0.8196642	0.007018027	0.02685095	0.9800468000000001	0.03091776	0.366656	0.05902451	nan	0.7353715000000001	0.7439661
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
0.49277840000000006	0.9854200999999999	nan	0.7518414000000001	0.9730186	0.10232360000000001	0.01525296	0.32556399999999996	0.9789984	0.3719446	0.8783707000000001
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
0.8891902	0.4045553	0.04168374	0.6692686999999999	0.15880160000000001	0.27357329999999996	nan	0.8511943999999999	0.8021904000000001	0.24000239999999998	0.1678057
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
0.37937859999999995	nan	0.9002636	0.006737511999999999	0.9419357	0.8924883	0.05659457	0.20742020000000003	0.9453516	0.05902451	0.1678057
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
0.8953064000000001	0.9828955	0.2098232	0.6196954000000001	nan	0.40634840000000005	0.28333559999999997	0.02658022	0.5802845999999999	0.9655514000000001	0.1397736
OG0000599.0	OG0045783.0	OG0000504.24	OG0004935.0	OG0009848.0	OG0006434.0	OG0003028.0	OG0000018.842	OG0000814.1	OG0000966.4	OG0004320.3
0.16297799999999998	nan	0.8614181000000001	0.7970712	0.9790093000000001	0.21016759999999998	0.8220328000000001	0.05902451	0.956938	0.24000239999999998	0.03959302
OG0003698.0	OG0000584.0	OG0005693.0	OG0045507.0	OG0002857.4	OG0000001.2052	OG0001443.24	OG0003634.44	OG0002487.0	OG0000343.0	OG0000876.20
0.7518414000000001	0.3755981	0.8484523000000002	nan	0.7083866999999999	0.7085695	0.8563504999999999	0.3588533	0.3505065	0.04587583	0.6457065
OG0013433.5	OG0000092.1	OG0000318.0	OG0001551.34	OG0003714.0	OG0002213.0	OG0000059.59	OG0005019.0	OG0001832.1	OG0006023.0	OG0002487.0
nan	0.01905734	0.2293096	0.37100879999999997	0.7844051	0.9278028	0.3989031	0.8182311	0.1395115	0.9916884	0.3505065
