OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
-2.7427479467602125	-2.874084450525277	-2.9400910109813148	-2.3090019204430923	-3.0516981876493645	-3.8866195426247803	-2.687799537362322	-1.810460055611497	-2.5063526660247897	-2.937878288092203	-1.6357637688260032	-2.3978282092466205	-2.0715728231243147	-2.1798414652698357	-2.4035418604410146	-2.0991235338421013	0.7875160481350303	-2.87514253274424	nan	-1.8008773579863993	-2.5700359564830535	0.8238308662002686	-2.0279691158586677	-2.356236145662658	-2.537005393324501	nan	nan	-1.8767311125056534	-2.3118644115426648	-2.151362038095294	-2.359934417467107	-2.7968615028091515	-2.5708929182195006	-3.5467510991910647	-0.9023892033735776	-1.712173132714919	-1.0315036910220627	-1.814513995871922	-2.595968860378175	-3.1726687293877394	-2.240929409193099	-2.8395960741399864	-2.7641504234924366	-1.742265197871355	-2.5743258646124194	nan	-0.4835813583661318	-2.7973628738101626	-1.340440727089101	-2.038598926835721	-2.009262921328968	nan	-2.5868392244091862	-2.947305888696155	-2.074000581443777	-2.276485124126195	-2.9845024306046746	-3.0180012584066676	-2.16682653676166	-3.330537769639225	-2.555120943584441	-2.780908941753803	-2.414268267034073	nan	nan	-1.6553987169633229	-1.7254699553283768	-2.7553564542606015	nan	-2.4876213919244545	-1.8817731862070524	-2.1913266450967983	-2.386091221203337	-1.3751972347470527	-3.0	-2.2997378552532965	-1.8411459704833824	-2.2460532279122347	-2.5691795034802287	-4.136949635194031	-2.701341684435485	-2.2674268787048018	-2.5274082542630674	-2.677610316549785	-3.285319266282261	-2.372579930598799	-2.3072157433659903	-2.8847003559744526	-2.240588467435424	-1.6157291074575852	-1.3961185171157922	-2.3140150132440978	-3.217591435072627	-1.6730025354342413	-3.364533480055605	-1.9351171484151457	nan	nan	-2.819088336631431	-2.2688167584278	0.40718957187910976	-1.9148473194368616	-2.416962376203336	nan	-1.4965494909944312	-2.783886641553699	-2.1992553760632223	nan	-1.2253288876731159	-1.8711787193498661	-1.9714308478032292	nan	-1.9222101113563324	-2.1597180585730555	-2.0445383960764985	-2.5153978056277966	-1.3729535406075914	-0.24922201114650813	-1.6355396260397388	-2.3378856687903387
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
-1.6476934470936642	-2.1373304107316016	-2.1265804965651434	-2.586405917590825	-2.750979489714035	-1.7656213106623855	nan	-1.7150121530621574	-2.950090477556942	-4.521514782248605	-1.965220841951981	-2.582944140186851	nan	-2.233786498018345	-3.9403124700409085	-1.6817699399240815	-1.2185983177755109	-2.355497627581064	-2.4001109550407413	-4.5185357160603115	-2.0180012584066676	-3.8152246080867056	-2.0197552951466102	-1.795358434389579	-1.8788519435246895	-2.346664773208869	-1.4548223653847077	-1.825210106952185	-2.6303939299681622	-2.289827251720338	nan	-1.9816506901211082	nan	-1.16747450220749	-2.5640514351394663	-2.5964050493583346	-1.912401382076379	-1.712645914970793	-2.049904905826314	-1.9367731980030187	-1.8889686876112564	-2.1772290697332237	-1.9612828924271464	-1.4305089080412838	-2.091110253026279	-2.306858773169714	-2.7626810344254493	-1.672082742581352	-2.80793211552035	-1.2726458463191588	-1.7971121665298566	-1.3681041409461958	-1.7504939790108534	-1.1093587560365563	-1.3419027946486286	-3.943194535621982	-2.4320652135221836	-2.7495234474970305	-2.062806288829683	-1.837532132384696	-1.7529231680691826	nan	-1.755356454260602	-1.6241542753321765	-2.2270164478618955	-3.121549296903336	-2.365127976835786	-1.432843996289213	-2.0391917746110204	-1.8122322529539752	nan	-1.8991568755668882	-2.0303245368567975	-1.8099541131055612	-2.2270164478618955	-1.8331560355875092	-2.341537138825891	-1.8267446169790276	-1.7065117976244923	-13.287712379549449	-3.4273237207440457	-1.6624601578025762	-2.1328942704973457	-2.110915901401851	-1.5307391533840016	-1.886032853566998	nan	-2.8447688837007212	-3.02561753417927	-2.700872591587623	-2.002310160687201	-2.401253683845744	-2.2947740433836357	-2.265691409903093	-2.139553606611556	nan	-1.7809089417538033	-1.2549778509627356	-2.107803289534515	-2.3518106972818624	-2.6789955255288764	-1.4839848529963353	-2.187050040544251	-2.0929555251272016	-2.7131188522118386	-2.156498474463177	-1.8406291533397972	-3.1152848709039667	-1.9428616956064582	-3.4428497237186315	-1.5253303408390566	-1.3230105221290025	-1.7712736449415016	-2.930160374931366	-1.8541269383989551	-2.026205070347394	-1.4510702305236003	-2.972562817293149	-2.0954195650786827	-1.6574452545226799
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
-1.664745434758939	-3.4445764684381	-1.690590950759881	-1.553426147453103	-2.3032939207483114	-2.0886535558964283	-2.129102691334971	-1.775218805604411	-1.7204692742700103	-2.6268251092468837	-3.272297327162762	-2.9345655540513667	nan	-1.5816481122144794	-2.8008773579863995	-1.3658714424749592	-1.446934455954395	-2.6416037380433464	-4.062504942605948	-1.6201572725083175	-2.286304185156641	-2.3168874781868323	-1.6086721931563888	-1.8221459747400506	-2.005203073308613	-1.7221342427651205	-2.4445764684381	-2.4711286717618792	-2.2283679187250245	-1.639354797539784	-3.0637107053513444	-2.7340830856330847	-1.4695296746008095	-2.319045586354241	-1.512925319948276	-1.4751339354140698	nan	-2.0493076402243706	-2.5657587667480635	-1.597714408130004	-2.5985879746361915	-2.1729939903610234	-2.6538089702009304	-3.22431729826094	-13.287712379549449	-1.269338308728433	-2.7908586021614084	-1.848660698957719	-2.7480688733114134	-1.9132162338579333	-3.054092702789747	-1.6188273952832024	-1.690590950759881	-2.056491198838264	-1.8086900325542714	nan	-2.3255393484397415	-3.642234070125041	-1.3991593719702355	nan	nan	-1.742265197871355	-3.641603738043346	-3.130365444186607	-1.4330387576855113	-1.897543423349266	-1.7690592238760594	-3.5324074912870507	-2.265240529764519	-2.0631076980109504	-3.2122332300614325	-2.310432456049533	-2.475535074035002	-2.1622989090661346	-1.7150121530621574	-1.4884307580275276	-2.612637459164005	-2.3291596641184382	-1.708867987991247	-1.3147325934831586	-1.960159735468209	-1.7029847115855286	-1.4188898247744504	-1.8841677013474352	-3.0606981859003164	-1.9736956756480915	-3.130365444186607	-2.248107861595691	-2.205896101440252	-3.297608415691949	-2.4088950949352212	-2.255666652618641	-1.972279741644073	-2.045133690098103	-2.1360615495760285	-1.3147325934831586	nan	-1.4204336398397874	-1.341171575656346	-0.12139235428247001	-1.6579004351672157	-1.9805115704086398	nan	nan	-2.0929555251272016	-1.8114724732255982	nan	-2.0505024187944283	-2.039784866105864	-3.9878175270426097	-1.6095524220066895	-0.8881674129220172	-2.473530495359169	-2.1328942704973457	-2.5104570643575266	-2.026205070347394	-1.9796578204828141	-1.6201572725083175	-1.6186058682131488	-1.5357499660885958
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
-2.0226834370912896	-1.3731403819004626	nan	-2.187707155126729	-1.5587290095614008	-1.7060410209713055	-0.6992319667196912	-1.9290611786565626	-2.1500807813140215	-1.3072157433659903	-1.7648856796236427	-1.6375581658743559	-2.719756304133983	-2.274389706124002	nan	-2.226003674888827	-2.2371834740188943	-1.5942254220501242	-2.8180705623099334	nan	-3.1034568841441006	nan	-2.031503691022063	-3.3745237600405615	-1.8308446411691064	-2.8155292633599083	-2.1430541367175673	-2.46833158868485	-1.9887906385796967	-2.6099927379084407	-3.4562467805481956	-1.1919857109104024	nan	-2.2039006722965686	-1.7285743239070657	nan	-2.1335271702841525	-1.8344417455388262	-1.7769482116315585	-2.450873019800733	-1.8852332073344857	-2.99884630538363	-1.859352206845158	-2.23854450717728	nan	-2.6538089702009304	nan	-2.192974874501356	-2.3815733833540693	-3.932801867962658	-1.3125809226281095	-2.261188937029684	-2.203236142095557	-1.9584766378156495	-1.6780719051126376	-2.558091635996411	-1.539519529959989	-2.084976336299282	-1.835986111474943	-1.332425734024981	-1.8365012677171206	-2.91419466389943	nan	-2.1824585998485664	-3.368104140946196	-1.611314492504686	-1.770535126859908	-1.594443236656243	-1.925768605814208	-2.180168347573463	-2.23990682554186	-2.4655399180732718	-1.6064739677716449	-2.006941609418847	-1.977099597889921	-2.5491978471201815	nan	-2.1373304107316016	-1.707689411795574	-2.365499661764001	-1.6716230659673341	-1.9845024306046744	-3.221623189091677	-2.6506347224057865	-2.2947740433836357	-1.1087363681749238	-1.6161713128375652	-3.1152848709039667	-2.648371670897218	nan	-2.205896101440252	-2.5236701622428623	-2.25635578329374	-1.943971461077249	nan	-1.9208437933823566	-2.361416384768338	-1.4336231996788755	nan	-3.091725081520941	-2.130365444186607	-2.107803289534515	-1.8084373492992443	-1.3733272473940066	-3.050502418794428	-1.5961869383834104	-2.009262921328968	-2.156498474463177	-2.0060720794834004	-3.0576919438438153	-5.691522623405039	-1.4737308279347723	-2.5538496598709073	-2.1389180581251153	-1.4121549907457225	-2.4771407448083025	-2.9759640645444905	-2.1942948151614887	-2.026205070347394	-2.233786498018345
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
nan	-2.0078116637466876	-2.805912947883698	-1.5504650365217114	-1.4291485165770805	-1.7004036512159049	-2.6411536693949014	-2.107181572204967	-1.9988463053836296	-2.5691795034802287	-2.040971781056306	-1.6794575575715407	nan	-1.9143034193207538	-2.0606981859003164	-2.1096700506846275	-1.7776900207356847	-1.225666241828959	-1.795358434389579	-2.016249351645075	-3.0923401721467103	-2.163591067720262	-2.1765767093147423	-2.7918573526622783	-1.8018830708475446	-0.9337385577312787	nan	-2.108736368174924	nan	-3.054092702789747	-1.5851067774392011	-1.4568010998066674	-1.3874115933012825	-2.6896598793878495	-1.907521912799615	-2.140825544133565	-3.331118418654816	-2.1710435235823367	-1.729530859689422	-1.8577826381961766	-2.6850135145314846	-13.287712379549449	-1.6179414910239318	nan	-1.905628789407483	-2.091110253026279	-2.558091635996411	-2.557242242365229	nan	-2.8282807609121523	-2.2546335734188303	-1.9545570292388328	nan	-2.7036894392919075	-1.6456606866214725	-2.355497627581064	-1.5116906642966368	-2.258080051505312	-2.31114825613412	-3.8772610280454547	-2.079478021209661	-2.038598926835721	-3.2113643983333433	-1.6321816563938067	-1.4575933541049346	-2.2997378552532965	-1.9674759343078005	-2.27508784068439	-1.8682788288440713	-1.8991568755668882	-2.1159100908664668	-2.7093396881886447	-2.827256483239813	-2.141780233728934	-2.4285658841234907	-2.344464983647896	nan	-1.5563933485243853	nan	-1.6624601578025762	-2.146243824156365	-2.5311560570253624	-1.708867987991247	nan	-2.3591940042915596	-2.151362038095294	-2.6601784950766576	-1.855170479161191	-1.9034682573063713	-1.6670343374140395	-1.945915607157621	-2.5178745359200096	-1.7292916662807851	-2.1616532634787693	-1.7843835229227878	-1.4185041289986233	-1.180822334457232	-2.498586333124219	-1.8308446411691064	-1.977951834819827	-2.7254699553283768	-1.6479194862701374	-2.1584293626044833	-2.589007712779105	-2.7264244343846205	-2.5462453931483027	-2.6506347224057865	-2.465938397578882	-1.4100448054815682	-3.091110253026279	nan	-1.5758303511973621	-1.347949534477697	-2.444969198817792	-1.1106043378457562	-1.753409497094819	nan	-2.2622267227410604	-2.1942948151614887	-2.7898605425983316
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
