OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
-2.3140150132440978	-2.7553564542606015	nan	-3.2419527181667664	-1.8411459704833824
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
-2.9612828924271466	-2.747099971299919	-1.911586990273275	nan	-1.8236772273595372
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
-2.961844798974031	-1.6787645649839358	nan	nan	-1.6355396260397388
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
-3.3586019472232773	-3.641603738043346	nan	nan	-1.8293057663129169
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
-1.9434164716336324	nan	-1.5399389790226587	-1.63464340296952	-2.718331420027155
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
-1.4855999609633836	-1.234465253637023	-2.1584293626044833	nan	-1.6551715030025589
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
-1.766602735898117	nan	-1.712645914970793	-2.279283757478869	-4.081919130152292
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
-2.5786285669991056	-2.0267928458865443	-2.291945228671648	-1.5307391533840016	nan
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
-2.7998723457263983	-2.710283551513701	-2.379319758775699	-2.512925319948276	nan
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
-1.5678957765313228	-1.7715199016700827	-2.5445609854369495	nan	nan
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
-2.5538496598709073	nan	-1.8290494466816325	-1.5353317329965557	-2.3473987824034808
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
-1.3932735249871873	-3.435338929969181	nan	-2.80793211552035	-2.5968413702571356
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
nan	-1.5920490827614273	-2.8911075983675913	-3.562175701118391	-1.795358434389579
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
-2.0782590139204995	-2.002310160687201	-1.92631684638356	nan	-1.5580916359964108
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
nan	-1.4579896444633909	-2.6762264363085277	-1.5153978056277968	-2.706511797624492
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
-2.5378429521526056	-1.8018830708475446	-2.3298848187157057	-3.6236207013727357	nan
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
nan	-1.855170479161191	-1.4465411903009064	-2.594225422050124	-2.3230105221290027
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
-1.859352206845158	nan	-1.9148473194368616	-2.229044129208878	-2.5691795034802287
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
-2.107181572204967	-1.6529013293777317	-1.848660698957719	-2.699934863221239	nan
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
-3.089267338097087	-2.0752159943555015	nan	-2.026205070347394	nan
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
-3.3075728019102923	-0.6117553466077006	-2.262572817270941	-1.848660698957719	nan
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
-2.165855133936795	-2.8155292633599083	-2.3982084161379738	nan	-1.6936210892890369
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
-1.341171575656346	nan	-1.0758240850034457	-3.4099681296004474	nan
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
-1.341171575656346	-1.7754657367202709	-2.3086445080689395	nan	-2.4058336719490043
OG0005717.2	OG0000785.2	OG0014018.2	OG0045623.0	OG0003390.22
-1.8195974931713508	-1.494718788546733	-3.306145097646435	nan	-1.663830889535991
OG0003559.24	OG0027666.0	OG0000276.72	OG0019704.0	OG0005701.4
-1.964094616257872	-0.9334629976042087	-2.1584293626044833	nan	-2.9839316313723465
OG0047536.0	OG0000256.24	OG0024538.0	OG0008453.0	OG0005285.0
nan	-1.3681041409461958	nan	-1.5353317329965557	-2.3011592297927903
OG0017825.2	OG0000092.1	OG0004280.1	OG0044577.0	OG0005285.0
-1.5445609854369495	-1.905628789407483	-2.4262377044236767	nan	-2.3011592297927903
OG0005845.2	OG0013058.0	OG0000204.2	OG0013440.5	OG0012991.1
-3.089267338097087	-0.9537184967880897	-2.006941609418847	-2.9029286294560968	nan
OG0004204.4	OG0000225.48	OG0004274.22	OG0027486.0	OG0025104.0
-1.8868329432672653	-1.5307391533840016	-2.664288089679538	-3.7061351640129314	nan
OG0000018.1	OG0046984.0	OG0000066.1	OG0010700.2	OG0012008.6
-1.5678957765313228	nan	-1.6910567118747863	-2.6104331882372747	-2.1622989090661346
OG0004631.4	OG0011476.0	OG0000034.305	OG0034678.0	OG0011669.2
-1.9230305236848892	-2.498586333124219	-1.8622341919041214	nan	-2.7131188522118386
OG0048146.0	OG0000018.1	OG0025975.0	OG0009267.0	OG0003729.6
nan	-1.5678957765313228	-0.8114724732255982	-1.7164337610348535	-2.0017322736212373
OG0027108.0	OG0000403.25	OG0010524.6	OG0004622.6	OG0000371.137
nan	-1.707689411795574	-2.3993496383788053	-3.3586019472232773	-2.1253210507925444
OG0000180.0	OG0001597.32	OG0005758.2	OG0018359.4	OG0003375.2
-1.341171575656346	nan	-1.704629612046516	-2.985073455761897	-1.815783191907759
OG0007763.20	OG0004387.2	OG0000012.581	OG0000188.1	OG0015952.0
nan	-1.4324545523562533	-1.1106043378457562	-1.855170479161191	-1.4100448054815682
OG0029003.0	OG0002959.32	OG0000059.133	OG0010621.0	OG0025954.0
nan	-1.9925174236687941	-1.6188273952832024	-2.670244914255253	nan
OG0004290.0	OG0028171.0	OG0024621.0	OG0000088.3	OG0012098.2
-2.1344770408600366	nan	-2.4763376860395074	-1.6936210892890369	-1.9590374522215022
OG0006017.0	OG0021464.0	OG0035578.0	OG0000088.3	OG0004090.26
-1.398588723255212	nan	nan	-1.6936210892890369	-2.1665026631401654
OG0000261.0	OG0005248.24	OG0008376.3	OG0006392.0	OG0000175.187
-1.837532132384696	-2.8857662555729124	nan	-1.8617097662200885	-2.386091221203337
OG0000188.1	OG0008726.2	OG0011968.0	OG0003040.0	OG0027803.0
-1.855170479161191	-3.196276993225842	-1.342268543171538	-2.840629153339797	nan
OG0003726.42	OG0027611.0	OG0000000.2172	OG0000272.36	OG0021228.0
-2.5462453931483027	-2.5657587667480635	-3.2222962448729016	-1.810207062179741	nan
OG0024575.0	OG0000183.0	OG0016708.7	OG0005854.2	OG0000323.172
-2.3748230433194877	-1.753409497094819	nan	-2.165207895235545	-2.798868033092113
OG0008698.0	OG0000018.1	OG0045700.0	OG0004503.8	OG0015773.2
-2.5743258646124194	-1.5678957765313228	nan	-3.4660978202035966	-2.242635327614509
OG0004949.2	OG0008317.0	OG0048119.0	OG0000223.2	OG0012201.0
-3.038006322579745	-2.168122758808327	nan	-1.6095524220066895	-2.0060720794834004
OG0007196.4	OG0014134.1	OG0011989.1	OG0007072.0	OG0000256.24
-2.8401125212694995	nan	-2.719756304133983	-1.7278573380358242	-1.3681041409461958
OG0000257.0	OG0019159.1	OG0007803.0	OG0020728.0	OG0013502.0
-1.5253303408390566	nan	-2.6529013293777317	-2.297608415691949	-2.3280726151852633
OG0000869.2	OG0004207.12	OG0011897.10	OG0012157.2	OG0045697.0
-3.0	-2.252913416972182	-4.330029893384327	-2.718331420027155	nan
OG0000869.2	OG0010617.4	OG0035615.0	OG0003358.3	OG0013315.4
-3.0	-2.814513995871922	nan	-2.2467377807321434	-3.567126088296581
OG0000042.314	OG0002382.8	OG0009842.2	OG0005619.0	OG0024623.0
-1.7195187256993765	nan	-1.9677580688625063	-3.316168825598677	-1.7278573380358242
OG0004347.0	OG0003743.1	OG0043435.0	OG0005949.0	OG0000223.2
-1.9384311507319976	-3.2202780187929276	nan	-2.3140150132440978	-1.6095524220066895
OG0026929.0	OG0000584.0	OG0004124.0	OG0009005.0	OG0057408.0
-1.972562817293149	-1.8463243502027624	-1.6335239064899043	-3.1558554189406562	nan
OG0047396.0	OG0000302.34	OG0005384.1	OG0003543.0	OG0016008.4
nan	-1.9584766378156495	-2.8916428219095818	-1.7067472435721203	-3.9037921309278656
OG0005824.0	OG0057576.0	OG0000110.3	OG0012227.0	OG0027566.0
-2.7216583413783577	nan	-1.5002178798526882	-3.3500443119483894	-0.9745459035722509
OG0047592.0	OG0005248.24	OG0006393.0	OG0010139.0	OG0000147.0
nan	-2.8857662555729124	-2.1700692781603577	-1.2354839862020475	-2.9669118306678124
OG0044197.0	OG0024570.0	OG0007411.0	OG0007822.0	OG0000147.0
nan	-0.9807962660269074	-1.5687514675652392	-2.085588555718989	-2.9669118306678124
OG0037838.0	OG0000014.1	OG0010773.2	OG0003661.0	OG0011718.13
nan	-1.848660698957719	-2.8836352433082157	-1.7027498788282933	-2.6887294085133586
OG0004758.4	OG0000092.1	OG0017484.2	OG0044086.0	OG0009267.0
-3.733315388373576	-1.905628789407483	-1.8927138650477777	nan	-1.7164337610348535
OG0045023.0	OG0000204.2	OG0005854.2	OG0017964.4	OG0011459.1
nan	-2.006941609418847	-2.165207895235545	-3.202903991745088	-2.2112307783424274
OG0003189.0	OG0018431.0	OG0043618.0	OG0000584.0	OG0007146.0
-1.798868033092113	-2.6850135145314846	nan	-1.8463243502027624	-1.7607241741174424
OG0007539.0	OG0005384.1	OG0016889.0	OG0000001.2899	OG0007096.15
