OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
-2.607352856035737	-2.107803289534515	-2.321206927643708	nan	-2.005782352594006	-1.9329120351988534	-2.5803532474685666	-2.356236145662658	-3.5225920697297517	-1.7918573526622783	-2.0344557997682955
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
-2.76219157045438	-1.5274082542630671	-2.131629303260768	nan	-2.7461317195582806	-2.211564851526944	-2.3699673661062333	-2.7553564542606015	-1.9181150332707726	-2.1655314782896973	-2.9822205874387655
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
-1.2012443860853812	-3.0469210473874924	-1.2354839862020475	-2.2873602020691486	-2.144329165559629	nan	-2.189022282875856	-1.7292916662807851	-1.7195187256993765	-2.346664773208869	-2.0118788695359795
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
-2.014499569695115	nan	-1.3778192957794075	-1.9329120351988534	-2.240588467435424	-2.0991235338421013	-1.9475841058488614	-2.1710435235823367	-2.4394806784556318	-2.8365012677171206	-2.9907961726701604
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
-2.5916142085935863	-2.339710248571779	nan	-2.3584539709124765	-1.5403585500713883	-2.4941090702700426	-2.413499444718575	-1.1752728727678972	-1.9428616956064582	-1.3235520404491128	-1.6095524220066895
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
-2.1360615495760285	nan	-1.5199417307727447	-1.3778192957794075	-1.712645914970793	-2.0188780102056896	-3.0075215873325427	-1.712173132714919	-2.204233052217608	-2.110292841560213	-2.1942948151614887
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
-2.1366958406572016	nan	-2.8762013915373785	-1.6822328614877802	-2.567040592723894	-2.6850135145314846	-2.1584293626044833	-2.346664773208869	-1.6663472852345864	-2.20058107800892	-1.9478623766648246
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
-2.051399152506644	-2.079173172811086	-2.1373304107316016	-2.0493076402243706	-2.2841944674408476	-1.3496030533302108	-1.7107557148433576	-1.6208226711091924	-2.0865073722499217	nan	-2.942307132831654
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
-1.9691695698467255	-1.3778192957794075	-2.4568010998066674	-1.9356689537540164	-2.7461317195582806	-3.129102691334971	nan	-3.22431729826094	-1.7485535684414182	-1.8416629728328997	-3.3500443119483894
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
-1.7690592238760594	-1.8318714704230512	-2.5538496598709073	-2.413499444718575	-2.7302486779516255	-2.9235777245413974	-1.6402539530945293	-1.6789955255288762	nan	-2.006941609418847	-2.1165355818976774
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
-2.698061233034664	-2.9674759343078008	-1.837532132384696	-2.0	-1.8873665830147548	-1.8854997068348074	-1.7069827279504917	-1.4707287562940685	nan	-1.897543423349266	-2.1165355818976774
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
-2.2209504471625414	-2.0923401721467108	nan	-3.358749938713471	-2.646563782138217	-2.3673595241343683	-1.4568010998066674	-2.110292841560213	-1.6670343374140395	-2.3072157433659903	-2.0691491433591787
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
-1.626602350805788	-2.1956159645586584	-1.2922985273242986	-2.7036894392919075	-1.6402539530945293	-2.8165452458250577	nan	-2.046623000688594	-1.9928044985957962	-1.4108117885091431	-1.5361683204603513
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
-1.9528804514314493	nan	-2.6366606883705206	-3.086201035049304	-1.7636604608316264	-1.973129135275255	-1.416192117220336	-2.1475216763576133	-2.1791879227712805	-1.4707287562940685	-1.5361683204603513
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
-1.6456606866214725	-1.6796886290929587	-1.2271853125008065	-2.3940316411585414	nan	-2.3584539709124765	-1.9042780777266743	-1.855170479161191	-1.106560122683883	-2.0505024187944283	-1.6157291074575852
OG0000599.0	OG0045783.0	OG0000504.24	OG0004935.0	OG0009848.0	OG0006434.0	OG0003028.0	OG0000018.842	OG0000814.1	OG0000966.4	OG0004320.3
-1.7269019108215087	nan	-1.817053505488898	-1.4510702305236003	-2.132261648237312	-2.0782590139204995	-3.22431729826094	-1.4707287562940685	-2.355497627581064	-1.4108117885091431	-2.6592668394122683
OG0003698.0	OG0000584.0	OG0005693.0	OG0045507.0	OG0002857.4	OG0000001.2052	OG0001443.24	OG0003634.44	OG0002487.0	OG0000343.0	OG0000876.20
-3.358749938713471	-1.8463243502027624	-2.204233052217608	nan	-1.9172974106697507	-1.9867878885731491	-2.229044129208878	-2.2553222106829263	-3.320486120713456	-1.9584766378156495	-1.5773364083449781
OG0013433.5	OG0000092.1	OG0000318.0	OG0001551.34	OG0003714.0	OG0002213.0	OG0000059.59	OG0005019.0	OG0001832.1	OG0006023.0	OG0002487.0
nan	-1.905628789407483	-2.677610316549785	-2.270207978440035	-2.2958362805460344	-2.141780233728934	-1.9736956756480915	-1.6556259667142674	-1.743230857238659	-1.7700429914156375	-3.320486120713456
OG0010762.2	OG0002449.21	OG0005448.0	OG0000892.1	OG0005886.2	OG0017345.1	OG0002718.4	OG0000561.24	OG0000107.44	OG0000294.0	OG0000966.4
-3.30721574336599	-1.78413506084676	-2.5777669993169523	-1.8380478410732577	-2.558941530006786	nan	-2.713591944539701	-2.258080051505312	-1.6663472852345864	-2.20058107800892	-1.4108117885091431
OG0000014.1	OG0000090.24	OG0001815.3	OG0008507.1	OG0000724.26	OG0003714.0	OG0000589.0	OG0007230.0	OG0056807.0	OG0003181.15	OG0004557.0
-1.848660698957719	-1.3778192957794075	-2.6295008967976545	-1.6615470596449509	-2.105628450038725	-2.2958362805460344	-1.6208226711091924	-2.353284338922646	nan	-2.220614193801064	-1.7379277116015897
OG0000822.0	OG0000187.1	OG0000044.1	OG0000558.24	OG0001609.10	OG0005133.0	OG0003343.2	OG0013961.0	OG0008491.2	OG0008692.19	OG0002885.12
-1.8921782440871464	-1.5274082542630671	-1.859352206845158	-2.072482753801524	-2.014499569695115	-1.5623461216538077	-2.2280299323018107	-2.309717010936488	-4.1387274481619345	nan	-1.7587699644845547
OG0002260.4	OG0006459.10	OG0007743.0	OG0000160.4	OG0011533.13	OG0000349.0	OG0004215.0	OG0002514.2	OG0000878.5	OG0001207.24	OG0000124.174
-1.6223764623642731	-1.9796578204828141	-2.646563782138217	-1.5153978056277968	nan	-2.286304185156641	-2.240247606231029	-2.0957278661891388	-2.046325015550513	-2.648371670897218	-3.628965342114444
OG0007699.0	OG0002700.0	OG0001604.2	OG0000888.24	OG0001802.47	OG0000350.8	OG0014165.3	OG0003343.2	OG0005276.0	OG0000579.24	OG0000046.1
-2.2639580262500325	-1.6104331882372744	-1.8484009177306033	-2.782893391916608	-1.718094076102808	-1.4568010998066674	nan	-2.2280299323018107	-1.968040258602455	-2.25635578329374	-1.8293057663129169
OG0001416.0	OG0002674.20	OG0000139.0	OG0005040.3	OG0001091.2	OG0046049.0	OG0000214.0	OG0001730.2	OG0002471.0	OG0005162.0	OG0005908.0
-2.005203073308613	-1.9192059180417578	-1.5587290095614008	-2.1360615495760285	-2.9197516699078796	nan	-1.4204336398397874	-2.3291596641184382	-2.434402824145775	-1.7461317195582806	-2.110915901401851
OG0002674.20	OG0000090.24	OG0001471.24	OG0000524.1	OG0003607.0	OG0027548.0	OG0002626.26	OG0010587.0	OG0005086.0	OG0002487.0	OG0000046.1
-1.9192059180417578	-1.3778192957794075	-2.213570916796944	-1.7393720918733013	-1.9260427000566755	nan	-1.445754980449902	-1.9181150332707726	-2.9083340124781873	-3.320486120713456	-1.8293057663129169
OG0003960.4	OG0000990.0	OG0002821.0	OG0004169.4	OG0005653.0	OG0044930.0	OG0002862.0	OG0000407.1	OG0000973.2	OG0000310.18	OG0008579.6
