OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
1.1396614238054927	5.29951426134823	-13.287712379549449	nan	-1.558650266329535	5.349550131414722	nan	6.251074076649885	nan	3.7523703714243846	2.0656960305292356	3.747776637495327	5.079294039474334	3.76834630985074	3.8840996729189494	3.356837488145097	1.2884378831439265	0.6104295172831056	5.2285619572734765	3.272885388862685	7.397343880921011	6.524116308090783	3.770679823954512	1.6144356397594812	4.919822104221287	2.5508252004725858	4.331837342718466	3.880915015811211	0.0747948769887755	1.2105338620753263	5.521260749079113	0.4662688241784086	3.700510734503725	4.714144465679471	6.673293958680064	5.633741776396054	4.249390717438137	4.608496418591426	3.3728897288458564	1.8697340329898202	0.24202770751783143	4.959066512187899	0.5732508868879453	5.666171523074633	3.0523898604119752	2.3315741799228893	1.919017548184029	1.5791337058197286	1.9655354618241838	4.4105716742090815	3.8517109410655888	5.245417447596345	nan	8.28439494743276	3.2101128903137615
OG0028236.0	OG0003819.2	OG0025907.0	OG0045769.0	OG0018879.5	OG0056907.0	OG0014783.4	OG0027534.0	OG0006939.0	OG0022586.0	OG0038762.0	OG0005507.10	OG0028248.0	OG0018613.3	OG0015514.3	OG0018088.4	OG0003133.0	OG0012207.4	OG0005627.0	OG0016437.3	OG0006862.8	OG0004426.0	OG0060344.0	OG0010505.0	OG0046263.0	OG0009017.0	OG0038795.0	OG0005199.18	OG0015242.6	OG0010703.0	OG0046249.0	OG0001937.2	OG0000001.969	OG0012353.4	OG0044897.0	OG0019508.0	OG0022230.0	OG0005150.0	OG0019680.0	OG0048971.0	OG0000138.166	OG0006606.0	OG0014999.6	OG0022608.0	OG0029599.0	OG0035722.0	OG0022899.0	OG0027663.0	OG0000704.0	OG0010577.0	OG0001677.2	OG0025886.0	OG0006105.0	OG0044057.0	OG0023030.0
nan	0.8516262044529875	nan	nan	nan	nan	-0.5419741653558868	nan	1.5532823890445737	nan	nan	0.8890929926202654	nan	nan	nan	nan	0.3063493708416494	3.812699266835068	2.1536659681733177	nan	1.0045192143696726	1.8414385625416405	nan	0.4077195948957706	nan	2.813150455888772	nan	-0.9807948650444054	2.5161081250789663	3.427948026775187	nan	0.8260093003163055	nan	1.9429046589861414	nan	nan	3.234333451618022	2.27384652140903	nan	nan	4.041151194796142	0.5698162337924348	nan	nan	nan	nan	nan	nan	0.7579577298431905	1.1096978360515355	5.076670805978875	-0.46601165053184324	3.788956325645816	nan	nan
OG0041907.0	OG0046872.0	OG0053857.0	OG0014771.0	OG0047016.0	OG0045126.0	OG0005106.0	OG0012181.8	OG0034884.0	OG0004744.2	OG0012392.13	OG0014699.4	OG0010555.1	OG0000761.6	OG0000512.150	OG0000624.3	OG0016021.0	OG0001124.24	OG0057462.0	OG0000203.0	OG0013468.3	OG0027449.0	OG0047385.0	OG0041818.0	OG0004435.0	OG0000643.24	OG0046157.0	OG0011350.0	OG0013913.5	OG0022915.0	OG0003140.0	OG0007212.0	OG0021007.0	OG0010168.13	OG0008612.2	OG0035796.0	OG0002426.4	OG0002434.0	OG0047365.0	OG0017936.0	OG0008652.9	OG0011897.10	OG0025734.0	OG0046081.0	OG0047356.0	OG0020922.0	OG0018795.6	OG0010883.0	OG0014727.4	OG0014132.4	OG0048162.0	OG0003930.0	OG0014722.4	OG0012245.0	OG0024906.0
nan	nan	nan	2.9248802297669068	nan	nan	4.656000349256439	-0.35702765387923174	nan	2.729552668573878	nan	2.766855517229379	nan	7.319953727096082	2.52331131946518	5.704072018941029	2.127788433678722	1.306399188603176	nan	4.68944476284206	1.6718725992073895	1.621712315502133	nan	nan	4.273931085588735	2.8358025360700045	nan	1.8254311482696441	0.3049927896212731	nan	1.045496780557742	0.2561916071936991	nan	-13.287712379549449	2.9618320268265643	nan	nan	7.534576933345815	nan	2.4600373707596077	2.0505744594894315	-0.6573687958961765	nan	nan	nan	0.22441174596493263	nan	-0.760719135238565	1.9141057138588449	-0.145142103954015	nan	1.3296634633173225	3.0010872002639783	1.0510659501509472	nan
OG0002885.12	OG0029115.0	OG0044657.0	OG0024481.0	OG0025858.0	OG0047582.0	OG0045654.0	OG0045721.0	OG0018059.0	OG0002010.0	OG0003257.4	OG0003545.0	OG0037979.0	OG0041843.0	OG0022912.0	OG0027041.0	OG0013467.4	OG0021303.0	OG0001177.22	OG0038760.0	OG0054034.0	OG0012977.2	OG0028105.0	OG0041589.0	OG0057417.0	OG0009110.6	OG0017974.4	OG0043610.0	OG0021965.0	OG0003871.0	OG0011264.6	OG0012306.14	OG0008219.0	OG0004819.4	OG0005260.0	OG0013227.7	OG0002441.0	OG0000514.0	OG0047378.0	OG0019883.0	OG0008694.0	OG0001072.136	OG0019580.0	OG0027649.0	OG0008761.0	OG0004420.2	OG0011440.0	OG0000673.8	OG0027871.0	OG0046491.0	OG0018929.0	OG0003471.0	OG0006880.13	OG0047351.0	OG0037683.0
2.737517912629431	nan	nan	0.3200581886826328	0.47764339153099694	nan	nan	nan	0.1884103991475248	1.759916604942413	3.1311897871450998	1.8788703279881713	nan	nan	nan	nan	1.3671679124556375	3.201444519513334	1.5952365642959678	nan	nan	2.426628233335795	nan	nan	nan	1.8317545863351783	nan	nan	3.6674937866059487	2.5449917483030027	2.629159351557635	nan	3.2236700170364196	1.9120742314904224	1.8709552421193123	nan	2.7181114708491245	5.150987181924763	nan	nan	0.10920754175266703	-0.9696664951423213	1.3425331616481397	1.1869570268390308	0.9939992790336621	1.9826704639937964	1.8723656365898713	2.8931021123780525	nan	nan	1.809760995148255	2.268001353058225	1.2153644452706978	nan	nan
OG0024750.0	OG0006637.5	OG0001931.1	OG0003106.0	OG0019969.0	OG0020722.0	OG0013648.4	OG0010967.2	OG0013639.0	OG0041806.0	OG0025127.0	OG0016148.4	OG0006142.4	OG0002108.0	OG0027532.0	OG0003055.24	OG0011204.0	OG0007916.2	OG0001497.24	OG0038630.0	OG0005463.3	OG0013170.9	OG0009212.2	OG0015003.6	OG0023946.0	OG0017784.2	OG0022918.0	OG0000759.38	OG0020423.0	OG0004606.1	OG0020495.0	OG0038798.0	OG0002704.28	OG0046190.0	OG0047393.0	OG0045064.0	OG0046044.0	OG0004556.0	OG0057022.0	OG0046710.0	OG0057420.0	OG0024365.0	OG0004073.8	OG0002928.0	OG0057253.0	OG0034257.0	OG0035863.0	OG0001439.24	OG0053881.0	OG0007519.0	OG0006255.2	OG0011433.8	OG0038814.0	OG0020537.0	OG0006713.0
nan	2.195233509088114	0.7467544197461577	4.485228098483122	nan	0.6991629231323545	2.6245066261019385	3.1625306037632877	4.350773151344999	nan	2.3178244156143677	1.1459127134393265	4.143927071291003	2.9793418746516735	-0.5752400947576881	3.186297137489384	3.3310339255202264	3.525010213044732	0.9211925809612445	nan	2.155885359719596	nan	0.9867694859823682	-0.8473029920731512	nan	1.8892061487153562	0.8858426269387845	1.0426648344827683	2.037157900329597	1.8813712268728424	-0.7766420278999153	nan	0.5849406865216938	nan	nan	nan	nan	0.22989285324362066	nan	nan	nan	nan	2.4646596014447026	0.942588797814523	nan	nan	nan	1.3354272190098055	nan	1.4079645139774803	-0.2132157547459344	1.8147165862582713	nan	1.9429708475445806	1.2065431556522914
OG0003851.24	OG0026501.0	OG0029079.0	OG0021325.0	OG0035832.0	OG0007919.2	OG0006317.0	OG0018484.6	OG0002201.2	OG0046204.0	OG0029261.0	OG0038115.0	OG0038124.0	OG0044043.0	OG0006989.7	OG0048997.0	OG0045211.0	OG0012965.0	OG0015234.2	OG0002344.91	OG0029129.0	OG0027750.0	OG0007598.0	OG0029095.0	OG0011666.0	OG0009245.0	OG0012930.0	OG0010946.12	OG0022582.0	OG0025909.0	OG0004545.0	OG0006247.0	OG0019022.3	OG0045013.0	OG0035721.0	OG0037946.0	OG0044146.0	OG0037880.0	OG0029177.0	OG0026315.0	OG0018780.6	OG0047174.0	OG0006146.0	OG0008607.0	OG0028284.0	OG0027719.0	OG0047603.0	OG0034541.0	OG0020783.0	OG0005164.5	OG0025502.0	OG0015349.0	OG0004967.2	OG0010706.0	OG0002272.22
