OG0012896.0	OG0022825.0	OG0000471.2	OG0016785.2	OG0004710.2
1.8034150000000002	1.458084	nan	2.974337	nan
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
1.150024	2.287982	1.074552	1.50665	0.7492673000000001
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
1.020704	0.6875286	2.008594	1.503268	1.7660470000000001
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
1.112951	3.257614	3.4195059999999997	3.827471	nan
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
0.47175920000000005	263.5777	1.646204	1.877186	1.117942
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
2.544012	3.3942919999999996	1.184657	257.0262	1.419249
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
1.382693	3.350161	3.214203	188.0326	1.062062
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
1.5430979999999999	2.362462	1.104472	nan	1.481467
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
6.593411	3.276231	1.898957	1.435602	2.826679
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
nan	4.544112999999999	3.712986	1.1108360000000002	3.0739810000000003
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
nan	2.619141	nan	6.2155569999999996	3.4592419999999997
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
8.686442999999999	216.5791	3.262464	2.993645	1.9643259999999998
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
3.25788	2.410956	1.1144530000000001	5.262687000000001	2.046107
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
3.097402	1.58454	2.077664	2.653845	2.527016
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
1.8631669999999998	3.717061	3.850999	3.111616	1.66025
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
2.953696	1.9996080000000003	5.131583999999999	3.041382	2.712447
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
1.488602	2.2660720000000003	7.7870289999999995	4.548214	1.47641
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
0.51542	2.352437	167.48	2.973122	4.50828
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
2.825598	3.731753	nan	3.7838809999999996	1.467007
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
4.192069999999999	1.730225	1.5046629999999999	1.152454	1.371852
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
0.6956055	6.404101	3.357325	nan	1.473904
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
4.1423239999999995	1.345734	6.30503	3.2815300000000005	3.478526
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
1.173859	258.9998	3.59954	5.247023	1.6631639999999999
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
