OG0000692.0	OG0022826.0	OG0001967.0	OG0012896.0	OG0004710.2	OG0012915.3	OG0001643.24	OG0016785.2	OG0004464.0	OG0004338.2	OG0002252.0	OG0000038.0	OG0004835.2	OG0000177.8	OG0001698.26	OG0012926.0	OG0000606.2	OG0004324.0	OG0006804.0	OG0000027.1	OG0000107.44	OG0004617.12	OG0000471.2	OG0001566.2	OG0022825.0	OG0000027.457	OG0000019.257	OG0009883.5	OG0000835.7	OG0002346.16	OG0006400.2
1.8169971813906374	nan	1.5882904172534085	1.057877257780895	0.9502230325553657	-0.574025449900363	-1.1462318953681279	-1.1496317731419636	1.6419135182040943	1.164972429545315	-0.006720336416998766	1.194228300642796	-0.8351836389871339	1.5266319293220363	-0.48242311792037795	1.168953390888837	0.5143631591319802	0.9956940807452876	1.4202738952916638	1.2484510086466838	1.877187566661312	0.018014285351798488	-0.4219138979696112	0.5979055890573353	nan	0.7772595702079395	0.050528128990071	0.9182746070140498	0.05665574585056997	0.7892010360271158	1.446923653234134
OG0038719.0	OG0001779.0	OG0053776.0	OG0011182.2	OG0009126.0	OG0011318.4	OG0048065.0	OG0029069.0	OG0018746.5	OG0010101.0	OG0014083.1	OG0016858.0	OG0041901.0	OG0006849.0	OG0006580.0	OG0044110.0	OG0047583.0	OG0007576.0	OG0000178.8	OG0045093.0	OG0023638.0	OG0002907.5	OG0045520.0	OG0010074.0	OG0028089.0	OG0001402.24	OG0016173.4	OG0022188.0	OG0015681.0	OG0000446.108	OG0046974.0
nan	1.839481001737702	nan	3.4602523495907263	2.2038152573239063	-0.40598301649357743	nan	-13.287712379549449	nan	0.6223030537724552	nan	0.1809595580909896	nan	-0.0927449104411918	2.1342117794169435	nan	nan	1.856984687049036	-0.5279777696619308	nan	nan	-1.5591034325834552	nan	1.1258955605811964	nan	-0.9960970511294475	1.484833790723218	nan	2.6666831038667413	0.2792881956477837	nan
OG0054015.0	OG0003869.12	OG0044732.0	OG0012941.2	OG0008276.6	OG0000096.194	OG0004382.22	OG0046414.0	OG0037898.0	OG0004885.6	OG0006366.0	OG0018942.4	OG0019956.0	OG0049002.0	OG0004504.4	OG0026588.0	OG0018953.6	OG0021940.0	OG0046003.0	OG0005692.2	OG0045452.0	OG0019163.0	OG0045345.0	OG0018040.6	OG0022056.0	OG0025658.0	OG0001590.23	OG0048153.0	OG0048887.0	OG0020553.0	OG0017744.4
nan	0.4118022989414904	nan	-0.0297148895255853	-1.4063665851747271	1.3399561501955455	-0.24970085195070466	nan	nan	0.43990373777131	-0.0028200914601569723	2.1837253576153297	-13.287712379549449	nan	-0.3131714563379528	nan	nan	1.3925205785017307	nan	0.45647640065164763	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.9780220092308588	nan
OG0056659.0	OG0045253.0	OG0004252.0	OG0004177.4	OG0038613.0	OG0012985.0	OG0007406.0	OG0004945.0	OG0016261.0	OG0037863.0	OG0045362.0	OG0011952.0	OG0011225.0	OG0020238.0	OG0004024.2	OG0027505.0	OG0014537.0	OG0012070.2	OG0044418.0	OG0005558.1	OG0044957.0	OG0008126.4	OG0026276.0	OG0021277.0	OG0017984.1	OG0038653.0	OG0007192.0	OG0046223.0	OG0010145.0	OG0041885.0	OG0016868.0
nan	nan	0.7292904275853505	1.5554129294349073	nan	0.422160081719006	-0.8020930044377422	1.7866518993042015	1.471307004785718	nan	nan	-0.10943577879771141	0.33007620575494895	nan	-0.22191296981545217	nan	0.7522176502577118	0.26676344011737346	nan	0.6515912587568213	nan	2.266796654920057	nan	0.3860600823693702	0.45188344465451313	nan	3.134568917855123	nan	1.1585482215441727	nan	0.9313422352885756
OG0000089.390	OG0000348.4	OG0002604.2	OG0041714.0	OG0009994.20	OG0002301.1	OG0043642.0	OG0008928.8	OG0022233.0	OG0011910.0	OG0011345.0	OG0043533.0	OG0041554.0	OG0053919.0	OG0045255.0	OG0056902.0	OG0005936.0	OG0007212.0	OG0046592.0	OG0034318.0	OG0001030.26	OG0056793.0	OG0006663.0	OG0017766.5	OG0057148.0	OG0006196.0	OG0000864.26	OG0007822.0	OG0056663.0	OG0024670.0	OG0017841.6
nan	0.45486290041680383	1.6259508600000192	nan	nan	0.04629660499250455	nan	-0.5118390637077109	3.6363372465562946	1.9056221446435035	1.345091610876432	nan	nan	nan	nan	nan	1.0965570402401537	-0.4030053455785509	nan	nan	0.4846929214465475	nan	0.11757163520227437	nan	nan	2.274782710358962	0.335336554251273	1.265746297160299	nan	nan	nan
OG0041647.0	OG0005639.0	OG0028126.0	OG0000017.1174	OG0018804.2	OG0041919.0	OG0027837.0	OG0053775.0	OG0048059.0	OG0010877.4	OG0003809.0	OG0001873.22	OG0006865.6	OG0034581.0	OG0056991.0	OG0022775.0	OG0004133.0	OG0010866.17	OG0020395.0	OG0017756.6	OG0013066.8	OG0034798.0	OG0024810.0	OG0023466.0	OG0000634.26	OG0001756.0	OG0001618.1	OG0004864.0	OG0003351.0	OG0012771.2	OG0014062.0
nan	2.3494743917130405	nan	2.764965396588069	nan	nan	nan	nan	nan	2.6583052921931314	1.2378714352198668	0.10372568779225197	1.784377229393053	nan	nan	nan	0.5248998096714259	nan	nan	nan	nan	nan	1.4544791842328597	nan	-0.137627119925514	0.875177432037306	0.17995852915848282	1.5198389416651619	1.5675170759294663	1.379430198989296	-13.287712379549449
OG0013507.0	OG0001650.11	OG0028452.0	OG0004037.0	OG0019269.0	OG0020528.0	OG0007860.0	OG0000538.0	OG0060393.0	OG0028224.0	OG0021242.0	OG0013561.4	OG0045998.0	OG0047946.0	OG0047462.0	OG0003089.5	OG0003438.0	OG0003918.5	OG0024476.0	OG0045480.0	OG0025657.0	OG0054134.0	OG0045760.0	OG0014039.0	OG0013052.2	OG0044163.0	OG0057335.0	OG0041524.0	OG0041643.0	OG0041562.0	OG0005463.38
1.0879972459137117	0.7299029935807237	nan	1.4296796146128583	nan	2.809953287941115	1.3627588787789278	0.055016216932227316	nan	nan	0.9588224271235599	0.9086164592148542	nan	nan	nan	0.0074779934685194295	0.36698107651852185	0.7710139534199532	3.5459659919329907	nan	nan	nan	nan	-13.287712379549449	-2.504853792429553	nan	nan	nan	nan	nan	2.5520335845241164
OG0056907.0	OG0056841.0	OG0015779.6	OG0007632.0	OG0004271.1	OG0006976.0	OG0010956.0	OG0001709.27	OG0015228.4	OG0008342.0	OG0012072.2	OG0008943.0	OG0053956.0	OG0009077.4	OG0000152.12	OG0034812.0	OG0044774.0	OG0012765.0	OG0010743.6	OG0049041.0	OG0047282.0	OG0024549.0	OG0046550.0	OG0022772.0	OG0035837.0	OG0043625.0	OG0027022.0	OG0002675.22	OG0004477.4	OG0021267.0	OG0043402.0
nan	nan	nan	1.1041121752927816	-1.0498696243439873	1.0830782285820593	0.8378171889038313	1.0518444569698198	0.575483150530966	-0.11108232093003877	2.6365808073733055	2.0686388651527534	nan	1.2758417087863005	-0.352034811608508	nan	nan	0.11058016447833818	0.9231339577591535	nan	nan	-13.287712379549449	nan	nan	nan	nan	1.8789032114078525	0.4766639829444203	1.4729986914190625	nan	nan
OG0046598.0	OG0006443.2	OG0000255.37	OG0000481.166	OG0019366.0	OG0000581.0	OG0019846.0	OG0053939.0	OG0028254.0	OG0047505.0	OG0013218.3	OG0029593.0	OG0045161.0	OG0008871.1	OG0060431.0	OG0011142.10	OG0027169.0	OG0053995.0	OG0020021.0	OG0014093.9	OG0016605.3	OG0024398.0	OG0044507.0	OG0001645.0	OG0008123.0	OG0016230.0	OG0012865.4	OG0009091.4	OG0048929.0	OG0009095.4	OG0045090.0
nan	1.3946476284500497	nan	1.1145786456869822	2.8963062681589347	1.1772471915229294	nan	nan	nan	nan	-2.642443082390205	nan	nan	nan	nan	0.5274780576784764	nan	nan	nan	nan	nan	nan	nan	0.8989690789116683	1.327330690328834	1.753823311251694	nan	0.7928642290070194	nan	-0.24293210287385733	nan
