OG0000692.0	OG0022826.0	OG0001967.0	OG0012896.0	OG0004710.2	OG0012915.3	OG0001643.24	OG0016785.2	OG0004464.0	OG0004338.2	OG0002252.0	OG0000038.0	OG0004835.2	OG0000177.8	OG0001698.26	OG0012926.0	OG0000606.2	OG0004324.0	OG0006804.0	OG0000027.1	OG0000107.44	OG0004617.12	OG0000471.2	OG0001566.2	OG0022825.0	OG0000027.457	OG0000019.257	OG0009883.5	OG0000835.7	OG0002346.16	OG0006400.2
5.3046131075363325	nan	6.72934923610745	2.9455225643395324	4.392777449539969	-0.574025449900363	3.2101128903137615	-1.1496317731419636	4.796337093549347	3.1718221101701016	0.6421388859096409	8.28439494743276	0.7131066658987535	5.955284279267988	3.76834630985074	1.1797254540653153	5.666171523074633	4.037556234354109	3.3471865635528135	7.848726000425037	7.635567466058466	2.5915616660558416	4.959066512187899	6.524116308090783	nan	7.0328924937553605	4.846145263580903	2.57008927430335	3.792281048797407	2.7483891364840862	5.2578598702908
OG0038719.0	OG0001779.0	OG0053776.0	OG0011182.2	OG0009126.0	OG0011318.4	OG0048065.0	OG0029069.0	OG0018746.5	OG0010101.0	OG0014083.1	OG0016858.0	OG0041901.0	OG0006849.0	OG0006580.0	OG0044110.0	OG0047583.0	OG0007576.0	OG0000178.8	OG0045093.0	OG0023638.0	OG0002907.5	OG0045520.0	OG0010074.0	OG0028089.0	OG0001402.24	OG0016173.4	OG0022188.0	OG0015681.0	OG0000446.108	OG0046974.0
nan	5.0023807301294845	nan	3.4602523495907263	3.127523038336149	1.1396614238054927	nan	-13.287712379549449	nan	1.077277228877906	nan	0.19783836553020495	nan	0.8949960649520372	2.758450860730959	nan	nan	4.189537800310404	4.820612269405625	nan	nan	-0.35177049392351095	nan	2.058553784669645	nan	0.2187907184010283	1.484833790723218	nan	2.6666831038667413	0.8873846025830323	nan
OG0054015.0	OG0003869.12	OG0044732.0	OG0012941.2	OG0008276.6	OG0000096.194	OG0004382.22	OG0046414.0	OG0037898.0	OG0004885.6	OG0006366.0	OG0018942.4	OG0019956.0	OG0049002.0	OG0004504.4	OG0026588.0	OG0018953.6	OG0021940.0	OG0046003.0	OG0005692.2	OG0045452.0	OG0019163.0	OG0045345.0	OG0018040.6	OG0022056.0	OG0025658.0	OG0001590.23	OG0048153.0	OG0048887.0	OG0020553.0	OG0017744.4
nan	1.5331709581270692	nan	-0.0297148895255853	-1.3933717700062638	7.10600980379827	1.2925111478642912	nan	nan	1.2714792551433778	0.05946123080362121	2.1837253576153297	-13.287712379549449	nan	3.87854066659613	nan	nan	1.3925205785017307	nan	1.7810975230508705	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.9780220092308588	nan
OG0056659.0	OG0045253.0	OG0004252.0	OG0004177.4	OG0038613.0	OG0012985.0	OG0007406.0	OG0004945.0	OG0016261.0	OG0037863.0	OG0045362.0	OG0011952.0	OG0011225.0	OG0020238.0	OG0004024.2	OG0027505.0	OG0014537.0	OG0012070.2	OG0044418.0	OG0005558.1	OG0044957.0	OG0008126.4	OG0026276.0	OG0021277.0	OG0017984.1	OG0038653.0	OG0007192.0	OG0046223.0	OG0010145.0	OG0041885.0	OG0016868.0
nan	nan	4.429294229830239	1.8153749806594042	nan	1.9228883950216857	-0.30484516938923656	5.110295929253666	1.7828900749211014	nan	nan	0.9884334203575967	0.33654256844461233	nan	3.8951911122198792	nan	1.6759222999849273	0.7732571542698885	nan	0.7847853864271153	nan	4.506836856576417	nan	0.3860600823693702	0.45188344465451313	nan	5.458979929065603	nan	1.2349021747166558	nan	0.9313422352885756
OG0000089.390	OG0000348.4	OG0002604.2	OG0041714.0	OG0009994.20	OG0002301.1	OG0043642.0	OG0008928.8	OG0022233.0	OG0011910.0	OG0011345.0	OG0043533.0	OG0041554.0	OG0053919.0	OG0045255.0	OG0056902.0	OG0005936.0	OG0007212.0	OG0046592.0	OG0034318.0	OG0001030.26	OG0056793.0	OG0006663.0	OG0017766.5	OG0057148.0	OG0006196.0	OG0000864.26	OG0007822.0	OG0056663.0	OG0024670.0	OG0017841.6
nan	5.52008236849679	5.103912400187666	nan	nan	1.410319376698689	nan	1.37373307938317	3.7983962925280905	4.8075596866846775	2.065700041339473	nan	nan	nan	nan	nan	5.811200967701379	0.2561916071936991	nan	nan	1.1824285995082477	nan	0.6208818055709229	nan	nan	2.475096623957446	3.2844669780522584	2.6150619310143925	nan	nan	nan
OG0041647.0	OG0005639.0	OG0028126.0	OG0000017.1174	OG0018804.2	OG0041919.0	OG0027837.0	OG0053775.0	OG0048059.0	OG0010877.4	OG0003809.0	OG0001873.22	OG0006865.6	OG0034581.0	OG0056991.0	OG0022775.0	OG0004133.0	OG0010866.17	OG0020395.0	OG0017756.6	OG0013066.8	OG0034798.0	OG0024810.0	OG0023466.0	OG0000634.26	OG0001756.0	OG0001618.1	OG0004864.0	OG0003351.0	OG0012771.2	OG0014062.0
