OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
nan	0.122217	0.188777	nan	nan	nan	nan	nan	nan	0.11396400000000001	nan	0.200035	0.216709	0.021876	0.188339	0.28313499999999997	nan	0.37095	nan	0.1919	nan	nan	0.45005	0.13281400000000002	nan	nan	nan	0.00373995	0.117201	0.26629400000000003	0.241229	1e-07	0.183283	nan	nan	0.0737418	nan	0.24622399999999997	0.267524	0.0325001	0.14970799999999998	0.252362	0.357342	0.16265	0.145086	nan	nan	0.41635	0.1	0.128108	0.261077	nan	0.23294099999999998	0.168699	1e-07	0.100102	nan	0.200545	0.135823	0.116874	1e-07	0.102384	0.200551	nan	nan	0.264739	0.121563	0.108426	nan	0.196043	0.276817	0.13783900000000002	nan	0.517621	0.093279	0.255655	nan	0.021855	0.0955671	0.14636300000000002	0.1	0.183809	0.196069	0.289665	nan	0.198114	0.136905	0.27823400000000004	0.229985	0.189297	nan	0.29585300000000003	0.169438	1e-07	0.13663	0.252418	nan	nan	nan	0.040144	nan	nan	0.049576	nan	0.35728499999999996	0.539034	nan	nan	0.1	nan	0.0705023	nan	nan	0.171465	0.234066	0.192824	nan	nan	0.0955598	0.31352399999999997
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
0.174453	0.25587600000000005	nan	0.128094	0.10862899999999999	0.0691574	nan	0.286702	nan	nan	0.0990347	nan	nan	0.0969134	0.0446707	0.25590300000000005	nan	1e-07	0.213321	0.0816172	nan	1e-07	nan	0.159121	1e-07	nan	nan	0.0305166	nan	0.0155472	nan	nan	nan	0.5291140000000001	0.0155472	0.0383818	0.0388231	0.046928199999999996	0.0127809	0.117319	0.17518599999999998	0.19234400000000001	nan	0.261141	0.020028999999999998	0.0166027	0.252792	nan	nan	0.148452	nan	0.1673	0.08152000000000001	nan	0.281634	nan	0.0155472	0.08478510000000002	0.08980310000000001	0.13006099999999998	1e-07	nan	nan	0.247548	nan	nan	nan	0.211869	0.03598080000000001	0.0763566	nan	0.0155472	0.0497858	1e-07	0.0589895	0.0166027	0.5146189999999999	0.09517619999999999	0.0174519	nan	0.170167	0.0933375	nan	0.191198	0.0113853	nan	nan	0.05503969999999999	nan	0.030205400000000004	nan	0.0934782	0.0828015	nan	nan	nan	nan	nan	0.182997	0.268547	1e-07	1e-07	0.275753	0.268961	nan	0.0294524	0.0752515	nan	0.0992212	nan	0.251919	0.271404	nan	0.0127809	nan	0.20847	0.0449341	nan	0.0270365	0.07209299999999999
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
nan	0.11921500000000002	0.0844349	0.551217	0.240946	1e-07	0.0505339	0.0517582	nan	nan	nan	0.111919	nan	nan	1e-07	nan	0.0371082	0.0155472	0.0382717	0.164027	0.16384300000000002	nan	0.0174	nan	0.017736099999999998	0.238867	0.11073499999999999	1e-07	nan	nan	nan	0.177491	nan	0.0655742	nan	0.240932	nan	0.0495478	nan	0.139963	nan	1e-07	0.0522319	0.1072	nan	0.42551700000000003	0.15978399999999998	0.114605	0.0396875	0.17604	nan	0.259534	0.49773599999999996	0.053546800000000006	0.480347	nan	nan	1e-07	nan	nan	nan	0.018409400000000003	nan	1e-07	0.206379	0.168151	0.170489	nan	nan	nan	nan	0.06614	0.0220237	nan	nan	nan	0.047862800000000004	0.0363446	0.05009980000000001	0.24160900000000002	nan	1e-07	1e-07	0.0435949	nan	1e-07	1e-07	0.0219922	0.545808	1e-07	0.22410300000000002	1e-07	0.13198	nan	0.5449229999999999	0.265491	nan	0.23113899999999998	0.20710100000000004	0.1	0.261025	0.0703932	nan	nan	0.268961	0.520197	nan	0.032545	0.157685	nan	0.23121799999999998	nan	0.09775	1e-07	nan	0.20847	nan	0.050314199999999996	1e-07	0.180595
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
nan	0.234591	nan	0.044570599999999995	0.253116	0.09077660000000001	nan	nan	1e-07	nan	0.03671169999999999	0.1	1e-07	0.08346920000000001	nan	0.293013	0.05403530000000001	0.11231300000000001	0.1	nan	0.265361	nan	0.0127809	0.223073	0.178612	1e-07	0.0155472	0.24604299999999998	0.198293	0.09949960000000001	nan	nan	nan	nan	nan	nan	0.037026199999999995	0.058977699999999994	0.042339800000000004	0.0382908	nan	0.101259	0.21297399999999997	nan	nan	0.0522319	nan	0.152282	1e-07	1e-07	0.0608707	nan	0.11512	0.0998573	0.0931411	0.017899	nan	0.0519808	0.225117	0.30836199999999997	1e-07	nan	nan	nan	nan	nan	nan	0.173439	0.0958813	0.0477465	nan	0.0726805	0.0700412	0.172758	0.015169899999999998	0.0652884	nan	1e-07	0.0540424	0.204464	0.0409046	0.115477	nan	0.0361671	0.0828015	1e-07	0.0301142	nan	0.0606739	nan	0.545808	nan	0.161704	0.101493	nan	nan	nan	0.23957199999999998	nan	1e-07	0.0524577	0.182997	0.195436	0.208182	nan	nan	1e-07	0.0294524	0.195243	nan	nan	nan	0.175744	0.122196	0.108892	0.0696346	nan	nan	0.20847	0.0969134
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
nan	1e-07	1e-07	0.187104	0.0990289	0.12103599999999999	nan	0.07155349999999999	nan	0.24550100000000002	0.0160813	0.098926	nan	0.0277884	1e-07	nan	nan	nan	0.159121	0.249081	nan	0.0449285	nan	0.0151822	0.0561153	nan	nan	nan	nan	nan	0.1	0.26817199999999997	0.237366	nan	0.11482300000000001	0.019225799999999998	1e-07	0.018593799999999997	nan	0.12101500000000001	nan	nan	0.269073	nan	0.220702	0.020028999999999998	nan	0.132192	nan	1e-07	0.23062600000000003	nan	nan	1e-07	0.0202903	0.17490799999999998	1e-07	0.0169727	1e-07	nan	0.0501283	1e-07	nan	0.19001600000000002	0.242233	1e-07	0.038045499999999996	nan	nan	0.0155472	0.029558299999999996	0.018409400000000003	nan	0.043751099999999994	nan	0.26058600000000004	nan	0.0130164	nan	0.0933375	0.230595	0.265922	0.05009980000000001	nan	1e-07	0.107064	1e-07	0.208662	0.0464914	1e-07	nan	nan	nan	nan	1e-07	1e-07	nan	1e-07	0.0579474	0.0334073	0.047806	0.186353	0.115124	0.09717	0.181294	0.0796845	0.246736	0.0446092	nan	nan	nan	0.133691	0.22381199999999998	nan	0.1	0.129415	nan	nan	0.10899	nan
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
