OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
-1.4744950000000001	0.2656074	0.8042855	nan	-1.981526	nan	0.9662683000000001	nan	-1.8704049999999999	-1.503737	0.3971866	0.13986510000000002	1.195211	nan	0.3593693	0.3392868	-0.2511891	-1.761985	nan	2.790695	-1.459039	0.2675892	0.8227421999999999	-1.1786459999999999	0.2762338	-1.638823	nan	0.7225895	nan	-0.44281980000000004	-1.504405	0.2747206	0.339843	-0.7556885999999999	0.180809	-1.280974	0.6601767	-1.8549400000000003	-0.04809441	nan	0.445966	0.5016164000000001	nan	0.1569761	-0.05962975	0.12763010000000002	0.04215994	1.304215	-1.1876950000000002	nan	0.5931903000000001	-0.3257397	nan	0.05866991	0.36649349999999997	0.7693346	0.4080258	-0.2413988	0.1448835	nan	0.8530101999999999	0.4098723	-0.3318772	nan	-1.4993299999999998
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
0.8209898000000001	nan	nan	1.480374	-1.009358	-1.23724	4.931957	0.3839897	nan	-0.7974171999999999	-0.1454219	nan	-0.31397509999999995	1.000353	0.165913	-0.6565258	0.3800413	-0.450412	0.20620070000000001	-1.155592	-1.005058	-1.365397	0.45055600000000007	1.085744	-0.7356884	0.42467200000000005	-1.243798	-5.995925	-1.8247220000000002	1.549648	0.05411525	nan	nan	0.8136394	-0.1928569	-0.3421369	-0.6055636	-1.452609	1.501298	-0.4260924	-0.249613	0.8530573	-0.40862919999999997	0.8931176	-1.411267	-1.159917	nan	0.115848	1.0419100000000001	-1.230817	nan	1.1793280000000002	nan	-0.3779653	-1.2845879999999998	-0.7855437	-1.49957	-0.4748273	nan	-1.542849	1.371422	nan	0.3992575	-1.335353	nan
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
-0.6398459	-1.519811	0.5397793000000001	-1.176588	-1.402367	0.8530597	1.233117	-0.355013	-0.6974258000000001	nan	0.1102425	nan	nan	-1.314339	-0.6136937	-0.05943936	1.216927	1.219208	0.37995059999999997	1.174635	-0.42381769999999996	1.170957	-0.7742081000000001	nan	1.0176020000000001	0.4428129	-0.1358959	0.361703	nan	nan	0.6942204000000001	0.3933374	nan	-0.5756583000000001	-0.2590268	nan	-0.9828329	-1.6535819999999999	-0.4784367	-0.03274728	-0.6483125	0.8507853000000001	nan	-0.4182918	-1.1529969999999998	-1.513607	-0.2867206	-0.21117510000000003	nan	-0.8184876999999999	0.1995067	-0.11989589999999999	-1.131478	1.096637	0.3307699	-0.7660423000000001	-6.462316	nan	-0.6143751999999999	-1.402551	-1.424576	1.049801	-1.757434	0.1951009	0.6410088
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
0.04394422	-0.9410398999999999	-6.624306	-0.3055663	-0.7506404000000001	nan	-1.353777	-0.5041876000000001	-0.44837520000000003	-0.01752002	-1.5215610000000002	-1.513611	1.688971	-1.577608	-0.28331259999999997	0.45852440000000005	-1.7370330000000003	-0.1880704	-1.5458290000000001	0.37995059999999997	0.484575	-1.687295	-0.03863075	nan	0.39055270000000003	nan	-1.200217	0.04359181	-1.7375919999999998	-1.162896	5.025678	nan	nan	-0.1026394	-0.1707992	-0.08118239	0.4759116	nan	-1.138874	-0.22559099999999999	-1.3686	-0.5469304	-0.3143018	0.01720943	-0.005426372	-0.6023779	-1.461726	-1.170916	nan	nan	-1.170406	-2.0121919999999998	0.02281324	-1.030241	0.9424279000000001	0.8762261999999998	-0.8997704	nan	nan	0.06269448	nan	nan	1.216528	0.2598754	0.191079
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
0.2118698	0.9071892	-0.13338770000000003	-1.279669	-1.364644	-0.4702418	-0.5709385	0.3443829	-1.104296	nan	-6.1285870000000005	0.3504305	0.07473823	-0.2510136	0.6073546999999999	-0.9851735	nan	1.1270959999999999	1.174635	nan	nan	-1.002942	-0.2555383	0.5617234999999999	-1.758048	1.085744	-0.8246438	nan	-1.741713	-0.697332	nan	-0.2577349	-0.9750529	0.30382750000000003	0.435749	nan	0.27304720000000005	-0.7243009	-0.2981009	-0.59115	-1.130678	0.09096725	0.7913296	-1.051959	-1.6127280000000002	-6.116931	-1.939207	-1.626892	1.33695	4.950349	0.6525055000000001	nan	-0.37835219999999997	0.1627418	1.2665799999999998	-0.2434384	-0.15901310000000002	nan	-1.181029	-1.5832110000000001	0.8223438	0.8966251000000001	nan	-0.6302736	nan
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
