OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
0.6155170999999999	5.586796	0.4374031	nan	1.449231	3.186394	1.538705	nan	9.605725	nan	nan	100.1257	1.0890799999999998	0.8220155	21.4313	0.9340764000000001	nan	nan	2.979813	2.195914	nan
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
258.4042	3.027261	1.4855209999999999	6.13208	2.9724209999999998	215.4584	nan	2.23895	4.490817	258.9985	257.91	3.3614330000000003	nan	nan	nan	1.8104669999999998	3.3712089999999995	2.967954	3.382794	1.45575	261.6784
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
2.331914	3.2793120000000004	3.2628790000000003	265.9361	1.495002	2.3814599999999997	2.2315240000000003	253.0785	45.5317	3.748179	2.4393380000000002	3.2372549999999998	2.854315	0.9406540000000001	nan	1.288073	26.391070000000003	15.71825	219.4391	1.328523	2.646624
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
45.3098	2.672294	2.297327	1.8913490000000002	3.324096	3.724932	257.986	1.488702	3.3450830000000003	2.264949	3.786654	2.5966869999999997	nan	2.605867	2.3377950000000003	3.301689	1.925138	nan	1.697916	1.381604	8.035736
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
3.2877949999999996	nan	260.4255	nan	nan	4.547843	3.4003959999999998	4.609828	257.3328	213.1497	6.763924	1.452754	3.82111	3.201813	1.301467	254.9695	1.495144	9.285036	nan	2.451542	1.489522
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
