OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
nan	0.002059146203	0.8944614912819999	nan	0.880791193566
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
3.411260257541	nan	nan	nan	nan
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
1.775272505852	2.504187423686	nan	nan	nan
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
2.074746709231	0.489498535763	1.162806783835	nan	nan
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
2.016551432457	nan	0.021366844326	nan	1.048961005107
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
nan	nan	0.0	0.978442891191	1.7016717947909998
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
nan	nan	nan	nan	1.989967702578
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
nan	nan	nan	1.334484052905	1.7016717947909998
OG0000886.24	OG0000001.1420	OG0000042.23	OG0017858.0	OG0002007.0
nan	1.91080168688	0.705796617539	nan	nan
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24	OG0021460.0
2.016551432457	nan	nan	nan	nan
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
nan	nan	nan	0.690617283814	nan
OG0002077.0	OG0007293.0	OG0000032.252	OG0000854.30	OG0000677.1
nan	nan	1.78932801755	1.140759268161	nan
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
nan	nan	1.214125836954	1.91080168688	nan
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
nan	nan	1.6441121860769998	nan	nan
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1	OG0010880.0
nan	2.074746709231	0.042386053091	nan	nan
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
nan	nan	1.989967702578	nan	nan
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0	OG0006773.2
2.016551432457	nan	nan	nan	nan
OG0000010.475	OG0000501.29	OG0013950.6	OG0001886.0	OG0001172.24
2.016551432457	nan	nan	nan	nan
