OG0009883.5	OG0000692.0	OG0012915.3	OG0004617.12	OG0004835.2	OG0004464.0	OG0004338.2	OG0000107.44	OG0000038.0	OG0000027.1
-2.879382638782058	-0.6610907271910786	-3.8802321574527925	-1.534913621113934	-2.554697057863487	-0.5420380555473153	-1.8416629728328997	-0.43908943912011134	-0.5428785420499038	-0.35752946268417823
OG0008656.1	OG0010913.0	OG0043411.0	OG0008443.1	OG0010756.0	OG0004568.1	OG0005507.10	OG0014125.1	OG0015179.2	OG0003049.0
nan	-1.2122332300614325	nan	-0.7973628738101624	-0.4289542796140285	-1.6831591504704124	-1.0661252582846446	nan	-3.0991235338421013	-0.6411536693949014
OG0014810.0	OG0006647.0	OG0047150.0	OG0015093.3	OG0014620.0	OG0013321.0	OG0047353.0	OG0015979.6	OG0053810.0	OG0024522.0
-1.3194055851186515	-1.3793197587756991	nan	nan	-0.5236701622428623	-1.409278229990159	nan	-3.3915313681619077	nan	nan
OG0038154.0	OG0011720.2	OG0001184.24	OG0014502.4	OG0016791.0	OG0017901.0	OG0005646.0	OG0047603.0	OG0016776.5	OG0035803.0
nan	-0.6594946993260151	-1.2185983177755109	-1.0525956651531994	-1.6192705514964514	-0.8541269383989551	-1.858305638035469	nan	nan	nan
OG0002993.1	OG0006460.2	OG0004302.0	OG0010095.2	OG0018256.2	OG0019234.0	OG0016149.0	OG0023958.0	OG0035604.0	OG0008532.6
-1.0782590139204997	-0.5948789645486792	-1.0171250391019384	-1.9534390942422588	-1.7933567760166047	-2.1726687293877394	-1.8221459747400506	nan	nan	-1.5043048373759311
OG0047378.0	OG0021370.0	OG0005619.0	OG0044416.0	OG0009877.2	OG0001321.26	OG0007340.4	OG0003483.0	OG0005694.0	OG0007523.4
nan	nan	-2.242635327614509	nan	-1.4445764684381	-0.2278609687786466	-1.9562355576898298	-0.22313800640030546	-1.2750878406843897	-0.7053351439087583
OG0005991.0	OG0027772.0	OG0047976.0	OG0004954.6	OG0044358.0	OG0007191.0	OG0013191.3	OG0004616.0	OG0004779.4	OG0047138.0
-1.1124747292584127	nan	nan	-0.5583040625654302	nan	-0.5536378881214055	nan	-0.8066698046156957	nan	nan
