OG0006225.0	OG0000711.2	OG0019212.0	OG0002787.0	OG0001823.24	OG0000065.1	OG0002101.0	OG0001699.1	OG0001764.0	OG0005056.1	OG0001607.2	OG0029060.0	OG0001566.2	OG0002309.26	OG0008341.0	OG0004205.0	OG0002988.0	OG0005575.28	OG0015416.2	OG0001842.34	OG0000098.0	OG0000236.122	OG0000264.1	OG0000551.2	OG0008342.0	OG0001907.32	OG0016785.2	OG0020502.0	OG0000119.0	OG0000441.1	OG0002651.6	OG0008335.19	OG0000833.0	OG0000750.0	OG0001778.24	OG0014063.4	OG0000456.0	OG0002012.0	OG0005567.0	OG0011318.4	OG0001741.1	OG0000038.0	OG0011985.2	OG0000834.30	OG0000213.256	OG0002348.56	OG0014065.0	OG0003001.0	OG0001309.24	OG0000740.26	OG0004226.0	OG0013273.0	OG0029057.0	OG0000441.96	OG0008015.25	OG0000318.0	OG0007639.25	OG0002178.2	OG0001567.1	OG0000324.0	OG0003342.16	OG0006752.0	OG0008099.0	OG0001643.24	OG0000065.40	OG0000920.27	OG0007127.0	OG0001843.5	OG0000749.2	OG0005996.10	OG0002590.0	OG0005741.0	OG0000310.18	OG0000206.0	OG0000236.1	OG0000320.0	OG0001964.1	OG0053812.0	OG0007845.0	OG0001698.26	OG0001824.24	OG0000213.17	OG0003860.1	OG0015415.0	OG0044466.0	OG0005326.0	OG0007639.5	OG0012896.0	OG0012897.4	OG0004314.0	OG0006297.0	OG0014302.8	OG0000606.2	OG0020019.0	OG0006158.4	OG0001579.36	OG0000751.0	OG0014817.2	OG0000834.15	OG0002488.24	OG0015105.0	OG0000869.2	OG0001711.10	OG0028281.0	OG0000646.28	OG0013218.3	OG0001844.24	OG0003991.2	OG0001602.32	OG0011319.4	OG0000471.2	OG0000236.19	OG0001016.1	OG0013106.2	OG0014068.0	OG0009857.2	OG0004135.0	OG0005266.0	OG0003151.14	OG0005400.0
3.07577	1.042635	2.982134	2.061312	nan	2.583568	nan	nan	2.079993	3.7621559999999996	nan	3.7528370000000004	nan	1.256302	216.8548	1.657534	2.807016	19.05162	2.204648	1.632614	nan	4.019145	nan	2.67097	1.347787	1.644291	2.974337	3.3712739999999997	1.3476	14.15582	1.767528	3.763186	nan	1.021839	nan	2.220955	1.9499090000000001	nan	15.94811	1.614688	nan	1.9685840000000001	1.391429	nan	1.948276	nan	2.194922	1.382259	nan	19.064870000000003	1.2259950000000002	1.2342819999999999	3.772686	nan	1.610551	3.739518	3.764736	4.597673	1.5425309999999999	1.975469	1.623448	2.474502	2.768379	1.0225899999999999	1.9945119999999998	nan	1.066817	2.1180939999999997	1.0199120000000002	223.6779	1.0658290000000001	190.358	0.7930934000000001	1.7660470000000001	3.407475	1.202045	2.598579	2.444712	0.9909386	nan	nan	nan	3.3690550000000004	2.002266	1.4451040000000002	4.920738	3.7427	1.8034150000000002	1.995522	1.075511	28.1506	3.705424	0.8135521	1.4963110000000002	nan	1.42116	2.006	1.9461119999999998	4.025816000000001	1.186326	3.66591	0.38787699999999997	1.8128400000000002	3.7635709999999998	1.573146	3.769749	1.6922529999999998	1.2055870000000002	nan	1.614383	nan	nan	3.274798	1.089947	2.227716	40.20821	1.3673799999999998	2.0191060000000003	nan	2.761794
OG0013961.0	OG0004125.0	OG0034275.0	OG0015984.2	OG0003537.2	OG0047178.0	OG0004055.0	OG0015212.3	OG0034671.0	OG0001143.26	OG0003695.0	OG0003674.0	OG0002126.0	OG0017331.4	OG0060369.0	OG0024695.0	OG0037769.0	OG0043441.0	OG0026545.0	OG0037717.0	OG0060345.0	OG0017007.0	OG0021312.0	OG0014976.2	OG0018420.5	OG0044420.0	OG0000001.2	OG0029251.0	OG0045601.0	OG0003356.2	OG0012516.3	OG0010109.10	OG0000910.22	OG0021422.0	OG0018873.4	OG0009191.17	OG0016229.7	OG0028194.0	OG0043587.0	OG0013044.2	OG0044405.0	OG0000777.0	OG0047957.0	OG0014980.7	OG0049180.0	OG0053978.0	OG0034997.0	OG0010769.5	OG0020026.0	OG0027886.0	OG0007364.5	OG0045019.0	OG0015297.0	OG0005187.0	OG0025128.0	OG0030068.0	OG0054107.0	OG0029606.0	OG0045240.0	OG0011531.13	OG0002586.25	OG0034443.0	OG0000151.0	OG0056888.0	OG0027882.0	OG0049121.0	OG0003363.0	OG0015603.2	OG0013735.9	OG0054020.0	OG0002645.26	OG0008720.0	OG0053860.0	OG0046032.0	OG0027029.0	OG0020495.0	OG0029130.0	OG0003740.0	OG0027539.0	OG0038829.0	OG0016419.0	OG0057036.0	OG0000562.130	OG0006147.34	OG0014836.5	OG0011529.8	OG0003458.0	OG0057445.0	OG0020380.0	OG0009797.0	OG0041943.0	OG0004419.0	OG0025940.0	OG0007653.0	OG0020659.0	OG0007788.4	OG0004867.1	OG0013093.0	OG0001087.24	OG0029995.0	OG0003103.85	OG0001322.24	OG0000518.24	OG0018774.3	OG0021198.0	OG0004757.2	OG0012131.2	OG0013568.4	OG0013535.7	OG0018847.2	OG0016154.2	OG0013928.0	OG0007234.0	OG0013600.0	OG0022907.0	OG0000932.26	OG0010161.0	OG0002373.38	OG0001528.16	OG0044265.0
2.747004	2.570246	1.294182	0.9782994	4.211496	3.384322	77.13705	3.001259	1.458169	nan	1.613752	44.56561	nan	2.521042	1.536065	3.1289860000000003	3.080848	1.498605	1.507004	3.056361	1.513156	2.0548	3.40994	49.341840000000005	2.382187	1.455902	nan	1.502313	256.6969	45.48111	3.7610080000000004	3.269574	4.5352190000000006	3.378015	3.25713	3.766943	2.698464	3.729722	1.4726139999999999	1.146025	1.449066	0.43474409999999997	3.786321	3.3836800000000005	2.350968	2.540645	2.1955459999999998	1.155325	2.2323779999999998	261.6041	3.757332	265.5748	1.146659	188.3411	1.152773	2.529131	2.510753	1.455948	260.3831	3.294745	8.885346	1.310781	nan	2.655375	264.5097	2.380058	26.90943	2.388993	260.8932	2.531559	26.086660000000002	215.4339	2.6733830000000003	262.5512	3.2506	3.437559	3.76493	nan	1.777266	3.39327	1.546931	2.740548	3.3921089999999996	3.114258	3.3665300000000005	3.6970970000000003	44.47268	2.492505	257.4666	2.263152	3.298147	117.9691	3.058666	220.5781	6.298589	3.032279	5.325223	1.6917520000000001	nan	2.720125	2.5771990000000002	nan	217.4425	3.292045	3.0868889999999998	22.36011	1.0581459999999998	8.138806	3.104511	3.322657	8.008646	1.052676	5.360695	1.723022	1.429202	nan	4.5166900000000005	44.89167	1.477331	2.803467
OG0025670.0	OG0045253.0	OG0007454.2	OG0016037.0	OG0026962.0	OG0006458.0	OG0008432.3	OG0037796.0	OG0022975.0	OG0016658.6	OG0016109.1	OG0019073.3	OG0045726.0	OG0023486.0	OG0004382.22	OG0001313.24	OG0004768.0	OG0035662.0	OG0003672.0	OG0045763.0	OG0027692.0	OG0002219.0	OG0003957.1	OG0041596.0	OG0028162.0	OG0045950.0	OG0054032.0	OG0054007.0	OG0060332.0	OG0005576.4	OG0001654.2	OG0029105.0	OG0046965.0	OG0027235.0	OG0000367.174	OG0021379.0	OG0028862.0	OG0027012.0	OG0019048.5	OG0007986.5	OG0018551.2	OG0048977.0	OG0044631.0	OG0009920.0	OG0000716.2	OG0002417.0	OG0017087.4	OG0041606.0	OG0034304.0	OG0002645.26	OG0047561.0	OG0028903.0	OG0002195.39	OG0010171.9	OG0037719.0	OG0044852.0	OG0018871.0	OG0008213.6	OG0038690.0	OG0047112.0	OG0009066.4	OG0030057.0	OG0019756.0	OG0013126.0	OG0001952.4	OG0026959.0	OG0046634.0	OG0014821.9	OG0035538.0	OG0006905.0	OG0026275.0	OG0018451.0	OG0021654.0	OG0046930.0	OG0024612.0	OG0023018.0	OG0045592.0	OG0010941.0	OG0024232.0	OG0006943.0	OG0002509.0	OG0054046.0	OG0005328.10	OG0004090.26	OG0009149.0	OG0056762.0	OG0002829.1	OG0004014.6	OG0017270.5	OG0014789.4	OG0048057.0	OG0057587.0	OG0008538.0	OG0021915.0	OG0000674.30	OG0049027.0	OG0005926.0	OG0012092.2	OG0013043.4	OG0001042.5	OG0037761.0	OG0044289.0	OG0005608.1	OG0005393.6	OG0038889.0	OG0053886.0	OG0038723.0	OG0000034.230	OG0016715.4	OG0019125.2	OG0004776.24	OG0007313.0	OG0024526.0	OG0000508.48	OG0045052.0	OG0003730.10	OG0045137.0	OG0016419.0	OG0012990.0	OG0015750.2
3.084231	257.0915	3.8105510000000002	1.351702	3.736622	1.303361	1.512565	3.0571040000000003	3.0777080000000003	3.405363	6.41976	3.8202769999999995	251.3002	256.9241	5.755344999999999	nan	0.7743256	1.299477	46.05968	267.2026	1.8636830000000002	4.193074	45.507220000000004	3.238473	3.794068	261.5915	2.671537	2.6406330000000002	1.5289469999999998	13.828660000000001	1.844266	2.65682	253.7664	2.686763	1.2222879999999998	2.111752	2.676459	3.236863	3.3500940000000003	2.579495	2.119538	2.352817	1.873625	nan	2.3468459999999998	20.47267	3.290007	3.246079	1.3182639999999999	26.086660000000002	3.363378	2.625137	2.405817	1.437444	3.082421	1.8719919999999999	1.693989	1.358739	3.3680220000000003	3.357737	4.604927	2.758923	1.299605	2.829818	0.8750408000000002	3.706262	263.3699	3.06461	2.884615	5.558259	1.6172790000000001	1.7377099999999999	3.7065690000000004	265.4192	3.022364	3.441925	265.283	2.721722	2.8468400000000003	5.561895	3.8753290000000002	2.391257	222.238	4.228505	2.22818	2.359033	170.3246	7.3777289999999995	2.704838	8.042831	3.7200629999999997	2.8341979999999998	1.602151	256.6189	4.9878480000000005	2.360758	2.015589	221.4651	1.168711	nan	3.072335	2.658103	1.289296	4.626098000000001	3.393758	2.648576	3.357967	0.5968919	3.775703	3.007677	218.5466	214.34099999999998	3.0334630000000002	3.070179	256.7719	3.150697	260.0337	1.546931	1.008561	3.773195
OG0047196.0	OG0001216.24	OG0001352.26	OG0028257.0	OG0007287.0	OG0013618.1	OG0008959.12	OG0005515.0	OG0023126.0	OG0000154.2	OG0047346.0	OG0022635.0	OG0004012.2	OG0005139.28	OG0037844.0	OG0005210.0	OG0018157.2	OG0002676.13	OG0010688.2	OG0002289.0	OG0022840.0	OG0007893.0	OG0003152.0	OG0022309.0	OG0041962.0	OG0028935.0	OG0020690.0	OG0029043.0	OG0044609.0	OG0034975.0	OG0006661.0	OG0045459.0	OG0056763.0	OG0017146.3	OG0001012.4	OG0005447.3	OG0015957.5	OG0004063.6	OG0011990.16	OG0016862.2	OG0007687.1	OG0008868.1	OG0044082.0	OG0016635.0	OG0023365.0	OG0015657.3	OG0027664.0	OG0046095.0	OG0022833.0	OG0023149.0	OG0023156.0	OG0001555.4	OG0019381.0	OG0015006.0	OG0001431.24	OG0049192.0	OG0013605.0	OG0002211.0	OG0017433.3	OG0018077.1	OG0020648.0	OG0017428.3	OG0005902.0	OG0004173.4	OG0007345.0	OG0044134.0	OG0017152.2	OG0005766.0	OG0014232.3	OG0005005.8	OG0003376.12	OG0044243.0	OG0020940.0	OG0005504.0	OG0000618.54	OG0013332.12	OG0029568.0	OG0044816.0	OG0010579.4	OG0041832.0	OG0041885.0	OG0026959.0	OG0005009.2	OG0028276.0	OG0022924.0	OG0010785.14	OG0013984.0	OG0003367.2	OG0045756.0	OG0001544.92	OG0017923.3	OG0001678.0	OG0053808.0	OG0034855.0	OG0007734.2	OG0026125.0	OG0034773.0	OG0013889.2	OG0004731.6	OG0010738.0	OG0002382.29	OG0006709.0	OG0015949.0	OG0060438.0	OG0045132.0	OG0035684.0	OG0018521.0	OG0043848.0	OG0020836.0	OG0005274.0	OG0049185.0	OG0006223.1	OG0046184.0	OG0057019.0	OG0012248.0	OG0047518.0	OG0004163.55	OG0016048.3	OG0023430.0	OG0045254.0
3.3381550000000004	nan	nan	3.788696	2.512675	1.8457740000000002	3.774893	167.1786	2.079425	nan	3.378846	3.7531470000000002	0.4335155	3.939169	3.065594	2.76631	1.291293	2.87529	1.016467	260.1302	1.443351	5.303247	2.025471	260.1035	3.273491	2.710512	2.209246	3.7754160000000003	1.850999	2.243801	216.5956	265.8829	2.523847	2.700972	1.486713	5.6142199999999995	2.670085	119.0495	3.2827879999999996	3.384489	20.290960000000002	3.237254	2.743169	1.627973	1.3070709999999999	259.9048	1.296563	257.3099	2.9846049999999997	2.63121	1.9291459999999998	1.244445	1.933941	nan	nan	2.349558	4.80115	nan	2.705669	6.33099	2.3720779999999997	2.478425	68.96311	118.0108	4.223414	2.6009439999999997	1.525599	5.366751	2.527377	2.327689	2.814791	2.7681419999999997	2.690307	45.157790000000006	3.7676790000000002	2.376983	1.461708	1.869635	224.243	3.2884599999999997	3.272727	3.706262	4.872907	3.727933	1.441391	2.3476	1.9141669999999997	46.209309999999995	264.3474	1.610395	1.6606619999999999	6.922738000000001	2.499107	2.226021	2.199719	3.423318	2.2375220000000002	2.019368	2.8361240000000003	0.9192629999999999	11.188369999999999	218.4558	2.219808	1.5106389999999998	254.5178	1.2935159999999999	2.013023	2.8488849999999997	3.744995	1.341967	2.3687840000000002	4.650383000000001	261.7239	2.635776	3.036899	3.382162	247.1303	3.0415959999999997	1.526929	261.193
OG0046621.0	OG0013034.0	OG0009963.2	OG0035832.0	OG0000047.2	OG0016166.2	OG0004946.5	OG0013289.6	OG0025814.0	OG0021948.0	OG0043924.0	OG0001072.1	OG0001489.4	OG0015259.2	OG0024461.0	OG0006327.0	OG0038800.0	OG0044616.0	OG0014542.4	OG0001625.2	OG0014708.6	OG0005322.4	OG0022380.0	OG0028298.0	OG0028203.0	OG0014815.3	OG0024564.0	OG0019285.0	OG0047317.0	OG0002411.1	OG0022094.0	OG0022277.0	OG0014805.4	OG0025076.0	OG0024447.0	OG0019024.6	OG0025672.0	OG0016755.0	OG0011129.17	OG0022252.0	OG0047506.0	OG0006730.0	OG0057276.0	OG0018404.0	OG0019338.0	OG0007250.0	OG0035703.0	OG0008972.0	OG0027623.0	OG0015093.9	OG0014978.9	OG0019304.0	OG0043496.0	OG0004370.2	OG0024723.0	OG0044364.0	OG0054002.0	OG0010726.0	OG0006504.0	OG0006827.2	OG0022875.0	OG0013023.0	OG0041845.0	OG0047953.0	OG0046125.0	OG0006377.0	OG0011423.1	OG0010571.0	OG0017871.2	OG0028109.0	OG0007850.16	OG0016715.7	OG0017341.3	OG0012142.2	OG0041518.0	OG0005993.0	OG0002289.0	OG0019248.0	OG0007160.0	OG0028229.0	OG0057067.0	OG0034722.0	OG0038597.0	OG0017866.2	OG0046197.0	OG0043935.0	OG0034382.0	OG0014372.0	OG0018087.2	OG0001985.1	OG0006566.0	OG0023992.0	OG0012680.0	OG0021186.0	OG0035778.0	OG0047052.0	OG0043969.0	OG0034800.0	OG0047130.0	OG0008764.0	OG0024472.0	OG0054006.0	OG0005818.0	OG0011186.0	OG0045063.0	OG0044501.0	OG0010962.0	OG0000089.1	OG0009811.0	OG0008580.0	OG0047176.0	OG0014005.0	OG0037766.0	OG0003322.8	OG0024284.0	OG0043745.0	OG0022939.0	OG0017441.1	OG0053807.0	OG0044039.0
251.734	1.6315709999999999	1.7076330000000002	1.3095299999999999	nan	8.074957000000001	1.185185	2.3190880000000003	2.696803	3.329399	2.886589	2.6792119999999997	1.8170830000000002	1.099456	1.470977	215.1895	3.4545160000000004	1.860989	8.073978	258.4824	8.009625	0.8439723	2.2692490000000003	3.778753	3.795176	8.173775	1.089848	3.7388120000000002	3.369505	218.6842	1.29098	1.6761970000000002	8.095671000000001	1.157641	2.392826	255.5969	3.030743	2.9426740000000002	3.340711	2.020168	3.363796	2.71619	1.502701	2.131269	1.99691	2.2117459999999998	1.292168	4.301982	1.8576529999999998	3.282982	3.266727	257.5582	1.492549	5.061985	6.374585	1.458322	2.295509	4.542379	221.7274	5.265922	1.4351690000000001	1.133071	3.258053	3.742431	263.6641	12.38552	4.612561	3.2345080000000004	1.1084200000000002	3.7961489999999998	2.2164099999999998	3.7856690000000004	2.737592	227.6678	3.261699	13.836739999999999	260.1302	1.437948	2.263935	3.8246620000000005	2.773986	1.446977	3.392647	3.3943769999999995	258.9637	2.636048	1.311517	2.8524119999999997	8.014826	3.7629379999999997	212.4232	2.64972	4.790187	3.065821	1.311511	3.400788	2.815432	2.242876	3.3733199999999997	26.799940000000003	3.0251189999999997	2.599184	1.851447	0.7744238	269.5953	1.460099	1.7255330000000002	2.604393	0.7278408000000001	167.1957	3.360292	0.8142026	3.0758099999999997	2.905249	2.522665	1.484003	1.438057	3.072726	2.231795	2.221
OG0038730.0	OG0060377.0	OG0011214.2	OG0043698.0	OG0046791.0	OG0006361.0	OG0014863.6	OG0005001.1	OG0025133.0	OG0045221.0	OG0012653.0	OG0024972.0	OG0041579.0	OG0000255.37	OG0007271.0	OG0007483.0	OG0000397.30	OG0007549.0	OG0001589.0	OG0007789.0	OG0024484.0	OG0006751.14	OG0012348.5	OG0007932.0	OG0017046.0	OG0057173.0	OG0012530.0	OG0018005.0	OG0013924.0	OG0023059.0	OG0007392.0	OG0044307.0	OG0002588.4	OG0006577.0	OG0002946.0	OG0014726.3	OG0005449.2	OG0044456.0	OG0043814.0	OG0038752.0	OG0019326.0	OG0020885.0	OG0046604.0	OG0003748.49	OG0021970.0	OG0016623.4	OG0027869.0	OG0019560.0	OG0034823.0	OG0053936.0	OG0024829.0	OG0044258.0	OG0001908.2	OG0038817.0	OG0020309.0	OG0028860.0	OG0046099.0	OG0027902.0	OG0020496.0	OG0016132.6	OG0000100.1	OG0002161.0	OG0007638.14	OG0028998.0	OG0012037.4	OG0013292.10	OG0000137.0	OG0008638.0	OG0007040.0	OG0013903.0	OG0022448.0	OG0017518.3	OG0003711.6	OG0025724.0	OG0016697.7	OG0057300.0	OG0010639.2	OG0001926.0	OG0009082.0	OG0046309.0	OG0045631.0	OG0010822.13	OG0000946.1	OG0027738.0	OG0001725.29	OG0016246.7	OG0044538.0	OG0044651.0	OG0000148.0	OG0003396.26	OG0018420.6	OG0044374.0	OG0017129.3	OG0007012.0	OG0003887.2	OG0044052.0	OG0020320.0	OG0060545.0	OG0003682.2	OG0013658.3	OG0044160.0	OG0000671.12	OG0011297.6	OG0009120.0	OG0007669.2	OG0024517.0	OG0022307.0	OG0003636.4	OG0034938.0	OG0012145.2	OG0046600.0	OG0053903.0	OG0027660.0	OG0006347.24	OG0007536.1	OG0007179.8	OG0003585.0	OG0018457.6	OG0013848.0	OG0043483.0
