OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
0.21451563346000002	0.631250045128	0.0	nan	0.0047902667355	0.47722639120099997	0.048481179496999996	2.213630469603	nan	0.302651402911	0.38092232668000003	0.288720660563	0.618175537394	0.363416734626	0.3800584632215	0.1616891407855	0.666321541351	0.021548511697499998	0.717814020096	0.635002099653	0.973361793778	0.7248987999335	0.40259730881399997	0.32298959204	0.5537250862975	0.650611032635	0.495641684794	0.30835831298	0.309935876002	0.0356524927955	1.332109307964	0.348528646655	0.243392971871	0.579345579173	0.567675930182	0.9368979012540001	0.43125959949299997	0.42374960881449997	0.5211773102065	0.5153775395915	0.225707484043	0.337049587624	0.288324657467	0.624064331833	2.3906292280645003	0.735807923143	0.08899192361199999	1.008367418955	0.982317917016	0.54520919228	0.313088200552	1.0572396993320001	nan	1.134143995644	0.192877343808
OG0028236.0	OG0003819.2	OG0025907.0	OG0045769.0	OG0018879.5	OG0056907.0	OG0014783.4	OG0027534.0	OG0006939.0	OG0022586.0	OG0038762.0	OG0005507.10	OG0028248.0	OG0018613.3	OG0015514.3	OG0018088.4	OG0003133.0	OG0012207.4	OG0005627.0	OG0016437.3	OG0006862.8	OG0004426.0	OG0060344.0	OG0010505.0	OG0046263.0	OG0009017.0	OG0038795.0	OG0005199.18	OG0015242.6	OG0010703.0	OG0046249.0	OG0001937.2	OG0000001.969	OG0012353.4	OG0044897.0	OG0019508.0	OG0022230.0	OG0005150.0	OG0019680.0	OG0048971.0	OG0000138.166	OG0006606.0	OG0014999.6	OG0022608.0	OG0029599.0	OG0035722.0	OG0022899.0	OG0027663.0	OG0000704.0	OG0010577.0	OG0001677.2	OG0025886.0	OG0006105.0	OG0044057.0	OG0023030.0
nan	0.245828270834	nan	nan	nan	nan	0.042862834082000006	nan	0.5653189161609999	nan	nan	0.5064432629115	nan	nan	nan	nan	0.246934867427	0.761334925112	0.376036781333	nan	0.28331131640749996	0.72692285809	nan	0.178251523323	nan	0.7852858967165001	nan	0.0402869619055	0.34298761596999994	0.4620192824165	nan	0.21117670843199998	nan	0.531978028649	nan	nan	0.587382996085	1.029468219573	nan	nan	0.747558056891	0.236462137758	nan	nan	nan	nan	nan	nan	0.39093996117700003	0.63269997675	1.802744385645	0.514095504693	0.292236854005	nan	nan
OG0041907.0	OG0046872.0	OG0053857.0	OG0014771.0	OG0047016.0	OG0045126.0	OG0005106.0	OG0012181.8	OG0034884.0	OG0004744.2	OG0012392.13	OG0014699.4	OG0010555.1	OG0000761.6	OG0000512.150	OG0000624.3	OG0016021.0	OG0001124.24	OG0057462.0	OG0000203.0	OG0013468.3	OG0027449.0	OG0047385.0	OG0041818.0	OG0004435.0	OG0000643.24	OG0046157.0	OG0011350.0	OG0013913.5	OG0022915.0	OG0003140.0	OG0007212.0	OG0021007.0	OG0010168.13	OG0008612.2	OG0035796.0	OG0002426.4	OG0002434.0	OG0047365.0	OG0017936.0	OG0008652.9	OG0011897.10	OG0025734.0	OG0046081.0	OG0047356.0	OG0020922.0	OG0018795.6	OG0010883.0	OG0014727.4	OG0014132.4	OG0048162.0	OG0003930.0	OG0014722.4	OG0012245.0	OG0024906.0
nan	nan	nan	0.794023834734	nan	nan	0.08489249305400001	0.5504662093	nan	0.729584412036	nan	0.665767479884	nan	0.756972849231	1.165335320287	1.337905359431	0.7320759716945	0.274787485085	nan	1.026740993786	0.23329443463000002	0.19207221235199998	nan	nan	0.35971594001699997	0.314011898156	nan	0.6113711821895	0.276098850646	nan	0.48067866620399996	0.056461203745	nan	0.0	0.171289697379	nan	nan	1.031478432647	nan	0.23678001201749999	0.88691911338	0.033371517708	nan	nan	nan	0.235754638812	nan	0.1360171302925	0.316863267201	0.566019205615	nan	0.624901711113	0.783130785116	0.09699378917000001	nan
OG0002885.12	OG0029115.0	OG0044657.0	OG0024481.0	OG0025858.0	OG0047582.0	OG0045654.0	OG0045721.0	OG0018059.0	OG0002010.0	OG0003257.4	OG0003545.0	OG0037979.0	OG0041843.0	OG0022912.0	OG0027041.0	OG0013467.4	OG0021303.0	OG0001177.22	OG0038760.0	OG0054034.0	OG0012977.2	OG0028105.0	OG0041589.0	OG0057417.0	OG0009110.6	OG0017974.4	OG0043610.0	OG0021965.0	OG0003871.0	OG0011264.6	OG0012306.14	OG0008219.0	OG0004819.4	OG0005260.0	OG0013227.7	OG0002441.0	OG0000514.0	OG0047378.0	OG0019883.0	OG0008694.0	OG0001072.136	OG0019580.0	OG0027649.0	OG0008761.0	OG0004420.2	OG0011440.0	OG0000673.8	OG0027871.0	OG0046491.0	OG0018929.0	OG0003471.0	OG0006880.13	OG0047351.0	OG0037683.0
1.2519000265505	nan	nan	0.068018863787	1.006400651785	nan	nan	nan	0.557227939592	1.294722942083	0.7147347495180001	0.8266480551265	nan	nan	nan	nan	0.252327258539	0.529968117633	0.541086378825	nan	nan	0.198086400502	nan	nan	nan	0.178520965824	nan	nan	2.4330513854910003	0.6857269040449999	0.325672430247	nan	0.8315611636229999	0.823753431739	0.830864251523	nan	0.539346141175	1.571164697058	nan	nan	0.17600495281149997	0.296245099474	0.118869306666	1.613302319145	0.104841681942	0.986569486655	0.493498665022	1.3432029169854998	nan	nan	2.109342256755	0.577181855369	0.057793822576	nan	nan
OG0024750.0	OG0006637.5	OG0001931.1	OG0003106.0	OG0019969.0	OG0020722.0	OG0013648.4	OG0010967.2	OG0013639.0	OG0041806.0	OG0025127.0	OG0016148.4	OG0006142.4	OG0002108.0	OG0027532.0	OG0003055.24	OG0011204.0	OG0007916.2	OG0001497.24	OG0038630.0	OG0005463.3	OG0013170.9	OG0009212.2	OG0015003.6	OG0023946.0	OG0017784.2	OG0022918.0	OG0000759.38	OG0020423.0	OG0004606.1	OG0020495.0	OG0038798.0	OG0002704.28	OG0046190.0	OG0047393.0	OG0045064.0	OG0046044.0	OG0004556.0	OG0057022.0	OG0046710.0	OG0057420.0	OG0024365.0	OG0004073.8	OG0002928.0	OG0057253.0	OG0034257.0	OG0035863.0	OG0001439.24	OG0053881.0	OG0007519.0	OG0006255.2	OG0011433.8	OG0038814.0	OG0020537.0	OG0006713.0
nan	0.44259820118	0.164131542805	0.9943509011820001	nan	0.7282689326940001	0.32462380385	0.47135043294100004	0.474602088797	nan	0.453666069124	0.19687072450800003	0.9761616364135	1.5398313911919999	0.041885660219999996	0.738661647419	0.645775820092	0.6171190288595	0.269334966603	nan	0.6490817548569999	nan	1.3856143446509999	0.15045882545999997	nan	0.7072298653219999	0.540900242005	0.161415258191	0.35911231913	0.3774175677395	0.053105974434	nan	0.1513657378705	nan	nan	nan	nan	0.1499562527335	nan	nan	nan	nan	0.39332860617700005	0.269866341065	nan	nan	nan	0.608609105824	nan	0.475475901554	0.155451094692	0.1678083498865	nan	0.20950686508299998	0.444875100511
OG0003851.24	OG0026501.0	OG0029079.0	OG0021325.0	OG0035832.0	OG0007919.2	OG0006317.0	OG0018484.6	OG0002201.2	OG0046204.0	OG0029261.0	OG0038115.0	OG0038124.0	OG0044043.0	OG0006989.7	OG0048997.0	OG0045211.0	OG0012965.0	OG0015234.2	OG0002344.91	OG0029129.0	OG0027750.0	OG0007598.0	OG0029095.0	OG0011666.0	OG0009245.0	OG0012930.0	OG0010946.12	OG0022582.0	OG0025909.0	OG0004545.0	OG0006247.0	OG0019022.3	OG0045013.0	OG0035721.0	OG0037946.0	OG0044146.0	OG0037880.0	OG0029177.0	OG0026315.0	OG0018780.6	OG0047174.0	OG0006146.0	OG0008607.0	OG0028284.0	OG0027719.0	OG0047603.0	OG0034541.0	OG0020783.0	OG0005164.5	OG0025502.0	OG0015349.0	OG0004967.2	OG0010706.0	OG0002272.22
