OG0009883.5	OG0000692.0	OG0012915.3	OG0004617.12	OG0004835.2	OG0004464.0	OG0004338.2	OG0000107.44	OG0000038.0	OG0000027.1
0.03300591	-0.8929728000000001	-1.852748	-0.7431941999999999	-0.9852652	-0.22264189999999998	-0.3143018	1.267889	nan	nan
OG0008656.1	OG0010913.0	OG0043411.0	OG0008443.1	OG0010756.0	OG0004568.1	OG0005507.10	OG0014125.1	OG0015179.2	OG0003049.0
-4.994330000000001	1.095361	1.5683989999999999	0.7348238	-0.4667106	0.5355163000000001	-0.7465276	0.21872670000000002	1.3223850000000001	-0.5058029
OG0014810.0	OG0006647.0	OG0047150.0	OG0015093.3	OG0014620.0	OG0013321.0	OG0047353.0	OG0015979.6	OG0053810.0	OG0024522.0
-1.498353	-1.137752	0.2551063	0.9815931999999998	0.3793557	-0.05816714	0.34990570000000004	-0.7151001	3.166175	-1.8152080000000002
OG0038154.0	OG0011720.2	OG0001184.24	OG0014502.4	OG0016791.0	OG0017901.0	OG0005646.0	OG0047603.0	OG0016776.5	OG0035803.0
2.6325819999999998	-1.513607	nan	-1.630641	0.41504940000000007	-0.6134873000000001	-0.8478143	0.38717540000000006	3.3281620000000003	1.560141
OG0002993.1	OG0006460.2	OG0004302.0	OG0010095.2	OG0018256.2	OG0019234.0	OG0016149.0	OG0023958.0	OG0035604.0	OG0008532.6
-0.9445277	-0.219154	-0.8331685999999999	-0.3557717	-1.223681	-1.8278849999999998	-1.6686	2.764561	4.819728	0.8522634
OG0047378.0	OG0021370.0	OG0005619.0	OG0044416.0	OG0009877.2	OG0001321.26	OG0007340.4	OG0003483.0	OG0005694.0	OG0007523.4
0.2395029	1.152649	-0.6673897	1.279283	0.804268	nan	-1.3112979999999999	-1.344295	-0.2674513	-0.450412
OG0005991.0	OG0027772.0	OG0047976.0	OG0004954.6	OG0044358.0	OG0007191.0	OG0013191.3	OG0004616.0	OG0004779.4	OG0047138.0
-1.241391	-5.611543	-0.7046977	-0.08132581	1.094015	-0.3696558	0.8665768	-0.35720359999999995	1.0017	0.2092548
OG0002837.4	OG0028115.0	OG0049164.0	OG0056784.0	OG0022867.0	OG0013146.12	OG0004192.0	OG0002822.4	OG0013064.11	OG0056535.0
-0.40178400000000003	-0.8051874	0.8774405000000001	1.478415	3.182411	-5.429928	-0.9181687	0.3382678	1.083553	1.429925
OG0043411.0	OG0002275.1	OG0041811.0	OG0014872.6	OG0045830.0	OG0009903.19	OG0009192.20	OG0016201.4	OG0021215.0	OG0008668.22
1.5683989999999999	0.3632709	1.104034	1.173859	-5.413392	1.370339	-1.5372620000000001	-1.6614099999999998	1.281184	1.0378889999999998
OG0007261.0	OG0018086.1	OG0012755.0	OG0003092.12	OG0003847.24	OG0012434.10	OG0011210.1	OG0017886.0	OG0012262.2	OG0009136.10
0.5864632	-1.517458	0.2449279	0.09936489	-1.013191	2.871679	-0.5500183000000001	0.8966251000000001	0.449226	-0.07405903
OG0046313.0	OG0012742.0	OG0008267.1	OG0026998.0	OG0045270.0	OG0002791.5	OG0007491.0	OG0045908.0	OG0002575.0	OG0045159.0
-5.670681	0.277825	-0.1337948	-0.02067956	-5.8689290000000005	-0.8910456	-1.0401850000000001	-6.120718	-0.2731013	-5.096136
OG0013242.12	OG0038112.0	OG0018377.6	OG0028092.0	OG0048119.0	OG0010010.11	OG0005530.6	OG0044896.0	OG0057497.0	OG0016432.2
1.381002	2.0833180000000002	1.532686	-0.7819854	-0.6110310999999999	-1.606167	1.082079	2.495489	2.328535	0.7558015
OG0011372.0	OG0017939.0	OG0045882.0	OG0026962.0	OG0004064.0	OG0002054.0	OG0018828.3	OG0006467.8	OG0044960.0	OG0054085.0
0.4227916	1.1426379999999998	-5.762359	0.08280474	-0.3998153	nan	1.0259639999999999	0.8556138000000001	-6.906022999999999	3.359577
OG0002961.20	OG0044238.0	OG0008946.0	OG0009783.0	OG0003897.10	OG0007724.0	OG0017321.1	OG0004085.0	OG0047042.0	OG0004026.1
-0.06286319	1.47755	1.249448	0.2142908	0.9141776	-0.5949389	2.1750380000000002	0.1883047	0.3161782	0.3810453
OG0024274.0	OG0048902.0	OG0035581.0	OG0000703.24	OG0012660.2	OG0017049.5	OG0009750.1	OG0060435.0	OG0017066.3	OG0034772.0
-5.651167	0.9534343000000001	5.115101999999999	nan	-1.7097229999999999	1.5788790000000001	1.224457	-1.7863939999999998	0.9171368000000001	-1.243163
OG0022172.0	OG0003204.0	OG0034958.0	OG0056852.0	OG0046916.0	OG0017354.4	OG0010785.14	OG0009290.0	OG0017216.1	OG0045026.0
-1.918477	0.5951209	-1.204952	1.613864	-7.3402389999999995	0.31540429999999997	0.7766628000000001	0.5586144000000001	-6.016957	-4.774894000000001
OG0044490.0	OG0045763.0	OG0003747.6	OG0005161.27	OG0001777.24	OG0046286.0	OG0008183.0	OG0002044.0	OG0020541.0	OG0014706.0
1.072325	-5.835209	-0.04545165	1.054715	1.18249	-5.1797010000000006	-0.6132751999999999	nan	-1.848339	-0.47688420000000004
OG0008196.2	OG0012921.6	OG0014072.3	OG0002687.0	OG0011976.0	OG0028444.0	OG0000623.24	OG0028514.0	OG0034422.0	OG0012112.2
0.1076803	-0.22719389999999998	-0.02224099	-0.23375639999999998	-0.5908708	0.9437981	0.9872837	1.453163	0.8556434000000002	-1.246757
OG0015949.0	OG0060481.0	OG0053945.0	OG0020530.0	OG0012750.0	OG0013006.4	OG0016930.2	OG0000367.174	OG0038909.0	OG0005105.0
0.7180536999999999	-2.460099	3.3243300000000002	-1.357249	0.47288240000000004	-0.4307919	-1.6012950000000001	0.6733418000000001	0.1220746	-0.8550568999999999
OG0056969.0	OG0016892.2	OG0001135.4	OG0034410.0	OG0017504.5	OG0019581.0	OG0018140.2	OG0016977.2	OG0038023.0	OG0013017.9
1.423422	-1.303795	nan	0.8380626	3.356319	-5.512652	-0.43839799999999995	0.9297165000000001	2.57153	-1.668566
OG0011618.6	OG0007726.2	OG0020337.0	OG0002136.0	OG0007475.6	OG0003096.0	OG0046805.0	OG0008585.0	OG0014610.2	OG0003450.0
3.392447	0.5228581	1.18062	nan	0.4953094	0.2883156	-5.250058999999999	-0.9951371999999999	0.36915970000000004	-1.3025209999999998
OG0005934.2	OG0005767.0	OG0005188.2	OG0016805.0	OG0043920.0	OG0027649.0	OG0046890.0	OG0014824.7	OG0024660.0	OG0004589.2
-0.1478477	-0.2669768	-0.8537969000000001	-1.923691	-1.037928	1.69153	-5.4635620000000005	1.290425	1.681289	0.6853385000000001
OG0015548.8	OG0003152.0	OG0035013.0	OG0008348.0	OG0041815.0	OG0046084.0	OG0003962.6	OG0038890.0	OG0017896.0	OG0045065.0
0.8572126	-0.110972	-1.6317549999999998	0.545036	0.924486	-5.965879	-1.110256	-0.05786455	-1.4042379999999999	-4.962862
OG0047422.0	OG0018502.6	OG0003632.26	OG0005342.24	OG0002583.0	OG0044620.0	OG0044243.0	OG0007715.0	OG0005306.0	OG0002945.0
