OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
1.0	1.1481481481481481	1.0740740740740742	1.0	3.4444444444444446
OG0001308.24	OG0002122.0	OG0018896.0	OG0000001.1420	OG0001144.24
1.0	1.0	1.0	3.962962962962963	1.0
OG0006199.1	OG0000726.25	OG0001232.24	OG0002051.0	OG0000999.14
1.0	1.0740740740740742	1.0	1.0	1.1111111111111112
OG0016043.0	OG0001207.24	OG0000126.1	OG0000599.0	OG0000754.0
1.0	1.0	2.074074074074074	1.6296296296296295	1.0
OG0001859.0	OG0000900.25	OG0010774.7	OG0001160.24	OG0001100.24
1.037037037037037	1.0	1.0	1.0	1.0
OG0001735.3	OG0001080.1	OG0000829.5	OG0001798.0	OG0007621.8
1.0	1.0	1.0	1.0	1.0
OG0000816.36	OG0001306.1	OG0001011.1	OG0007917.0	OG0000503.62
1.0	1.0	1.0	1.0	1.0
OG0000865.1	OG0000367.3	OG0001516.22	OG0002051.0	OG0014737.1
1.0740740740740742	1.037037037037037	1.0	1.0	1.0
OG0001869.2	OG0002072.0	OG0000752.42	OG0001260.24	OG0017891.0
1.037037037037037	1.0	1.0	1.0	1.0
OG0001191.24	OG0016000.4	OG0001667.0	OG0001370.24	OG0001724.10
1.0	1.0	1.1111111111111112	1.0	1.037037037037037
OG0001089.2	OG0011708.0	OG0001442.1	OG0000339.0	OG0002094.0
1.2222222222222223	1.0	1.0	1.2592592592592593	1.0
OG0002151.0	OG0008338.4	OG0000420.0	OG0002042.0	OG0001410.24
1.0	1.3333333333333333	1.8148148148148149	1.0	1.0
OG0001067.24	OG0002124.0	OG0014662.0	OG0000456.0	OG0000850.12
1.0	1.0	1.0	1.1851851851851851	1.0740740740740742
OG0000702.24	OG0000941.24	OG0001369.26	OG0002141.0	OG0007323.1
1.0740740740740742	1.037037037037037	1.0	1.0	1.0
OG0000766.0	OG0002139.0	OG0002003.1	OG0002169.0	OG0020435.0
1.2592592592592593	1.0	1.0	1.0	1.0
OG0000074.1	OG0001023.7	OG0008502.5	OG0000833.0	OG0001028.24
1.0740740740740742	1.037037037037037	1.0	1.0	1.0
OG0010535.9	OG0000846.25	OG0001420.22	OG0000815.24	OG0000011.866
1.3333333333333333	1.0	1.0	1.1111111111111112	4.518518518518518
OG0001382.24	OG0010148.0	OG0002075.0	OG0001130.24	OG0001450.26
1.0	1.0	1.0	1.0	1.0
OG0001640.7	OG0001803.6	OG0001492.24	OG0001865.0	OG0016187.1
1.0	1.037037037037037	1.0	1.0	1.0
OG0001246.24	OG0001130.24	OG0001070.26	OG0001242.28	OG0017912.0
1.0	1.0	1.0	1.0	1.0
OG0001315.24	OG0015317.0	OG0001211.24	OG0001083.26	OG0001180.24
1.0	1.3333333333333333	1.0	1.0	1.0
OG0001042.5	OG0001772.0	OG0001405.24	OG0004022.1	OG0002095.0
1.0	1.0	1.0	1.3333333333333333	1.0
OG0001043.2	OG0000223.2	OG0001329.24	OG0002013.0	OG0016699.2
1.0	1.7407407407407407	1.0	1.0	1.0
OG0000054.0	OG0007034.0	OG0000653.1	OG0002156.0	OG0002203.0
3.3333333333333335	1.0	1.037037037037037	1.0	1.0
OG0016205.4	OG0001011.1	OG0001362.22	OG0000160.4	OG0001388.12
1.0	1.0	1.0	1.8518518518518519	1.0740740740740742
OG0001505.24	OG0000662.1	OG0001186.24	OG0000046.1	OG0004792.0
1.0	1.0	1.0	1.962962962962963	2.0
OG0000978.1	OG0011161.4	OG0000048.122	OG0000532.9	OG0000018.1
1.0	1.0	1.4814814814814814	1.0	2.074074074074074
OG0001066.26	OG0002106.0	OG0001987.0	OG0012755.0	OG0000973.2
1.0	1.0	1.0	1.3333333333333333	1.0
OG0013653.1	OG0001385.1	OG0002120.0	OG0000455.62	OG0001402.24
1.0	1.0	1.0	1.1111111111111112	1.0
OG0010017.0	OG0000421.80	OG0001934.0	OG0001199.24	OG0000780.24
1.0	1.0	1.0	1.0	1.0740740740740742
OG0000765.3	OG0001813.8	OG0000619.52	OG0000895.1	OG0014722.4
1.0	1.0	1.0	1.0	1.0
OG0013965.2	OG0000588.0	OG0001080.1	OG0000577.54	OG0000611.0
1.0	1.0740740740740742	1.0	1.0	1.0
OG0002063.0	OG0001023.7	OG0001142.24	OG0014631.1	OG0001629.5
1.0	1.037037037037037	1.0	1.0	1.1851851851851851
OG0000765.3	OG0001075.1	OG0016193.0	OG0001185.1	OG0000625.28
1.0	1.0	1.0	1.0	1.0740740740740742
OG0001060.26	OG0000684.0	OG0002123.0	OG0000755.4	OG0020866.0
1.0	1.037037037037037	1.0	1.037037037037037	1.0
OG0002100.0	OG0001165.26	OG0001409.1	OG0000738.19	OG0008296.0
1.0	1.0	1.0	1.0	1.0
OG0000105.0	OG0002020.0	OG0018069.2	OG0000811.34	OG0000706.25
2.259259259259259	1.0	1.0	1.0	1.0
OG0001413.1	OG0018053.2	OG0001572.24	OG0000892.1	OG0001636.12
1.0	1.0	1.0	1.1481481481481481	1.0
OG0000216.50	OG0001296.24	OG0000994.2	OG0010664.0	OG0001346.24
1.4074074074074074	1.0	1.0	1.0	1.0
OG0016043.0	OG0001270.1	OG0001492.24	OG0001347.26	OG0001741.1
1.0	1.0	1.0	1.0	1.0
OG0000975.0	OG0001314.1	OG0002054.0	OG0006991.2	OG0001123.1
1.1481481481481481	1.0	1.0	1.0	1.0
OG0002150.0	OG0016108.3	OG0000615.1	OG0002070.0	OG0001637.1
1.0	1.0	1.1481481481481481	1.0	1.0
OG0001471.24	OG0006939.0	OG0000635.48	OG0000214.0	OG0001304.24
1.0	1.0	1.0	1.8518518518518519	1.0
OG0013928.0	OG0001403.24	OG0001054.1	OG0001538.6	OG0002218.0
1.0	1.0	1.0	1.2222222222222223	1.0
OG0001953.2	OG0002319.0	OG0001592.24	OG0007328.9	OG0000320.0
1.0	1.0	1.0	1.0	1.5185185185185186
OG0007083.0	OG0001292.1	OG0002018.0	OG0000813.1	OG0001845.2
1.0	1.0	1.0	1.037037037037037	1.0
OG0007863.0	OG0001456.24	OG0001124.24	OG0000616.40	OG0001202.24
1.0	1.0	1.0	1.1481481481481481	1.0
OG0001415.1	OG0018984.0	OG0001128.24	OG0001414.24	OG0001052.26
1.1111111111111112	1.3333333333333333	1.0	1.0	1.0
OG0000905.14	OG0001170.24	OG0002332.0	OG0007934.0	OG0000504.24
1.1111111111111112	1.0	1.0	1.0	1.1481481481481481
OG0000979.1	OG0018601.0	OG0001285.1	OG0001938.0	OG0001340.24
1.0	1.0	1.0	1.0	1.0
OG0001142.24	OG0015019.0	OG0001215.24	OG0000709.10	OG0001210.24
1.0	1.0	1.0	1.2222222222222223	1.0
OG0001395.1	OG0001485.24	OG0000889.0	OG0020848.0	OG0000973.2
1.0	1.0	1.0	1.0	1.0
OG0017034.0	OG0002217.0	OG0001437.24	OG0000411.0	OG0001462.24
1.0	1.0	1.0	1.3333333333333333	1.0
OG0001301.24	OG0001763.8	OG0000579.24	OG0001442.1	OG0014741.4
1.0	1.037037037037037	1.1111111111111112	1.0	1.0
OG0000420.0	OG0001226.24	OG0002079.0	OG0007909.0	OG0002038.0
1.8148148148148149	1.0	1.0	1.0	1.0
OG0002062.0	OG0008338.4	OG0000908.24	OG0000060.0	OG0001290.24
1.0	1.3333333333333333	1.0	2.259259259259259	1.0
OG0001996.0	OG0001456.24	OG0009894.3	OG0001241.24	OG0001147.24
1.0	1.0	1.0	1.0	1.0
OG0001146.1	OG0018029.0	OG0000494.1	OG0001718.1	OG0001311.5
1.0	1.0	1.0	1.037037037037037	1.0
OG0005713.16	OG0000236.122	OG0000736.0	OG0001553.14	OG0001289.1
1.0	1.1481481481481481	1.0740740740740742	1.0740740740740742	1.0
OG0001497.24	OG0001101.24	OG0003857.2	OG0000795.40	OG0000884.25
1.0	1.0	2.0	1.0	1.0
