OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
1e-07	0.201207	0.214101	nan	1e-07	0.19802999999999998	0.161221	0.145565	0.377348	0.18221800000000002	nan
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
0.117528	0.22132800000000002	0.0175285	nan	0.119434	0.23936999999999997	0.223794	0.08919819999999999	nan	1e-07	1e-07
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
0.22771599999999997	1e-07	0.307815	0.197194	0.192863	nan	0.15345799999999998	nan	0.22707	0.07532130000000001	0.235094
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
0.256722	nan	0.210548	0.276037	0.125621	nan	0.062446400000000006	0.152437	1e-07	0.20517	0.0320626
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
1e-07	0.052165199999999995	nan	0.248829	0.117451	0.054959400000000005	0.0943087	0.205738	nan	0.165126	0.0419614
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
nan	nan	0.110794	0.210548	0.10265899999999999	0.21895	0.0417348	0.168738	0.207988	0.150321	0.0682429
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
0.13761400000000001	nan	0.0165696	nan	0.050709199999999996	nan	0.146629	0.07532130000000001	0.250956	0.0343018	0.115585
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
0.289774	0.20438599999999998	1e-07	0.0148548	0.19841099999999998	1e-07	0.151819	0.0654245	0.026017099999999998	nan	nan
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
