OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
nan	-0.5787829000000001	nan	nan	nan
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
-1.0991309999999999	nan	-1.800804	1.0527959999999998	nan
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
-0.41132529999999995	0.180809	0.05133806	-7.855042	0.44020909999999996
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
2.486894	1.188693	0.38122890000000004	1.313075	1.0022719999999998
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
1.08683	-5.775308	-6.5200309999999995	0.4068837	3.0369029999999997
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
1.162016	-1.725414	1.2584389999999999	1.4512559999999999	0.31553400000000004
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
1.100978	1.513794	3.148647	-0.09496521	-1.429809
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
-0.7715328	0.007121924	-1.5763040000000001	1.434343	1.5746850000000001
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
0.707353	-0.6021531999999999	1.7852830000000002	1.502383	-0.07331327
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
3.238702	-0.6439111	-0.9379654000000001	-1.054877	-1.374766
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
1.404082	1.3833879999999998	-0.8181311	0.7633473000000001	2.4806939999999997
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
0.1796188	-0.48498159999999996	-2.029445	0.3243487	-5.413392
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
-0.5423600000000001	1.319963	-1.240075	1.120118	1.126949
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
-4.816738	-0.6042284000000001	1.0117459999999998	-0.8372135	-1.625535
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
4.044029	0.2863829	0.9211436	nan	nan
OG0000895.1	OG0011911.0	OG0044129.0	OG0015612.4	OG0013109.0
nan	0.65035	3.8255019999999997	0.8841856	-0.22487070000000003
OG0001520.24	OG0000835.7	OG0016985.0	OG0044638.0	OG0006291.0
0.7961098000000001	0.7060531	-0.09904012	2.8679639999999997	-0.9742972
OG0029189.0	OG0029582.0	OG0025891.0	OG0008444.0	OG0021304.0
1.486798	3.252834	0.9580655999999999	0.03747518	0.9363034
OG0000258.1	OG0048180.0	OG0012864.8	OG0049158.0	OG0019411.0
-1.2251290000000001	-0.8396625	-4.897092	0.8892693000000002	1.887646
OG0044483.0	OG0018155.0	OG0018016.0	OG0007327.2	OG0046721.0
1.181857	-0.5504144	-1.6611740000000002	-1.402102	-6.148793
OG0005696.4	OG0057320.0	OG0053977.0	OG0003006.0	OG0001368.24
