OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.5274082542630671	nan	nan	nan	-0.3054317749911664	nan	nan	nan	-1.553426147453103	nan	nan	-2.181803870978292	-3.129102691334971	nan	nan	nan	nan	-2.450873019800733	nan	nan	nan	-2.6492764655589776	nan	nan	-1.589441801857418	nan	-1.902119565948087	nan	-3.5937028011275864	nan	nan	-2.225666241828959	-1.5696076664276921	-2.4258500394902978	nan	0.25229454120183664	nan	-1.2249916123844051	-1.7629258286978426	nan	nan	nan	nan	nan	-2.268121651191569	-3.2310746644362487	-2.7908586021614084	-3.002310160687201	-1.412731031895675	nan	-2.8666995237702237	-2.3090019204430923	nan	nan	-1.679919737630239	-1.563624917755461	-3.3543167844286748	nan	-2.41119543298445	-1.9045481189143394	-1.8756718649977986	nan	-1.3997302464909953	-3.4879450838802413	nan	nan	nan	nan	-0.22583494849358293	-2.7278573380358244	-2.7027498788282935	nan	-3.0445383960764985	nan	-1.7923569873134675	-2.308287184217976	nan	-2.57905954386292	-2.038598926835721	nan	nan	-2.2618807112174233	-1.4924844135207713	nan	-1.3057883922321096	nan	nan	nan	-1.8653847555748917	nan	-1.9148473194368616	-2.234465253637023	nan	-1.2012443860853812	-2.180495303958067	nan	nan	-0.6440816284877217	nan	nan	nan	nan	nan	-2.1112275322575584	nan	nan	nan	-1.2494792448176701	-2.3496030533302106
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
nan	-1.9489759969755331	nan	nan	-1.639130096185714	-1.5166356392866507	nan	-1.781900825629855	nan	nan	-1.4607667291339643	nan	nan	-1.8298185422347497	nan	-1.58337640836713	nan	nan	nan	nan	nan	nan	-2.0197552951466102	-1.7734914701913203	nan	nan	nan	-1.6730025354342413	nan	nan	nan	-2.2515387669959646	nan	-0.9113156284666085	nan	-3.261188937029684	nan	-1.340440727089101	nan	nan	-1.2573900969054144	nan	nan	-1.2696861137062239	nan	nan	nan	-1.1890222828758559	nan	-1.2192699635236235	nan	-1.2655179777888146	-1.6034020684251005	nan	-1.233108061588777	nan	nan	-3.0046240265254474	nan	-1.4552178952133372	nan	nan	nan	-1.1468826087764485	nan	nan	nan	-1.2009126939259964	nan	-1.4506758360321093	nan	nan	-1.6633738342364643	nan	nan	nan	nan	-1.5479317697761892	nan	nan	-3.1405074546072207	-1.172506126396202	nan	-3.8360891280083074	-1.2129019183889953	-3.045729229855121	nan	nan	nan	nan	nan	-2.978236025708344	-1.6001179899733253	nan	nan	nan	nan	nan	-2.29689930039584	-1.7328837381195954	nan	nan	-2.8772610280454547	-2.02297657841931	nan	nan	-1.573896299314951	nan	-1.597714408130004	nan	-1.0935711406863138	nan	nan	nan	nan	-1.6999348632212392	-1.480558740371961	nan	nan	-1.1438508976815909
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
-1.0383025942803217	nan	-1.509019196325609	-1.6259342817774622	nan	nan	-1.5357499660885958	-0.6560805736318118	nan	nan	nan	-2.4058336719490043	nan	nan	nan	nan	-1.3501546476939894	nan	nan	-1.6277164871194718	-2.168122758808327	nan	nan	nan	-1.3262626851512536	-1.6597225952337458	-1.4719288354212647	nan	nan	nan	nan	-3.23242994404826	nan	-2.753409497094819	-1.512925319948276	nan	nan	-2.0359341225135816	nan	-1.1639142882975944	nan	nan	-1.8267446169790276	nan	nan	-1.0655212410931172	-1.0436459153546316	-1.4779442508390357	nan	nan	-3.054092702789747	-1.2383743077975167	-1.7485535684414182	nan	-2.278583590010193	nan	-2.3255393484397415	nan	nan	nan	nan	nan	nan	nan	-1.4520566887096498	-1.7022803279564873	-1.8624964762500653	nan	nan	nan	nan	-2.1265804965651434	nan	nan	nan	nan	nan	nan	-1.9503692322753996	-1.5006260549978325	nan	nan	nan	-1.5683235586073672	nan	nan	nan	nan	-1.9018499789079883	nan	nan	-2.0673340518542216	-1.4289542796140284	nan	nan	-1.258080051505312	nan	-1.342634384441633	-1.106560122683883	-0.13297336778845803	-1.2885931995541526	nan	nan	nan	-2.02297657841931	-1.7020456098170464	nan	nan	-1.9478623766648246	nan	nan	nan	-2.2866561049146705	nan	nan	-1.6999348632212392	nan	-1.931810741221032	nan	-1.5156040374973336
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
nan	-1.5253303408390566	nan	nan	-1.3134770621940925	-1.8512610872624748	nan	nan	nan	-1.3262626851512536	-1.2043992708986937	-0.8502203694240974	nan	-2.2778837621813413	nan	-2.7602353734890537	nan	-1.458782551897963	nan	nan	-2.5344956303704946	nan	nan	nan	-1.974829424265094	nan	nan	nan	-1.639804305267642	nan	nan	nan	nan	nan	-1.796360305986015	nan	-2.0505024187944283	nan	-1.347215245091244	nan	nan	-3.811168673335193	-1.7863727614880525	nan	nan	-1.8267446169790276	nan	-2.3408061050930518	nan	nan	-1.197930891195452	nan	nan	-1.68362251808027	-1.4165771953064041	nan	nan	nan	nan	-1.0436459153546316	nan	nan	nan	nan	nan	nan	nan	-1.720707009302416	-0.9748294242650939	nan	nan	nan	-1.377444423738611	-1.6508612229229156	-2.352547329945754	nan	nan	nan	-1.1778817252706555	-2.3386152238202413	nan	-2.616171312837565	nan	nan	-1.6001179899733253	nan	-0.9156635542766762	-3.7854772646926538	nan	nan	-1.9018499789079883	nan	-2.819088336631431	-2.1603628384903306	nan	nan	nan	-1.4707287562940685	nan	nan	-2.0329789903027757	-2.29689930039584	-1.366987359798269	-1.1800048971636254	nan	nan	nan	nan	nan	nan	nan	nan	-2.402778731599688	-1.963813197152154	-1.1159100908664668	nan	nan	nan	-1.6999348632212392	-1.8298185422347497
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
nan	nan	nan	nan	-1.5812163614882615	-1.3834540967489315	nan	-0.9598790827991225	nan	nan	nan	-1.0368218438261088	nan	-1.8064174749183515	nan	nan	-1.7336032269754467	nan	-1.7734914701913203	-2.326262685151254	nan	nan	nan	nan	-1.4866103224031586	nan	nan	nan	nan	nan	-1.4473278288377835	-1.4106200045220358	-1.3150915174907043	nan	-1.1529652108804336	nan	-2.919205918041758	-1.3277104474813686	nan	-1.6544900757486611	nan	nan	-1.1877071551267289	nan	-1.795358434389579	nan	nan	-2.9356689537540164	nan	nan	-2.403160245562215	-1.9545570292388328	nan	-1.2366734174320404	-0.9559556672939787	-1.7273795453370082	-1.323371511757031	-1.858305638035469	nan	nan	nan	nan	nan	-1.5332423842738285	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.5868392244091865	nan	-2.228705984348338	nan	-1.3286160372674831	nan	-1.172506126396202	-1.0162493516450748	-2.3266244895521186	-1.9503692322753996	nan	nan	-1.434402824145775	nan	-1.6386807984427838	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.534913621113934	-2.4188898247744506	-1.5728229453179	-1.9293358992212104	-2.84684321193858	-2.584673990563033	-2.611314492504686	-2.5162229100488513	nan	nan	nan	nan	-1.5614942202172508	-1.21574730659542	nan	-1.3415371388258908	-1.711228032752598	nan	nan	nan	-2.7288133984027474
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
