OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
0.3643639	0.9996688	0.03696401	0.3085137	0.5616685
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
nan	0.9725159999999999	nan	nan	0.7897194000000001
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
nan	0.35485500000000003	0.1445	nan	0.4614452
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
nan	0.9999937	0.2861205	nan	0.8001001999999999
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
nan	nan	nan	0.3338742	nan
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
nan	0.7567649000000001	0.9995552	nan	nan
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
nan	nan	nan	0.6659229	nan
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
0.8976456	nan	nan	nan	nan
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
nan	nan	nan	nan	nan
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
nan	nan	nan	0.8793141	nan
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
nan	nan	nan	nan	nan
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
0.42647170000000006	0.9848976999999999	nan	nan	nan
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
0.6953114	nan	0.9977663	0.305641	nan
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
nan	0.9980325000000001	nan	nan	0.9300763000000001
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
nan	nan	nan	0.9441775	0.14017220000000002
OG0000895.1	OG0011911.0	OG0044129.0	OG0015612.4	OG0013109.0
0.9255242	0.9443690999999999	nan	nan	nan
OG0001520.24	OG0000835.7	OG0016985.0	OG0044638.0	OG0006291.0
0.5209140999999999	0.1519846	nan	nan	0.8604149999999999
OG0029189.0	OG0029582.0	OG0025891.0	OG0008444.0	OG0021304.0
nan	nan	nan	0.01386218	nan
OG0000258.1	OG0048180.0	OG0012864.8	OG0049158.0	OG0019411.0
0.05887604	nan	nan	nan	nan
OG0044483.0	OG0018155.0	OG0018016.0	OG0007327.2	OG0046721.0
nan	0.8862095999999999	0.878912	0.9990184999999999	nan
OG0005696.4	OG0057320.0	OG0053977.0	OG0003006.0	OG0001368.24
0.5234194000000001	nan	nan	0.043147500000000005	0.9851742
OG0060552.0	OG0045679.0	OG0011755.11	OG0011634.6	OG0003899.0
nan	nan	nan	nan	0.00524718
OG0004642.1	OG0007511.2	OG0007317.4	OG0006017.0	OG0001896.13
nan	0.8130083	0.9999780999999999	0.7449073	0.07701481
OG0002777.4	OG0009204.7	OG0043666.0	OG0005160.1	OG0004478.4
0.5194848	nan	nan	0.7003414000000001	0.9752574
OG0046288.0	OG0003089.5	OG0048004.0	OG0000660.14	OG0019305.0
nan	0.03650692	nan	0.06751317	nan
OG0046914.0	OG0047996.0	OG0009287.0	OG0000863.32	OG0056905.0
nan	nan	0.9922844999999999	0.9138306999999999	nan
