OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
0.6943115457	1.600267473551	0.90064301314	1.188815827236	0.369064679103
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
0.132183318424	0.478274617741	nan	nan	0.9537543218160001
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
1.095944096992	1.758751606939	1.214387059594	nan	0.525264623236
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
nan	0.511875718653	0.813969934017	0.36283279544200003	0.793072625636
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
nan	nan	nan	0.077938758098	nan
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
2.0021251521759997	0.576696473379	1.7252158329499998	nan	nan
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
1.205282349131	nan	nan	0.7525082592010001	nan
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
0.705034960005	nan	nan	0.7128276771459999	nan
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
1.368131249667	nan	nan	nan	0.631074795531
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
nan	nan	nan	0.178526557447	nan
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
nan	nan	nan	nan	nan
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
0.357432342579	1.533150003378	nan	nan	nan
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
1.880789994117	nan	0.166517245133	0.34818986933799995	nan
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
nan	1.033477314767	nan	nan	0.159711307274
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
nan	nan	nan	0.663144558954	2.057935302318
OG0000895.1	OG0011911.0	OG0044129.0	OG0015612.4	OG0013109.0
0.726467414402	2.0318107692789997	nan	nan	0.527832760546
OG0001520.24	OG0000835.7	OG0016985.0	OG0044638.0	OG0006291.0
0.983211442853	2.534411768333	0.609324541116	nan	0.650832098872
OG0029189.0	OG0029582.0	OG0025891.0	OG0008444.0	OG0021304.0
nan	nan	0.753609909806	0.830322490991	0.564504775473
OG0000258.1	OG0048180.0	OG0012864.8	OG0049158.0	OG0019411.0
1.8035588490740002	nan	nan	nan	nan
OG0044483.0	OG0018155.0	OG0018016.0	OG0007327.2	OG0046721.0
nan	0.329463846826	0.49284070913999994	0.156293794427	nan
OG0005696.4	OG0057320.0	OG0053977.0	OG0003006.0	OG0001368.24
0.752492811022	nan	nan	1.9367214909869999	0.9321834781139999
OG0060552.0	OG0045679.0	OG0011755.11	OG0011634.6	OG0003899.0
nan	nan	0.053426409818	0.252964667636	2.093986090017
OG0004642.1	OG0007511.2	OG0007317.4	OG0006017.0	OG0001896.13
0.9500470794470001	1.4164065603279998	0.473641097158	1.1444524591949998	0.48234528773900004
OG0002777.4	OG0009204.7	OG0043666.0	OG0005160.1	OG0004478.4
1.6270486439010001	nan	nan	2.025711808687	2.193902778337
OG0046288.0	OG0003089.5	OG0048004.0	OG0000660.14	OG0019305.0
nan	1.143361911451	nan	1.3818305952790002	1.043568267415
OG0046914.0	OG0047996.0	OG0009287.0	OG0000863.32	OG0056905.0
nan	nan	0.334944416146	0.675460527137	nan
OG0024668.0	OG0034754.0	OG0006522.0	OG0016430.8	OG0048795.0
nan	nan	0.543193300211	nan	nan
OG0017941.0	OG0041680.0	OG0009103.4	OG0005700.0	OG0060423.0
