OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
0.0	0.177723	0.08914910000000001	0.376265	0.260368	0.354378	0.18768800000000002	0.26144	nan	nan
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
0.48299200000000003	0.19025999999999998	0.0874539	0.21965300000000001	0.51208	nan	0.198988	nan	0.164324	0.0585311
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
nan	0.202251	0.45261599999999996	0.164027	0.25450500000000004	nan	0.253116	0.231402	0.0426852	0.042464499999999995
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
0.0107196	0.0	0.237956	nan	nan	0.21965300000000001	0.17023	0.231402	0.0	0.134856
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
0.15140399999999998	0.0	nan	0.160136	0.384355	0.0	nan	0.0307087	0.241958	0.362224
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
0.200035	-0.0126031	nan	nan	0.16384300000000002	0.249383	0.206423	0.45082700000000003	0.274516	0.0674208
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
nan	nan	0.133718	0.053253999999999996	0.501059	0.253116	0.22381199999999998	0.268017	0.203549	0.365085
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
0.21182600000000001	nan	-0.027900599999999998	0.21965300000000001	0.169285	0.121233	0.0454953	nan	0.256682	0.11748900000000001
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
0.198373	0.190156	0.08013239999999999	nan	nan	0.10231	0.0410477	0.253116	0.47225600000000006	0.154549
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
0.21182600000000001	0.0721664	-0.05407719999999999	nan	0.21409099999999998	nan	0.169285	0.149351	0.524875	nan
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
0.164027	0.501059	0.0422289	nan	nan	0.16384300000000002	0.22381199999999998	0.11717000000000001	0.219769	0.149094
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
nan	0.525814	nan	0.251282	0.138282	0.231402	0.24714699999999998	0.265491	0.07017530000000001	0.11231300000000001
OG0000012.918	OG0013503.4	OG0016077.0	OG0000196.0	OG0005672.0	OG0005315.0	OG0004376.0	OG0000307.20	OG0006135.0	OG0000007.585
0.189913	nan	nan	0.46099799999999996	0.265392	0.17023	0.256838	0.51208	0.0895902	0.16281600000000002
OG0000112.0	OG0006978.0	OG0016135.0	OG0000047.282	OG0011224.0	OG0000011.866	OG0005764.0	OG0005145.0	OG0005107.4	OG0000015.1
0.21182600000000001	nan	nan	0.146757	0.500854	0.208182	nan	0.13936400000000002	0.037519300000000005	0.232792
OG0009776.8	OG0004678.12	OG0000923.0	OG0000009.921	OG0000334.9	OG0005940.0	OG0012769.0	OG0013541.2	OG0005299.0	OG0000071.0
nan	0.0403035	0.190156	0.24872399999999997	0.30153	0.263156	0.127584	nan	0.101865	0.153945
OG0011605.0	OG0000045.0	OG0000228.54	OG0000196.0	OG0006118.4	OG0003695.0	OG0002447.0	OG0020648.0	OG0005495.0	OG0000007.3
nan	0.060229099999999994	0.501059	0.46099799999999996	0.0425313	0.121233	0.0065765	nan	0.256682	0.11748900000000001
OG0004942.0	OG0000112.0	OG0005939.0	OG0028991.0	OG0000002.1788	OG0005115.3	OG0000435.0	OG0005088.0	OG0000007.3	OG0009074.8
0.0	0.21182600000000001	0.0405283	nan	0.25140999999999997	0.228602	0.362224	0.0	0.11748900000000001	nan
OG0004971.4	OG0000009.921	OG0011499.1	OG0010013.0	OG0000239.0	OG0000060.0	OG0003505.8	OG0005870.0	OG0000435.0	OG0012210.0
0.138446	0.24872399999999997	nan	nan	0.121188	0.149351	0.052976199999999994	0.138282	0.362224	0.0
OG0007615.6	OG0005947.0	OG0004749.2	OG0004970.0	OG0006322.4	OG0000192.0	OG0005115.3	OG0000074.152	OG0000035.64	OG0000013.2
0.250911	nan	0.234062	0.0410477	nan	0.261662	0.228602	0.231402	0.19001600000000002	0.146931
OG0000486.2	OG0005643.0	OG0000001.425	OG0000032.252	OG0000169.16	OG0006500.0	OG0003880.0	OG0021387.0	OG0005764.0	OG0009237.0
0.16664600000000002	0.0	0.259085	0.101138	0.265319	nan	0.0716058	nan	nan	0.0581457
OG0000018.842	OG0011718.13	OG0005936.0	OG0000000.3460	OG0000047.282	OG0003568.0	OG0006980.0	OG0010101.0	OG0000001.1420	OG0006444.0
0.242787	nan	0.195786	0.160136	0.146757	0.0389267	nan	0.0581457	0.265491	0.0
OG0005686.0	OG0006708.0	OG0020441.0	OG0000015.773	OG0000026.45	OG0000090.24	OG0008066.0	OG0006389.4	OG0006418.0	OG0000442.2
0.0646689	nan	nan	0.0231197	0.159707	0.24714699999999998	0.0	0.06509580000000001	0.0669187	0.24861100000000003
OG0003502.3	OG0000027.457	OG0000176.0	OG0007584.0	OG0006370.4	OG0018981.2	OG0000192.0	OG0004957.0	OG0000200.0	OG0005447.3
0.055039599999999994	0.198373	0.169052	nan	0.0	nan	0.261662	0.140921	0.206423	0.0
OG0000054.0	OG0024950.0	OG0009978.0	OG0000429.0	OG0006744.1	OG0001608.24	OG0000001.425	OG0000074.152	OG0002577.26	OG0006474.4
0.202251	nan	0.201585	0.0812543	nan	0.30836199999999997	0.259085	0.231402	0.101493	0.0853119
OG0000099.0	OG0005986.4	OG0006790.0	OG0000139.0	OG0001710.24	OG0007958.13	OG0000026.45	OG0005097.2	OG0010513.2	OG0000442.2
0.133718	nan	0.040958800000000004	0.253116	0.0061394	nan	0.159707	0.0956624	0.0	0.24861100000000003
OG0003584.16	OG0003514.0	OG0000018.842	OG0013132.4	OG0008562.0	OG0000011.1	OG0000074.152	OG0000105.0	OG0004977.0	OG0027623.0
0.0482767	-0.0384098	0.242787	nan	0.06273300000000001	0.22381199999999998	0.231402	0.161022	0.15094000000000002	nan
OG0004966.0	OG0000710.0	OG0007761.3	OG0000032.252	OG0000187.1	OG0022068.0	OG0004128.4	OG0000102.0	OG0012093.2	OG0003198.2
0.0	0.169285	0.47225600000000006	0.101138	0.219096	nan	nan	0.164324	nan	0.11863900000000001
OG0000923.0	OG0008277.0	OG0000056.0	OG0001981.2	OG0005153.1	OG0013535.7	OG0005463.3	OG0000139.0	OG0011434.0	OG0000015.1
0.190156	nan	0.21965300000000001	0.0335849	0.10231	nan	0.0	0.253116	0.243743	0.232792
OG0010779.2	OG0000027.457	OG0006566.0	OG0006082.0	OG0000169.16	OG0001557.1	OG0004569.0	OG0000043.242	OG0029064.0	OG0006143.2
0.0	0.198373	nan	0.0	0.265319	0.049027999999999995	0.18784700000000001	0.252117	nan	0.08557469999999999
OG0000018.842	OG0011211.0	OG0000486.2	OG0000039.0	OG0005229.4	OG0000015.773	OG0016644.5	OG0002991.24	OG0003614.8	OG0015351.0
0.242787	0.49784300000000004	0.16664600000000002	0.21409099999999998	0.0	0.0231197	nan	0.041903699999999995	0.0605135	nan
OG0000027.457	OG0006298.0	OG0000177.8	OG0005940.0	OG0004453.2	OG0005212.2	OG0019272.0	OG0003247.1	OG0000121.128	OG0000105.0
0.198373	nan	0.0874539	0.263156	0.0308598	0.217848	nan	0.07661319999999999	0.20620100000000002	0.161022
OG0000265.0	OG0000112.0	OG0000995.122	OG0005841.2	OG0028974.0	OG0000056.0	OG0003526.0	OG0007389.9	OG0000710.0	OG0007546.0
0.0517653	0.21182600000000001	0.264962	0.0473467	nan	0.21965300000000001	0.239254	nan	0.169285	0.0414134
OG0005431.0	OG0000142.14	OG0005109.6	OG0007221.2	OG0000710.0	OG0003169.0	OG0000032.252	OG0006632.0	OG0000119.0	OG0016847.4
0.20027999999999999	0.13248800000000002	0.129471	0.270398	0.169285	0.199169	0.101138	nan	0.126064	nan
OG0002858.1	OG0003645.1	OG0012040.0	OG0006142.4	OG0005740.24	OG0000032.252	OG0000169.16	OG0001557.1	OG0000119.0	OG0004579.2
0.12471199999999999	0.11717000000000001	nan	0.0955939	nan	0.101138	0.265319	0.049027999999999995	0.126064	-0.040887400000000004
OG0011287.3	OG0005460.0	OG0000177.8	OG0008459.10	OG0003833.22	OG0000121.128	OG0003800.0	OG0000035.64	OG0000011.866	OG0022174.0
nan	0.0425701	0.0874539	0.09357869999999999	0.20327699999999999	0.20620100000000002	0.10183500000000001	0.19001600000000002	0.208182	nan
OG0000027.457	OG0005882.2	OG0006250.0	OG0021625.0	OG0000000.3460	OG0000192.0	OG0000435.0	OG0005827.2	OG0004987.26	OG0005917.0
0.198373	0.174495	nan	nan	0.160136	0.261662	0.362224	0.0556557	0.19456700000000002	-0.0538366
OG0004737.6	OG0005738.2	OG0000000.3460	OG0000139.0	OG0007299.6	OG0005817.0	OG0000200.0	OG0000026.45	OG0005105.0	OG0008989.0
0.0	nan	0.160136	0.253116	nan	0.0680209	0.206423	0.159707	0.0422289	0.39611
OG0000027.457	OG0008073.0	OG0000334.9	OG0000010.64	OG0007753.0	OG0017860.0	OG0000047.282	OG0004479.1	OG0000009.1514	OG0003614.8
0.198373	nan	0.30153	0.237956	0.0	nan	0.146757	0.12238299999999999	0.237906	0.0605135
OG0000575.28	OG0008512.0	OG0012068.2	OG0000109.0	OG0000132.40	OG0000018.289	OG0002453.0	OG0018801.0	OG0006383.0	OG0006875.0
0.0107196	0.190161	nan	0.319715	0.164027	0.20844000000000001	0.158076	nan	0.0	0.169293
OG0000054.0	OG0013081.0	OG0003635.0	OG0000142.14	OG0000015.773	OG0000435.0	OG0022923.0	OG0006416.0	OG0006417.0	OG0008149.4
0.202251	nan	0.06067380000000001	0.13248800000000002	0.0231197	0.362224	nan	0.036883	0.116693	0.0904977
OG0000010.64	OG0000228.54	OG0009241.2	OG0005071.2	OG0005463.3	OG0000169.16	OG0004536.0	OG0000006.561	OG0006244.2	OG0004579.2
0.237956	0.501059	nan	0.0393453	0.0	0.265319	0.25968800000000003	0.274516	nan	-0.040887400000000004
OG0002869.0	OG0004576.6	OG0011954.3	OG0004605.20	OG0011439.2	OG0001557.1	OG0000026.45	OG0000090.24	OG0012983.0	OG0000105.0
0.041903699999999995	0.271951	nan	0.0580867	0.263768	0.049027999999999995	0.159707	0.24714699999999998	nan	0.161022
