OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
0.4652844	nan	-0.3885349	0.1172004	-0.332445	nan	1.428078	0.6049241	0.7898265	nan	-1.295157	nan	-0.11591389999999999	nan	-0.8873049999999999	nan	nan	-0.3134239	nan	-0.03821786	-0.4510971	nan	nan	-1.1814360000000002	-1.293951	nan	nan	nan	nan	-0.337961	0.8435045	-0.3974272	nan	nan	-0.13338770000000003	-0.14497939999999998	nan	-0.1405389	-0.2263244	0.47031179999999995	-1.123693	nan	nan	nan	0.6295864999999999	0.4147031	nan	-1.361834	0.09650033	-0.15413220000000002	nan	-1.326668	-0.776041	nan	nan
OG0028236.0	OG0003819.2	OG0025907.0	OG0045769.0	OG0018879.5	OG0056907.0	OG0014783.4	OG0027534.0	OG0006939.0	OG0022586.0	OG0038762.0	OG0005507.10	OG0028248.0	OG0018613.3	OG0015514.3	OG0018088.4	OG0003133.0	OG0012207.4	OG0005627.0	OG0016437.3	OG0006862.8	OG0004426.0	OG0060344.0	OG0010505.0	OG0046263.0	OG0009017.0	OG0038795.0	OG0005199.18	OG0015242.6	OG0010703.0	OG0046249.0	OG0001937.2	OG0000001.969	OG0012353.4	OG0044897.0	OG0019508.0	OG0022230.0	OG0005150.0	OG0019680.0	OG0048971.0	OG0000138.166	OG0006606.0	OG0014999.6	OG0022608.0	OG0029599.0	OG0035722.0	OG0022899.0	OG0027663.0	OG0000704.0	OG0010577.0	OG0001677.2	OG0025886.0	OG0006105.0	OG0044057.0	OG0023030.0
-0.8247787	-0.5624158	1.210884	-5.784871	0.9403040000000001	1.438576	-1.576789	1.522673	-0.24106020000000003	3.215419	0.04470856	-0.7465276	-0.7454559000000001	-0.9591497999999999	1.515415	-1.493328	-1.40221	0.9772658000000001	0.0643564	1.138608	0.05627525	-1.0742129999999999	-2.059096	-0.7349724	-6.50715	-0.5026727	0.04807767	-0.4813509	-1.724119	-1.038899	-5.575736	nan	-1.835257	0.2400986	2.467932	2.582339	-1.920279	-0.2878513	2.506924	0.8391945	0.5721409000000001	-1.2137790000000002	1.152043	-0.714194	3.22235	1.531551	3.564137	1.0926120000000001	nan	0.7468531999999999	-0.2901479	0.9827128	0.16963150000000002	4.198594	1.602052
OG0041907.0	OG0046872.0	OG0053857.0	OG0014771.0	OG0047016.0	OG0045126.0	OG0005106.0	OG0012181.8	OG0034884.0	OG0004744.2	OG0012392.13	OG0014699.4	OG0010555.1	OG0000761.6	OG0000512.150	OG0000624.3	OG0016021.0	OG0001124.24	OG0057462.0	OG0000203.0	OG0013468.3	OG0027449.0	OG0047385.0	OG0041818.0	OG0004435.0	OG0000643.24	OG0046157.0	OG0011350.0	OG0013913.5	OG0022915.0	OG0003140.0	OG0007212.0	OG0021007.0	OG0010168.13	OG0008612.2	OG0035796.0	OG0002426.4	OG0002434.0	OG0047365.0	OG0017936.0	OG0008652.9	OG0011897.10	OG0025734.0	OG0046081.0	OG0047356.0	OG0020922.0	OG0018795.6	OG0010883.0	OG0014727.4	OG0014132.4	OG0048162.0	OG0003930.0	OG0014722.4	OG0012245.0	OG0024906.0
1.087616	-6.05499	2.870448	-1.662295	0.3061259	-5.077516999999999	-0.573674	1.2216040000000001	-1.302853	-0.04523698	-5.222215	-1.782815	1.23032	-0.2938338	0.6643589	0.1097106	-0.5201446	nan	2.1164650000000003	0.9666459000000001	-1.625734	-2.0993169999999997	0.1821267	1.047387	-0.8066606	nan	-5.902126	0.24953789999999998	0.6170279000000001	3.7376449999999997	-1.19919	-0.6511816	-4.6041989999999995	-1.4097469999999999	-0.5439059	1.560482	1.725918	0.7525068	0.3390681	0.4313943	-0.6777348000000001	-1.428506	2.298959	-5.661015	0.2552724	1.274836	0.9457976	-0.46378630000000004	-1.62447	0.5164085	-0.6815595999999999	-0.24603920000000004	-1.651966	-0.7195214	1.414191
OG0002885.12	OG0029115.0	OG0044657.0	OG0024481.0	OG0025858.0	OG0047582.0	OG0045654.0	OG0045721.0	OG0018059.0	OG0002010.0	OG0003257.4	OG0003545.0	OG0037979.0	OG0041843.0	OG0022912.0	OG0027041.0	OG0013467.4	OG0021303.0	OG0001177.22	OG0038760.0	OG0054034.0	OG0012977.2	OG0028105.0	OG0041589.0	OG0057417.0	OG0009110.6	OG0017974.4	OG0043610.0	OG0021965.0	OG0003871.0	OG0011264.6	OG0012306.14	OG0008219.0	OG0004819.4	OG0005260.0	OG0013227.7	OG0002441.0	OG0000514.0	OG0047378.0	OG0019883.0	OG0008694.0	OG0001072.136	OG0019580.0	OG0027649.0	OG0008761.0	OG0004420.2	OG0011440.0	OG0000673.8	OG0027871.0	OG0046491.0	OG0018929.0	OG0003471.0	OG0006880.13	OG0047351.0	OG0037683.0
0.6414159	4.069351	2.655548	-1.62162	1.079149	0.3993773	-6.739091999999999	-6.0573760000000005	1.055202	nan	-0.3514403	-0.5037542	1.126474	0.9285764999999999	3.354366	1.080109	-1.549186	1.036214	nan	-0.11103110000000002	2.93287	-0.21667110000000003	-0.8207156999999999	0.8651222	2.032286	0.5752666999999999	-1.63836	1.724479	1.3840729999999999	-1.2908549999999999	-1.547352	-5.82636	0.4216015	-0.8551814	0.5091163	0.7949217	0.45852440000000005	0.5140759	0.2395029	-6.319021	-1.178121	0.7628028	0.13560329999999998	1.69153	-1.357795	0.4070942	1.306781	-0.1388301	-5.251272	-7.727974000000001	-1.196005	-1.27728	-1.030836	0.3529089	1.342735
OG0024750.0	OG0006637.5	OG0001931.1	OG0003106.0	OG0019969.0	OG0020722.0	OG0013648.4	OG0010967.2	OG0013639.0	OG0041806.0	OG0025127.0	OG0016148.4	OG0006142.4	OG0002108.0	OG0027532.0	OG0003055.24	OG0011204.0	OG0007916.2	OG0001497.24	OG0038630.0	OG0005463.3	OG0013170.9	OG0009212.2	OG0015003.6	OG0023946.0	OG0017784.2	OG0022918.0	OG0000759.38	OG0020423.0	OG0004606.1	OG0020495.0	OG0038798.0	OG0002704.28	OG0046190.0	OG0047393.0	OG0045064.0	OG0046044.0	OG0004556.0	OG0057022.0	OG0046710.0	OG0057420.0	OG0024365.0	OG0004073.8	OG0002928.0	OG0057253.0	OG0034257.0	OG0035863.0	OG0001439.24	OG0053881.0	OG0007519.0	OG0006255.2	OG0011433.8	OG0038814.0	OG0020537.0	OG0006713.0
-1.415437	-1.2939120000000002	-0.6733901999999999	0.109223	2.98231	1.154038	-1.428516	-1.556384	-0.4968039000000001	1.051089	0.02557204	-1.6681810000000001	-0.8142713	nan	-1.9708860000000001	-0.3792689	-0.4516936	-1.3658139999999999	nan	0.002486825	-0.8262562	1.7000650000000002	1.359961	-1.989832	0.9602603000000001	-0.1212151	1.239296	nan	-1.317618	-0.7662175	-1.285743	0.007121924	-1.304029	-4.938672	0.09421268	-5.5627059999999995	-6.306108999999999	-0.7820433000000001	1.605776	-5.6481580000000005	2.376157	1.7033040000000002	-1.099818	-0.3293848	-0.8825039000000001	1.078951	1.8011	nan	2.925896	-0.13528729999999997	-1.225822	-0.3636357	-0.01915929	-1.9061299999999999	-1.149718
OG0003851.24	OG0026501.0	OG0029079.0	OG0021325.0	OG0035832.0	OG0007919.2	OG0006317.0	OG0018484.6	OG0002201.2	OG0046204.0	OG0029261.0	OG0038115.0	OG0038124.0	OG0044043.0	OG0006989.7	OG0048997.0	OG0045211.0	OG0012965.0	OG0015234.2	OG0002344.91	OG0029129.0	OG0027750.0	OG0007598.0	OG0029095.0	OG0011666.0	OG0009245.0	OG0012930.0	OG0010946.12	OG0022582.0	OG0025909.0	OG0004545.0	OG0006247.0	OG0019022.3	OG0045013.0	OG0035721.0	OG0037946.0	OG0044146.0	OG0037880.0	OG0029177.0	OG0026315.0	OG0018780.6	OG0047174.0	OG0006146.0	OG0008607.0	OG0028284.0	OG0027719.0	OG0047603.0	OG0034541.0	OG0020783.0	OG0005164.5	OG0025502.0	OG0015349.0	OG0004967.2	OG0010706.0	OG0002272.22
