OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
-0.4231768	nan	0.3227857	4.1072	nan	0.8198931999999999	0.7060531	nan	0.9977196	nan	0.8530597
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
-0.801819	1.171144	nan	-6.426512000000001	-1.183295	0.32861799999999997	0.1960254	nan	-0.457153	nan	-0.33825759999999994
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
nan	nan	0.5648102	-0.3741474	0.11150630000000002	-5.252701999999999	nan	-0.5749135999999999	nan	-0.5899965	0.01676415
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
0.5004995	1.473457	1.324674	-0.48301890000000003	nan	1.09418	-0.6941961	-0.5949389	nan	0.27922379999999997	nan
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
nan	-1.113508	-6.812322999999999	0.02814651	-0.6099726	nan	-1.267624	0.42366329999999996	-0.9805878	-1.161685	nan
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
-0.3830655	0.21611020000000003	0.3382678	1.324674	nan	-0.06498603	nan	nan	-0.08297426	0.19357570000000002	-1.001002
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
-0.9363035	1.5344659999999999	nan	0.8286986	-1.211077	0.8917931999999998	nan	-0.5899965	1.267889	nan	-0.3058325
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
0.42467200000000005	0.08553730000000001	nan	nan	0.4152367	-0.3341054	-1.190717	0.12362709999999999	nan	0.9053459999999999	-0.09796332
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
-0.3055162	1.324674	0.8201684000000001	nan	-1.183295	-0.5642858000000001	1.043661	-0.8345995999999999	nan	nan	0.5321994999999999
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
-0.46349759999999995	-0.8969995000000001	nan	-1.267624	-0.37127790000000005	-0.4151437	0.7571687	1.118076	-1.153278	nan	nan
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
1.1035840000000001	0.060099099999999996	nan	-0.08105836	nan	-0.10240830000000001	1.144847	0.1923812	-6.44916	-1.0599809999999998	nan
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
nan	-1.19329	-5.699427	1.233455	0.145872	-0.5709731	1.0842479999999999	0.19357570000000002	-0.4436465	nan	nan
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
nan	0.6934049	0.2433592	-1.100327	0.7571687	-0.8671986999999999	1.247685	-0.37604990000000005	nan	0.47561049999999994	nan
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
-0.32340100000000005	1.549279	nan	-1.058034	-0.392217	-0.8066048000000001	-1.03528	-1.14734	nan	0.1923812	nan
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
nan	0.3442396	0.2301166	-0.7753691	-0.8052043000000001	0.02814651	0.6912807	nan	-1.038899	nan	0.8435045
OG0000599.0	OG0045783.0	OG0000504.24	OG0004935.0	OG0009848.0	OG0006434.0	OG0003028.0	OG0000018.842	OG0000814.1	OG0000966.4	OG0004320.3
nan	-6.074141	nan	-0.4461312	-0.8257106	-0.04542683	-0.8345995999999999	0.1923812	nan	0.47561049999999994	0.4188918
OG0003698.0	OG0000584.0	OG0005693.0	OG0045507.0	OG0002857.4	OG0000001.2052	OG0001443.24	OG0003634.44	OG0002487.0	OG0000343.0	OG0000876.20
1.233455	nan	-0.08297426	-5.936964	-0.5705024999999999	-0.2995526	nan	-0.9691744000000001	-0.46319	-0.5190232	nan
OG0013433.5	OG0000092.1	OG0000318.0	OG0001551.34	OG0003714.0	OG0002213.0	OG0000059.59	OG0005019.0	OG0001832.1	OG0006023.0	OG0002487.0
0.9714453000000002	nan	0.05866991	0.23445349999999998	-0.3615175	nan	0.07729752	-0.1235087	nan	-0.9952264999999999	-0.46319
OG0010762.2	OG0002449.21	OG0005448.0	OG0000892.1	OG0005886.2	OG0017345.1	OG0002718.4	OG0000561.24	OG0000107.44	OG0000294.0	OG0000966.4
0.20409829999999998	0.3573456	0.46750280000000005	nan	-1.0640690000000002	2.685924	-0.1905241	nan	1.267889	nan	0.47561049999999994
OG0000014.1	OG0000090.24	OG0001815.3	OG0008507.1	OG0000724.26	OG0003714.0	OG0000589.0	OG0007230.0	OG0056807.0	OG0003181.15	OG0004557.0
nan	1.324674	nan	-0.6480679	nan	-0.3615175	0.12362709999999999	0.4181135	1.408205	-0.42313310000000004	-0.7742081000000001
OG0000822.0	OG0000187.1	OG0000044.1	OG0000558.24	OG0001609.10	OG0005133.0	OG0003343.2	OG0013961.0	OG0008491.2	OG0008692.19	OG0002885.12
nan	1.171144	nan	nan	-0.4121183	-0.1620578	-0.5152165	-0.2330033	0.2044152	0.8269193000000001	0.6414159
OG0002260.4	OG0006459.10	OG0007743.0	OG0000160.4	OG0011533.13	OG0000349.0	OG0004215.0	OG0002514.2	OG0000878.5	OG0001207.24	OG0000124.174
-0.10826480000000001	0.31305029999999995	0.145872	nan	0.8444799000000001	0.5581897	-0.16662829999999998	0.43065420000000004	-0.003203033	nan	nan
OG0007699.0	OG0002700.0	OG0001604.2	OG0000888.24	OG0001802.47	OG0000350.8	OG0014165.3	OG0003343.2	OG0005276.0	OG0000579.24	OG0000046.1
-0.31703790000000004	-0.348391	-1.2428629999999998	nan	-0.832385	1.0842479999999999	-5.4292050000000005	-0.5152165	-0.03991989	nan	nan
OG0001416.0	OG0002674.20	OG0000139.0	OG0005040.3	OG0001091.2	OG0046049.0	OG0000214.0	OG0001730.2	OG0002471.0	OG0005162.0	OG0005908.0
nan	0.1010842	-0.1087079	-0.3830655	nan	-6.2278199999999995	nan	0.3743477	-0.7538576	0.4528276	-0.2867206
OG0002674.20	OG0000090.24	OG0001471.24	OG0000524.1	OG0003607.0	OG0027548.0	OG0002626.26	OG0010587.0	OG0005086.0	OG0002487.0	OG0000046.1
0.1010842	1.324674	nan	nan	-0.7814566	1.464404	-0.8027064	-0.457153	-0.7923515999999999	-0.46319	nan
OG0003960.4	OG0000990.0	OG0002821.0	OG0004169.4	OG0005653.0	OG0044930.0	OG0002862.0	OG0000407.1	OG0000973.2	OG0000310.18	OG0008579.6
-0.23284549999999998	nan	-0.8397309000000001	-0.1364535	-0.4910875	2.893612	0.27922379999999997	nan	nan	0.8435045	-1.04913
OG0000139.0	OG0002353.2	OG0006146.0	OG0024735.0	OG0006346.0	OG0000894.25	OG0009977.0	OG0003689.1	OG0002209.38	OG0000861.24	OG0000198.0
-0.1087079	-0.01069885	-1.101094	-1.462618	-0.2265755	nan	-0.1974445	-0.221835	-1.14734	nan	nan
OG0017198.1	OG0000081.1	OG0003540.0	OG0003823.8	OG0002248.0	OG0015302.0	OG0003714.0	OG0001659.0	OG0000581.0	OG0007702.0	OG0000343.0
-6.287559	nan	0.37661690000000003	-0.3077415	nan	0.002304801	-0.3615175	-0.2869115	nan	0.2699074	-0.5190232
OG0000112.0	OG0000539.1	OG0003167.0	OG0001351.24	OG0000420.0	OG0002676.20	OG0045854.0	OG0000268.1	OG0006386.0	OG0009815.0	OG0001664.2
nan	nan	1.07205	nan	nan	0.08553730000000001	-4.624009	-0.10702919999999999	-0.6729039000000001	-0.004987442	0.2605395
OG0000677.1	OG0026990.0	OG0000192.0	OG0001849.0	OG0000779.1	OG0010712.0	OG0000188.1	OG0002841.0	OG0002974.24	OG0012675.2	OG0003343.2
nan	0.9195555000000001	-0.1931609	nan	-1.211077	-0.9723771000000001	nan	-0.448169	-0.05090668	0.9889983	-0.5152165
OG0003925.0	OG0001415.1	OG0026279.0	OG0003825.26	OG0001701.8	OG0007260.0	OG0000196.0	OG0000276.72	OG0002572.0	OG0004024.2	OG0000579.24
-0.1808958	nan	-0.009199443	-1.058034	0.11150630000000002	-0.073296	0.42366329999999996	nan	0.3131738	0.6228991	nan
OG0000901.0	OG0001831.0	OG0005927.14	OG0000866.110	OG0000187.1	OG0004081.1	OG0002442.0	OG0000290.0	OG0005615.0	OG0001659.0	OG0000771.24
nan	-0.41166440000000004	0.24452110000000002	-1.111204	1.171144	0.2765328	-0.2968395	nan	-0.7270587	-0.2869115	nan
OG0000359.28	OG0002109.0	OG0003770.8	OG0003540.0	OG0035667.0	OG0003607.0	OG0002335.4	OG0008981.0	OG0000318.0	OG0000753.0	OG0003307.20
nan	nan	-0.7540806	0.37661690000000003	1.658493	-0.7814566	-0.11668599999999998	0.01895559	0.05866991	nan	-0.08118239
OG0000698.19	OG0001528.16	OG0008417.1	OG0010701.0	OG0000002.763	OG0000196.0	OG0002973.1	OG0013992.0	OG0001835.21	OG0000713.24	OG0001851.13
nan	0.5648102	-1.046592	-1.0118719999999999	nan	0.42366329999999996	-0.06409902	0.01421903	-0.10785619999999999	nan	-1.214584
OG0000785.2	OG0002822.4	OG0004824.0	OG0048113.0	OG0006000.0	OG0001009.24	OG0005098.0	OG0000837.0	OG0000510.30	OG0007792.10	OG0002487.0
nan	0.3382678	-0.340038	-0.5800801	-1.193897	nan	-0.1414213	0.1377884	nan	-0.1668049	-0.46319
OG0004842.6	OG0004136.2	OG0000588.0	OG0011295.0	OG0001467.10	OG0005646.0	OG0000180.0	OG0000637.34	OG0002554.10	OG0017834.1	OG0000107.44
-0.7583069	-0.4182918	nan	-0.0806932	0.09359732	-0.8478143	nan	nan	0.1287855	1.238852	1.267889
OG0000671.12	OG0001653.23	OG0002519.0	OG0004141.18	OG0000518.24	OG0000589.0	OG0006546.0	OG0001378.24	OG0057012.0	OG0000107.44	OG0000110.3
0.8201684000000001	-0.1986209	0.278648	0.48766670000000006	nan	0.12362709999999999	0.1451574	nan	1.497291	1.267889	nan
OG0001289.1	OG0001731.4	OG0010684.0	OG0000175.4	OG0001701.8	OG0000349.0	OG0000504.24	OG0044103.0	OG0007079.10	OG0002922.0	OG0005892.2
nan	0.1244483	-0.9900585	nan	0.11150630000000002	0.5581897	nan	4.300092	-0.35379279999999996	0.3565342	-1.078948
OG0000090.24	OG0006167.0	OG0000584.0	OG0002134.0	OG0003097.12	OG0005916.0	OG0002554.10	OG0001659.0	OG0030014.0	OG0001561.0	OG0002311.24
1.324674	0.9407627000000001	nan	nan	1.040983	0.1590685	0.1287855	-0.2869115	1.623406	nan	0.3836962
OG0000034.305	OG0002020.0	OG0003620.0	OG0003905.18	OG0011320.4	OG0001653.23	OG0005150.0	OG0001525.51	OG0053811.0	OG0000700.36	OG0000310.18
