OG0000119.0	OG0005996.10	OG0005056.1	OG0000236.1	OG0003860.1	OG0000206.0	OG0020019.0	OG0006158.4	OG0012897.4	OG0006752.0	OG0007639.25	OG0000213.256	OG0000098.0	OG0011985.2	OG0001607.2	OG0008342.0	OG0000751.0	OG0044466.0	OG0003342.16	OG0000551.2	OG0007639.5	OG0002309.26	OG0000236.122	OG0007127.0	OG0000264.1	OG0005266.0	OG0005326.0	OG0008341.0	OG0001844.24	OG0009857.2	OG0012896.0	OG0029057.0	OG0000318.0	OG0004205.0	OG0002590.0	OG0003991.2	OG0008335.19	OG0000456.0	OG0000236.19	OG0005400.0	OG0000833.0	OG0016785.2	OG0013218.3	OG0000320.0	OG0000324.0	OG0053812.0	OG0002988.0	OG0004314.0	OG0019212.0	OG0005741.0	OG0015105.0	OG0000834.15	OG0000834.30	OG0004135.0	OG0007845.0	OG0000920.27	OG0002488.24	OG0014302.8	OG0001764.0	OG0004226.0	OG0006225.0	OG0014817.2	OG0029060.0	OG0000213.17	OG0014065.0
0.6441848183194789	1.1056209896866196	-0.40254477219737267	1.5310303170156239	1.831595044302865	0.9779949259616734	0.10530712763183743	1.5047362898471088	1.0947657203045267	0.5142954387845684	-13.287712379549449	0.4034662349374713	1.3764007627255037	0.5318482191768008	0.8376064985087806	-0.11108232093003877	0.14637556395641846	nan	1.300536164422742	0.12004374815933493	1.495391589015806	0.03230464666485579	0.47174124311625504	-0.2561584779183969	-0.39191642613293387	1.0126602346510893	-0.6812428796663623	1.4091380175176096	0.21483853187865953	1.529902227401704	1.057877257780895	-13.287712379549449	-0.16099870804441482	0.7854756524107099	1.4206747302640448	-0.3231348291098198	-3.8073653093449016	0.33942602596370375	nan	0.0700879769523404	-0.061052781838215546	-1.1496317731419636	-2.642443082390205	0.4278612776546661	0.5633565711396273	nan	0.31437249912292065	0.1294434137272129	-1.4359944550876724	0.31084744248656526	0.6970732271761306	1.2893551033789747	0.39462223279488984	-0.28884367443802567	0.30874263935829077	-0.05408632246016782	0.4984322183473175	-3.4807872286686834	-1.1869163230457778	0.9004165034640287	-0.17132702739739747	0.666926436922195	-13.287712379549449	1.6131541272329173	-1.712716136602532
OG0045615.0	OG0024714.0	OG0024355.0	OG0012114.8	OG0025975.0	OG0035573.0	OG0043551.0	OG0043678.0	OG0003362.0	OG0025470.0	OG0016430.7	OG0017149.4	OG0041521.0	OG0057499.0	OG0000207.240	OG0022053.0	OG0004947.4	OG0008735.0	OG0004736.6	OG0046820.0	OG0004753.0	OG0009148.0	OG0003206.16	OG0046991.0	OG0043965.0	OG0007045.2	OG0015023.7	OG0045556.0	OG0045671.0	OG0046642.0	OG0008138.14	OG0045836.0	OG0006262.5	OG0046904.0	OG0009066.4	OG0019625.0	OG0011694.15	OG0038654.0	OG0038065.0	OG0020746.0	OG0009932.0	OG0013606.4	OG0047529.0	OG0057390.0	OG0015222.0	OG0002631.6	OG0046666.0	OG0009048.1	OG0003031.18	OG0043623.0	OG0047283.0	OG0048012.0	OG0024521.0	OG0028429.0	OG0016359.1	OG0056524.0	OG0015760.0	OG0038696.0	OG0020504.0	OG0022036.0	OG0006143.2	OG0057525.0	OG0012415.0	OG0003627.46	OG0008824.1
nan	1.0022019091241938	nan	2.2940049128343407	4.103177526059811	nan	nan	nan	-0.04804196111166045	nan	nan	nan	nan	nan	1.2252089530418973	nan	1.08931095239384	1.281896378397504	1.5294818132945034	nan	1.9375068235428756	0.6502205694825454	0.7507971315218926	nan	nan	1.4145391316269498	nan	nan	nan	nan	0.1976404616906365	nan	nan	nan	2.0954460669116415	nan	nan	nan	nan	-1.4915749770470463	0.07960190557403023	0.594520025900007	nan	nan	0.7909086564292268	1.3511473689776152	nan	-1.11054429298579	0.20901354933827493	nan	nan	nan	-13.287712379549449	nan	nan	nan	2.309922650989702	nan	0.4748226171626414	nan	0.13653008241739506	nan	1.2730850902378685	nan	nan
OG0057388.0	OG0004254.44	OG0048082.0	OG0005875.0	OG0005345.4	OG0043368.0	OG0015202.0	OG0002348.56	OG0017924.2	OG0037837.0	OG0005206.34	OG0004463.2	OG0008015.25	OG0002469.0	OG0046980.0	OG0019619.0	OG0001880.0	OG0046558.0	OG0002799.0	OG0002833.0	OG0009048.1	OG0001385.1	OG0006114.1	OG0020556.0	OG0017943.0	OG0023121.0	OG0013048.8	OG0026844.0	OG0003130.1	OG0014148.3	OG0001586.3	OG0003988.1	OG0030139.0	OG0026676.0	OG0004420.2	OG0008034.1	OG0000298.0	OG0006124.2	OG0002829.1	OG0046508.0	OG0045063.0	OG0007437.0	OG0008603.0	OG0001525.51	OG0013496.4	OG0000479.1	OG0045098.0	OG0006678.4	OG0000796.20	OG0025004.0	OG0003743.1	OG0012133.4	OG0029101.0	OG0001461.24	OG0004222.0	OG0028044.0	OG0044894.0	OG0025842.0	OG0011887.5	OG0044571.0	OG0038901.0	OG0000604.1	OG0056689.0	OG0034678.0	OG0018047.4
nan	-1.0376726018516895	nan	1.3513175308708454	-0.4513192731542841	nan	-0.11846499305631017	0.9499464532714113	3.32276212601457	nan	0.45345318211841806	0.7414161562905002	nan	0.34233437552693763	nan	nan	0.9663378821615031	nan	0.3214604075446412	-1.5621056808213236	-1.11054429298579	-0.956890165122575	1.1411325066295475	nan	nan	nan	0.8837968847562262	nan	-0.12212834944415284	nan	0.29015654086668213	1.7120310057101797	nan	nan	0.630635092177813	0.19588710582933475	0.6334022141750109	1.279465479397886	0.6727458507609125	nan	nan	1.7540979878820853	1.1466854143407865	0.34834099089389703	1.5647498973483627	0.11216838106122422	nan	-0.21610353363621976	-1.4744576362623794	-13.287712379549449	-0.2983104048227566	1.8475447511684688	nan	0.7826909261200482	-0.10141520654638819	nan	nan	nan	nan	nan	nan	0.5674791618108266	nan	nan	1.1473193584597798
OG0043366.0	OG0045184.0	OG0000006.1	OG0024581.0	OG0007769.0	OG0005756.2	OG0017283.5	OG0057305.0	OG0006280.10	OG0057341.0	OG0002892.4	OG0003211.0	OG0018398.0	OG0028976.0	OG0012627.1	OG0014687.1	OG0015246.3	OG0005083.0	OG0056881.0	OG0045029.0	OG0002587.0	OG0012141.4	OG0035690.0	OG0037747.0	OG0006891.4	OG0056736.0	OG0019003.1	OG0002836.4	OG0044802.0	OG0034800.0	OG0047517.0	OG0037830.0	OG0016839.3	OG0016203.1	OG0011002.0	OG0000587.1	OG0010894.7	OG0045779.0	OG0017836.4	OG0011913.0	OG0057444.0	OG0038890.0	OG0010125.0	OG0014666.4	OG0015130.10	OG0007581.0	OG0019214.0	OG0006272.0	OG0047244.0	OG0046007.0	OG0001791.12	OG0007531.3	OG0016827.0	OG0008286.2	OG0005691.3	OG0011332.6	OG0024587.0	OG0046123.0	OG0007273.0	OG0020317.0	OG0027627.0	OG0016257.3	OG0022773.0	OG0001301.24	OG0013873.1
nan	nan	0.5640458246836109	3.4832750585924086	1.430229672934625	0.6563690943145506	nan	nan	-1.5995020695127478	nan	1.0231793336295671	-0.7690378918474707	1.1101956948084335	-13.287712379549449	nan	1.0796083536356	1.3562826631314917	1.7336203690824976	nan	nan	0.7077333959320444	0.8880104113121478	nan	nan	0.11723645022358846	nan	nan	0.2383175905776745	nan	nan	nan	nan	0.6353987150773999	nan	0.8713035150406541	nan	1.7087321222473855	nan	nan	0.5587457246712562	nan	nan	0.9492106882455573	1.7057398240878543	nan	-0.2994946269868258	0.005772984748757346	0.816272184963656	nan	nan	0.45787203725089787	3.3756145412764478	2.1272265526982945	1.330389947717282	1.5906528393305068	0.5270578350832738	nan	nan	0.8790547086902677	1.4162005923093053	0.4804984915505708	-0.6877079528119365	nan	-0.36656637521289387	0.4468607822531595
OG0018627.0	OG0014258.7	OG0011996.0	OG0000787.3	OG0004584.32	OG0006996.3	OG0001845.2	OG0008273.0	OG0026913.0	OG0001893.0	OG0008140.1	OG0044389.0	OG0018376.3	OG0003754.0	OG0025341.0	OG0009908.12	OG0046278.0	OG0008484.3	OG0018118.2	OG0054128.0	OG0008175.0	OG0012886.8	OG0001449.24	OG0005704.4	OG0000021.847	OG0007272.0	OG0024598.0	OG0000377.2	OG0001568.0	OG0015243.2	OG0045960.0	OG0003971.6	OG0046640.0	OG0015772.1	OG0003067.0	OG0045465.0	OG0010169.2	OG0000005.318	OG0004096.6	OG0014317.6	OG0044433.0	OG0024570.0	OG0046701.0	OG0047973.0	OG0011471.4	OG0023059.0	OG0001558.2	OG0003162.80	OG0009129.0	OG0012768.6	OG0016606.8	OG0019206.0	OG0016022.4	OG0010733.0	OG0020754.0	OG0004443.0	OG0043479.0	OG0008409.1	OG0038034.0	OG0025021.0	OG0007174.2	OG0021381.0	OG0020763.0	OG0004144.0	OG0046635.0
2.1055303307598305	nan	0.5171394711279851	0.521845589823482	0.025654260387260347	2.246652372280575	0.9205225852844964	2.518635293711523	nan	0.6897137844335948	0.36961338951297074	nan	nan	-0.09003388889382004	nan	1.7269214939966635	nan	nan	-0.6837159353308732	nan	-0.3852577144972225	0.4241010158810611	-0.4357591723969318	-0.23845871721331785	2.1638489879814493	2.6027081598642487	1.67702745386483	0.047325099736509973	0.3665061756848097	2.6273185161187618	nan	0.7472949451774518	nan	nan	1.1960830517954302	nan	0.7085433873563576	-1.2041348366170515	1.6902637868315955	nan	nan	3.1806387546716968	nan	nan	0.37131057576402426	4.370847516750906	-0.37399552284996374	nan	-0.5940564020556035	0.7623575009020935	nan	nan	-0.3861280371272461	2.2616105016033825	3.032289020556931	0.13938897155206925	nan	0.06892949591887486	nan	nan	2.2848506805900035	0.17073767392174607	-0.9191556145237844	-0.42498368287474125	nan
OG0027782.0	OG0001536.0	OG0025128.0	OG0015358.8	OG0001139.24	OG0002869.0	OG0002093.0	OG0019066.1	OG0020816.0	OG0008349.0	OG0009051.0	OG0019423.0	OG0004354.0	OG0012626.1	OG0012880.2	OG0006519.0	OG0012308.1	OG0045729.0	OG0017882.2	OG0035796.0	OG0002429.0	OG0015114.0	OG0012536.0	OG0027494.0	OG0017157.4	OG0057505.0	OG0017539.2	OG0037819.0	OG0044671.0	OG0006220.13	OG0038656.0	OG0041828.0	OG0015201.0	OG0014619.0	OG0012889.0	OG0011969.0	OG0013577.0	OG0028126.0	OG0045211.0	OG0025053.0	OG0022004.0	OG0005701.33	OG0007601.0	OG0045964.0	OG0002373.38	OG0057513.0	OG0016961.3	OG0002021.4	OG0019161.0	OG0034289.0	OG0047455.0	OG0022760.0	OG0056737.0	OG0034550.0	OG0029613.0	OG0001507.1	OG0029210.0	OG0043616.0	OG0006524.0	OG0009120.0	OG0045182.0	OG0002828.24	OG0017741.0	OG0022086.0	OG0017003.0
