OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
nan	1.439683	0.8135521	1.236635	3.189307	1.157585	0.5640989000000001	1.060669	1.678453	1.015206	nan
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
2.6328650000000002	1.204318	9.089871	3.7669269999999995	1.44554	3.4317330000000004	3.3858980000000005	1.43536	256.5258	1.302215	3.047725
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
nan	nan	13.68249	5.600546	2.3542490000000003	260.9786	nan	1.939745	1.244154	1.449732	3.8122599999999998
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
2.794257	1.431659	1.080782	nan	3.3886220000000002	1.06677	2.232252	2.589588	5.609543	255.5211	261.7395
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
4.658723	2.8601349999999996	1.6449529999999999	4.642449	nan	2.64171	1.743175	8.114578	2.375276	3.230096	2.686706
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
2.649266	3.538469	2.2197459999999998	3.4324519999999996	0.9461	3.363378	1.105054	3.334076	nan	2.267951	263.2179
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
3.5947739999999997	3.2858949999999996	1.394308	5.563912999999999	1.31116	263.8615	0.6550988	nan	2.620702	2.252248	2.223652
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
257.8166	nan	1.452315	264.3146	2.354248	3.380503	1.860609	3.3598489999999996	4.532545	2.2245169999999996	1.4652319999999999
OG0028454.0	OG0037975.0	OG0006049.4	OG0020395.0	OG0007639.5	OG0025358.0	OG0012626.1	OG0000881.3	OG0002407.0	OG0001739.127	OG0006707.0
2.3406599999999997	3.094941	3.182216	260.2073	3.7427	1.870895	3.379717	nan	3.614926	270.6566	216.7345
OG0034297.0	OG0026289.0	OG0047302.0	OG0011162.10	OG0038828.0	OG0013979.0	OG0017065.5	OG0004808.0	OG0057131.0	OG0011350.0	OG0015532.4
1.3023559999999998	1.914956	3.3655239999999997	8.048802	3.387265	2.267116	262.7793	8.99583	1.498718	2.505487	2.495388
OG0006508.0	OG0034289.0	OG0019513.0	OG0004458.0	OG0004594.1	OG0027039.0	OG0046154.0	OG0001112.46	OG0015626.4	OG0016896.2	OG0047477.0
218.6471	1.3116649999999999	1.952777	0.1947833	3.626386	3.2925419999999996	256.5492	8.79151	3.021605	1.300646	3.396892
OG0003927.3	OG0027454.0	OG0041662.0	OG0027734.0	OG0043422.0	OG0057540.0	OG0005800.0	OG0012876.0	OG0011951.0	OG0060504.0	OG0014010.0
6.302274	3.414646	3.300102	256.0303	1.4778950000000002	2.501623	2.581083	1.181094	1.841278	1.507588	2.310715
OG0018987.0	OG0043359.0	OG0046059.0	OG0000349.0	OG0034235.0	OG0046243.0	OG0016305.2	OG0001996.0	OG0003168.0	OG0004871.0	OG0003296.0
1.276938	1.483953	262.8846	0.7331578000000001	1.307031	264.7786	1.751528	nan	20.613129999999998	11.82881	13.759920000000001
OG0001623.1	OG0043659.0	OG0002592.3	OG0006414.0	OG0007022.0	OG0010577.0	OG0000928.30	OG0029343.0	OG0022783.0	OG0023039.0	OG0034699.0
1.327101	1.4772379999999998	nan	2.82065	1.6738650000000002	0.6579368	nan	1.544807	1.444304	1.8742130000000001	1.443371
OG0006005.0	OG0046356.0	OG0010802.0	OG0011934.2	OG0034865.0	OG0029250.0	OG0001343.24	OG0028196.0	OG0000171.0	OG0005144.1	OG0014614.0
25.94925	258.5324	1.224736	1.847548	2.234654	1.497198	nan	3.7584370000000002	nan	5.466485	1.409601
OG0019820.0	OG0023180.0	OG0038702.0	OG0023564.0	OG0003379.4	OG0003455.2	OG0056675.0	OG0009822.0	OG0029244.0	OG0007559.0	OG0014765.4
1.486856	2.5716919999999996	3.4223220000000003	3.3438239999999997	21.56795	44.6723	2.6122259999999997	0.8193858	1.519249	4.6558269999999995	8.026667
