OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
0.363416734626	1.5978896074000002	0.6412004016185	0.7248987999335	0.192877343808
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
0.132183318424	0.238594755091	nan	nan	0.48791997491149997
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
1.095944096992	0.446050764961	0.814742365553	nan	0.22856611539299998
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
nan	0.510401640175	0.282346267951	0.36283279544200003	0.689383061986
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
nan	nan	nan	0.0656138234545	nan
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
2.0021251521759997	0.42452004848200003	1.68705688926	nan	nan
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
1.205282349131	nan	nan	0.621223419422	nan
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
0.2585253820535	nan	nan	0.7128276771459999	nan
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
1.368131249667	nan	nan	nan	0.631074795531
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
nan	nan	nan	0.058751146897	nan
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
nan	nan	nan	nan	nan
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
0.20733222810199997	0.41763089425300004	nan	nan	nan
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
0.794182916235	nan	0.161270966234	0.24950701656649998	nan
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
nan	1.003915544833	nan	nan	0.14179951929600002
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
nan	nan	nan	0.326703663868	0.722165316107
OG0000895.1	OG0011911.0	OG0044129.0	OG0015612.4	OG0013109.0
0.35212253122000003	1.96101061185	nan	nan	0.527832760546
OG0001520.24	OG0000835.7	OG0016985.0	OG0044638.0	OG0006291.0
0.519242199179	0.4161880939625	0.609324541116	nan	0.3226106560045
OG0029189.0	OG0029582.0	OG0025891.0	OG0008444.0	OG0021304.0
nan	nan	0.753609909806	0.563259608891	0.564504775473
OG0000258.1	OG0048180.0	OG0012864.8	OG0049158.0	OG0019411.0
0.9968145403005	nan	nan	nan	nan
OG0044483.0	OG0018155.0	OG0018016.0	OG0007327.2	OG0046721.0
nan	0.2038814661645	0.430293169725	0.150859620791	nan
OG0005696.4	OG0057320.0	OG0053977.0	OG0003006.0	OG0001368.24
0.519492537778	nan	nan	0.7457543919765	0.525827808794
OG0060552.0	OG0045679.0	OG0011755.11	OG0011634.6	OG0003899.0
nan	nan	0.053426409818	0.252964667636	1.672795216025
OG0004642.1	OG0007511.2	OG0007317.4	OG0006017.0	OG0001896.13
0.9500470794470001	0.9997767161605	0.47030453020400004	0.8339657333425	0.24592112989700002
OG0002777.4	OG0009204.7	OG0043666.0	OG0005160.1	OG0004478.4
0.400829512003	nan	nan	1.3400879825354999	0.639635671953
OG0046288.0	OG0003089.5	OG0048004.0	OG0000660.14	OG0019305.0
