OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
0.0816069	0.176324	0.11771600000000002	0.0799736	0.20947399999999997	1e-07	0.250956	0.173468	nan	nan
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
0.31364200000000003	0.0985047	0.201207	0.188898	0.262006	nan	0.22364499999999998	nan	0.024356700000000002	0.274811
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
nan	0.124571	0.289181	0.127931	0.227823	nan	1e-07	0.214655	0.12798199999999998	0.138194
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
0.050874199999999994	0.199722	0.18536	nan	nan	0.188898	0.16247999999999999	0.214655	0.06891	0.204837
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
0.206882	0.11713399999999999	nan	0.14713900000000002	0.0856361	0.07993639999999999	nan	0.14927	0.21723299999999998	0.00265229
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
0.192732	0.0442846	nan	nan	0.172861	0.204691	0.25041399999999997	0.35483600000000004	0.14416700000000002	0.19363
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
nan	nan	0.155299	0.23511300000000002	0.276319	1e-07	0.190581	0.17722000000000002	0.24929899999999997	0.024703799999999998
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
0.22771599999999997	nan	0.127386	0.188898	0.202271	0.232121	0.0717742	nan	0.17947000000000002	0.15837
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
0.217302	0.22762399999999997	0.277387	nan	nan	0.135688	0.108751	1e-07	0.259378	0.09902539999999999
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
0.22771599999999997	1e-07	0.13578900000000002	nan	0.21905300000000003	nan	0.202271	0.114949	0.239035	nan
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
0.127931	0.276319	0.10258800000000001	nan	nan	0.172861	0.190581	1e-07	0.0104695	0.260077
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
