OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
nan	1.2615669127509999	0.33393899563499996	nan	nan	0.048481179496999996	0.44705333710199996	nan	0.145906632416	1.9655224609070001	nan	nan	0.54991319992	0.741197522587	0.986590715326	nan	nan	nan	3.801558166329	nan	nan	1.560947625562	nan	0.01682790817	nan	1.310867877392	2.007299486531	0.0	nan	0.002059146203	nan	0.5184863397	0.261921997701	1.2989824355969999	nan	1.3094080275120001	nan	nan	0.985447226612	0.585040068528	nan	0.520234375322	nan	0.8944614912819999	nan	1.989967702578	nan	0.651711378007	nan	nan	nan	nan	0.620776443799	nan	nan
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
nan	1.748008660036	2.9188892872979997	nan	nan	2.0637876470289997	1.162806783835	1.338729620192	nan	nan	nan	0.728938287229	nan	0.601879764668	1.3984486304269999	nan	nan	1.163013715914	0.620063994179	0.42212323037199995	0.893527621694	nan	nan	1.909083670235	3.317066823208	0.0	1.327196897678	0.795782189094	nan	0.021366844326	nan	nan	nan	nan	nan	nan	1.065413682631	0.784640457605	nan	1.103182271106	nan	2.062915777753	0.143967550592	nan	2.4815473241209998	1.486632160942	nan	nan	nan	nan	nan	nan	nan	0.578596389527	nan
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
nan	1.415295640154	nan	nan	2.261413975513	nan	nan	0.140628443237	nan	1.6649449874759998	nan	nan	nan	1.267357363022	1.44692426595	2.7573135706190004	nan	1.798384398436	nan	nan	1.209253910178	0.6813961902410001	nan	nan	nan	1.331555050372	1.327196897678	nan	nan	nan	1.91080168688	nan	0.969568022294	nan	nan	0.512921388971	nan	1.4499802016549999	0.023604811842	nan	2.4815473241209998	0.0	nan	nan	nan	nan	0.33591839451899996	2.030337083386	nan	1.334484052905	nan	1.815421448557	1.7004162147139998	2.061335637938	0.739241736384
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
nan	1.045143571057	1.0630643003829998	1.059268808607	1.0426532688580001	nan	nan	1.535825316849	1.219424505276	nan	nan	nan	nan	1.3339530413299998	nan	nan	nan	1.452074880893	1.187269181322	1.678933173012	0.6309995033910001	nan	1.8413588443309998	1.9760315590400002	0.010904047933	1.396081675959	1.7835411069490001	1.991732245575	nan	nan	0.9599097336920001	nan	nan	nan	nan	nan	1.098337507623	nan	1.302161888175	nan	nan	0.8874467142649999	nan	1.829118737777	1.41031372141	1.288105934607	nan	nan	nan	nan	nan	1.292808170373	nan	nan	1.8297511627379999
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
nan	0.990278217835	nan	1.3332188662620001	0.511029862469	nan	1.219424505276	0.7613427685590001	nan	0.32049590375500003	nan	1.6953276340490002	nan	nan	nan	0.751868824909	nan	2.309616907838	nan	nan	nan	nan	2.7573135706190004	0.985343058909	nan	nan	1.9708924992919998	nan	0.184037399727	1.570038019301	nan	nan	0.795782189094	1.235347395182	nan	nan	1.8518181084490002	nan	1.91080168688	0.801997127873	nan	nan	nan	nan	1.288105934607	1.599065725864	nan	nan	nan	2.198192525477	1.5217656901280001	nan	2.177786895985	nan	nan
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
nan	nan	1.7448097085879999	0.5632484294110001	0.196814903036	nan	0.332291785775	nan	1.478391678457	1.2074993671379999	nan	nan	1.66806816447	1.523801365082	nan	nan	1.5606028643529999	nan	nan	nan	nan	3.317066823208	0.36310610642200003	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.91080168688	nan	1.728005975808	nan	1.719814344862	0.658894532349	nan	0.999021345845	nan	nan	1.314219737846	nan	0.8115359384199999	nan	0.320462288207	1.672988359473	1.005324471996	0.549352090976	nan	nan	nan	0.570696033407	2.317065340185
OG0002037.0	OG0012721.2	OG0004765.12	OG0000002.1788	OG0000575.28	OG0002284.0	OG0000204.2	OG0012733.0	OG0012864.11	OG0012259.0	OG0001851.13	OG0000385.4	OG0006618.0	OG0002722.13	OG0012775.1	OG0001947.0	OG0000219.0	OG0001165.26	OG0002137.2	OG0002766.0	OG0000200.0	OG0006300.0	OG0001135.4	OG0016447.0	OG0002247.8	OG0008766.0	OG0003627.46	OG0001933.0	OG0003299.0	OG0022201.0	OG0000989.0	OG0018156.2	OG0000581.0	OG0000372.92	OG0000831.11	OG0000034.305	OG0001060.26	OG0001801.0	OG0004389.0	OG0001556.24	OG0001085.24	OG0002070.0	OG0025929.0	OG0002243.0	OG0000180.0	OG0006888.6	OG0001267.24	OG0000044.1	OG0001576.0	OG0000459.0	OG0014569.0	OG0024484.0	OG0002235.0	OG0002032.0	OG0001054.1
nan	0.26830115448	nan	2.0637876470289997	1.147607797361	1.017833798046	1.523801365082	nan	nan	nan	0.6412018460310001	nan	nan	1.334767588799	nan	0.21458446506499998	2.7573135706190004	nan	1.270832546192	1.950687659858	1.457966397476	nan	1.570038019301	nan	1.298460261796	nan	nan	nan	nan	nan	1.6309443356529998	nan	2.028089186719	nan	nan	1.638091935923	nan	0.540378749764	nan	nan	nan	nan	0.657336081349	nan	2.4815473241209998	nan	nan	1.166930703927	1.944896591638	1.334484052905	0.7026298262389999	nan	nan	nan	nan
