OG0000177.8	OG0012915.3	OG0004464.0	OG0000019.257	OG0000606.2	OG0016785.2	OG0000471.2	OG0002252.0	OG0002346.16	OG0000027.457	OG0000835.7	OG0001698.26	OG0000038.0	OG0001967.0	OG0000027.1	OG0004338.2	OG0022826.0	OG0006804.0	OG0004324.0	OG0004710.2	OG0004835.2	OG0022825.0	OG0001566.2	OG0000692.0	OG0000107.44	OG0004617.12	OG0001643.24	OG0006400.2	OG0009883.5	OG0012926.0	OG0012896.0
nan	3.008715	4.647137	1.157585	0.8135521	2.974337	nan	nan	1.678453	nan	1.015206	nan	1.9685840000000001	0.5640989000000001	nan	2.10256	1.439683	1.060669	3.189307	nan	9.56423	1.458084	nan	1.869573	0.2686815	102.6965	1.0225899999999999	1.236635	2.176515	2.973177	1.8034150000000002
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
31.98044	3.825935	215.8639	1.40849	7.276051	1.0688879999999998	2.309487	nan	3.468971	nan	nan	5.5024370000000005	2.65234	6.8926940000000005	3.739518	0.85165	5.560115000000001	10.72154	nan	0.9478761999999998	3.711439	3.7034620000000005	1.345734	1.173859	nan	1.409918	3.127943	3.8430910000000003	1.36533	68.96311	1.587581
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
nan	3.781882	2.59807	nan	1.33661	nan	0.9686336999999999	1.171426	nan	nan	1.9996080000000003	263.7582	1.371269	5.564617	2.5269779999999997	214.0673	3.4886559999999998	nan	1.370089	nan	nan	31.796770000000002	0.7118669	nan	1.3331110000000002	1.227486	1.3259299999999998	0.8673301999999999	nan	2.294612	2.079993
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
nan	7.698371000000001	1.483166	0.7331578000000001	1.062062	0.6553208	1.729948	7.721475	4.3548160000000005	nan	nan	1.1552930000000001	nan	nan	2.764623	nan	2.9676310000000004	4.40519	2.203877	2.30269	nan	5.254045	7.412988	2.7282450000000003	nan	7.811560000000001	nan	3.122403	3.614979	3.481258	7.749341
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
4.128303	6.148013	4.619553	2.471405	2.2751799999999998	3.513524	3.086579	2.2095130000000003	0.5485021999999999	3.729103	9.371653	3.261144	nan	nan	nan	nan	1.5470700000000002	1.52999	2.123151	nan	2.878923	3.4328589999999997	1.9385599999999998	3.478526	1.232129	2.0157700000000003	3.2808660000000005	nan	1.4508459999999999	14.472660000000001	4.399612
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
1.688462	nan	4.503944000000001	3.513524	7.276051	5.182385	3.468971	1.152454	2.369401	3.7896870000000002	2.010241	nan	1.525156	nan	nan	8.669737	2.391325	5.558964	1.45379	nan	nan	27.134490000000003	2.433974	3.172367	nan	2.421624	3.372779	2.126387	nan	116.2142	nan
OG0001701.8	OG0004304.0	OG0000100.1	OG0017771.0	OG0000349.0	OG0001823.24	OG0000018.289	OG0001829.22	OG0000183.0	OG0001296.24	OG0000539.1	OG0000350.8	OG0004239.0	OG0045636.0	OG0001996.0	OG0007785.0	OG0013573.4	OG0005097.2	OG0044033.0	OG0000923.0	OG0000409.24	OG0000048.122	OG0002971.0	OG0006546.0	OG0009077.4	OG0005808.1	OG0020398.0	OG0006799.0	OG0000006.561	OG0003169.0	OG0005034.12
