OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
2.979813	0.4374031	1.449231	nan	nan	100.1257	21.4313	nan	5.586796	nan	0.6155170999999999	2.935956	nan	2.195914	nan	nan	3.186394	nan	1.0890799999999998	0.9340764000000001	0.15399549999999998	1.445711	1.538705	nan	nan	9.605725	2.960436	nan	nan	1.1306889999999998	0.8220155
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
115.8874	3.825182	214.5632	3.155518	13.84489	1.010248	4.577324	nan	nan	nan	nan	5.497029	2.6478189999999997	nan	nan	0.8483383	5.600052	22.403589999999998	nan	nan	3.770256	3.690825	1.349524	nan	nan	1.30574	3.114519	3.804646	nan	68.98995	nan
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
nan	3.764277	2.720946	nan	1.089748	4.490094	nan	1.160671	nan	nan	nan	258.4735	nan	5.59743	2.666245	222.2081	3.4683610000000002	nan	0.9827558000000001	nan	nan	26.15213	0.7273881	2.731414	1.331475	1.9172209999999998	1.024714	1.11886	nan	2.313739	nan
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
nan	nan	nan	2.254695	1.238142	0.510057	nan	7.624519	3.454947	nan	nan	1.1361569999999999	nan	nan	2.6463330000000003	1.8671220000000002	1.834727	5.770617	2.218985	nan	nan	5.215943	9.483362	2.8194779999999997	1.320063	nan	1.987327	3.149251	14.18325	nan	7.546742999999999
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
nan	6.199598	11.45346	nan	2.273557	3.533211	nan	2.197182	0.5447579	3.787328	9.43061	nan	3.153003	nan	2.899794	nan	3.909817	nan	nan	nan	2.821501	nan	nan	nan	1.567615	2.030423	nan	nan	1.099265	12.73732	4.4333540000000005
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
