OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
1.2	1.7777777777777777	1.0	1.0909090909090908	1.0
OG0005730.0	OG0002005.0	OG0004740.12	OG0018010.2	OG0024724.0
1.2	1.0	1.0	1.0	1.0
OG0027474.0	OG0000594.1	OG0005914.2	OG0000867.24	OG0005852.2
1.0	1.0	1.0	1.0740740740740742	1.0
OG0000775.24	OG0004252.0	OG0014110.0	OG0053785.0	OG0011466.0
1.037037037037037	1.3636363636363635	1.0	1.0	1.0
OG0005846.2	OG0007022.0	OG0056768.0	OG0017192.0	OG0001184.24
1.0	1.0	1.0	1.0	1.0
OG0000830.1	OG0018943.4	OG0011336.0	OG0004318.2	OG0046950.0
1.0	1.0	1.0	1.5454545454545454	1.0
OG0004049.8	OG0027891.0	OG0010166.2	OG0024483.0	OG0002084.0
1.1818181818181819	1.0	1.0	1.0	1.0
OG0001429.24	OG0004016.0	OG0047054.0	OG0020695.0	OG0006328.0
1.0	1.0	1.0	1.0	1.0
OG0000980.1	OG0015948.6	OG0002677.13	OG0047508.0	OG0012123.0
1.0	1.0	1.0	1.0	1.0
OG0047046.0	OG0004290.0	OG0014986.3	OG0001963.0	OG0010700.2
1.0	1.0	1.0	1.0	1.0
OG0000177.191	OG0000853.1	OG0057346.0	OG0018374.2	OG0000517.3
1.2	1.1481481481481481	1.0	1.0	2.6363636363636362
OG0005642.1	OG0001770.0	OG0014867.2	OG0014665.0	OG0003044.18
1.0	1.1111111111111112	1.0	1.0	1.0909090909090908
OG0004362.4	OG0025998.0	OG0000567.0	OG0013023.0	OG0057182.0
1.0	1.0	1.2962962962962963	1.0	1.0
OG0019446.0	OG0003989.2	OG0057354.0	OG0005354.1	OG0002072.0
1.0	1.2727272727272727	1.0	1.0	1.0
OG0020472.0	OG0046386.0	OG0001227.24	OG0005853.2	OG0008453.0
1.0	1.0	1.0	1.0	1.2
OG0024537.0	OG0004740.12	OG0000120.105	OG0049190.0	OG0005257.0
1.0	1.0	1.7037037037037037	1.0	1.0
OG0053957.0	OG0028438.0	OG0000167.8	OG0000010.2	OG0001164.24
1.0	1.0	4.2	1.0909090909090908	1.0
OG0007514.0	OG0002126.0	OG0044454.0	OG0011770.12	OG0010605.0
1.0	1.0	1.0	1.0	1.0
OG0004608.0	OG0024612.0	OG0008977.6	OG0002081.0	OG0056626.0
1.0	1.0	1.0	1.0	1.0
OG0024693.0	OG0056693.0	OG0010076.0	OG0002310.20	OG0000100.1
1.0	1.0	1.0	1.2727272727272727	2.740740740740741
OG0011682.0	OG0012237.2	OG0002248.0	OG0026811.0	OG0000143.0
1.0	1.0	1.0	1.0	1.7272727272727273
OG0001465.0	OG0027436.0	OG0001414.24	OG0005359.4	OG0018839.3
1.8181818181818181	1.0	1.0	1.0	1.0
OG0019357.0	OG0037851.0	OG0000022.878	OG0009099.2	OG0001798.0
1.0	1.0	1.0	1.0	1.0
OG0017781.4	OG0006460.2	OG0022638.0	OG0000764.26	OG0005968.0
1.0	1.0	1.0	1.037037037037037	1.0
OG0005719.2	OG0000953.26	OG0011954.3	OG0004375.23	OG0044816.0
1.0	1.0	1.0	1.0	1.0
OG0004609.0	OG0012379.4	OG0007189.2	OG0022785.0	OG0001102.24
1.0	1.5	1.0	1.0	1.0
OG0007539.0	OG0000985.26	OG0013513.2	OG0010908.14	OG0022408.0
1.0	1.0	1.0	1.0	1.0
OG0006039.1	OG0000059.133	OG0005256.10	OG0025915.0	OG0025026.0
1.2	1.7407407407407407	1.0	1.0	1.0
OG0015762.3	OG0020689.0	OG0010524.6	OG0000467.0	OG0005854.2
1.0	1.0	1.0	1.2222222222222223	1.0
OG0034926.0	OG0019002.0	OG0000140.5	OG0001280.24	OG0009249.0
1.0	2.0	2.5454545454545454	1.0	1.0
OG0008431.6	OG0006440.2	OG0001442.1	OG0053964.0	OG0014837.0
1.2	1.0	1.0	1.0	1.0
OG0016168.2	OG0000004.1077	OG0001135.4	OG0045103.0	OG0000000.1528
1.0	1.3636363636363635	1.2222222222222223	1.0	1.0
OG0006024.0	OG0001865.0	OG0005639.0	OG0035679.0	OG0011509.0
1.0	1.0	1.1818181818181819	1.0	1.0
OG0006099.2	OG0016168.2	OG0000188.1	OG0010609.0	OG0048139.0
1.0909090909090908	1.0	2.037037037037037	1.0	1.0
OG0022338.0	OG0012215.0	OG0001249.1	OG0003661.0	OG0044487.0
1.0	1.0	1.0	1.0	1.0
OG0000009.1	OG0013125.2	OG0005091.0	OG0025113.0	OG0006742.1
1.4074074074074074	1.0	1.2727272727272727	1.0	1.0
OG0017991.4	OG0006748.0	OG0013837.7	OG0003375.2	OG0001436.24
1.0	1.0	1.0	1.0909090909090908	1.0
OG0027464.0	OG0010675.4	OG0001419.3	OG0018822.2	OG0006392.0
1.0	1.0	1.0	1.0	1.0
OG0027413.0	OG0013286.2	OG0011968.0	OG0002097.0	OG0007525.0
1.0	1.0	1.0	1.0	1.0
OG0011489.0	OG0006460.2	OG0000938.24	OG0015941.8	OG0022169.0
1.0	1.0	1.0	1.0	1.0
OG0003726.42	OG0001264.24	OG0044989.0	OG0010853.0	OG0007122.8
1.0	1.0	1.0	1.0	1.0
OG0007216.0	OG0018809.5	OG0001150.24	OG0015309.4	OG0011758.5
1.0	1.0	1.0	1.0	1.0
OG0004147.24	OG0000498.0	OG0003971.6	OG0041960.0	OG0015651.4
1.0	1.4074074074074074	1.0	1.0	1.0
OG0009151.4	OG0002855.2	OG0004163.55	OG0001341.18	OG0007726.2
1.0	1.0909090909090908	1.0	1.037037037037037	1.4
