OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
nan	0.116874	0.234066	0.168699	0.200787
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
0.22381199999999998	0.0166027	1e-07	nan	1e-07
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
0.23405399999999998	0.0178135	1e-07	nan	0.0155472
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
0.171595	0.04397	0.046803500000000005	1e-07	nan
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
0.241958	nan	0.0676046	1e-07	0.043751099999999994
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
nan	0.0471271	0.13663	0.07247780000000001	0.21965300000000001
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
nan	0.07019689999999999	0.0886242	1e-07	0.276817
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
0.0384495	0.022981099999999997	nan	0.131226	0.21965300000000001
OG0000886.24	OG0000001.1420	OG0000042.23	OG0017858.0	OG0002007.0
0.0514846	0.265491	0.0522319	nan	0.0955083
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24	OG0021460.0
0.241958	1e-07	1e-07	0.0409046	nan
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
1e-07	0.0717059	1e-07	0.0979255	nan
OG0002077.0	OG0007293.0	OG0000032.252	OG0000854.30	OG0000677.1
1e-07	nan	0.101138	0.0473337	1e-07
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
1e-07	nan	0.0435949	0.265491	1e-07
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
1e-07	0.0155472	0.20844000000000001	nan	0.0155472
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1	OG0010880.0
1e-07	0.171595	0.015169799999999997	0.0155472	nan
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
nan	0.0385216	0.276817	1e-07	1e-07
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0	OG0006773.2
0.241958	1e-07	1e-07	0.110937	nan
OG0000010.475	OG0000501.29	OG0013950.6	OG0001886.0	OG0001172.24
0.241958	0.015253799999999998	nan	0.059261400000000006	0.016110399999999997
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
0.202251	nan	0.122217	1e-07	0.0264335
OG0001228.1	OG0001150.24	OG0018392.0	OG0000892.1	OG0000082.1
1e-07	0.0155472	nan	0.0851293	0.0979255
OG0002066.0	OG0011886.0	OG0001162.22	OG0000082.1	OG0001102.24
