OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
nan	0.0	nan	nan	0.6501562685095	nan	1.168674852579	1.3614643777325002	0.6218149268550001	nan	0.21015173934700002	nan	nan	nan	nan	0.0	nan	0.231548124713	1.2381755159085	0.45644348587800004	1.9217015975350002	nan	0.24107051035500002	1.1212888064525	1.2433998924879999	nan	nan	0.7148180191475	0.153356509654	0.949246834947	1.083809594677
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
0.343991949314	nan	nan	0.624343553256	1.4678493939755	nan	1.020814732636	nan	0.25173951428	1.294497957509	nan	nan	nan	1.1802816749015002	0.270593866686	nan	nan	1.859984843941	nan	1.739139355007	nan	nan	nan	1.8114998751629998	nan	0.782708296797	nan	nan	0.0127743341045	nan	1.4107344300859999
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
1.422937094592	nan	1.1311875486929999	1.15310424866	0.38721102697400006	0.334383558972	nan	nan	nan	nan	0.8093352656270001	nan	0.922558862863	nan	nan	nan	nan	nan	0.205037980654	nan	1.841854322214	2.0336175804120002	nan	1.08141309266	nan	1.0246210935425	0.8158683424500001	0.144946322943	2.516346088687	nan	0.231916112181
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
0.315568430598	nan	0.613897494028	0.650094380765	nan	nan	1.2616846547325	nan	0.722798618335	2.796809796154	nan	nan	nan	1.563667164778	nan	1.5026468707460001	1.7742738536959999	0.24993955375	nan	nan	nan	nan	0.320180318357	nan	1.0299079521015	0.8996843803479999	1.0870943582265	nan	0.610651744217	1.057294669737	nan
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
1.5095788547339999	nan	1.29394779442	nan	nan	nan	nan	nan	nan	nan	nan	1.319678257239	1.052676666293	1.841854322214	0.982017692643	nan	1.4866218556615	0.95684236441	0.086238802123	nan	nan	nan	0.9308835464280001	1.565724101799	1.6670249833450002	nan	0.954801843257	nan	0.36615782585199996	nan	nan
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
nan	1.2154896616745	0.8463001763945	nan	1.4678493939755	nan	0.25173951428	1.043087823319	nan	nan	nan	1.579949677197	nan	1.563667164778	nan	1.749194131995	0.546096545123	nan	0.104874545067	nan	1.078720623239	1.6920006640290002	nan	nan	nan	nan	nan	nan	1.334914711854	nan	0.8197140026080001
OG0001701.8	OG0004304.0	OG0000100.1	OG0017771.0	OG0000349.0	OG0001823.24	OG0000018.289	OG0001829.22	OG0000183.0	OG0001296.24	OG0000539.1	OG0000350.8	OG0004239.0	OG0045636.0	OG0001996.0	OG0007785.0	OG0013573.4	OG0005097.2	OG0044033.0	OG0000923.0	OG0000409.24	OG0000048.122	OG0002971.0	OG0006546.0	OG0009077.4	OG0005808.1	OG0020398.0	OG0006799.0	OG0000006.561	OG0003169.0	OG0005034.12
0.7930616904019999	nan	1.748310412663	nan	0.650094380765	nan	0.882570032667	1.281550585175	0.951967910752	nan	0.6446241994045	1.579949677197	0.002966589028	nan	nan	nan	nan	nan	nan	1.5026468707460001	0.5685576698295001	0.5704409944615	nan	0.5298665185329999	nan	nan	nan	0.663476698653	1.4107344300859999	nan	nan
OG0002761.0	OG0014849.0	OG0000109.0	OG0004961.2	OG0027675.0	OG0000279.0	OG0000265.0	OG0010125.0	OG0008128.0	OG0001550.0	OG0010995.2	OG0017155.5	OG0000318.0	OG0000011.1	OG0003329.0	OG0035637.0	OG0002946.0	OG0001347.26	OG0001667.0	OG0000702.24	OG0000884.25	OG0005222.2	OG0000671.12	OG0000431.12	OG0004964.6	OG0002185.6	OG0005687.4	OG0000006.561	OG0000112.0	OG0006611.0	OG0004968.14
1.408275939301	nan	1.203513299378	1.6022001381959998	nan	0.8093352656270001	0.25173951428	nan	nan	1.2827404834610001	nan	nan	0.270593866686	1.841854322214	nan	nan	nan	nan	0.495209093165	0.167066764664	nan	nan	0.37834452756	0.96325338405	1.8436103208835	0.696124767779	0.509923938142	1.4107344300859999	1.832745952843	nan	0.713664238881
