OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
-3.2419527181667664	nan	-2.3140150132440978	-1.8411459704833824	-2.7553564542606015
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
-3.6651114152380426	nan	-2.3280726151852633	-1.791357890984834	-3.0746081599075428
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
nan	-1.5730375522414475	-2.039784866105864	nan	-2.1903386105592273
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
nan	nan	nan	-2.845287186217842	-2.3748230433194877
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
nan	nan	nan	nan	-1.6919886854478223
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
nan	nan	nan	-2.3291596641184382	-1.9475841058488614
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
-2.750979489714035	-1.8185793597198583	-1.835986111474943	-2.2122332300614325	nan
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
-2.027086823481222	-1.4449691988177917	nan	-1.6850135145314846	nan
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
nan	-4.7273795453370075	-1.8959317735362833	nan	nan
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
-3.3684765935211023	nan	-2.4477213090095638	-2.684086034563258	-1.611314492504686
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
-3.364533480055605	nan	nan	-1.715959736045904	-2.3378856687903387
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
nan	-1.6073528560357366	-0.8086900325542714	nan	-2.558091635996411
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
nan	-3.144329165559629	-2.248793390257147	nan	nan
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
nan	nan	-1.6910567118747863	nan	nan
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
-2.080392953091645	nan	nan	-13.287712379549449	0.03294716409912902
OG0012164.0	OG0045990.0	OG0025137.0	OG0001413.1	OG0003613.0
-2.6479194862701374	nan	-1.9061694283648645	-2.402778731599688	-2.048113850300326
OG0005498.6	OG0000546.2	OG0002703.16	OG0004268.26	OG0019062.1
-2.4469344559543953	-2.239225505557113	-2.385337265063424	-1.101598140007807	nan
OG0043736.0	OG0028147.0	OG0007732.0	OG0015604.7	OG0003085.8
nan	nan	-1.8588288275392588	nan	-2.7046296120465163
OG0003408.0	OG0006271.0	OG0004639.6	OG0019752.0	OG0001845.2
-1.738409011035875	-1.498994046858991	-1.4518593431049527	nan	-1.663602343786461
OG0005244.10	OG0005275.2	OG0013618.1	OG0013322.2	OG0022027.0
-2.5859727408750985	-2.971430847803229	nan	nan	nan
OG0007061.32	OG0014025.6	OG0004215.0	OG0034908.0	OG0053973.0
nan	nan	-2.240247606231029	nan	nan
OG0003897.10	OG0001608.24	OG0057272.0	OG0029027.0	OG0002856.0
-1.8018830708475446	-1.332425734024981	nan	nan	-2.598151125263924
OG0043939.0	OG0022733.0	OG0006963.0	OG0003997.0	OG0014683.4
nan	nan	-1.5799218840206262	-2.009262921328968	-1.3703403000726082
OG0005485.2	OG0026929.0	OG0016166.2	OG0000083.0	OG0009932.0
-3.129102691334971	-1.972562817293149	-2.211564851526944	-1.7278573380358242	-3.908875666338835
OG0035782.0	OG0002516.0	OG0010116.20	OG0034772.0	OG0005228.0
nan	-2.414268267034073	nan	nan	-2.782893391916608
OG0005075.42	OG0009082.0	OG0056969.0	OG0020856.0	OG0004466.4
nan	-2.9873598192212296	nan	-0.218094788583887	-2.9126729482025246
OG0003298.30	OG0038594.0	OG0016290.2	OG0005869.0	OG0044284.0
-2.279283757478869	nan	-3.451346370832777	-2.781404798449143	nan
OG0043496.0	OG0002065.0	OG0044202.0	OG0002275.1	OG0025963.0
nan	-2.5563933485243853	nan	-2.5006260549978325	-1.4743319926247218
OG0015324.6	OG0019317.0	OG0006502.0	OG0003042.54	OG0020396.0
-3.8711259420075437	-2.7466157641999254	-1.5445609854369495	-3.205563338195578	nan
OG0047563.0	OG0038895.0	OG0004806.1	OG0034318.0	OG0045140.0
nan	nan	nan	nan	nan
OG0000436.0	OG0003030.22	OG0047101.0	OG0028482.0	OG0037681.0
-1.3364276645824775	-2.663830889535991	nan	nan	nan
OG0001415.132	OG0013585.4	OG0057570.0	OG0015202.0	OG0020497.0
nan	-1.4540316308947074	nan	-2.837532132384696	nan
