OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
0.30488059999999995	0.5651596999999999	0.25050429999999996	0.5179004	nan	0.2534357	0.5597153	0.9384044	0.6708972	0.1341812	0.01180559	0.1470489	0.0379423	0.04683721	0.06820091	0.1519846	0.191211	0.2350835	nan	0.1313076	0.06559032
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
nan	nan	nan	0.4422241	0.5545251	0.9853787	nan	nan	0.8508834000000001	nan	nan	nan	0.9280931999999998	0.1709394	0.7503254	nan	0.6263055000000001	0.6687648	nan	nan	nan
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
nan	nan	nan	nan	nan	nan	nan	nan	0.47641350000000005	nan	0.34419320000000003	0.6271844	nan	nan	nan	nan	0.9850646000000001	0.39854870000000003	0.9793628000000001	0.03858353	nan
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
0.22596390000000002	nan	nan	nan	nan	nan	nan	nan	0.8643758	0.00531631	nan	nan	nan	nan	nan	nan	0.8891652	0.9971419	0.9996470999999999	0.1122924	0.9978634
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
nan	0.49277840000000006	nan	nan	0.9578439000000001	0.9637674	nan	0.3534223	nan	0.9751517	0.8773542999999999	0.7924188	1.044196e-06	0.23659429999999998	nan	nan	nan	0.9411609000000001	0.9426489	0.43968329999999994	0.9329097
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
nan	nan	nan	nan	0.04272942	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.8953790999999999	nan	0.2383466	0.8805569999999999	nan	0.233312	nan
OG0022338.0	OG0027903.0	OG0004595.0	OG0043870.0	OG0011481.0	OG0056986.0	OG0016701.8	OG0009129.0	OG0037765.0	OG0000694.0	OG0034938.0	OG0035814.0	OG0011276.7	OG0011741.0	OG0018891.5	OG0000025.0	OG0048950.0	OG0053865.0	OG0015264.2	OG0060421.0	OG0006659.0
nan	nan	0.1482771	nan	0.8799055	nan	nan	0.24228260000000001	nan	0.1101613	nan	nan	nan	0.7789908	nan	0.03472371	nan	nan	0.9947309000000001	nan	0.3577825
OG0000006.1	OG0014699.4	OG0020437.0	OG0003129.79	OG0007940.2	OG0048995.0	OG0034605.0	OG0011544.8	OG0030011.0	OG0025911.0	OG0003355.0	OG0006767.1	OG0011909.7	OG0010913.0	OG0056643.0	OG0049018.0	OG0053907.0	OG0007491.0	OG0016993.3	OG0006765.2	OG0035710.0
0.12120739999999998	0.9999886999999998	0.9692643	nan	0.9854185	nan	nan	nan	nan	nan	0.8462944	nan	nan	0.03692786	nan	nan	nan	0.9368847	nan	0.9967153	nan
OG0004561.41	OG0014346.0	OG0003741.24	OG0034840.0	OG0015810.7	OG0008454.4	OG0025683.0	OG0012876.0	OG0000000.3957	OG0007511.2	OG0011346.0	OG0024702.0	OG0012094.2	OG0008445.10	OG0012509.13	OG0014757.0	OG0054078.0	OG0012119.0	OG0004202.2	OG0034836.0	OG0024553.0
0.891325	nan	0.4470138	nan	nan	nan	nan	0.7969623	0.00928652	0.8130083	0.9866405999999999	nan	0.9835673	0.2131105	nan	0.9427476	nan	0.0002914862	0.4965085999999999	nan	nan
OG0002983.24	OG0047080.0	OG0038063.0	OG0000426.5	OG0019293.0	OG0011505.6	OG0044383.0	OG0026159.0	OG0001655.0	OG0001030.26	OG0046593.0	OG0019074.5	OG0014528.2	OG0010926.16	OG0016919.0	OG0022110.0	OG0044070.0	OG0000155.0	OG0016689.7	OG0019344.0	OG0001324.24
0.07058712	nan	nan	0.003020181	nan	0.02573598	nan	nan	0.2542752	0.9597929000000001	nan	nan	0.3717237	nan	0.9542818999999999	nan	nan	0.01273682	nan	nan	0.9241466999999999
OG0027621.0	OG0013269.7	OG0007651.0	OG0043937.0	OG0008759.0	OG0018937.6	OG0000897.0	OG0021307.0	OG0015031.3	OG0034510.0	OG0044480.0	OG0015556.1	OG0012396.2	OG0006085.0	OG0038801.0	OG0009254.0	OG0026282.0	OG0013554.0	OG0000645.36	OG0001205.24	OG0008437.3
nan	nan	0.9991211	nan	0.09355161	nan	0.9252976999999999	nan	nan	nan	nan	nan	0.9984934999999999	0.5802768	nan	0.9640241	nan	0.9226741	0.13912339999999998	0.9560773000000001	0.7803555999999999
OG0006636.0	OG0005970.0	OG0043707.0	OG0024821.0	OG0015295.0	OG0015093.6	OG0001822.12	OG0045196.0	OG0049139.0	OG0001590.32	OG0044706.0	OG0018055.4	OG0003201.2	OG0038759.0	OG0017945.4	OG0004491.2	OG0002512.0	OG0018359.4	OG0056726.0	OG0017902.0	OG0015212.3
0.9760584999999999	0.009422573	nan	nan	0.9676795	nan	0.006298734	nan	nan	0.5116059000000001	nan	nan	0.9602396999999999	nan	nan	0.6758798	0.007220081999999999	nan	nan	0.3057768	nan
OG0044150.0	OG0001663.24	OG0035715.0	OG0006280.10	OG0000327.45	OG0016047.3	OG0056576.0	OG0034496.0	OG0001889.10	OG0017008.0	OG0044630.0	OG0041554.0	OG0015571.5	OG0041753.0	OG0014702.2	OG0019419.0	OG0018816.3	OG0034395.0	OG0005110.0	OG0000617.168	OG0044710.0
nan	0.4503071	nan	0.9312228000000001	nan	nan	nan	nan	0.05588752	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.8728315999999999	nan	nan
OG0002293.0	OG0018469.0	OG0016085.0	OG0038766.0	OG0014998.8	OG0047299.0	OG0006425.0	OG0035706.0	OG0046756.0	OG0027854.0	OG0000323.1	OG0008824.1	OG0020363.0	OG0017919.2	OG0045447.0	OG0006032.28	OG0011464.0	OG0022922.0	OG0017983.2	OG0012002.4	OG0015925.8
0.10902329999999999	nan	0.4736813	nan	nan	nan	0.09207323	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.9622835	nan	nan	nan	nan
OG0000169.16	OG0001517.22	OG0003885.0	OG0045905.0	OG0001325.24	OG0018699.6	OG0020879.0	OG0000578.0	OG0014536.2	OG0037938.0	OG0002559.0	OG0020600.0	OG0046657.0	OG0004643.12	OG0026990.0	OG0001387.26	OG0041824.0	OG0028986.0	OG0025170.0	OG0015014.7	OG0026049.0
0.15880160000000001	0.9507584000000001	0.9233011000000001	nan	0.9639046	nan	nan	0.2702152	0.019750099999999996	nan	0.6589258000000001	nan	nan	0.7628049	nan	0.9013062	nan	nan	nan	nan	nan
OG0041689.0	OG0020427.0	OG0010100.0	OG0004640.1	OG0024508.0	OG0005174.2	OG0007264.0	OG0047388.0	OG0006822.8	OG0012048.9	OG0012502.2	OG0008874.19	OG0034984.0	OG0010986.8	OG0009016.8	OG0044047.0	OG0016922.2	OG0044401.0	OG0002981.24	OG0024666.0	OG0034630.0
nan	0.9999619000000001	0.9525679	0.9663275	nan	0.8999165000000001	0.9287375	nan	0.7069714	nan	nan	nan	nan	nan	0.9998298000000001	nan	0.999999	nan	0.5901947	nan	nan
OG0017883.2	OG0002839.0	OG0015937.7	OG0028094.0	OG0010596.0	OG0002014.0	OG0025659.0	OG0030179.0	OG0048143.0	OG0005359.4	OG0017933.2	OG0001478.0	OG0034738.0	OG0002491.1	OG0011324.0	OG0000012.1	OG0012907.2	OG0024897.0	OG0024828.0	OG0003358.3	OG0017811.4
