OG0004710.2	OG0001698.26	OG0000027.457	OG0001643.24	OG0016785.2	OG0001566.2	OG0012896.0	OG0000471.2	OG0022825.0	OG0012926.0
0.6036406999999999	nan	nan	nan	-1.8704049999999999	nan	0.5931903000000001	nan	2.8980900000000003	-0.5787829000000001
OG0060556.0	OG0013679.0	OG0044964.0	OG0004741.0	OG0023559.0	OG0026968.0	OG0022182.0	OG0012866.6	OG0004669.1	OG0014855.1
-2.285275	-1.225041	-5.467515000000001	-0.5958194	1.496098	1.43985	1.637646	-1.486351	0.4547446	5.2693389999999996
OG0021483.0	OG0020392.0	OG0045062.0	OG0057438.0	OG0046785.0	OG0009947.2	OG0011655.12	OG0028856.0	OG0014592.0	OG0056955.0
2.387876	1.190555	-4.69687	2.1618459999999997	-7.175342	-0.9610786	3.301391	2.761647	-0.09981616	1.349977
OG0004297.2	OG0000478.2	OG0005167.4	OG0029079.0	OG0005347.11	OG0012466.13	OG0000706.25	OG0027960.0	OG0060394.0	OG0047959.0
-1.12534	2.453604	-0.9921493	-1.650327	-1.282304	1.4315639999999998	nan	-0.8686851999999999	-2.069937	-0.9481451999999999
OG0014083.1	OG0015193.7	OG0005598.25	OG0004762.1	OG0044357.0	OG0000313.0	OG0037839.0	OG0005975.16	OG0000452.0	OG0009291.7
0.376271	3.3365989999999996	-1.520249	-1.385234	1.162509	-0.7344808	1.352101	0.3625248	-0.7874249	-1.469747
OG0000441.1	OG0002445.82	OG0048920.0	OG0021654.0	OG0023157.0	OG0047436.0	OG0045956.0	OG0004371.2	OG0034580.0	OG0043853.0
-1.123693	-1.595105	0.8258738999999999	-0.6661060999999999	-1.596355	0.34325759999999994	-5.616797	0.9520380999999999	1.231441	-1.276144
OG0005602.8	OG0003869.12	OG0046805.0	OG0015633.3	OG0045264.0	OG0012385.12	OG0002210.0	OG0053801.0	OG0017779.6	OG0041753.0
-0.539027	-1.09385	-5.250058999999999	0.08096334	-5.376621	1.5266899999999999	nan	3.015386	1.4240389999999998	0.899331
OG0007861.0	OG0019883.0	OG0022368.0	OG0006747.18	OG0020930.0	OG0021957.0	OG0015093.9	OG0011221.2	OG0004536.0	OG0019207.0
0.1722181	-6.319021	-0.35666220000000004	0.980867	1.121753	0.8410440999999999	0.9933863000000002	-0.4861049	0.5508010999999999	3.7458050000000003
OG0047439.0	OG0007888.4	OG0012424.10	OG0006016.4	OG0045364.0	OG0017964.4	OG0018867.2	OG0003620.0	OG0002403.0	OG0004519.0
0.3680198	-1.104296	-1.691254	-1.214827	-6.035214	-1.893702	0.8509485000000001	0.42467200000000005	-0.145252	-1.15993
OG0015308.0	OG0041572.0	OG0046237.0	OG0027847.0	OG0014637.1	OG0001066.26	OG0002730.20	OG0049162.0	OG0005860.0	OG0045371.0
-1.2274530000000001	0.979508	-6.088064	-6.339581	-1.654506	nan	-1.379483	0.8949828000000002	0.05233357	-5.300315
OG0014097.5	OG0013439.2	OG0001110.108	OG0019393.0	OG0017150.4	OG0022858.0	OG0044637.0	OG0001725.29	OG0043966.0	OG0013816.1
0.953414	-1.3686	-5.970655000000001	-1.5381129999999998	0.7694295999999999	3.273955	2.731818	-1.553115	-1.213064	0.2766364
OG0056947.0	OG0017249.0	OG0034510.0	OG0008757.0	OG0000539.1	OG0057027.0	OG0002358.24	OG0013654.3	OG0001853.0	OG0007727.1
1.45651	0.36122550000000003	1.2079360000000001	-0.10404970000000001	nan	1.583181	-0.6373829000000001	-6.0853779999999995	nan	-1.99658
OG0027524.0	OG0000789.1	OG0016418.3	OG0012388.0	OG0005430.1	OG0056877.0	OG0005391.2	OG0003042.54	OG0010589.8	OG0044286.0
1.385741	nan	0.6578128000000001	0.5469244000000001	-0.04915823	1.454025	0.1416915	-0.6083951999999999	-1.320308	1.4397739999999999
OG0002437.4	OG0034714.0	OG0006965.6	OG0006407.1	OG0045257.0	OG0002100.0	OG0054004.0	OG0043729.0	OG0013888.0	OG0005727.0
-0.6565258	1.1495540000000002	-1.3088469999999999	-0.2961798	-6.577302	nan	2.7509419999999998	1.4824389999999998	-0.42575810000000003	-1.206234
OG0046990.0	OG0025605.0	OG0022011.0	OG0034811.0	OG0060546.0	OG0000092.1	OG0006521.0	OG0001407.24	OG0000648.5	OG0017147.0
-5.959058	1.243447	0.9506207	-1.518907	-1.9993330000000002	nan	-1.168268	nan	1.7553450000000002	1.287482
OG0048190.0	OG0000838.0	OG0044831.0	OG0020685.0	OG0057049.0	OG0022620.0	OG0029948.0	OG0004799.0	OG0017517.1	OG0008974.17
-0.5994089	-0.1302057	2.458951	0.538666	1.422169	-1.464431	1.631936	0.20426170000000002	1.170623	3.137725
OG0005794.2	OG0013568.4	OG0006444.0	OG0012753.7	OG0044059.0	OG0007356.0	OG0018946.3	OG0027123.0	OG0003707.0	OG0013530.0
0.09763445	-1.8195290000000002	-0.8270919	-0.2192555	3.7077699999999996	-0.6505788	1.369923	1.0324950000000002	-0.34125700000000003	0.4565567
OG0022310.0	OG0000460.168	OG0001762.24	OG0037860.0	OG0008995.2	OG0046167.0	OG0017997.4	OG0057017.0	OG0008670.2	OG0045763.0
-4.875273	-1.259595	-0.6700889	1.063799	0.8759114	-5.5634809999999995	-0.6150966999999999	1.468388	-1.22458	-5.835209
