OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
0.6708972	0.06820091	0.1470489	0.5179004	0.06559032	0.1341812	0.04683721	0.01180559	nan	0.1313076
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
0.08569525	0.7159374	0.5651596999999999	0.004313104	0.0002601247	nan	0.380681	0.22451669999999999	0.01120227	0.3024835
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
nan	0.0060177880000000005	0.05407475	0.005222773	0.40394	0.8415822000000001	0.02911205	0.10918900000000001	0.825838	0.1522714
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
0.04464595	0.7719385	0.0349959	0.8907681999999999	nan	0.004313104	0.38459040000000005	0.10918900000000001	0.7439664	1.5054149999999999e-05
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
0.1397736	0.9755643	0.6099323	0.0007638955000000001	0.6140605	0.5684941	nan	0.8665553	0.00131803	0.197945
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
0.3460288	0.04709424	0.7880865	nan	0.06058103	0.3976398	0.02160126	0.3423388	0.02231204	0.01722555
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
0.9158828000000001	nan	0.06683185	0.8212149999999999	7.959498999999999e-07	0.02911205	0.02401353	0.05070345	0.8786457000000001	0.04955433
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
0.03840502	nan	0.0020158420000000003	0.004313104	0.2258056	0.6788941999999999	0.9736106	0.7852905	0.25717629999999997	0.02947817
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
0.03696401	0.01425001	0.01051796	0.9820721	nan	0.6929174	0.9488626	0.02911205	0.01059693	0.04768429
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
0.03840502	0.8280339	0.4456204000000001	0.009987540999999999	0.02831155	nan	0.2258056	0.05139776	0.13045739999999997	0.1177693
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
0.005222773	7.959498999999999e-07	0.520116	0.9176243000000001	nan	0.06058103	0.02401353	0.8904055000000001	0.04931906	0.43034120000000003
