OG0012896.0	OG0000471.2	OG0022825.0	OG0004710.2	OG0016785.2
1.1306889999999998	nan	1.445711	0.15399549999999998	2.935956
OG0011486.5	OG0011344.2	OG0004022.8	OG0010170.14	OG0000002.763
1.140039	2.2503490000000004	0.8695676	1.506251	nan
OG0011881.8	OG0000022.878	OG0019271.0	OG0057202.0	OG0000206.0
1.024325	0.6955906999999999	2.121491	1.501072	nan
OG0004622.6	OG0000186.266	OG0047073.0	OG0022618.0	OG0000046.1
0.9983021000000001	3.280649	3.3394559999999998	3.7362559999999996	nan
OG0003118.5	OG0045196.0	OG0014346.0	OG0000359.28	OG0012157.2
0.215508	253.9581	1.6367610000000001	nan	1.106414
OG0004406.0	OG0018950.4	OG0000276.72	OG0014983.3	OG0004620.0
2.502159	nan	nan	259.628	nan
OG0008056.1	OG0047437.0	OG0000420.0	OG0006009.0	OG0006412.3
1.390845	3.3406550000000004	nan	183.6998	1.238142
OG0017958.3	OG0007458.0	OG0009251.1	OG0000225.48	OG0043623.0
1.549074	2.34553	1.1226639999999999	nan	1.486742
OG0006175.0	OG0005346.24	OG0003258.3	OG0000125.49	OG0019480.0
6.499892	3.296788	1.8895950000000001	nan	2.545084
OG0000018.1	OG0004738.6	OG0000042.185	OG0015333.0	OG0037725.0
nan	5.562985	3.754576	1.106324	3.081316
OG0000062.12	OG0028345.0	OG0005477.0	OG0008453.0	OG0010499.16
nan	2.711745	3.4073559999999996	3.1735830000000003	nan
OG0005759.6	OG0000263.57	OG0041783.0	OG0015187.4	OG0006086.0
27.37267	nan	3.2644599999999997	2.994148	1.9902990000000003
OG0041772.0	OG0020944.0	OG0006471.8	OG0007818.0	OG0000364.1
3.3186190000000004	2.438529	1.131486	5.2483900000000006	nan
OG0020543.0	OG0005855.0	OG0000048.122	OG0028873.0	OG0004208.2
3.094651	1.0554059999999998	nan	nan	2.564811
OG0044717.0	OG0015711.2	OG0007486.2	OG0000160.4	OG0013035.0
1.8803580000000002	3.782111	3.813998	nan	2.225043
OG0012996.0	OG0000279.0	OG0007538.2	OG0024478.0	OG0056933.0
2.971646	nan	3.7936360000000002	2.977982	2.517186
OG0000104.79	OG0000188.1	OG0004386.2	OG0006936.0	OG0004854.4
1.501436	nan	26.25378	4.48843	1.4815120000000002
OG0000044.1	OG0027100.0	OG0003102.40	OG0015254.6	OG0006349.2
nan	2.373468	168.0016	3.0537330000000003	4.5670980000000005
OG0005696.4	OG0018632.3	OG0000014.1	OG0006725.0	OG0024663.0
2.84135	3.637541	nan	3.793627	1.435653
OG0005845.2	OG0006425.0	OG0057335.0	OG0000336.0	OG0027523.0
4.22853	1.131925	1.501562	nan	1.3945040000000002
OG0008528.0	OG0024783.0	OG0007191.0	OG0000014.1	OG0043509.0
0.5339144	6.394997	3.362117	nan	1.4954370000000001
OG0005846.2	OG0012177.2	OG0017997.4	OG0041546.0	OG0000088.3
4.199369	1.349524	6.29338	3.2848839999999995	nan
OG0000180.0	OG0027819.0	OG0007348.0	OG0007163.2	OG0014417.1
nan	259.6157	3.60848	5.209328	1.6621279999999998
OG0000180.0	OG0003511.4	OG0005146.0	OG0004972.1	OG0027595.0
nan	4.102072	1.1254790000000001	3.296868	2.180525
OG0005717.2	OG0000785.2	OG0014018.2	OG0045623.0	OG0003390.22
13.888710000000001	nan	1.7906790000000001	nan	1.137365
OG0003559.24	OG0027666.0	OG0000276.72	OG0019704.0	OG0005701.4
26.114720000000002	1.294243	nan	3.229275	2.665883
OG0047536.0	OG0000256.24	OG0024538.0	OG0008453.0	OG0005285.0
3.3866080000000003	nan	3.066062	3.1735830000000003	3.349043
OG0017825.2	OG0000092.1	OG0004280.1	OG0044577.0	OG0005285.0
1.649199	nan	26.946040000000004	1.4439170000000001	3.349043
OG0005845.2	OG0013058.0	OG0000204.2	OG0013440.5	OG0012991.1
4.22853	2.725829	nan	3.740849	2.776599
OG0004204.4	OG0000225.48	OG0004274.22	OG0027486.0	OG0025104.0
0.2828716	nan	13.862960000000001	3.3994519999999997	1.288489
OG0000018.1	OG0046984.0	OG0000066.1	OG0010700.2	OG0012008.6
nan	258.573	12.73732	2.1667799999999997	1.965485
OG0004631.4	OG0011476.0	OG0000034.305	OG0034678.0	OG0011669.2
0.6247626000000001	1.212248	nan	1.4439170000000001	3.749332
OG0048146.0	OG0000018.1	OG0025975.0	OG0009267.0	OG0003729.6
3.8240819999999998	nan	1.612939	3.558292	0.2153482
OG0027108.0	OG0000403.25	OG0010524.6	OG0004622.6	OG0000371.137
2.618806	nan	1.8827180000000001	0.9983021000000001	1.6587310000000002
OG0000180.0	OG0001597.32	OG0005758.2	OG0018359.4	OG0003375.2
nan	1.8773810000000002	13.975629999999999	nan	4.098201
OG0007763.20	OG0004387.2	OG0000012.581	OG0000188.1	OG0015952.0
3.3639410000000005	26.608659999999997	1.938866	nan	1.7345409999999999
OG0029003.0	OG0002959.32	OG0000059.133	OG0010621.0	OG0025954.0
nan	1.261211	nan	2.565455	2.614513
OG0004290.0	OG0028171.0	OG0024621.0	OG0000088.3	OG0012098.2
1.621918	3.806496	3.022446	nan	1.094371
OG0006017.0	OG0021464.0	OG0035578.0	OG0000088.3	OG0004090.26
28.026159999999997	4.003888	2.7722290000000003	nan	4.207705000000001
OG0000261.0	OG0005248.24	OG0008376.3	OG0006392.0	OG0000175.187
nan	3.0101009999999997	2.222754	2.337082	1.098026
OG0000188.1	OG0008726.2	OG0011968.0	OG0003040.0	OG0027803.0
nan	nan	nan	4.024359	266.726
OG0003726.42	OG0027611.0	OG0000000.2172	OG0000272.36	OG0021228.0
5.330048000000001	1.094745	0.7573183000000001	nan	3.077411
OG0024575.0	OG0000183.0	OG0016708.7	OG0005854.2	OG0000323.172
3.005262	nan	3.7776669999999997	4.137123	182.5085
OG0008698.0	OG0000018.1	OG0045700.0	OG0004503.8	OG0015773.2
0.9052872999999999	nan	259.5422	0.9926476999999999	3.776304
OG0004949.2	OG0008317.0	OG0048119.0	OG0000223.2	OG0012201.0
1.100107	nan	3.737085	nan	4.749785
OG0007196.4	OG0014134.1	OG0011989.1	OG0007072.0	OG0000256.24
nan	3.4205050000000004	nan	4.049892	nan
OG0000257.0	OG0019159.1	OG0007803.0	OG0020728.0	OG0013502.0
nan	1.497077	3.824325	6.411721	1.661914
OG0000869.2	OG0004207.12	OG0011897.10	OG0012157.2	OG0045697.0
nan	3.5743669999999996	3.746972	1.106414	260.9658
OG0000869.2	OG0010617.4	OG0035615.0	OG0003358.3	OG0013315.4
nan	1.612417	2.666517	0.11851410000000001	3.754236
OG0000042.314	OG0002382.8	OG0009842.2	OG0005619.0	OG0024623.0
nan	1.452348	4.397002	12.3733	3.008117
OG0004347.0	OG0003743.1	OG0043435.0	OG0005949.0	OG0000223.2
nan	4.45677	1.4788569999999999	nan	nan
OG0026929.0	OG0000584.0	OG0004124.0	OG0009005.0	OG0057408.0
3.7022199999999996	nan	2.066031	1.694834	2.647573
OG0047396.0	OG0000302.34	OG0005384.1	OG0003543.0	OG0016008.4
3.4081050000000004	nan	14.066770000000002	0.5148419	1.743641
OG0005824.0	OG0057576.0	OG0000110.3	OG0012227.0	OG0027566.0
12.31912	2.816392	nan	1.555233	2.136741
OG0047592.0	OG0005248.24	OG0006393.0	OG0010139.0	OG0000147.0
3.3720980000000003	3.0101009999999997	2.3376770000000002	3.259465	nan
OG0044197.0	OG0024570.0	OG0007411.0	OG0007822.0	OG0000147.0
2.737063	3.0624540000000002	1.5231139999999999	10.91375	nan
OG0037838.0	OG0000014.1	OG0010773.2	OG0003661.0	OG0011718.13
3.063825	nan	2.023469	95.4282	3.752355
OG0004758.4	OG0000092.1	OG0017484.2	OG0044086.0	OG0009267.0
2.832169	nan	3.7317839999999998	2.86203	3.558292
OG0045023.0	OG0000204.2	OG0005854.2	OG0017964.4	OG0011459.1
255.7691	nan	4.137123	3.149251	2.266366
OG0003189.0	OG0018431.0	OG0043618.0	OG0000584.0	OG0007146.0
26.703290000000003	1.220046	nan	nan	2.417595
OG0007539.0	OG0005384.1	OG0016889.0	OG0000001.2899	OG0007096.15
2.57999	14.066770000000002	2.095332	nan	1.3182909999999999
OG0000302.34	OG0019368.0	OG0043997.0	OG0004989.0	OG0003838.7
nan	1.9171259999999999	2.58003	45.42072	0.9804388
OG0000750.0	OG0008528.0	OG0007191.0	OG0018953.5	OG0015753.2
nan	0.5339144	3.362117	1.518074	3.7611209999999997
OG0005696.4	OG0008225.6	OG0005823.9	OG0000272.36	OG0006650.0
2.84135	3.761186	1.4558360000000001	nan	186.7855
OG0019951.0	OG0005977.0	OG0000160.4	OG0018117.2	OG0005851.2
2.6724900000000003	14.017710000000001	nan	3.710054	4.245092
OG0006014.0	OG0017540.5	OG0005428.4	OG0014051.0	OG0000147.0
26.418590000000002	2.498034	1.05593	2.21706	nan
OG0012104.6	OG0000403.25	OG0010622.0	OG0004951.0	OG0045894.0
2.989414	nan	2.995344	2.860731	257.4557
OG0000364.1	OG0006964.0	OG0014303.3	OG0005491.2	OG0045238.0
nan	25.687910000000002	3.7686610000000003	3.158199	264.0395
OG0005687.4	OG0027784.0	OG0024529.0	OG0013513.2	OG0000256.24
3.8372919999999997	257.9244	nan	2.073022	nan
OG0005501.1	OG0057041.0	OG0000120.105	OG0005570.0	OG0020766.0
1.9751	2.746146	nan	26.08632	6.277334
OG0046203.0	OG0000257.0	OG0010828.0	OG0006000.0	OG0005285.0
257.3417	nan	3.3685669999999996	13.892479999999999	3.349043
OG0000290.0	OG0004362.4	OG0006290.0	OG0029018.0	OG0056920.0
nan	0.8052608	26.385440000000003	3.73095	2.770266
OG0000207.240	OG0000599.0	OG0005548.4	OG0047075.0	OG0024755.0
1.617584	nan	14.05685	3.388897	6.398172
OG0000180.0	OG0004207.12	OG0009011.0	OG0043749.0	OG0016823.0
nan	3.5743669999999996	2.57058	1.500752	2.973979
OG0000034.305	OG0014589.0	OG0006388.0	OG0016594.0	OG0045524.0
nan	2.05119	0.9466941999999999	1.6795959999999999	271.2483
OG0000869.2	OG0017039.1	OG0005869.0	OG0010636.0	OG0047165.0
nan	nan	2.125954	2.867265	3.3845690000000004
OG0007539.0	OG0057320.0	OG0011685.2	OG0004910.0	OG0000198.0
2.57999	1.520189	nan	184.1852	nan
OG0006190.0	OG0007473.0	OG0000175.4	OG0016105.0	OG0034386.0
186.7666	nan	nan	6.324663	1.2964069999999999
OG0015291.0	OG0000207.240	OG0000431.12	OG0005926.0	OG0046757.0
1.830634	1.617584	nan	1.073356	263.318
OG0005687.4	OG0000228.35	OG0000302.34	OG0054120.0	OG0018942.1
3.8372919999999997	nan	nan	nan	3.387593
OG0011345.0	OG0006827.2	OG0000272.36	OG0048792.0	OG0027685.0
2.2629490000000003	5.2185	nan	2.37418	1.4174950000000002
OG0009850.0	OG0000336.0	OG0027493.0	OG0043705.0	OG0005491.2
1.082525	nan	3.399451	1.490427	3.158199
OG0000062.12	OG0016598.7	OG0003543.0	OG0027607.0	OG0008599.0
nan	3.2700139999999998	0.5148419	2.183559	1.1715719999999998
OG0026528.0	OG0013931.2	OG0007473.0	OG0000092.1	OG0005359.4
1.4780229999999999	3.38297	nan	nan	0.9163614
OG0005530.6	OG0000279.0	OG0007639.5	OG0004362.4	OG0018866.3
1.027084	nan	3.6986800000000004	0.8052608	3.285282
OG0016765.0	OG0005501.1	OG0038844.0	OG0006310.0	OG0000264.1
2.956156	1.9751	3.412297	26.36352	nan
OG0007565.0	OG0020573.0	OG0000302.34	OG0004290.0	OG0047475.0
3.5331949999999996	1.555975	nan	1.621918	3.389905
OG0000175.4	OG0021242.0	OG0008209.0	OG0015496.3	OG0007356.0
nan	2.1165119999999997	3.5174309999999998	1.478037	4.045864
OG0000018.1	OG0024498.0	OG0041551.0	OG0007493.0	OG0006005.0
nan	3.040668	3.266506	nan	26.61515
OG0000176.0	OG0005729.2	OG0002708.0	OG0019223.0	OG0041687.0
nan	3.8051209999999998	1.0675059999999998	2.03467	3.262151
OG0000294.0	OG0046801.0	OG0009091.4	OG0006873.3	OG0024549.0
nan	263.0374	2.9270400000000003	5.381396	3.043691
OG0014025.6	OG0000272.36	OG0006328.0	OG0004208.2	OG0047584.0
1.9807169999999998	nan	187.5131	2.564811	3.3502940000000003
OG0005687.4	OG0006489.14	OG0007850.2	OG0000225.48	OG0056799.0
3.8372919999999997	1.138952	2.238157	nan	2.37735
OG0011910.0	OG0007191.0	OG0013815.1	OG0000176.0	OG0004375.58
0.9715872	3.362117	258.7087	nan	1.54189
OG0041937.0	OG0008270.2	OG0000285.1	OG0005734.0	OG0004053.9
3.3249589999999998	3.262491	nan	13.9183	0.9410370000000001
OG0004347.0	OG0019200.0	OG0000175.4	OG0012904.0	OG0045836.0
nan	2.921539	nan	nan	261.9566
OG0000062.12	OG0025990.0	OG0003326.0	OG0047434.0	OG0004505.0
nan	2.045145	3.510918	3.394478	0.9801918
OG0000403.25	OG0045754.0	OG0005830.0	OG0001597.53	OG0008292.10
nan	263.6784	nan	0.11840430000000002	3.8134669999999997
OG0000062.12	OG0003843.12	OG0006023.0	OG0018976.2	OG0046912.0
nan	12.17437	26.369020000000003	1.2234209999999999	nan
OG0000750.0	OG0018020.2	OG0015721.8	OG0005852.2	OG0004901.9
nan	6.472804	2.532892	4.227904	187.8836
OG0044095.0	OG0004892.3	OG0024554.0	OG0004025.11	OG0000088.3
2.5439439999999998	189.2282	3.0630290000000002	0.9814245999999999	nan
OG0005846.2	OG0000044.1	OG0006810.3	OG0045467.0	OG0009877.2
4.199369	nan	2.951748	261.1425	1.105475
OG0000012.581	OG0012567.1	OG0000081.1	OG0046541.0	OG0006195.0
1.938866	1.114362	nan	253.6834	26.12538
OG0000993.148	OG0003061.8	OG0007926.2	OG0008096.5	OG0000407.1
2.5389779999999997	1.7271990000000002	3.261428	2.571084	nan
OG0010906.0	OG0056992.0	OG0000042.314	OG0007587.1	OG0003786.18
0.7263985	2.8037400000000003	nan	2.01891	1.593491
OG0000204.2	OG0009163.11	OG0057294.0	OG0007427.0	OG0007822.0
nan	3.7646339999999996	nan	3.1883220000000003	10.91375
OG0016846.2	OG0011952.0	OG0004740.12	OG0000272.36	OG0013323.10
3.4251660000000004	2.035591	1.5481790000000002	nan	260.0995
OG0000005.545	OG0011989.1	OG0004823.2	OG0000046.1	OG0018936.6
nan	nan	1.576342	nan	1.491168
OG0015205.2	OG0014828.2	OG0000110.3	OG0057487.0	OG0000010.2
2.968818	1.56715	nan	2.816039	1.8918130000000002
OG0005687.4	OG0013045.1	OG0008035.1	OG0060429.0	OG0000364.1
3.8372919999999997	2.744774	3.208876	1.523213	nan
