OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
-2.947305888696155	-3.5083213200135352	-2.107803289534515	-2.0445383960764985	-3.330537769639225
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
-2.129102691334971	-2.6766875822420975	nan	nan	-1.997693532616831
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
-1.6020875398230947	-2.4035418604410146	-1.520769438793664	nan	-3.277883762181341
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
nan	-2.5336600120205253	-2.6610907271910786	-3.1739702135002608	-2.386845571568701
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
nan	nan	nan	-3.505697044545254	nan
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
nan	-1.6047177958677665	-3.917242918968326	nan	nan
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
nan	nan	nan	-2.168771306825942	nan
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
-2.0223903553145806	nan	nan	-2.1228054528737617	nan
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
nan	nan	nan	nan	-2.492484413520771
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
nan	nan	nan	-3.4748933057677958	nan
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
nan	nan	nan	nan	nan
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
-3.180495303958067	-1.7597467384154952	nan	nan	nan
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
-1.858305638035469	nan	-2.6456606866214725	-2.8868329432672653	nan
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
nan	-1.4088950949352212	nan	nan	-2.827256483239813
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
