OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
nan	-1.1697446758323171	-2.357714316940423	nan	nan	-1.5700359564830535	-2.0540927027897475	-2.196276993225842	-3.5616645602659625	-0.815021540306669	nan
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
nan	-0.2067283455019175	-2.230397501766746	nan	-1.392137097168765	nan	-2.005203073308613	-1.5627722610870904	nan	nan	nan
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
-0.41580714189026247	nan	-0.9867878885731491	nan	-1.1360615495760285	nan	-1.589007712779105	nan	-0.9700171337842857	nan	nan
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
-1.3047188048551392	nan	-0.22701644786189557	-1.5034865191231976	-2.196276993225842	-2.1297339296040176	nan	nan	-1.4872168790826374	-3.1228054528737617	-5.250989273543925
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
-2.2954821145835616	nan	nan	-1.037413961643117	nan	-2.953439094242259	-1.0791731728110858	-0.21089678249861854	nan	nan	-1.087426774325152
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
nan	nan	-0.7280962937367248	-0.22701644786189557	-0.9669118306678126	-1.4088950949352212	-1.99136969485656	-0.04572922985512066	nan	-0.8669626212526502	nan
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
-0.8722346718514549	nan	nan	nan	-1.5428785420499038	nan	-1.3492354408830978	nan	-0.7312063248775214	-0.9200246232794042	nan
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
-1.317246938769454	nan	nan	-1.0344557997682955	-0.8473622603488876	-1.1677985940971802	-0.4494932990471394	-1.7804132554266836	-1.567040592723894	nan	nan
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
nan	-0.22701644786189557	-1.8499603072258468	-1.6615470596449509	-1.392137097168765	nan	nan	-2.0825300533208067	-1.1253210507925446	nan	nan
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
-2.5170484866326897	-1.386468347082073	-1.6420539471407394	-1.0791731728110858	nan	nan	-0.5532144378568775	nan	nan	nan	-1.4445764684381
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
nan	nan	-0.9953907467474107	-1.4731299136431737	nan	-1.965220841951981	nan	-0.5918316292918937	nan	nan	-1.4445764684381
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
-2.175272872767897	nan	nan	-2.8458056750072105	nan	nan	-0.6003366961119825	-0.8669626212526502	nan	-0.24348904385984163	nan
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
nan	nan	-1.0622036593134483	nan	-0.5532144378568775	-3.204233052217608	nan	nan	-2.146243824156365	-0.5116906642966368	-0.3237325917341102
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
-1.0329789903027755	nan	nan	nan	nan	nan	-1.1074923973792576	-1.3496030533302108	-2.3883554566263383	-0.5918316292918937	-0.3237325917341102
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
-0.7379277116015897	nan	nan	nan	nan	-1.037413961643117	-0.9674759343078007	-0.7192811863819898	nan	nan	-0.912401382076379
OG0000599.0	OG0045783.0	OG0000504.24	OG0004935.0	OG0009848.0	OG0006434.0	OG0003028.0	OG0000018.842	OG0000814.1	OG0000966.4	OG0004320.3
