OG0000740.26	OG0011318.4	OG0002012.0	OG0000310.18	OG0003151.14	OG0000038.0	OG0000441.96	OG0001778.24	OG0001566.2	OG0020502.0	OG0003001.0	OG0000750.0	OG0001698.26	OG0001643.24	OG0000646.28	OG0015415.0	OG0005567.0	OG0001579.36	OG0028281.0	OG0014068.0	OG0000065.40	OG0000869.2	OG0002348.56	OG0001843.5	OG0002178.2	OG0013273.0	OG0001309.24	OG0000065.1	OG0001823.24	OG0001602.32	OG0000606.2	OG0002651.6	OG0002101.0	OG0001741.1	OG0011319.4	OG0014063.4	OG0013106.2	OG0000441.1	OG0001842.34	OG0015416.2	OG0005575.28	OG0006297.0	OG0008015.25	OG0001016.1	OG0000711.2	OG0001824.24	OG0000471.2	OG0001711.10	OG0008099.0	OG0000749.2	OG0001907.32	OG0001964.1	OG0001567.1	OG0001699.1	OG0002787.0
19.064870000000003	1.614688	nan	0.7930934000000001	nan	1.9685840000000001	nan	nan	nan	3.3712739999999997	1.382259	1.021839	nan	1.0225899999999999	1.573146	2.002266	15.94811	1.42116	3.7635709999999998	2.227716	1.9945119999999998	0.38787699999999997	nan	2.1180939999999997	4.597673	1.2342819999999999	nan	2.583568	nan	nan	0.8135521	1.767528	nan	nan	1.614383	2.220955	1.089947	14.15582	1.632614	2.204648	19.05162	28.1506	1.610551	3.274798	1.042635	nan	nan	1.8128400000000002	2.768379	1.0199120000000002	1.644291	2.598579	1.5425309999999999	nan	2.061312
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
44.82117	8.414296	1.052591	0.9607346999999999	26.569190000000003	nan	8.063195	nan	nan	7.8047699999999995	nan	3.591496	2.842803	9.026657	1.227486	25.88648	nan	1.261431	1.7091880000000002	1.102212	215.9063	1.611967	3.876993	1.490341	2.861068	nan	0.9460878	2.403308	45.443870000000004	1.36533	nan	nan	2.004282	nan	nan	0.965572	4.009142	2.106896	1.281656	2.219573	nan	nan	1.4359389999999999	3.416846	1.173859	nan	4.554898000000001	3.257812	2.693988	45.42641	2.630008	3.049975	2.503464	2.024652	nan
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
nan	8.247844	1.301609	3.096749	2.044512	nan	45.45944	3.280654	5.311736	16.54658	nan	1.889177	nan	nan	2.046107	nan	45.36764	2.711558	261.2621	0.9605822	3.23592	0.686807	261.0853	3.024766	nan	4.619553	0.9460878	nan	nan	0.7187134	nan	nan	1.184657	187.9641	nan	2.6905740000000002	217.6724	nan	2.7666630000000003	1.367261	1.173859	5.467558	44.8538	219.8586	nan	12.08813	1.448918	nan	213.6143	nan	1.851692	1.5470700000000002	2.022646	3.657139	6.164041
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
44.89167	nan	1.444669	3.2726490000000004	1.664509	nan	nan	3.4811400000000003	1.9996080000000003	220.5781	1.292047	4.454269999999999	3.64929	3.750254	2.887351	7.842737	nan	nan	3.860178	2.048675	1.483166	44.91684	3.349107	3.1072290000000002	263.9925	3.8049910000000002	nan	1.3767909999999999	3.7549410000000005	nan	nan	0.7789203	2.999517	nan	3.7429660000000005	nan	1.4979120000000001	5.572946	2.308614	1.524872	nan	5.817554	1.998862	nan	2.7779849999999997	2.220813	19.22926	4.163645	nan	1.486361	nan	4.185776000000001	45.3239	nan	2.3994779999999998
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
nan	3.0927540000000002	0.6770523	2.7849209999999998	215.6959	1.240423	1.9996080000000003	nan	44.96569	1.0970799999999998	2.7217599999999997	2.336523	nan	12.707510000000001	3.950219	nan	nan	4.193074	210.1485	nan	nan	2.587919	nan	nan	nan	1.866638	4.378016000000001	2.292487	2.104489	232.7951	17.05968	1.9746009999999998	2.403308	0.5800251999999999	25.95074	nan	1.00007	1.3391680000000001	nan	2.83058	nan	19.7733	nan	nan	2.220813	3.401693	187.5078	nan	217.6198	3.478526	0.41563140000000004	3.371235	5.080793	5.186724	3.393018
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
