OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
0.8713085999999999	0.2184863	0.4260997	nan	0.4324553	nan	0.8844556999999998	0.01282346	0.9194056999999999	0.1397736	0.45771670000000003	0.9519767	0.8719867	0.5826262	0.7108651	0.5135704000000001	0.6749439	nan	0.002822938	0.9548382	0.3228788	0.2767737	0.5586833000000001	0.7001899	0.749235	0.2350835	0.08080729	0.7122486	0.01282346	0.5616685	0.9978053	0.7759859	0.23746599999999998	0.1591433	0.6386896	0.23182579999999997	0.5583691999999999	0.9090778	0.8632006999999999	0.05584777	0.5869833000000001	0.7763329000000001	nan	0.3085137	0.28214229999999996	0.01180559	0.29324570000000005	0.803741	0.6725425	0.06473769	0.3160577	nan	0.5701986	0.3643639	0.310702
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
0.8462944	0.16297799999999998	0.1854171	0.9907002	0.7187680000000001	0.005558823	0.1402678	0.05528697	0.9414054000000001	0.9982131	0.9650103999999999	0.673593	nan	0.4117923	0.01873287	0.9694113000000001	0.9604719999999999	0.12120739999999998	0.1495888	0.4374696	0.5356228	0.9084269	0.4656432	0.029650599999999996	0.32176509999999997	0.5461363	0.02272631	0.22442150000000002	0.768606	0.9076544	0.9176403000000001	0.922157	0.8575494	0.9524450999999999	0.9587155999999999	nan	0.6317142	0.2755857	0.7803555999999999	nan	0.8290209000000001	0.03510699	0.8776632	0.5927975999999999	0.1066039	0.3408091	0.9990534	nan	0.9888197	0.8696199	nan	0.9113935	0.9839575	0.5950350000000001	0.9319074
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
0.9185110000000001	0.5116293	0.9163863999999999	0.31215590000000004	0.1008212	0.9274556	0.8823386000000001	0.9832793	0.9997166999999999	0.04230492	0.917688	0.36037800000000003	0.9680663	0.5651596999999999	0.00033632800000000005	0.01003491	0.6895600000000001	0.6481680999999999	nan	0.9787591999999998	0.1202032	0.5571706999999999	nan	nan	0.9683465	0.8391025	0.02272631	0.932851	0.9114877	0.6456369000000001	0.009027639	0.8830386999999998	0.30313779999999996	0.9983928	0.9819889	0.8818551	0.9768934000000001	0.1983723	nan	0.2015607	0.1066039	0.5116059000000001	0.9774898999999999	0.9122332000000001	0.9677020000000001	0.6772451	0.1598432	0.5573670999999999	0.9733542	0.1341069	nan	0.04462856	0.30475359999999996	0.48660010000000004	0.8770173000000001
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
0.9595621	0.02433892	0.008555864	0.7367358	0.14807620000000002	0.9696872	0.9121372999999999	0.01760983	0.20170079999999999	0.7219413	5.849869999999999e-06	0.8404168	0.9959735000000001	0.7832931	nan	0.9976408999999999	0.9048463	0.1841982	0.0242763	0.1307569	0.8878720999999999	0.941069	0.25010540000000003	0.19052739999999999	nan	0.1644724	0.04756135	0.01297541	0.9861527	0.881861	0.0004201454	0.5297455	0.8428846999999999	0.9193894	nan	0.6673186	0.6457065	0.9785273999999999	0.3472623	nan	0.9106956	0.2588507	0.9997604999999999	0.02911205	0.3242448	0.05157031	0.9685408000000001	0.9621832	0.9321815999999999	nan	0.8272608	0.07278182	0.9501579	0.9690042999999999	0.2211986
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
0.7887887	0.0434398	0.6242203000000001	nan	0.8148711	0.9165360999999999	0.20170079999999999	0.5822999	0.8581626	0.49277840000000006	nan	0.2740236	0.8427074000000001	0.8728016	0.998499	0.1557192	0.9737501000000001	0.1812461	0.9197466000000001	0.9494812	0.9780384	0.889803	0.01003491	0.1747855	0.9085789000000001	0.5181792000000001	0.1193289	1.0	0.7141748	0.4193977	0.8172308	nan	0.22442150000000002	0.16625689999999999	0.9439946	0.8300814000000001	0.06233916	0.4008693	0.009027639	0.7572356	0.9179205	0.9684366	0.8652655	0.9076073	0.05157031	0.6629536	0.9931633	0.9778749	0.3338643	0.11921110000000001	0.35164029999999996	nan	0.1657715	0.6169711999999999	nan
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
