OG0000119.0	OG0005996.10	OG0005056.1	OG0000236.1	OG0003860.1	OG0000206.0	OG0020019.0	OG0006158.4	OG0012897.4	OG0006752.0	OG0007639.25	OG0000213.256	OG0000098.0	OG0011985.2	OG0001607.2	OG0008342.0	OG0000751.0	OG0044466.0	OG0003342.16	OG0000551.2	OG0007639.5	OG0002309.26	OG0000236.122	OG0007127.0	OG0000264.1	OG0005266.0	OG0005326.0	OG0008341.0	OG0001844.24	OG0009857.2	OG0012896.0	OG0029057.0	OG0000318.0	OG0004205.0	OG0002590.0	OG0003991.2	OG0008335.19	OG0000456.0	OG0000236.19	OG0005400.0	OG0000833.0	OG0016785.2	OG0013218.3	OG0000320.0	OG0000324.0	OG0053812.0	OG0002988.0	OG0004314.0	OG0019212.0	OG0005741.0	OG0015105.0	OG0000834.15	OG0000834.30	OG0004135.0	OG0007845.0	OG0000920.27	OG0002488.24	OG0014302.8	OG0001764.0	OG0004226.0	OG0006225.0	OG0014817.2	OG0029060.0	OG0000213.17	OG0014065.0
6.587403802095375	1.6950591606198113	1.6537565757081047	1.5310303170156239	4.044403467311483	7.477226549593553	0.10530712763183743	3.9656708814581436	1.101067360102019	3.9194154556998035	-13.287712379549449	0.4034662349374713	6.3050139535711285	2.6960638375939587	5.187671167977073	2.0552809769629103	6.447846877871754	nan	4.976253214915082	6.917485888354072	1.495391589015806	5.827379706515126	4.786184983578821	2.8464985840896126	3.8575066198161356	2.4051629028587582	0.6644185811037266	1.572250273562005	8.174524311534741	2.8517635646175195	2.9455225643395324	-13.287712379549449	6.229054930893693	3.450355864670709	4.570057236979119	3.2698707834165	-3.8073653093449016	5.159877328725069	nan	2.202553039883437	5.080776630397934	-1.1496317731419636	-2.642443082390205	6.886812060071616	4.526772943954153	nan	4.596247762489816	1.6229558387278331	-1.4359944550876724	0.8597269647071779	0.7331669607525073	1.2893551033789747	5.715460755168607	1.0484604864355695	1.4869934039635813	5.4964325093141655	2.295832553403203	-3.4807872286686834	2.032030862812303	2.706220409918841	5.365626814603067	3.234706469320964	-13.287712379549449	8.173941193078683	0.004390892080869884
OG0045615.0	OG0024714.0	OG0024355.0	OG0012114.8	OG0025975.0	OG0035573.0	OG0043551.0	OG0043678.0	OG0003362.0	OG0025470.0	OG0016430.7	OG0017149.4	OG0041521.0	OG0057499.0	OG0000207.240	OG0022053.0	OG0004947.4	OG0008735.0	OG0004736.6	OG0046820.0	OG0004753.0	OG0009148.0	OG0003206.16	OG0046991.0	OG0043965.0	OG0007045.2	OG0015023.7	OG0045556.0	OG0045671.0	OG0046642.0	OG0008138.14	OG0045836.0	OG0006262.5	OG0046904.0	OG0009066.4	OG0019625.0	OG0011694.15	OG0038654.0	OG0038065.0	OG0020746.0	OG0009932.0	OG0013606.4	OG0047529.0	OG0057390.0	OG0015222.0	OG0002631.6	OG0046666.0	OG0009048.1	OG0003031.18	OG0043623.0	OG0047283.0	OG0048012.0	OG0024521.0	OG0028429.0	OG0016359.1	OG0056524.0	OG0015760.0	OG0038696.0	OG0020504.0	OG0022036.0	OG0006143.2	OG0057525.0	OG0012415.0	OG0003627.46	OG0008824.1
nan	1.0022019091241938	nan	2.2940049128343407	4.103177526059811	nan	nan	nan	1.3430070144482609	nan	nan	nan	nan	nan	2.2007239367982208	nan	2.974274752987304	1.4067697265424592	3.9634752129276	nan	4.77157452598229	0.892427865866225	2.281001661575629	nan	nan	1.4796586945070105	nan	nan	nan	nan	3.0780240946985398	nan	nan	nan	3.140188439955257	nan	nan	nan	nan	-0.10406792343253982	0.8413308302073815	0.594520025900007	nan	nan	0.7909086564292268	4.919642567750419	nan	-0.5894494001321389	2.052123501787439	nan	nan	nan	-13.287712379549449	nan	nan	nan	2.309922650989702	nan	0.628420733646636	nan	1.8955866590654709	nan	1.2730850902378685	nan	nan
OG0057388.0	OG0004254.44	OG0048082.0	OG0005875.0	OG0005345.4	OG0043368.0	OG0015202.0	OG0002348.56	OG0017924.2	OG0037837.0	OG0005206.34	OG0004463.2	OG0008015.25	OG0002469.0	OG0046980.0	OG0019619.0	OG0001880.0	OG0046558.0	OG0002799.0	OG0002833.0	OG0009048.1	OG0001385.1	OG0006114.1	OG0020556.0	OG0017943.0	OG0023121.0	OG0013048.8	OG0026844.0	OG0003130.1	OG0014148.3	OG0001586.3	OG0003988.1	OG0030139.0	OG0026676.0	OG0004420.2	OG0008034.1	OG0000298.0	OG0006124.2	OG0002829.1	OG0046508.0	OG0045063.0	OG0007437.0	OG0008603.0	OG0001525.51	OG0013496.4	OG0000479.1	OG0045098.0	OG0006678.4	OG0000796.20	OG0025004.0	OG0003743.1	OG0012133.4	OG0029101.0	OG0001461.24	OG0004222.0	OG0028044.0	OG0044894.0	OG0025842.0	OG0011887.5	OG0044571.0	OG0038901.0	OG0000604.1	OG0056689.0	OG0034678.0	OG0018047.4
nan	-0.3396710606156562	nan	3.772846346885589	-0.4513192731542841	nan	2.186390567397661	1.9655354618241838	3.32276212601457	nan	0.45345318211841806	2.3564732470609298	nan	1.453562296788367	nan	nan	1.4121877970319048	nan	2.453499283223963	1.2151076610792049	-0.5894494001321389	0.26929003011167896	3.6003036706092484	nan	nan	nan	0.8837968847562262	nan	0.8261445080139206	nan	1.9781388933900563	5.0805348901208855	nan	nan	1.9826704639937964	0.19588710582933475	5.010504676869389	1.7750662290579273	1.3316518490715148	nan	nan	2.9690309587741694	2.268534525885831	3.3811698864737902	1.7355860238680905	1.2914264141206067	nan	-0.18484673780250702	0.4643870345094927	-13.287712379549449	-0.2983104048227566	2.1667968359135905	nan	2.216493583124373	1.446879156770383	nan	nan	nan	nan	nan	nan	1.827503824841708	nan	nan	1.1473193584597798
OG0043366.0	OG0045184.0	OG0000006.1	OG0024581.0	OG0007769.0	OG0005756.2	OG0017283.5	OG0057305.0	OG0006280.10	OG0057341.0	OG0002892.4	OG0003211.0	OG0018398.0	OG0028976.0	OG0012627.1	OG0014687.1	OG0015246.3	OG0005083.0	OG0056881.0	OG0045029.0	OG0002587.0	OG0012141.4	OG0035690.0	OG0037747.0	OG0006891.4	OG0056736.0	OG0019003.1	OG0002836.4	OG0044802.0	OG0034800.0	OG0047517.0	OG0037830.0	OG0016839.3	OG0016203.1	OG0011002.0	OG0000587.1	OG0010894.7	OG0045779.0	OG0017836.4	OG0011913.0	OG0057444.0	OG0038890.0	OG0010125.0	OG0014666.4	OG0015130.10	OG0007581.0	OG0019214.0	OG0006272.0	OG0047244.0	OG0046007.0	OG0001791.12	OG0007531.3	OG0016827.0	OG0008286.2	OG0005691.3	OG0011332.6	OG0024587.0	OG0046123.0	OG0007273.0	OG0020317.0	OG0027627.0	OG0016257.3	OG0022773.0	OG0001301.24	OG0013873.1
nan	nan	5.28059216839957	3.4832750585924086	2.1414059215281247	0.8504416632053778	nan	nan	-1.2969314246306816	nan	4.238486826173878	1.9029068487881935	1.5997401080269391	-13.287712379549449	nan	1.2543748398529697	1.389229630787079	2.1325828398849334	nan	nan	0.7077333959320444	1.8195936602311102	nan	nan	0.1980024838391922	nan	nan	1.3912971482525804	nan	nan	nan	nan	0.6353987150773999	nan	0.8713035150406541	nan	1.7087321222473855	nan	nan	0.6126419943575909	nan	nan	0.9492106882455573	1.7925379163318484	nan	-0.07710861657973127	0.005772984748757346	1.8336140532230472	nan	nan	5.451877006150037	4.557835505562284	2.1272265526982945	1.330389947717282	4.793500180519811	1.7761948869189486	nan	nan	1.6472399762052437	1.4162005923093053	0.4804984915505708	-0.6877079528119365	nan	1.0283509171843825	0.4468607822531595
OG0018627.0	OG0014258.7	OG0011996.0	OG0000787.3	OG0004584.32	OG0006996.3	OG0001845.2	OG0008273.0	OG0026913.0	OG0001893.0	OG0008140.1	OG0044389.0	OG0018376.3	OG0003754.0	OG0025341.0	OG0009908.12	OG0046278.0	OG0008484.3	OG0018118.2	OG0054128.0	OG0008175.0	OG0012886.8	OG0001449.24	OG0005704.4	OG0000021.847	OG0007272.0	OG0024598.0	OG0000377.2	OG0001568.0	OG0015243.2	OG0045960.0	OG0003971.6	OG0046640.0	OG0015772.1	OG0003067.0	OG0045465.0	OG0010169.2	OG0000005.318	OG0004096.6	OG0014317.6	OG0044433.0	OG0024570.0	OG0046701.0	OG0047973.0	OG0011471.4	OG0023059.0	OG0001558.2	OG0003162.80	OG0009129.0	OG0012768.6	OG0016606.8	OG0019206.0	OG0016022.4	OG0010733.0	OG0020754.0	OG0004443.0	OG0043479.0	OG0008409.1	OG0038034.0	OG0025021.0	OG0007174.2	OG0021381.0	OG0020763.0	OG0004144.0	OG0046635.0
2.1055303307598305	nan	0.7713552432611971	5.574340873222221	1.6538379977227549	2.33662806369824	3.9121621859266944	2.66319649565821	nan	2.619451736389977	0.36961338951297074	nan	nan	1.0950265018099252	nan	1.7685955069674033	nan	nan	-0.6837159353308732	nan	1.2673342003491286	0.4241010158810611	1.3494127578610358	0.9076591333344387	5.951888021479041	2.849234179048856	1.67702745386483	0.8194304321118749	4.041398346209974	2.6273185161187618	nan	1.2581647267338143	nan	nan	5.156347908456634	nan	1.583997082676761	3.188600617057113	3.2206531390985234	nan	nan	3.1806387546716968	nan	nan	1.588623692104072	4.370847516750906	1.3622142927282739	nan	1.5924702982043328	1.194103694885769	nan	nan	0.044565018559155414	2.832369795060443	3.032289020556931	1.1074846134778693	nan	0.06892949591887486	nan	nan	3.209895186742559	0.17073767392174607	-0.9191556145237844	1.7089471432617702	nan
OG0027782.0	OG0001536.0	OG0025128.0	OG0015358.8	OG0001139.24	OG0002869.0	OG0002093.0	OG0019066.1	OG0020816.0	OG0008349.0	OG0009051.0	OG0019423.0	OG0004354.0	OG0012626.1	OG0012880.2	OG0006519.0	OG0012308.1	OG0045729.0	OG0017882.2	OG0035796.0	OG0002429.0	OG0015114.0	OG0012536.0	OG0027494.0	OG0017157.4	OG0057505.0	OG0017539.2	OG0037819.0	OG0044671.0	OG0006220.13	OG0038656.0	OG0041828.0	OG0015201.0	OG0014619.0	OG0012889.0	OG0011969.0	OG0013577.0	OG0028126.0	OG0045211.0	OG0025053.0	OG0022004.0	OG0005701.33	OG0007601.0	OG0045964.0	OG0002373.38	OG0057513.0	OG0016961.3	OG0002021.4	OG0019161.0	OG0034289.0	OG0047455.0	OG0022760.0	OG0056737.0	OG0034550.0	OG0029613.0	OG0001507.1	OG0029210.0	OG0043616.0	OG0006524.0	OG0009120.0	OG0045182.0	OG0002828.24	OG0017741.0	OG0022086.0	OG0017003.0
