OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
-3.5225920697297517	-2.107803289534515	-2.0344557997682955	-2.2926519125167304	nan	-2.607352856035737	-2.321206927643708	-2.005782352594006	-3.0150825945730797	-1.6241542753321765	-1.8817731862070524	-3.1532860593285235	-1.9329120351988534	-1.6663472852345864	-1.613520111403766	-2.5803532474685666	-1.7918573526622783	-2.356236145662658	-3.8802321574527925	-3.0576919438438153	-1.7403358160513485
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
nan	-3.9440824845903966	nan	-2.2643045364092313	-3.2598063829795647	-2.9742624385863916	nan	nan	-1.9464715590107007	nan	nan	nan	-2.1373304107316016	-1.2219596777324768	-2.372579930598799	-2.2926519125167304	-2.5977144081300043	-2.7573060424503817	-1.7720125412654069	nan	nan
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
nan	nan	nan	nan	nan	-2.977099597889921	nan	nan	-2.0350469470992008	nan	-1.8236772273595372	-2.9506480408647087	nan	nan	nan	-2.313297789743922	-2.751951001562794	-1.7157227819448722	-2.132261648237312	-2.6020875398230947	nan
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
-2.038598926835721	nan	nan	nan	nan	nan	nan	nan	-2.25773503295987	-2.0709665213541437	nan	nan	nan	nan	nan	nan	-1.7978644191101518	-2.620600837474422	-3.280685112655481	-2.008682243099801	-3.0588936890535683
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
nan	-2.2209504471625414	nan	nan	-2.8354711391186314	-3.0150825945730797	-2.9400910109813148	-2.143691510282557	nan	-2.450873019800733	-2.110915901401851	-3.024443179176788	-3.5473413137042042	-2.5096352500140915	nan	nan	nan	-2.94674961529775	-2.954557029238833	-2.5071726120774884	-2.742265197871355
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
