OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
-2.554697057863487	-0.6610907271910786	-1.534913621113934	-1.8416629728328997	-0.35752946268417823	-0.5420380555473153	-0.43908943912011134	-0.5428785420499038	-3.8802321574527925	-2.879382638782058
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
-1.8380478410732577	-1.2768346565424147	0.40064722052282803	0.25229454120183664	-0.13336891930599895	-2.9590374522215024	-1.4077462998850927	-0.6535820064561234	-0.012315322433239274	-0.28401879681160275
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
-0.8104600556114966	-0.11450372678347603	-1.0180012584066676	-0.12406270353362446	-1.4430066151375116	-2.148161027150656	-0.6077925010310296	-0.5625591756364571	-0.7114642497061978	-0.6297241032715104
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
-0.6810758359699232	-1.4301200938519236	-0.09403302480772001	-0.845287186217842	nan	0.25229454120183664	-1.6073528560357366	-0.5625591756364571	-1.1224913113285053	-1.0997417875652502
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
-0.14082554413356455	-1.0303245368567977	-1.7838866415536987	-1.0534937013109786	-0.950090477556942	-3.2947740433836357	-1.5959688603781748	-1.0963446661305085	0.007339046008161679	0.490672809713238
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
-0.7495234474970307	-0.5409881355236181	-1.6947882239218117	-0.9436939396681234	-0.4111954329844497	-0.25068027542591964	-0.1934697107404345	-1.2757863132426417	-0.17266872938773947	-1.0490091001217243
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
-2.25773503295987	-3.106560122683883	0.19421315631120725	-1.0034666297197794	-0.48964565918638664	-0.6077925010310296	0.5140970048942337	-0.5395195299599892	-2.1165355818976774	-1.4579896444633909
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
-0.1919857109104024	-1.9094175236375577	-1.213570916796944	0.25229454120183664	-0.6517675807607293	-1.7393720918733013	-1.4977712511585333	-1.4277894066876917	-1.005492683876862	-0.23565384492254624
OG0000027.457	OG0000923.0	OG0004469.6	OG0007098.2	OG0022067.0	OG0005153.1	OG0004970.0	OG0000139.0	OG0007761.3	OG0000127.0
-0.9018499789079885	0.7399344890375401	-1.0028882793248266	-1.672082742581352	-1.7008725915876228	-0.8841677013474352	-1.572608370313282	-0.6077925010310296	-2.0528949484321255	-0.41676977290008077
OG0000112.0	OG0004494.1	OG0003424.0	OG0006712.0	OG0000039.0	OG0013911.3	OG0000710.0	OG0000060.0	OG0003386.20	OG0004128.4
-0.1919857109104024	-1.139235797371172	-0.7680761267062368	-1.3118644115426648	-0.03637791489059239	-2.043348544428939	-0.6517675807607293	-0.3237325917341102	-1.033864894562046	-0.7095755961347003
OG0000132.40	OG0000228.54	OG0005105.0	OG0011433.8	OG0011552.0	OG0000349.0	OG0000011.1	OG0004757.2	OG0003993.4	OG0003370.4
-0.12406270353362446	-0.48964565918638664	-1.5985879746361915	-2.248793390257147	-2.1577854460390564	-0.4111954329844497	0.5140970048942337	-0.9301603749313656	-1.306858773169714	-0.779917739350753
OG0016132.6	OG0002604.2	OG0016143.0	OG0002709.2	OG0005870.0	OG0000074.152	OG0000090.24	OG0000001.1420	OG0010671.0	OG0000075.0
-2.1936346938775446	-0.5363775431481067	-2.9805115704086402	-1.6161713128375652	-1.5551209435844409	-0.5625591756364571	0.15328652099086262	-0.01727103870140411	-1.9925174236687941	-0.44929630375211244
OG0000012.918	OG0013503.4	OG0016077.0	OG0000196.0	OG0005672.0	OG0005315.0	OG0004376.0	OG0000307.20	OG0006135.0	OG0000007.585
-0.17576167339628612	-3.0697546816853354	-0.9337385577312787	-0.21089678249861854	-1.091725081520941	-1.6073528560357366	-2.162944843726976	-0.13336891930599895	-0.08865355589642802	-0.3949798469375905
OG0000112.0	OG0006978.0	OG0016135.0	OG0000047.282	OG0011224.0	OG0000011.866	OG0005764.0	OG0005145.0	OG0005107.4	OG0000015.1
-0.1919857109104024	-1.830331500476914	-2.0667295284676728	-0.4221724087637519	-1.300448367476911	0.3951725059957788	-1.2115648515269444	-1.0929555251272016	-0.7843835229227877	0.7040751643766956
OG0009776.8	OG0004678.12	OG0000923.0	OG0000009.921	OG0000334.9	OG0005940.0	OG0012769.0	OG0013541.2	OG0005299.0	OG0000071.0
-1.6864058534276087	-0.9762478641010051	0.7399344890375401	-0.07263446472662155	-0.4353779475630195	-0.7004036512159048	-1.307929948846363	-1.2419527181667664	-1.1093587560365563	-0.24331826019099598
OG0011605.0	OG0000045.0	OG0000228.54	OG0000196.0	OG0006118.4	OG0003695.0	OG0002447.0	OG0020648.0	OG0005495.0	OG0000007.3
-2.8921782440871464	-0.2716005413289375	-0.48964565918638664	-0.21089678249861854	-1.0089725529993394	-1.7393720918733013	-1.190009416024795	-2.013916780335185	-1.005492683876862	-0.23565384492254624
OG0004942.0	OG0000112.0	OG0005939.0	OG0028991.0	OG0000002.1788	OG0005115.3	OG0000435.0	OG0005088.0	OG0000007.3	OG0009074.8
-1.9793733494100423	-0.1919857109104024	-1.3902450378275566	nan	0.2893623404769398	-0.21240037308900625	0.490672809713238	-1.689194568936827	-0.23565384492254624	-2.6029637591278236
OG0004971.4	OG0000009.921	OG0011499.1	OG0010013.0	OG0000239.0	OG0000060.0	OG0003505.8	OG0005870.0	OG0000435.0	OG0012210.0
-1.6989977439671857	-0.07263446472662155	-1.1115392304419596	-2.2068948519411222	-0.4494932990471394	-0.3237325917341102	-2.207561069935362	-1.5551209435844409	0.490672809713238	-0.6350914449112852
OG0007615.6	OG0005947.0	OG0004749.2	OG0004970.0	OG0006322.4	OG0000192.0	OG0005115.3	OG0000074.152	OG0000035.64	OG0000013.2
-2.1726687293877394	-1.5756153284619037	-0.9219367442231812	-1.572608370313282	-2.635763768826003	-0.7107557148433575	-0.21240037308900625	-0.5625591756364571	0.0001442622910945383	0.07464243793449277
OG0000486.2	OG0005643.0	OG0000001.425	OG0000032.252	OG0000169.16	OG0006500.0	OG0003880.0	OG0021387.0	OG0005764.0	OG0009237.0
-0.6604064990346017	-1.3165281071447728	0.661840791305371	-0.3082871842179762	-0.3176064889372687	-1.8619719552332388	-0.6741531017611848	-2.129102691334971	-1.2115648515269444	-1.505533185718241
OG0000018.842	OG0011718.13	OG0005936.0	OG0000000.3460	OG0000047.282	OG0003568.0	OG0006980.0	OG0010101.0	OG0000001.1420	OG0006444.0
-0.48559996096338387	-2.6887294085133586	-0.5240850278218214	-1.0534937013109786	-0.4221724087637519	-1.0715728231243147	-0.9553960493502324	-1.286304185156641	-0.01727103870140411	-0.4817670277465167
OG0005686.0	OG0006708.0	OG0020441.0	OG0000015.773	OG0000026.45	OG0000090.24	OG0008066.0	OG0006389.4	OG0006418.0	OG0000442.2
-1.630393929968162	-1.5133371067473864	-4.373925379674916	0.24744147114440776	-0.1413028099616662	0.15328652099086262	-1.4386983058546305	-0.8836352433082154	-2.4469344559543953	-0.22617242101930626
OG0003502.3	OG0000027.457	OG0000176.0	OG0007584.0	OG0006370.4	OG0018981.2	OG0000192.0	OG0004957.0	OG0000200.0	OG0005447.3
-1.5760454059851032	-0.9018499789079885	-0.33387969740416884	-1.5751853791096262	-1.1335271702841523	nan	-0.7107557148433575	-1.1834412506125562	-0.1934697107404345	-2.4227524644068494
OG0000054.0	OG0024950.0	OG0009978.0	OG0000429.0	OG0006744.1	OG0001608.24	OG0000001.425	OG0000074.152	OG0002577.26	OG0006474.4
-0.11450372678347603	-3.1936346938775446	-1.8054085972262663	-0.28086037780067485	-0.6130787177821835	-0.3122226226036953	0.661840791305371	-0.5625591756364571	-1.0107156402523292	-0.8580441144163556
OG0000099.0	OG0005986.4	OG0006790.0	OG0000139.0	OG0001710.24	OG0007958.13	OG0000026.45	OG0005097.2	OG0010513.2	OG0000442.2
0.19421315631120725	-1.9192059180417578	1.5543923862102873	-0.6077925010310296	-0.4060248206794444	-2.181803870978292	-0.1413028099616662	-1.045431429247006	-1.3751972347470527	-0.22617242101930626
OG0003584.16	OG0003514.0	OG0000018.842	OG0013132.4	OG0008562.0	OG0000011.1	OG0000074.152	OG0000105.0	OG0004977.0	OG0027623.0
-1.038598926835721	-0.8839014477634204	-0.48559996096338387	-3.69637704380805	-1.434012959249229	0.5140970048942337	-0.5625591756364571	0.3918776772778659	-0.4291485165770805	-3.1739702135002608
OG0004966.0	OG0000710.0	OG0007761.3	OG0000032.252	OG0000187.1	OG0022068.0	OG0004128.4	OG0000102.0	OG0012093.2	OG0003198.2
-1.165531478289697	-0.6517675807607293	-2.0528949484321255	-0.3082871842179762	-0.2067283455019175	-1.2604974943896143	-0.7095755961347003	-0.012315322433239274	-2.781900825629855	-1.366615291442657
OG0000923.0	OG0008277.0	OG0000056.0	OG0001981.2	OG0005153.1	OG0013535.7	OG0005463.3	OG0000139.0	OG0011434.0	OG0000015.1
0.7399344890375401	-1.4367442285670111	0.25229454120183664	-0.7804132554266838	-0.8841677013474352	-5.422288401236315	-1.553426147453103	-0.6077925010310296	-1.9902228783884701	0.7040751643766956
OG0010779.2	OG0000027.457	OG0006566.0	OG0006082.0	OG0000169.16	OG0001557.1	OG0004569.0	OG0000043.242	OG0029064.0	OG0006143.2
0.3596336130480406	-0.9018499789079885	-2.5203555254237644	-0.4367442285670112	-0.3176064889372687	-0.8517817278458553	-0.989363363891263	-0.1305233660345985	nan	-1.0643139648378215
OG0000018.842	OG0011211.0	OG0000486.2	OG0000039.0	OG0005229.4	OG0000015.773	OG0016644.5	OG0002991.24	OG0003614.8	OG0015351.0
-0.48559996096338387	-1.001732273621237	-0.6604064990346017	-0.03637791489059239	-1.855170479161191	0.24744147114440776	-2.013916780335185	-0.8876334769274369	-1.5294891648227245	-1.2098952586535459
OG0000027.457	OG0006298.0	OG0000177.8	OG0005940.0	OG0004453.2	OG0005212.2	OG0019272.0	OG0003247.1	OG0000121.128	OG0000105.0
-0.9018499789079885	-1.7680761267062368	0.40064722052282803	-0.7004036512159048	-1.0822245593988842	-1.12784104277106	nan	-0.6186058682131488	-0.9810810178369486	0.3918776772778659
OG0000265.0	OG0000112.0	OG0000995.122	OG0005841.2	OG0028974.0	OG0000056.0	OG0003526.0	OG0007389.9	OG0000710.0	OG0007546.0
