OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4536625645789998	nan	nan	nan	0.268754511682	nan	nan	nan	0.741197522587	nan	nan	0.553545037131	1.310867877392	nan	nan	nan	nan	1.2615669127509999	1.872962014793	nan	1.389812044486	0.570696033407	nan	nan	1.513606371199	nan	2.7556804500050003	nan	0.23960752801899998	nan	nan	1.9185610542340001	0.651711378007	0.549352090976	nan	2.170429832158	1.8965735815090001	1.166201054392	1.214793721033	nan	nan	nan	nan	nan	1.3094080275120001	0.261921997701	0.357310070356	0.620776443799	0.002059146203	nan	0.5184863397	1.963717346604	nan	nan	1.071680606345	1.9763261546970001	2.007299486531	nan	0.317304723305	1.989967702578	0.599493221387	nan	0.796509452392	0.145906632416	nan	nan	nan	nan	0.01682790817	0.426983300585	0.985447226612	nan	1.291518173711	nan	1.2989824355969999	1.072765431346	1.8537586461489999	0.986590715326	1.9655224609070001	nan	0.949246834947	0.33393899563499996	0.54991319992	0.0	1.560947625562	nan	nan	nan	0.585040068528	nan	0.048481179496999996	0.44705333710199996	nan	3.801558166329	0.45955146325900004	nan	nan	0.520234375322	nan	nan	nan	nan	nan	0.8944614912819999	nan	nan	nan	1.32948436567	0.7335737960879999
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
nan	0.402789089676	nan	nan	1.460672064686	2.441051307041	nan	1.759213839658	nan	nan	1.3844032898299998	nan	nan	0.48974942758400003	nan	1.748707242559	nan	nan	1.568279799171	nan	nan	nan	0.249841718864	1.44692426595	nan	nan	nan	1.035650105921	nan	nan	nan	0.5758400878800001	nan	2.7253994193159996	nan	0.263271831281	nan	1.4321010116269999	nan	nan	1.962169708584	nan	nan	2.500393374353	nan	nan	nan	0.992547818404	nan	1.7835411069490001	nan	1.560614111708	2.210428641101	nan	1.839014659767	nan	nan	0.35405607924599997	nan	1.654749861667	nan	nan	nan	1.4132404892669999	nan	nan	nan	1.909083670235	nan	0.998982562332	nan	nan	1.506398163447	nan	nan	nan	nan	1.209253910178	nan	nan	0.224113926259	1.6649449874759998	nan	0.026882772866000004	1.866339189654	0.554177953875	nan	nan	nan	nan	nan	0.11642362426200001	1.494814421107	nan	nan	nan	nan	nan	1.267357363022	1.500155382115	nan	nan	0.302724604618	1.500569261469	nan	nan	1.504665149735	nan	1.261718286252	nan	2.384362555025	nan	nan	nan	nan	2.04958473127	0.5441419601959999	nan	nan	1.510489218792
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
1.465200058195	nan	1.017833798046	1.51477141369	nan	nan	1.110807209704	2.1654824108270003	nan	nan	nan	0.444925159122	nan	nan	nan	nan	0.739309749827	nan	nan	1.4761328376910001	1.076536177628	nan	nan	nan	1.3528263866080001	1.469199658533	0.702489592747	nan	nan	nan	nan	0.20595248235599997	nan	0.098566106328	1.0909891035200001	nan	nan	0.583912045774	nan	2.406892317056	nan	nan	0.705796617539	nan	nan	2.6453526676370003	1.227872740156	1.452074880893	nan	nan	0.632510596795	1.62946960611	1.344889372811	nan	1.155132444661	nan	0.822120296981	nan	nan	nan	nan	nan	nan	nan	1.707160494012	2.428773576054	1.177970808879	nan	nan	nan	nan	0.33895489294500003	nan	nan	nan	nan	nan	nan	1.5489020667689999	1.19300139605	nan	nan	1.262584921895	1.214125836954	nan	nan	nan	nan	1.4524009075720001	nan	nan	0.6986550596250001	0.698215403459	nan	0.0	1.91080168688	nan	2.6442839235710003	2.4815473241209998	1.168314666028	1.875498333108	nan	nan	nan	1.500569261469	2.258649152718	nan	nan	0.984006492686	nan	nan	nan	0.37197797886699996	nan	nan	2.04958473127	nan	1.33364787865	nan	2.212297610875
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
nan	1.091004418796	nan	nan	1.829118737777	0.38630908704899997	nan	nan	nan	1.7511480913980002	0.9793991550560001	1.599690231507	nan	1.076378907146	nan	0.36310610642200003	nan	1.125580394185	0.0	nan	0.279359332159	nan	nan	nan	1.194647322732	nan	nan	nan	0.692162905346	nan	nan	nan	nan	nan	0.461895486438	nan	0.647740521149	nan	1.4849611394	nan	nan	0.48058108484800005	1.166930703927	nan	nan	0.705796617539	nan	1.8413588443309998	nan	nan	2.322973049055	nan	nan	0.768134097173	1.187269181322	nan	nan	nan	nan	2.9188892872979997	nan	nan	1.000370918659	nan	nan	nan	nan	1.365579224177	1.6245812183750001	1.014164326704	nan	nan	1.8257779592930001	1.523801365082	0.891980105736	nan	nan	nan	1.288105934607	0.33591839451899996	nan	1.2074993671379999	nan	nan	1.494814421107	nan	1.83536247613	0.152385588798	nan	nan	1.4524009075720001	nan	1.1524056058299998	0.3497548865	nan	nan	nan	1.7779044623949998	nan	nan	1.050331472759	1.267357363022	1.163013715914	2.3895252011759998	nan	nan	nan	nan	nan	nan	nan	nan	0.34342348576	2.309616907838	1.478391678457	nan	nan	nan	2.04958473127	0.48974942758400003
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
nan	nan	nan	nan	2.053758014852	2.165071632207	nan	2.000452362347	nan	0.91281768339	nan	1.219132005745	nan	1.176594837431	nan	nan	0.823275418215	nan	1.44692426595	1.3483776773069998	nan	nan	nan	0.9485840550810001	1.219424505276	nan	nan	nan	nan	nan	0.708513949768	1.887887114696	2.2808534262	nan	1.299256383029	nan	0.093688295252	1.485324986277	nan	1.39242681059	nan	nan	1.630386585419	nan	1.446127417143	nan	nan	0.562564385304	nan	nan	0.328575082922	0.45243612083499996	nan	0.6360337621800001	1.421731262149	1.396081675959	1.029795960506	0.511029862469	nan	nan	nan	nan	nan	1.928379765924	nan	nan	nan	nan	nan	nan	1.169212239423	nan	nan	1.048961005107	nan	0.840709820633	nan	1.036135612259	nan	1.6649449874759998	1.964816664429	2.0554594145519998	1.5489020667689999	nan	nan	0.836390283841	nan	1.857007460749	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.736464522642	0.7628724075810001	1.6847408020399999	0.969568022294	0.983275752196	0.18441487261300002	0.854456735786	0.993701913892	nan	nan	nan	4.715697308719999	1.663962363208	3.411260257541	nan	2.494555883051	1.6953276340490002	nan	nan	nan	0.299115617499
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
