OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
2.082919660454	nan	1.679417176972	0.02701875753	2.077047154
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
0.08700261904300001	nan	1.5040567425920002	1.451861515091	0.426765995093
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
0.0	1.536245428726	0.276057258071	0.0	0.49743661188500005
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
nan	nan	nan	0.637445078487	1.186502180229
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
nan	nan	nan	nan	2.5038808526480003
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
nan	nan	nan	1.831108497667	1.192655245678
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
1.608026428918	1.204128921326	1.5961172802630001	1.153060998575	nan
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
1.467412530045	1.575099956331	nan	0.473311453643	nan
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
nan	0.151136766733	1.017574906176	nan	0.0
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
0.133375160078	nan	1.476237976033	0.476156582206	1.8525695941729998
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
0.5561097237100001	nan	nan	0.299810909157	2.367274909526
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
nan	1.4032416264829999	0.228859412304	nan	0.634036804093
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
nan	0.873864947519	1.344399605174	nan	nan
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
nan	nan	0.07302022591900001	nan	nan
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
2.408912609599	nan	nan	0.0	0.346326919333
OG0012164.0	OG0045990.0	OG0025137.0	OG0001413.1	OG0003613.0
0.412478496847	nan	0.7200251291580001	0.536035301033	2.745122480895
OG0005498.6	OG0000546.2	OG0002703.16	OG0004268.26	OG0019062.1
0.793160147221	1.2669260417450001	1.287201638305	1.028616056288	nan
OG0043736.0	OG0028147.0	OG0007732.0	OG0015604.7	OG0003085.8
nan	nan	1.7711387529109999	nan	0.31448984186900003
OG0003408.0	OG0006271.0	OG0004639.6	OG0019752.0	OG0001845.2
1.4114966888659999	1.539620828455	1.726011981945	nan	1.4321006551230002
OG0005244.10	OG0005275.2	OG0013618.1	OG0013322.2	OG0022027.0
0.565846169089	0.24380454718400002	0.963614920413	2.0258840298539997	nan
OG0007061.32	OG0014025.6	OG0004215.0	OG0034908.0	OG0053973.0
nan	0.940564023478	0.979644494374	nan	nan
