OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
3.7038879999999996	2.7639139999999998	1.355743	nan	2.945064	nan	0.9175271	nan	2.935956	3.7382760000000004	1.933075	1.200936	2.117238	nan	1.0626799999999998	1.107237	3.699637	3.7207510000000004	nan	2.2535529999999997	3.7508199999999996	2.73316	1.347913	215.4607	nan	3.6986800000000004	3.2686439999999997	1.4832969999999999	nan	188.3775	3.706981	1.012053	1.0815059999999999	3.801515	1.2466270000000002	224.4897	0.572966	3.3966199999999995	5.115496	nan	1.1914049999999998	0.8583895	nan	0.8604552	1.986865	1.5427620000000002	2.0996259999999998	1.444283	217.1495	nan	1.1306889999999998	1.9797770000000001	nan	nan	1.586552	0.9760806999999999	nan	3.708815	4.854508	nan	4.023947	0.4837583	2.216487	2.690521	3.74712
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
nan	nan	nan	1.360943	26.189510000000002	214.295	2.7722290000000003	1.7812169999999998	nan	9.323075	3.245493	nan	3.6940510000000004	1.481947	1.6199709999999998	11.35545	1.114098	2.2071419999999997	3.86726	215.6226	nan	nan	2.816282	1.132751	10.13309	nan	20.37952	268.1961	3.001173	2.667923	3.7004900000000003	nan	nan	0.47937690000000005	4.860505	1.7655669999999999	5.257087	3.716019	1.1283809999999999	nan	3.7888559999999996	2.376371	3.212955	0.6427265	nan	118.8878	nan	1.980761	1.2296340000000001	213.3441	nan	1.564798	nan	2.6600349999999997	20.19511	nan	3.749651	nan	nan	3.803981	1.393129	nan	1.20003	45.21894	nan
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
2.846991	3.7389449999999997	1.338582	215.4471	3.733472	0.4374031	1.1098290000000002	184.6604	3.188843	nan	1.65523	nan	nan	44.35604	6.386721	1.836393	0.5658478	1.437484	1.472658	1.453451	16.80828	1.620581	8.517184	nan	1.3707719999999999	nan	3.799189	1.232805	nan	nan	0.9373275	1.9172209999999998	nan	3.7806019999999996	5.40525	nan	2.760259	8.031956	3.445302	2.7266790000000003	6.324663	1.980907	nan	6.885	218.4849	3.7278589999999996	4.511647	3.4206769999999995	nan	28.13788	3.8382940000000003	2.111997	217.0413	2.980373	3.1999880000000003	7.819371	259.5422	nan	nan	4.640629	3.759531	1.457863	72.74883	1.478537	2.291801
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
1.24945	12.21698	260.1627	35.62596	3.6356940000000004	nan	45.6423	4.127832	15.551070000000001	1.3681020000000002	3.791926	3.753681	2.025586	3.7419279999999997	3.158199	1.077499	3.0266450000000003	3.904544	7.964906	1.472658	2.359812	8.05157	3.260106	nan	3.3715980000000005	nan	118.9707	nan	8.037514999999999	218.6506	2.734482	nan	nan	3.3595330000000003	nan	2.996671	2.17286	nan	117.6322	20.6336	nan	11.41656	nan	2.44935	1.883648	3.8308120000000003	4.607003	220.3777	nan	nan	215.1448	3.416032	2.41988	4.592786	1.211652	1.162398	nan	nan	nan	0.9784669	nan	nan	1.598623	1.172442	1.69177
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
2.0341549999999997	1.632858	1.625292	20.35035	44.954570000000004	185.1552	15.18976	1.407601	nan	nan	260.7288	0.6353089	1.349524	2.450324	1.1027559999999998	nan	nan	0.34692009999999995	1.453451	nan	nan	18.94801	3.385077	1.070892	2.946978	1.132751	92.07101999999999	nan	1.941605	6.9821990000000005	nan	4.527203	4.587328	0.7861536	0.5551451999999999	nan	4.060755	14.31365	5.685333	6.403023	218.0085	5.311122	1.2444899999999999	214.459	3.793717	nan	nan	1.923872	2.533889	2.866083	2.3088740000000003	nan	2.850236	2.543924	1.237819	1.923501	2.13646	nan	217.435	1.922084	2.88686	1.172687	nan	nan	nan
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
