OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
8.961704e-05	nan	0.2811832	nan	0.08080729
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
0.8488648000000001	nan	0.6923590000000001	0.05549604	0.02637785
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
nan	0.3908408	0.978	nan	0.9911956000000001
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
nan	nan	nan	0.9711622	0.7871553000000001
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
nan	nan	nan	nan	0.16924070000000002
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
nan	nan	nan	0.06184103	0.9876504999999999
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
0.4960858	0.42024490000000003	0.2107101	0.7616198000000001	nan
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
4.9320240000000005e-05	0.09169105	nan	0.9315386999999998	nan
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
nan	0.05603776	0.1808668	nan	nan
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
0.5100917	nan	0.9365551	nan	0.5247417
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
0.7122486	nan	nan	nan	0.25954770000000005
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
nan	0.37867080000000003	nan	nan	0.2689704
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
nan	nan	0.6882059	nan	nan
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
nan	nan	0.9999976999999999	nan	nan
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
0.5768129	nan	nan	nan	nan
OG0012164.0	OG0045990.0	OG0025137.0	OG0001413.1	OG0003613.0
0.2191823	nan	nan	0.9232005999999999	0.1573305
OG0005498.6	OG0000546.2	OG0002703.16	OG0004268.26	OG0019062.1
0.9958530999999999	0.0030475059999999997	0.04226114	nan	nan
OG0043736.0	OG0028147.0	OG0007732.0	OG0015604.7	OG0003085.8
nan	nan	0.5952031	nan	0.4847107
OG0003408.0	OG0006271.0	OG0004639.6	OG0019752.0	OG0001845.2
0.40879040000000005	0.9500202	0.9033805	nan	0.9882303
OG0005244.10	OG0005275.2	OG0013618.1	OG0013322.2	OG0022027.0
0.8035578	0.9999998999999999	nan	nan	nan
OG0007061.32	OG0014025.6	OG0004215.0	OG0034908.0	OG0053973.0
nan	nan	0.01061206	nan	nan
OG0003897.10	OG0001608.24	OG0057272.0	OG0029027.0	OG0002856.0
0.001131911	0.1854171	nan	nan	0.4960378
OG0043939.0	OG0022733.0	OG0006963.0	OG0003997.0	OG0014683.4
nan	nan	0.7827001	0.03833381	0.9666164
OG0005485.2	OG0026929.0	OG0016166.2	OG0000083.0	OG0009932.0
0.7447946999999999	nan	0.26824040000000005	0.03771852	0.9567263
OG0035782.0	OG0002516.0	OG0010116.20	OG0034772.0	OG0005228.0
nan	0.6444655	nan	nan	0.4533210999999999
OG0005075.42	OG0009082.0	OG0056969.0	OG0020856.0	OG0004466.4
nan	0.9020864	nan	nan	0.3049757
OG0003298.30	OG0038594.0	OG0016290.2	OG0005869.0	OG0044284.0
0.7393624	nan	nan	0.24967029999999998	nan
OG0043496.0	OG0002065.0	OG0044202.0	OG0002275.1	OG0025963.0
nan	0.9626947	nan	0.30873959999999995	nan
OG0015324.6	OG0019317.0	OG0006502.0	OG0003042.54	OG0020396.0
nan	nan	0.9500997	0.7504997	nan
OG0047563.0	OG0038895.0	OG0004806.1	OG0034318.0	OG0045140.0
nan	nan	nan	nan	nan
OG0000436.0	OG0003030.22	OG0047101.0	OG0028482.0	OG0037681.0
0.01662767	0.01284748	nan	nan	nan
OG0001415.132	OG0013585.4	OG0057570.0	OG0015202.0	OG0020497.0
nan	0.02591441	nan	0.1496654	nan
OG0005702.0	OG0045741.0	OG0000000.503	OG0000010.2	OG0006581.6
0.6858795999999999	nan	0.9983261	0.5601271	0.8303567
OG0035771.0	OG0006193.0	OG0029965.0	OG0000618.54	OG0007910.4
