OG0009883.5	OG0000692.0	OG0012915.3	OG0004617.12	OG0004835.2	OG0004464.0	OG0004338.2	OG0000107.44	OG0000038.0	OG0000027.1
0.1313076	0.06820091	nan	0.1470489	0.6708972	0.1341812	0.5179004	0.04683721	0.01180559	0.06559032
OG0008656.1	OG0010913.0	OG0043411.0	OG0008443.1	OG0010756.0	OG0004568.1	OG0005507.10	OG0014125.1	OG0015179.2	OG0003049.0
nan	0.03692786	nan	0.03126674	0.9944915000000001	0.1745161	0.6935564000000001	nan	nan	0.3653518
OG0014810.0	OG0006647.0	OG0047150.0	OG0015093.3	OG0014620.0	OG0013321.0	OG0047353.0	OG0015979.6	OG0053810.0	OG0024522.0
0.0001783212	0.8571496999999999	nan	nan	0.7223779	nan	nan	nan	nan	nan
OG0038154.0	OG0011720.2	OG0001184.24	OG0014502.4	OG0016791.0	OG0017901.0	OG0005646.0	OG0047603.0	OG0016776.5	OG0035803.0
nan	nan	0.9795249	nan	0.28090679999999996	0.9947988000000001	0.978943	nan	nan	nan
OG0002993.1	OG0006460.2	OG0004302.0	OG0010095.2	OG0018256.2	OG0019234.0	OG0016149.0	OG0023958.0	OG0035604.0	OG0008532.6
0.5371499	0.4399722	0.7488129	0.9999636000000001	nan	nan	0.0008308283	nan	nan	0.9811988000000001
OG0047378.0	OG0021370.0	OG0005619.0	OG0044416.0	OG0009877.2	OG0001321.26	OG0007340.4	OG0003483.0	OG0005694.0	OG0007523.4
nan	nan	0.9577543	nan	0.7268815	0.8974274999999999	0.9946472	0.9562506	0.8710030999999999	0.5785889
OG0005991.0	OG0027772.0	OG0047976.0	OG0004954.6	OG0044358.0	OG0007191.0	OG0013191.3	OG0004616.0	OG0004779.4	OG0047138.0
0.9686031999999999	nan	nan	0.45277159999999994	nan	0.6375181	nan	0.788463	nan	nan
OG0002837.4	OG0028115.0	OG0049164.0	OG0056784.0	OG0022867.0	OG0013146.12	OG0004192.0	OG0002822.4	OG0013064.11	OG0056535.0
0.3003999	nan	nan	nan	nan	nan	0.8937049000000001	0.2674449	nan	nan
