OG0004710.2	OG0001698.26	OG0000027.457	OG0001643.24	OG0016785.2	OG0001566.2	OG0012896.0	OG0000471.2	OG0022825.0	OG0012926.0
2.082919660454	0.6943115457	0.90064301314	0.369064679103	0.02701875753	1.188815827236	1.679417176972	2.077047154	nan	1.600267473551
OG0060556.0	OG0013679.0	OG0044964.0	OG0004741.0	OG0023559.0	OG0026968.0	OG0022182.0	OG0012866.6	OG0004669.1	OG0014855.1
nan	0.647007808094	nan	1.396182955812	nan	1.2957114414939999	0.415413323644	0.12312002820999998	1.713067756961	nan
OG0021483.0	OG0020392.0	OG0045062.0	OG0057438.0	OG0046785.0	OG0009947.2	OG0011655.12	OG0028856.0	OG0014592.0	OG0056955.0
nan	nan	nan	nan	nan	0.096359468976	nan	nan	1.440769020059	nan
OG0004297.2	OG0000478.2	OG0005167.4	OG0029079.0	OG0005347.11	OG0012466.13	OG0000706.25	OG0027960.0	OG0060394.0	OG0047959.0
0.114061497542	1.651007466238	1.077044977657	0.005526906328	0.8333397226610001	nan	1.233376588758	nan	nan	nan
OG0014083.1	OG0015193.7	OG0005598.25	OG0004762.1	OG0044357.0	OG0000313.0	OG0037839.0	OG0005975.16	OG0000452.0	OG0009291.7
nan	nan	0.003736454121	0.246906197588	nan	2.567609848224	nan	1.167999545034	2.00769262608	0.034961702679
OG0000441.1	OG0002445.82	OG0048920.0	OG0021654.0	OG0023157.0	OG0047436.0	OG0045956.0	OG0004371.2	OG0034580.0	OG0043853.0
0.39042435331	0.025344209864	nan	nan	0.029145621362999998	nan	nan	1.338398653457	nan	nan
OG0005602.8	OG0003869.12	OG0046805.0	OG0015633.3	OG0045264.0	OG0012385.12	OG0002210.0	OG0053801.0	OG0017779.6	OG0041753.0
0.296640777043	0.715356568942	nan	nan	nan	nan	1.280560393352	nan	nan	nan
OG0007861.0	OG0019883.0	OG0022368.0	OG0006747.18	OG0020930.0	OG0021957.0	OG0015093.9	OG0011221.2	OG0004536.0	OG0019207.0
1.6155429786489999	nan	0.527218741419	nan	0.588852058355	nan	nan	1.7263025879890002	1.713675200682	nan
OG0047439.0	OG0007888.4	OG0012424.10	OG0006016.4	OG0045364.0	OG0017964.4	OG0018867.2	OG0003620.0	OG0002403.0	OG0004519.0
nan	0.187918059169	0.25761375893599997	0.907138520283	nan	0.10912244575999999	nan	1.4063143611000002	2.716183489992	1.97324229992
OG0015308.0	OG0041572.0	OG0046237.0	OG0027847.0	OG0014637.1	OG0001066.26	OG0002730.20	OG0049162.0	OG0005860.0	OG0045371.0
0.069203175419	nan	nan	nan	0.356950456779	0.84231976264	0.5804473005340001	nan	1.294179893815	nan
OG0014097.5	OG0013439.2	OG0001110.108	OG0019393.0	OG0017150.4	OG0022858.0	OG0044637.0	OG0001725.29	OG0043966.0	OG0013816.1
nan	0.24457524751600002	0.522132711457	0.009440964857	1.3574630350889998	nan	nan	nan	nan	nan
